n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8568181818181818
8,9,8,1,0,0,0,0,0,0,0,0,0.8631116891562347
9,9,9,0,0,0,0,0,0,0,0,0,0.8568674698795181
9,9,9,0,0,0,0,0,0,0,0,0,0.8776451869530628
9,9,9,0,0,0,0,0,0,0,0,0,0.8797540055025085
9,9,9,0,0,0,0,0,0,0,0,0,0.8774494057179569
8,10,8,2,0,0,0,0,0,0,0,0,0.8469241773962805
10,10,8,2,2,0,0,0,0,0,0,0,0.7840874115112342
10,10,9,1,1,0,0,0,0,0,0,0,0.8039345346338238
10,10,7,3,3,0,0,0,0,0,0,0,0.7103459269886816
9,10,7,3,2,0,0,0,0,0,0,0,0.7124044870752723
11,10,7,3,4,0,0,0,0,0,0,0,0.7111216579655117
12,12,8,4,4,0,0,0,0,0,0,0,0.7472411186696901
11,12,9,3,2,0,0,0,0,0,0,0,0.778948909383692
11,12,10,2,1,0,0,0,0,0,0,0,0.8147274996533075
12,12,11,1,1,0,0,0,0,0,0,0,0.8249184605348989
12,12,11,1,1,0,0,0,0,0,0,0,0.8310144194282824
12,12,11,1,1,0,0,0,0,0,0,0,0.8163793103448276
12,12,11,1,1,0,0,0,0,0,0,0,0.8370484242890085
12,13,11,2,1,0,0,0,0,0,0,0,0.8365397030342157
11,13,10,3,1,0,0,0,0,0,0,0,0.8268672472948008
12,13,11,2,1,0,0,0,0,0,0,0,0.8401516141680826
13,13,12,1,1,0,0,0,0,0,0,0,0.8400404960769425
12,12,11,1,1,0,0,0,0,0,0,0,0.8214197683017007
12,12,11,1,1,0,0,0,0,0,0,0,0.8369322412509308
11,13,11,2,0,0,0,0,0,0,0,0,0.8468869909642283
13,13,10,2,1,0,1,0,0,0,1,0,0.8317983519146873
12,13,10,3,2,0,0,0,0,0,0,0,0.8184149781995383
12,13,10,3,2,0,0,0,0,0,0,0,0.7835420393559929
11,13,10,3,1,0,0,0,0,0,0,0,0.8036801515356514
6,6,6,0,0,0,0,0,0,0,0,0,0.8796352583586626
6,6,6,0,0,0,0,0,0,0,0,0,0.8394912174439734
6,6,6,0,0,0,0,0,0,0,0,0,0.8519300361881785
6,6,6,0,0,0,0,0,0,0,0,0,0.8606153846153846
6,6,6,0,0,0,0,0,0,0,0,0,0.8644961240310077
6,6,6,0,0,0,0,0,0,0,0,0,0.849079754601227
5,6,5,1,0,0,0,0,0,0,0,0,0.8229487970388649
5,6,5,1,0,0,0,0,0,0,0,0,0.8417680973734786
5,6,5,1,0,0,0,0,0,0,0,0,0.8332249674902471
5,6,5,1,0,0,0,0,0,0,0,0,0.8573738680465718
5,6,4,2,1,0,0,0,0,0,0,0,0.8189028420356906
5,6,5,1,0,0,0,0,0,0,0,0,0.8266154830454254
5,6,5,1,0,0,0,0,0,0,0,0,0.8299186991869919
5,7,5,2,0,0,0,0,0,0,0,0,0.8207577204711876
5,6,4,0,0,1,0,0,0,1,0,0,0.7966895690193629
5,7,5,2,0,0,0,0,0,0,0,0,0.8334956183057449
4,7,4,3,0,0,0,0,0,0,0,0,0.8142305215711526
6,7,5,2,1,0,0,0,0,0,0,0,0.7972813238770685
5,7,5,2,0,0,0,0,0,0,0,0,0.8003565062388592
5,7,5,2,0,0,0,0,0,0,0,0,0.8102102102102102
8,7,6,0,0,0,1,0,0,0,1,0,0.8365384615384616
7,7,6,1,1,0,0,0,0,0,0,0,0.8585145439141485
6,7,6,1,0,0,0,0,0,0,0,0,0.8423153692614771
8,7,6,0,0,0,1,0,0,0,1,0,0.8575842696629213
7,7,6,1,1,0,0,0,0,0,0,0,0.8366158113730929
6,7,6,1,0,0,0,0,0,0,0,0,0.8328093741068877
6,7,6,1,0,0,0,0,0,0,0,0,0.8305980528511822
6,7,5,2,1,0,0,0,0,0,0,0,0.8273202974387222
5,7,4,3,1,0,0,0,0,0,0,0,0.7874125874125875
6,6,6,0,0,0,0,0,0,0,0,0,0.8544776119402985
8,9,8,1,0,0,0,0,0,0,0,0,0.8725199187626933
9,9,9,0,0,0,0,0,0,0,0,0,0.867590454195535
8,9,8,1,0,0,0,0,0,0,0,0,0.848498635122839
8,9,8,1,0,0,0,0,0,0,0,0,0.8767660910518054
9,9,9,0,0,0,0,0,0,0,0,0,0.8597438666872397
8,9,8,1,0,0,0,0,0,0,0,0,0.8430403213347752
9,9,9,0,0,0,0,0,0,0,0,0,0.8842673440228608
9,9,9,0,0,0,0,0,0,0,0,0,0.863132530120482
9,9,9,0,0,0,0,0,0,0,0,0,0.8449264136328427
9,9,9,0,0,0,0,0,0,0,0,0,0.8900338109805185
8,9,8,1,0,0,0,0,0,0,0,0,0.8700592094735158
8,9,8,1,0,0,0,0,0,0,0,0,0.8517591868647381
8,9,8,1,0,0,0,0,0,0,0,0,0.8859759949463045
8,9,8,1,0,0,0,0,0,0,0,0,0.8495302633605422
8,9,8,1,0,0,0,0,0,0,0,0,0.8485124468731026
8,9,8,1,0,0,0,0,0,0,0,0,0.8716343143393863
8,10,8,2,0,0,0,0,0,0,0,0,0.8728139904610492
9,10,9,1,0,0,0,0,0,0,0,0,0.8490247273844264
10,10,10,0,0,0,0,0,0,0,0,0,0.8817022584114304
10,10,9,1,1,0,0,0,0,0,0,0,0.8529455408814364
11,11,10,1,1,0,0,0,0,0,0,0,0.8552400468384075
11,11,11,0,0,0,0,0,0,0,0,0,0.8543632075471698
10,11,10,1,0,0,0,0,0,0,0,0,0.8623951182303585
10,11,10,1,0,0,0,0,0,0,0,0,0.846984698469847
10,11,9,2,1,0,0,0,0,0,0,0,0.8487848784878488
10,11,10,1,0,0,0,0,0,0,0,0,0.8439928272564255
9,11,9,2,0,0,0,0,0,0,0,0,0.8198468698393635
10,11,10,1,0,0,0,0,0,0,0,0,0.8702408702408703
10,11,10,1,0,0,0,0,0,0,0,0,0.8532748449553774
10,11,10,1,0,0,0,0,0,0,0,0,0.8390125700439194
11,12,11,1,0,0,0,0,0,0,0,0,0.8048349857395084
11,12,11,1,0,0,0,0,0,0,0,0,0.7905218048903454
11,12,11,1,0,0,0,0,0,0,0,0,0.7980338476854156
12,13,10,2,0,0,1,0,0,0,1,0,0.8445193055195647
12,14,11,3,1,0,0,0,0,0,0,0,0.8092357081121127
12,13,11,2,1,0,0,0,0,0,0,0,0.7763570847378821
12,14,12,2,0,0,0,0,0,0,0,0,0.8260251244370704
12,14,12,2,0,0,0,0,0,0,0,0,0.819392523364486
12,15,12,3,0,0,0,0,0,0,0,0,0.8210649502633118
12,16,12,4,0,0,0,0,0,0,0,0,0.8273718775653806
13,16,13,3,0,0,0,0,0,0,0,0,0.8138171982418573
12,16,12,4,0,0,0,0,0,0,0,0,0.8085248828386521
13,16,12,4,1,0,0,0,0,0,0,0,0.8276467361492046
13,16,13,3,0,0,0,0,0,0,0,0,0.8294538943598926
13,16,12,4,1,0,0,0,0,0,0,0,0.8271367036953072
14,16,13,3,1,0,0,0,0,0,0,0,0.8354605036219386
14,16,14,2,0,0,0,0,0,0,0,0,0.8326364560967341
14,16,13,3,1,0,0,0,0,0,0,0,0.8326237956531481
14,16,14,2,0,0,0,0,0,0,0,0,0.831461948508563
14,15,14,1,0,0,0,0,0,0,0,0,0.8565347445927289
14,15,14,1,0,0,0,0,0,0,0,0,0.8312040700960995
14,15,14,1,0,0,0,0,0,0,0,0,0.8346929526399275
13,15,13,2,0,0,0,0,0,0,0,0,0.8230260155180283
12,15,12,3,0,0,0,0,0,0,0,0,0.8008431126808705
14,15,12,3,2,0,0,0,0,0,0,0,0.8109371348445898
14,15,14,1,0,0,0,0,0,0,0,0,0.8043114039986596
15,15,11,2,2,0,0,2,2,0,0,1,0.8098322729901677
13,13,11,1,0,0,1,0,0,0,1,0,0.8280919971837597
13,13,13,0,0,0,0,0,0,0,0,0,0.8350455288349288
13,14,12,2,1,0,0,0,0,0,0,0,0.7917568029147216
6,6,6,0,0,0,0,0,0,0,0,0,0.7665767154973014
6,6,6,0,0,0,0,0,0,0,0,0,0.7737504769172072
6,6,6,0,0,0,0,0,0,0,0,0,0.8201336844237391
6,6,6,0,0,0,0,0,0,0,0,0,0.7969206782303645
6,6,6,0,0,0,0,0,0,0,0,0,0.780710265864545
6,6,6,0,0,0,0,0,0,0,0,0,0.8104600865119937
6,6,6,0,0,0,0,0,0,0,0,0,0.7904871943000192
6,7,6,1,0,0,0,0,0,0,0,0,0.7721822541966427
6,7,6,1,0,0,0,0,0,0,0,0,0.7855626326963907
6,7,6,1,0,0,0,0,0,0,0,0,0.7769894534995206
6,7,6,1,0,0,0,0,0,0,0,0,0.7502780867630701
6,7,6,1,0,0,0,0,0,0,0,0,0.7614695668067994
7,7,7,0,0,0,0,0,0,0,0,0,0.7974373469003203
7,7,7,0,0,0,0,0,0,0,0,0,0.8031674208144797
7,7,7,0,0,0,0,0,0,0,0,0,0.8734736842105263
7,7,7,0,0,0,0,0,0,0,0,0,0.8746343501880485
6,7,6,1,0,0,0,0,0,0,0,0,0.860618462937699
6,7,6,1,0,0,0,0,0,0,0,0,0.8376088491409743
