n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8533681291795792
8,9,8,1,0,0,0,0,0,0,0,0,0.8580297337036432
9,9,9,0,0,0,0,0,0,0,0,0,0.8580571053495242
9,9,9,0,0,0,0,0,0,0,0,0,0.8712377273458877
9,9,9,0,0,0,0,0,0,0,0,0,0.8982662741249591
9,9,9,0,0,0,0,0,0,0,0,0,0.8650513478818999
9,10,9,1,0,0,0,0,0,0,0,0,0.8710410914406367
9,10,8,2,1,0,0,0,0,0,0,0,0.7863356001897833
9,10,8,2,1,0,0,0,0,0,0,0,0.7815541989770665
9,10,7,3,2,0,0,0,0,0,0,0,0.6954838709677419
9,10,7,3,2,0,0,0,0,0,0,0,0.7013070840729385
10,10,7,3,3,0,0,0,0,0,0,0,0.738943894389439
11,12,7,5,4,0,0,0,0,0,0,0,0.7208352246935996
11,12,9,3,2,0,0,0,0,0,0,0,0.7794117647058824
11,12,10,2,1,0,0,0,0,0,0,0,0.8156400794777179
11,12,11,1,0,0,0,0,0,0,0,0,0.8274009402283412
11,12,11,1,0,0,0,0,0,0,0,0,0.8458283749834722
11,12,11,1,0,0,0,0,0,0,0,0,0.811337693984866
11,12,11,1,0,0,0,0,0,0,0,0,0.8387267203803989
12,13,11,2,1,0,0,0,0,0,0,0,0.8494974546403864
11,13,10,3,1,0,0,0,0,0,0,0,0.8229084191079441
11,13,11,2,0,0,0,0,0,0,0,0,0.8390557939914163
12,13,12,1,0,0,0,0,0,0,0,0,0.8401867946555973
12,12,12,0,0,0,0,0,0,0,0,0,0.8352956070388656
11,12,11,1,0,0,0,0,0,0,0,0,0.853904282115869
11,13,11,2,0,0,0,0,0,0,0,0,0.8507185332011893
12,13,11,2,1,0,0,0,0,0,0,0,0.8279292557111275
11,13,10,3,1,0,0,0,0,0,0,0,0.8131781932278729
11,13,10,3,1,0,0,0,0,0,0,0,0.7866842452208306
11,13,10,3,1,0,0,0,0,0,0,0,0.7939978272677892
6,6,6,0,0,0,0,0,0,0,0,0,0.8604509445460086
6,6,6,0,0,0,0,0,0,0,0,0,0.8580705009276438
6,6,6,0,0,0,0,0,0,0,0,0,0.8722884204094103
6,6,6,0,0,0,0,0,0,0,0,0,0.868073047858942
6,6,6,0,0,0,0,0,0,0,0,0,0.8589864652187599
6,6,5,1,1,0,0,0,0,0,0,0,0.8585669781931464
5,6,5,1,0,0,0,0,0,0,0,0,0.8344391785150079
5,6,5,1,0,0,0,0,0,0,0,0,0.8549543676662321
5,6,5,1,0,0,0,0,0,0,0,0,0.856479946967186
5,6,5,1,0,0,0,0,0,0,0,0,0.8654738237243207
5,6,5,1,0,0,0,0,0,0,0,0,0.8508741858073363
5,6,5,1,0,0,0,0,0,0,0,0,0.8106085258704848
7,6,6,0,1,0,0,0,0,0,0,0,0.8369085173501577
5,7,5,2,0,0,0,0,0,0,0,0,0.8102955195424214
5,6,4,2,1,0,0,0,0,0,0,0,0.8048857868020305
5,7,5,2,0,0,0,0,0,0,0,0,0.839724680432645
4,7,4,3,0,0,0,0,0,0,0,0,0.8057648214870619
5,7,5,2,0,0,0,0,0,0,0,0,0.8086904043452021
6,7,6,1,0,0,0,0,0,0,0,0,0.8346762160549089
6,7,5,2,1,0,0,0,0,0,0,0,0.8215137067938022
7,7,7,0,0,0,0,0,0,0,0,0,0.8628472222222222
7,7,7,0,0,0,0,0,0,0,0,0,0.864818519577022
7,7,6,1,1,0,0,0,0,0,0,0,0.8532623914869785
7,7,7,0,0,0,0,0,0,0,0,0,0.8525530694205393
7,7,6,1,1,0,0,0,0,0,0,0,0.8529986052998605
6,7,6,1,0,0,0,0,0,0,0,0,0.8304110376544984
6,7,6,1,0,0,0,0,0,0,0,0,0.8547326279668287
6,7,6,1,0,0,0,0,0,0,0,0,0.8294637921503594
6,7,5,2,1,0,0,0,0,0,0,0,0.8495324454519694
6,6,6,0,0,0,0,0,0,0,0,0,0.8551622418879056
8,9,8,1,0,0,0,0,0,0,0,0,0.8740927737456611
8,9,8,1,0,0,0,0,0,0,0,0,0.8725011805446246
8,9,8,1,0,0,0,0,0,0,0,0,0.8490183857899657
8,9,8,1,0,0,0,0,0,0,0,0,0.8787066246056783
9,9,9,0,0,0,0,0,0,0,0,0,0.86530931871574
8,9,8,1,0,0,0,0,0,0,0,0,0.8387758321501814
9,9,9,0,0,0,0,0,0,0,0,0,0.8744245118272742
9,9,9,0,0,0,0,0,0,0,0,0,0.8634304207119741
9,9,9,0,0,0,0,0,0,0,0,0,0.8519820971867008
9,9,9,0,0,0,0,0,0,0,0,0,0.8970105124835742
8,9,8,1,0,0,0,0,0,0,0,0,0.8594828970611852
8,9,8,1,0,0,0,0,0,0,0,0,0.8568729333963155
8,9,8,1,0,0,0,0,0,0,0,0,0.8848050914876691
8,9,8,1,0,0,0,0,0,0,0,0,0.8590437877146836
8,9,8,1,0,0,0,0,0,0,0,0,0.8390273930440135
8,9,8,1,0,0,0,0,0,0,0,0,0.8770905648469549
8,10,8,2,0,0,0,0,0,0,0,0,0.8680211166213406
9,10,9,1,0,0,0,0,0,0,0,0,0.8704402515723271
10,10,10,0,0,0,0,0,0,0,0,0,0.8814872192099148
10,10,10,0,0,0,0,0,0,0,0,0,0.8618094234532591
11,11,10,1,1,0,0,0,0,0,0,0,0.8579775280898876
11,11,11,0,0,0,0,0,0,0,0,0,0.8704471424341131
10,11,10,1,0,0,0,0,0,0,0,0,0.8488977342314759
10,11,10,1,0,0,0,0,0,0,0,0,0.8531159530702422
10,11,9,2,1,0,0,0,0,0,0,0,0.8516109514445621
10,11,10,1,0,0,0,0,0,0,0,0,0.8464885954381752
9,11,9,2,0,0,0,0,0,0,0,0,0.8229422604422605
10,11,10,1,0,0,0,0,0,0,0,0,0.8652865750038622
10,11,10,1,0,0,0,0,0,0,0,0,0.8641279512566641
10,11,10,1,0,0,0,0,0,0,0,0,0.842479517699799
12,12,10,1,0,0,1,0,0,0,1,0,0.8109466250169768
12,12,10,1,0,0,1,0,0,0,1,0,0.8003014318010551
11,12,11,1,0,0,0,0,0,0,0,0,0.793565348022033
12,13,10,2,0,0,1,0,0,0,1,0,0.8213089409945891
12,14,11,3,1,0,0,0,0,0,0,0,0.8110343125154282
12,13,11,2,1,0,0,0,0,0,0,0,0.7645468437757141
12,14,12,2,0,0,0,0,0,0,0,0,0.8245530393325388
12,14,12,2,0,0,0,0,0,0,0,0,0.8113471865514826
12,15,12,3,0,0,0,0,0,0,0,0,0.8111111111111111
13,16,12,4,1,0,0,0,0,0,0,0,0.8100480149900456
14,16,12,4,2,0,0,0,0,0,0,0,0.7900564971751413
12,16,12,4,0,0,0,0,0,0,0,0,0.7966216216216216
13,16,12,4,1,0,0,0,0,0,0,0,0.8195207737964387
13,16,13,3,0,0,0,0,0,0,0,0,0.8247087813620072
13,16,12,4,1,0,0,0,0,0,0,0,0.8183894917190178
16,16,12,3,2,0,1,0,0,0,1,0,0.8320523115750832
15,16,14,2,1,0,0,0,0,0,0,0,0.8154404262555266
15,16,14,2,1,0,0,0,0,0,0,0,0.8228571428571428
14,16,14,2,0,0,0,0,0,0,0,0,0.8321035304801907
15,15,14,1,1,0,0,0,0,0,0,0,0.8461004397130294
15,15,14,1,1,0,0,0,0,0,0,0,0.8144
14,15,13,2,1,0,0,0,0,0,0,0,0.819059518400727
15,15,13,2,2,0,0,0,0,0,0,0,0.8163523459061638
14,15,12,3,2,0,0,0,0,0,0,0,0.796896551724138
14,15,8,3,0,0,0,2,3,0,0,2,0.796528673624956
14,15,13,2,1,0,0,0,0,0,0,0,0.7979425248797942
13,15,11,2,0,0,0,2,2,0,0,1,0.8044620955495854
15,13,11,1,2,0,1,0,0,0,1,0,0.8235225140712945
13,13,13,0,0,0,0,0,0,0,0,0,0.8291050035236082
13,14,12,2,1,0,0,0,0,0,0,0,0.7938014638609332
6,6,6,0,0,0,0,0,0,0,0,0,0.7518417991469561
6,6,6,0,0,0,0,0,0,0,0,0,0.7641563393708294
6,6,6,0,0,0,0,0,0,0,0,0,0.7986237603723942
6,6,6,0,0,0,0,0,0,0,0,0,0.7671286355650986
6,6,6,0,0,0,0,0,0,0,0,0,0.770663562281723
6,6,6,0,0,0,0,0,0,0,0,0,0.7741236707365104
6,6,6,0,0,0,0,0,0,0,0,0,0.7737338725207009
6,7,6,1,0,0,0,0,0,0,0,0,0.7418342867687765
6,7,6,1,0,0,0,0,0,0,0,0,0.7596914175506269
6,7,6,1,0,0,0,0,0,0,0,0,0.7704541099827553
6,7,6,1,0,0,0,0,0,0,0,0,0.7283011869436202
6,7,6,1,0,0,0,0,0,0,0,0,0.7314933284591483
7,7,7,0,0,0,0,0,0,0,0,0,0.7653483992467043
7,7,7,0,0,0,0,0,0,0,0,0,0.793480309025815
7,7,7,0,0,0,0,0,0,0,0,0,0.841726618705036
