n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8478905735003296
8,9,8,1,0,0,0,0,0,0,0,0,0.8527335412904286
9,9,9,0,0,0,0,0,0,0,0,0,0.8723124897423272
9,9,9,0,0,0,0,0,0,0,0,0,0.8627039250524956
9,9,9,0,0,0,0,0,0,0,0,0,0.8829960835509139
9,9,9,0,0,0,0,0,0,0,0,0,0.8793214862681745
9,10,8,2,1,0,0,0,0,0,0,0,0.8574420103092784
10,10,8,2,2,0,0,0,0,0,0,0,0.8066246056782335
10,10,9,1,1,0,0,0,0,0,0,0,0.7910275441200726
10,10,7,3,3,0,0,0,0,0,0,0,0.6882501579279848
10,10,7,3,3,0,0,0,0,0,0,0,0.7113795295613478
11,10,7,3,4,0,0,0,0,0,0,0,0.7208326609649831
12,12,8,4,4,0,0,0,0,0,0,0,0.7349726775956285
12,12,9,3,3,0,0,0,0,0,0,0,0.7855361596009975
12,12,10,2,2,0,0,0,0,0,0,0,0.8156694763023352
12,12,11,1,1,0,0,0,0,0,0,0,0.8064516129032258
12,12,11,1,1,0,0,0,0,0,0,0,0.8359943798697151
12,12,10,2,2,0,0,0,0,0,0,0,0.8023631840796019
12,12,11,1,1,0,0,0,0,0,0,0,0.8161348430262481
12,13,11,2,1,0,0,0,0,0,0,0,0.84140625
12,13,10,3,2,0,0,0,0,0,0,0,0.8315252908116586
12,13,11,2,1,0,0,0,0,0,0,0,0.8343915343915344
13,13,12,1,1,0,0,0,0,0,0,0,0.8401073619631901
13,12,12,0,1,0,0,0,0,0,0,0,0.8301793444650587
11,12,11,1,0,0,0,0,0,0,0,0,0.8403637282141955
12,13,11,2,1,0,0,0,0,0,0,0,0.8517699115044248
12,13,11,2,1,0,0,0,0,0,0,0,0.8387057387057387
12,13,10,3,2,0,0,0,0,0,0,0,0.7916289885027774
12,13,10,3,2,0,0,0,0,0,0,0,0.7911506707946336
11,13,10,3,1,0,0,0,0,0,0,0,0.8007405375754251
6,6,6,0,0,0,0,0,0,0,0,0,0.8650137741046832
6,6,6,0,0,0,0,0,0,0,0,0,0.8524892440073756
6,6,6,0,0,0,0,0,0,0,0,0,0.8687975646879756
6,6,6,0,0,0,0,0,0,0,0,0,0.8705216844751729
6,6,6,0,0,0,0,0,0,0,0,0,0.8579456759288168
6,6,6,0,0,0,0,0,0,0,0,0,0.8588709677419355
5,6,5,1,0,0,0,0,0,0,0,0,0.8535337384074193
5,6,5,1,0,0,0,0,0,0,0,0,0.8602150537634409
5,6,5,1,0,0,0,0,0,0,0,0,0.8423304805793285
5,6,5,1,0,0,0,0,0,0,0,0,0.8578964721397956
5,6,4,2,1,0,0,0,0,0,0,0,0.8250417362270451
6,6,5,1,1,0,0,0,0,0,0,0,0.8598130841121495
6,6,5,1,1,0,0,0,0,0,0,0,0.8454782042940794
5,7,5,2,0,0,0,0,0,0,0,0,0.8088615782664942
5,6,4,2,1,0,0,0,0,0,0,0,0.8154138915318744
5,7,5,2,0,0,0,0,0,0,0,0,0.833990795529257
4,7,4,3,0,0,0,0,0,0,0,0,0.8170811518324608
6,7,6,1,0,0,0,0,0,0,0,0,0.8124441798154213
6,7,6,1,0,0,0,0,0,0,0,0,0.8202820282028203
6,7,6,1,0,0,0,0,0,0,0,0,0.8404575556893438
7,7,7,0,0,0,0,0,0,0,0,0,0.8597246127366609
7,7,6,1,1,0,0,0,0,0,0,0,0.8572246065808298
6,7,6,1,0,0,0,0,0,0,0,0,0.8402501421262081
6,7,6,1,0,0,0,0,0,0,0,0,0.8386819484240687
7,7,6,1,1,0,0,0,0,0,0,0,0.8522727272727273
5,7,5,2,0,0,0,0,0,0,0,0,0.7923010629129561
5,7,5,2,0,0,0,0,0,0,0,0,0.8094170403587444
6,7,6,1,0,0,0,0,0,0,0,0,0.8310626702997275
6,7,5,2,1,0,0,0,0,0,0,0,0.8222908478382931
6,6,6,0,0,0,0,0,0,0,0,0,0.845399480819152
8,9,8,1,0,0,0,0,0,0,0,0,0.8609458189790166
8,9,8,1,0,0,0,0,0,0,0,0,0.8488554405769834
8,9,8,1,0,0,0,0,0,0,0,0,0.8520654715510522
8,9,8,1,0,0,0,0,0,0,0,0,0.8803636943691179
8,9,8,1,0,0,0,0,0,0,0,0,0.853948397185301
8,9,8,1,0,0,0,0,0,0,0,0,0.8380967336683417
9,9,9,0,0,0,0,0,0,0,0,0,0.8830503043896187
9,9,9,0,0,0,0,0,0,0,0,0,0.8594760672703752
9,9,9,0,0,0,0,0,0,0,0,0,0.8657074340527577
9,9,9,0,0,0,0,0,0,0,0,0,0.8830486202365309
8,9,8,1,0,0,0,0,0,0,0,0,0.8668596237337193
8,9,8,1,0,0,0,0,0,0,0,0,0.8612167300380228
8,9,8,1,0,0,0,0,0,0,0,0,0.8856088560885609
8,9,8,1,0,0,0,0,0,0,0,0,0.8511830635118306
9,9,9,0,0,0,0,0,0,0,0,0,0.868477925285582
8,9,8,1,0,0,0,0,0,0,0,0,0.8738049713193117
8,10,8,2,0,0,0,0,0,0,0,0,0.8651992287917738
9,10,8,2,1,0,0,0,0,0,0,0,0.8461657390228818
10,10,9,1,1,0,0,0,0,0,0,0,0.8748441396508728
10,10,10,0,0,0,0,0,0,0,0,0,0.8594104308390023
11,11,10,1,1,0,0,0,0,0,0,0,0.8411738681610382
10,11,10,1,0,0,0,0,0,0,0,0,0.853081986834231
10,11,9,2,1,0,0,0,0,0,0,0,0.8524087143295489
10,11,10,1,0,0,0,0,0,0,0,0,0.8439759036144578
10,11,8,3,2,0,0,0,0,0,0,0,0.8515874221479569
9,11,9,2,0,0,0,0,0,0,0,0,0.8455481526347668
9,11,9,2,0,0,0,0,0,0,0,0,0.8197542102867547
10,11,10,1,0,0,0,0,0,0,0,0,0.8672704559650218
11,11,11,0,0,0,0,0,0,0,0,0,0.8663336360884045
11,11,10,1,1,0,0,0,0,0,0,0,0.8510831692167853
12,12,10,1,0,0,1,0,0,0,1,0,0.7861900231072448
12,12,10,1,0,0,1,0,0,0,1,0,0.7855883093978332
11,12,11,1,0,0,0,0,0,0,0,0,0.7987484355444305
11,13,10,3,1,0,0,0,0,0,0,0,0.8138874548270522
12,14,12,2,0,0,0,0,0,0,0,0,0.8038218141208586
12,13,11,2,1,0,0,0,0,0,0,0,0.7749823653891371
12,14,12,2,0,0,0,0,0,0,0,0,0.8094274491132009
12,14,12,2,0,0,0,0,0,0,0,0,0.80623973727422
13,15,12,3,1,0,0,0,0,0,0,0,0.8140632373761209
12,16,12,4,0,0,0,0,0,0,0,0,0.7935340802987861
13,16,13,3,0,0,0,0,0,0,0,0,0.7907422006982768
14,16,12,4,2,0,0,0,0,0,0,0,0.818984794275492
13,16,13,3,0,0,0,0,0,0,0,0,0.7943535098319235
13,16,12,4,1,0,0,0,0,0,0,0,0.8249578414839798
13,16,12,4,1,0,0,0,0,0,0,0,0.8295779480727439
14,16,12,4,2,0,0,0,0,0,0,0,0.8122486498908422
15,16,13,3,2,0,0,0,0,0,0,0,0.8176029110757335
13,16,13,3,0,0,0,0,0,0,0,0,0.805995096946735
14,16,14,2,0,0,0,0,0,0,0,0,0.816999429549344
14,15,13,2,1,0,0,0,0,0,0,0,0.826112140871177
14,15,14,1,0,0,0,0,0,0,0,0,0.8150394872381824
14,15,13,2,1,0,0,0,0,0,0,0,0.8067572194954914
15,15,12,3,3,0,0,0,0,0,0,0,0.8091348366313852
12,15,12,3,0,0,0,0,0,0,0,0,0.7992225017150697
13,15,12,3,1,0,0,0,0,0,0,0,0.7776991984912777
15,15,12,2,1,0,1,0,0,0,1,0,0.7901606425702812
15,15,9,4,2,0,2,0,0,0,2,0,0.786392038879889
15,13,11,1,2,0,1,0,0,0,1,0,0.8264560245225183
13,13,13,0,0,0,0,0,0,0,0,0,0.825984990619137
13,14,12,2,1,0,0,0,0,0,0,0,0.8044941256986426
6,6,6,0,0,0,0,0,0,0,0,0,0.7383867832847425
6,6,6,0,0,0,0,0,0,0,0,0,0.7461288472567387
6,6,6,0,0,0,0,0,0,0,0,0,0.797404177651592
6,6,6,0,0,0,0,0,0,0,0,0,0.7544407573687293
6,6,6,0,0,0,0,0,0,0,0,0,0.7682003494467093
6,6,6,0,0,0,0,0,0,0,0,0,0.7823263137177721
6,6,6,0,0,0,0,0,0,0,0,0,0.7844230769230769
6,7,6,1,0,0,0,0,0,0,0,0,0.7451994091580503
6,7,6,1,0,0,0,0,0,0,0,0,0.7574821394091523
6,7,6,1,0,0,0,0,0,0,0,0,0.7666026871401151
6,7,5,2,1,0,0,0,0,0,0,0,0.7218100890207715
6,7,6,1,0,0,0,0,0,0,0,0,0.7424602449278012
7,7,7,0,0,0,0,0,0,0,0,0,0.7639072223269847
7,7,7,0,0,0,0,0,0,0,0,0,0.7803958529688972
7,7,7,0,0,0,0,0,0,0,0,0,0.8402792468796276
6,7,6,1,0,0,0,0,0,0,0,0,0.8331580054702293
6,7,6,1,0,0,0,0,0,0,0,0,0.8667283664969921
6,7,6,1,0,0,0,0,0,0,0,0,0.8215718668869483
6,7,6,1,0,0,0,0,0,0,0,0,0.8435132575757576
7,8,7,1,0,0,0,0,0,0,0,0,0.8329915698336751
7,8,7,1,0,0,0,0,0,0,0,0,0.8430971843778383
