n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8518335800032889
8,9,8,1,0,0,0,0,0,0,0,0,0.8569326357096141
8,9,8,1,0,0,0,0,0,0,0,0,0.8520290333223358
9,9,9,0,0,0,0,0,0,0,0,0,0.8729978967804563
9,9,9,0,0,0,0,0,0,0,0,0,0.8916378030677882
9,9,9,0,0,0,0,0,0,0,0,0,0.8726186632224734
9,10,8,2,1,0,0,0,0,0,0,0,0.8551812230560434
10,10,8,2,2,0,0,0,0,0,0,0,0.7997473152242578
10,10,9,1,1,0,0,0,0,0,0,0,0.7851375844455429
10,10,7,3,3,0,0,0,0,0,0,0,0.6877451749568492
10,10,7,3,3,0,0,0,0,0,0,0,0.7108951895508123
11,10,6,4,5,0,0,0,0,0,0,0,0.69326801517067
12,12,7,5,5,0,0,0,0,0,0,0,0.7333838001514005
12,12,8,4,4,0,0,0,0,0,0,0,0.784965034965035
13,12,9,2,2,0,1,0,0,0,1,0,0.815563555801717
12,12,11,1,1,0,0,0,0,0,0,0,0.8103717182219912
12,12,11,1,1,0,0,0,0,0,0,0,0.8189907207321724
12,12,10,2,2,0,0,0,0,0,0,0,0.7942560039613766
12,12,11,1,1,0,0,0,0,0,0,0,0.8356867779204108
12,13,11,2,1,0,0,0,0,0,0,0,0.843508955419009
12,13,10,3,2,0,0,0,0,0,0,0,0.81265460226533
12,13,11,2,1,0,0,0,0,0,0,0,0.8465097831835008
13,13,12,1,1,0,0,0,0,0,0,0,0.8177195881530444
12,12,12,0,0,0,0,0,0,0,0,0,0.8394920634920635
12,12,11,1,1,0,0,0,0,0,0,0,0.8332920178482895
12,13,11,2,1,0,0,0,0,0,0,0,0.8358905118448509
13,13,11,2,2,0,0,0,0,0,0,0,0.823486328125
12,13,10,3,2,0,0,0,0,0,0,0,0.7937411095305832
12,13,10,3,2,0,0,0,0,0,0,0,0.7907127150433321
12,13,9,2,2,1,0,0,0,1,0,0,0.7988222404820597
6,6,6,0,0,0,0,0,0,0,0,0,0.8820653834402689
6,6,6,0,0,0,0,0,0,0,0,0,0.8697674418604651
6,6,6,0,0,0,0,0,0,0,0,0,0.8604229607250755
6,6,6,0,0,0,0,0,0,0,0,0,0.8675558312655087
6,6,6,0,0,0,0,0,0,0,0,0,0.8788167938931297
6,6,6,0,0,0,0,0,0,0,0,0,0.8618853742561854
5,6,5,1,0,0,0,0,0,0,0,0,0.8625079567154679
5,6,5,1,0,0,0,0,0,0,0,0,0.8680052666227781
5,6,5,1,0,0,0,0,0,0,0,0,0.8401826484018264
5,6,5,1,0,0,0,0,0,0,0,0,0.8457326892109501
5,6,5,1,0,0,0,0,0,0,0,0,0.8631074606433949
6,6,5,1,1,0,0,0,0,0,0,0,0.8568225496476618
6,6,6,0,0,0,0,0,0,0,0,0,0.864456842796193
5,7,5,2,0,0,0,0,0,0,0,0,0.8272873194221508
5,6,5,1,0,0,0,0,0,0,0,0,0.82782943251042
5,7,5,2,0,0,0,0,0,0,0,0,0.860472751149048
4,7,4,3,0,0,0,0,0,0,0,0,0.8336057535142203
6,7,6,1,0,0,0,0,0,0,0,0,0.8332829046898639
6,7,6,1,0,0,0,0,0,0,0,0,0.8342342342342343
6,7,6,1,0,0,0,0,0,0,0,0,0.8283313325330132
7,7,7,0,0,0,0,0,0,0,0,0,0.8859752504419564
7,7,6,1,1,0,0,0,0,0,0,0,0.8671449067431851
6,7,6,1,0,0,0,0,0,0,0,0,0.8506176386095949
7,7,7,0,0,0,0,0,0,0,0,0,0.8852128883774454
7,7,6,1,1,0,0,0,0,0,0,0,0.8538418708240535
5,7,5,2,0,0,0,0,0,0,0,0,0.8171082949308756
5,7,5,2,0,0,0,0,0,0,0,0,0.8188998589562765
7,7,7,0,0,0,0,0,0,0,0,0,0.8742172610944732
6,7,5,2,1,0,0,0,0,0,0,0,0.8298650168728909
6,6,5,1,1,0,0,0,0,0,0,0,0.8597829275447345
8,9,8,1,0,0,0,0,0,0,0,0,0.8687106918238994
8,9,8,1,0,0,0,0,0,0,0,0,0.8568545256947679
8,9,8,1,0,0,0,0,0,0,0,0,0.857609710550887
8,9,8,1,0,0,0,0,0,0,0,0,0.8949286846275752
8,9,8,1,0,0,0,0,0,0,0,0,0.8614457831325302
8,9,8,1,0,0,0,0,0,0,0,0,0.8483896307934015
9,9,9,0,0,0,0,0,0,0,0,0,0.8815052041633307
8,9,8,1,0,0,0,0,0,0,0,0,0.8517854231208218
9,9,9,0,0,0,0,0,0,0,0,0,0.8635925449871465
9,9,9,0,0,0,0,0,0,0,0,0,0.8868079513717759
9,9,9,0,0,0,0,0,0,0,0,0,0.8867130603657549
8,9,8,1,0,0,0,0,0,0,0,0,0.856237121572357
8,9,8,1,0,0,0,0,0,0,0,0,0.8849871134020618
8,9,8,1,0,0,0,0,0,0,0,0,0.866058795786826
9,9,9,0,0,0,0,0,0,0,0,0,0.8801978667491112
8,9,8,1,0,0,0,0,0,0,0,0,0.868362480127186
8,10,8,2,0,0,0,0,0,0,0,0,0.8751213199611776
9,10,8,2,1,0,0,0,0,0,0,0,0.8625311720698254
10,10,9,1,1,0,0,0,0,0,0,0,0.8630602782071097
10,10,10,0,0,0,0,0,0,0,0,0,0.8704123244222927
11,11,10,1,1,0,0,0,0,0,0,0,0.8522625112376386
11,11,11,0,0,0,0,0,0,0,0,0,0.8646359583952452
10,11,10,1,0,0,0,0,0,0,0,0,0.8661417322834646
10,11,10,1,0,0,0,0,0,0,0,0,0.8660659743433109
10,11,10,1,0,0,0,0,0,0,0,0,0.860529132894938
10,11,10,1,0,0,0,0,0,0,0,0,0.8525514089870525
10,11,9,2,1,0,0,0,0,0,0,0,0.834705702958219
10,11,10,1,0,0,0,0,0,0,0,0,0.8628366806788105
10,11,10,1,0,0,0,0,0,0,0,0,0.8624558168126633
10,11,10,1,0,0,0,0,0,0,0,0,0.8445507872800248
12,12,10,1,0,0,1,0,0,0,1,0,0.8030036530915979
12,12,10,1,0,0,1,0,0,0,1,0,0.8009095502779181
12,12,10,1,0,0,1,0,0,0,1,0,0.7922650541698161
12,13,10,2,0,0,1,0,0,0,1,0,0.8397989431627787
12,14,12,2,0,0,0,0,0,0,0,0,0.8132031153418222
12,13,11,2,1,0,0,0,0,0,0,0,0.78602568634382
12,14,12,2,0,0,0,0,0,0,0,0,0.8198595070841767
12,14,12,2,0,0,0,0,0,0,0,0,0.8151221222391025
12,15,12,3,0,0,0,0,0,0,0,0,0.8039540665324968
