n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8036117381489842
8,9,8,1,0,0,0,0,0,0,0,0,0.8068306438978536
8,9,8,1,0,0,0,0,0,0,0,0,0.7768607672321565
8,9,8,1,0,0,0,0,0,0,0,0,0.8034296602095904
9,9,9,0,0,0,0,0,0,0,0,0,0.8270295932900775
9,9,9,0,0,0,0,0,0,0,0,0,0.7873754152823921
8,10,8,2,0,0,0,0,0,0,0,0,0.7905491698595147
10,10,7,3,3,0,0,0,0,0,0,0,0.7533788914198937
9,10,8,2,1,0,0,0,0,0,0,0,0.6949729311678268
9,10,7,3,2,0,0,0,0,0,0,0,0.6611516626115166
9,10,7,3,2,0,0,0,0,0,0,0,0.6680824288186251
9,10,7,3,2,0,0,0,0,0,0,0,0.6967079530638852
11,12,7,5,4,0,0,0,0,0,0,0,0.7089072543617998
11,12,8,4,3,0,0,0,0,0,0,0,0.735620728929385
11,12,10,2,1,0,0,0,0,0,0,0,0.7637040979244278
11,12,11,1,0,0,0,0,0,0,0,0,0.7617971553901369
12,12,11,1,1,0,0,0,0,0,0,0,0.7732409770324462
12,12,11,1,1,0,0,0,0,0,0,0,0.7521536670547148
11,12,11,1,0,0,0,0,0,0,0,0,0.7805321219987021
11,13,11,2,0,0,0,0,0,0,0,0,0.8001031725561001
11,13,11,2,0,0,0,0,0,0,0,0,0.7495718130658184
11,13,11,2,0,0,0,0,0,0,0,0,0.7659856725921995
11,13,10,3,1,0,0,0,0,0,0,0,0.7628423576927932
11,12,11,1,0,0,0,0,0,0,0,0,0.7533524904214559
11,12,10,2,1,0,0,0,0,0,0,0,0.7631284916201118
12,13,11,2,1,0,0,0,0,0,0,0,0.7858657243816255
11,13,11,2,0,0,0,0,0,0,0,0,0.7573682989092597
11,13,10,3,1,0,0,0,0,0,0,0,0.7484781764020204
11,13,9,4,2,0,0,0,0,0,0,0,0.700852588656864
11,13,10,3,1,0,0,0,0,0,0,0,0.6994160954556994
6,6,6,0,0,0,0,0,0,0,0,0,0.8380216383307574
6,6,6,0,0,0,0,0,0,0,0,0,0.8326219512195122
6,6,6,0,0,0,0,0,0,0,0,0,0.8278087415664418
6,6,6,0,0,0,0,0,0,0,0,0,0.8185547491322184
6,6,6,0,0,0,0,0,0,0,0,0,0.8445628329677217
6,6,6,0,0,0,0,0,0,0,0,0,0.8270745003028468
5,6,5,1,0,0,0,0,0,0,0,0,0.80416
5,6,5,1,0,0,0,0,0,0,0,0,0.8405562742561449
5,6,5,1,0,0,0,0,0,0,0,0,0.8170961659333752
5,6,5,1,0,0,0,0,0,0,0,0,0.8234519104084321
6,6,4,2,2,0,0,0,0,0,0,0,0.8136686009026435
6,6,6,0,0,0,0,0,0,0,0,0,0.81136638452237
6,6,5,1,1,0,0,0,0,0,0,0,0.7940893029232252
6,7,6,1,0,0,0,0,0,0,0,0,0.8178694158075601
6,6,6,0,0,0,0,0,0,0,0,0,0.8181538461538461
5,7,5,2,0,0,0,0,0,0,0,0,0.7899271040424122
4,7,4,3,0,0,0,0,0,0,0,0,0.7848837209302325
6,7,6,1,0,0,0,0,0,0,0,0,0.778283115406481
5,7,5,2,0,0,0,0,0,0,0,0,0.7540731632339379
6,7,5,2,1,0,0,0,0,0,0,0,0.779557367501456
7,7,6,1,1,0,0,0,0,0,0,0,0.8034211240836274
6,7,6,1,0,0,0,0,0,0,0,0,0.7926935343577849
6,7,6,1,0,0,0,0,0,0,0,0,0.7990196078431373
6,7,6,1,0,0,0,0,0,0,0,0,0.8046896551724138
6,7,6,1,0,0,0,0,0,0,0,0,0.7729344729344729
7,7,6,1,1,0,0,0,0,0,0,0,0.8248443689869835
6,7,6,1,0,0,0,0,0,0,0,0,0.834108951546674
6,7,6,1,0,0,0,0,0,0,0,0,0.759812050856827
5,7,5,2,0,0,0,0,0,0,0,0,0.7552097804945819
5,6,5,1,0,0,0,0,0,0,0,0,0.8060814687320711
8,9,8,1,0,0,0,0,0,0,0,0,0.820717755837643
8,9,8,1,0,0,0,0,0,0,0,0,0.8386346004654771
8,9,8,1,0,0,0,0,0,0,0,0,0.8138449962377727
9,9,9,0,0,0,0,0,0,0,0,0,0.8266583229036295
9,9,9,0,0,0,0,0,0,0,0,0,0.8606811145510835
8,9,8,1,0,0,0,0,0,0,0,0,0.8217338217338217
9,9,9,0,0,0,0,0,0,0,0,0,0.8341423948220065
9,9,9,0,0,0,0,0,0,0,0,0,0.8297198923880361
9,9,9,0,0,0,0,0,0,0,0,0,0.8099802221207972
9,9,9,0,0,0,0,0,0,0,0,0,0.8109526151828168
9,9,8,1,1,0,0,0,0,0,0,0,0.8342254408060453
8,9,8,1,0,0,0,0,0,0,0,0,0.8191717791411043
8,9,8,1,0,0,0,0,0,0,0,0,0.8205047318611988
8,9,8,1,0,0,0,0,0,0,0,0,0.8182924973367829
9,9,9,0,0,0,0,0,0,0,0,0,0.8283882510809601
8,9,8,1,0,0,0,0,0,0,0,0,0.8147561747941735
8,10,8,2,0,0,0,0,0,0,0,0,0.8161650636053367
9,10,9,1,0,0,0,0,0,0,0,0,0.7956605736364988
10,10,10,0,0,0,0,0,0,0,0,0,0.8211930926216641
10,10,10,0,0,0,0,0,0,0,0,0,0.8383475527615626
11,11,11,0,0,0,0,0,0,0,0,0,0.8201552616446234
10,11,10,1,0,0,0,0,0,0,0,0,0.8008581151057849
10,11,10,1,0,0,0,0,0,0,0,0,0.8309287646528404
10,11,10,1,0,0,0,0,0,0,0,0,0.8220707656612529
9,11,9,2,0,0,0,0,0,0,0,0,0.7951605539491706
9,11,9,2,0,0,0,0,0,0,0,0,0.8383747178329571
9,11,9,2,0,0,0,0,0,0,0,0,0.8151533018867925
10,11,9,2,1,0,0,0,0,0,0,0,0.815061079325808
10,11,10,1,0,0,0,0,0,0,0,0,0.8327053504144687
10,11,10,1,0,0,0,0,0,0,0,0,0.7968046477850399
11,12,11,1,0,0,0,0,0,0,0,0,0.7727029914529915
9,12,9,3,0,0,0,0,0,0,0,0,0.6415797317436661
10,12,10,2,0,0,0,0,0,0,0,0,0.7650565762258182
13,13,10,2,0,0,2,0,0,0,1,0,0.8059125964010283
11,14,11,3,0,0,0,0,0,0,0,0,0.7661054172767203
12,13,12,1,0,0,0,0,0,0,0,0,0.7527334851936218
12,14,12,2,0,0,0,0,0,0,0,0,0.7655440414507773
12,14,12,2,0,0,0,0,0,0,0,0,0.7874540441176471
12,15,12,3,0,0,0,0,0,0,0,0,0.7771158817578959
12,16,12,4,0,0,0,0,0,0,0,0,0.76146364057434
12,16,12,4,0,0,0,0,0,0,0,0,0.7660870528297707
12,16,12,4,0,0,0,0,0,0,0,0,0.7848501362397821
13,16,12,4,1,0,0,0,0,0,0,0,0.744488103034272
15,16,12,4,3,0,0,0,0,0,0,0,0.7867090689768615
15,16,11,4,2,0,1,0,0,0,1,0,0.7879850909888182
14,16,13,3,1,0,0,0,0,0,0,0,0.7650677908169078
14,16,13,3,1,0,0,0,0,0,0,0,0.7922796150868266
14,16,13,3,1,0,0,0,0,0,0,0,0.792085630879014
14,16,13,3,1,0,0,0,0,0,0,0,0.7751432745252276
14,15,13,2,1,0,0,0,0,0,0,0,0.8074040935018454
14,15,13,2,1,0,0,0,0,0,0,0,0.7898994315697421
13,15,13,2,0,0,0,0,0,0,0,0,0.7582751632515199
13,15,13,2,0,0,0,0,0,0,0,0,0.8011465827338129
12,15,12,3,0,0,0,0,0,0,0,0,0.7709559231708671
12,15,12,3,0,0,0,0,0,0,0,0,0.7327456211576383
12,15,11,4,1,0,0,0,0,0,0,0,0.7463344724947635
12,15,12,3,0,0,0,0,0,0,0,0,0.7815699658703071
13,13,12,1,1,0,0,0,0,0,0,0,0.7879354687865326
13,13,13,0,0,0,0,0,0,0,0,0,0.7941074922315572
13,14,12,2,1,0,0,0,0,0,0,0,0.7684152401987852
6,6,6,0,0,0,0,0,0,0,0,0,0.7402847248941901
