n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.7939600584510472
8,9,8,1,0,0,0,0,0,0,0,0,0.7863317566465503
8,9,8,1,0,0,0,0,0,0,0,0,0.7854688267059401
8,9,8,1,0,0,0,0,0,0,0,0,0.7765671877467235
8,9,8,1,0,0,0,0,0,0,0,0,0.7751974723538705
8,9,8,1,0,0,0,0,0,0,0,0,0.7710980775496905
8,10,8,2,0,0,0,0,0,0,0,0,0.79632
10,10,7,3,3,0,0,0,0,0,0,0,0.7522992985190958
10,10,7,3,3,0,0,0,0,0,0,0,0.7444005270092227
10,10,6,4,4,0,0,0,0,0,0,0,0.6629807692307692
8,10,7,3,1,0,0,0,0,0,0,0,0.7138761467889908
10,10,7,3,3,0,0,0,0,0,0,0,0.7292915051110328
12,12,7,5,5,0,0,0,0,0,0,0,0.7205594826289667
12,12,8,4,4,0,0,0,0,0,0,0,0.7423587081891581
13,12,8,3,3,0,1,0,0,0,1,0,0.7696313553515143
12,12,10,2,2,0,0,0,0,0,0,0,0.7319083183105846
12,12,11,1,1,0,0,0,0,0,0,0,0.7742016280525986
12,12,11,1,1,0,0,0,0,0,0,0,0.7797453001819284
12,12,10,2,2,0,0,0,0,0,0,0,0.7787185643877164
12,13,10,3,2,0,0,0,0,0,0,0,0.7805003868970853
12,13,11,2,1,0,0,0,0,0,0,0,0.7522971398990552
12,13,11,2,1,0,0,0,0,0,0,0,0.7830433653596468
11,13,9,4,2,0,0,0,0,0,0,0,0.7490328216647947
12,12,9,3,3,0,0,0,0,0,0,0,0.749514091350826
12,12,9,3,3,0,0,0,0,0,0,0,0.7508729680915112
12,13,11,2,1,0,0,0,0,0,0,0,0.7680858850799073
12,13,11,2,1,0,0,0,0,0,0,0,0.7855340622371741
12,13,9,4,3,0,0,0,0,0,0,0,0.7382292732855681
12,13,8,5,4,0,0,0,0,0,0,0,0.7321743512219703
10,13,8,5,2,0,0,0,0,0,0,0,0.7231136454051187
6,6,6,0,0,0,0,0,0,0,0,0,0.8137526981190256
6,6,6,0,0,0,0,0,0,0,0,0,0.8199498117942283
6,6,6,0,0,0,0,0,0,0,0,0,0.8199257425742574
6,6,6,0,0,0,0,0,0,0,0,0,0.805239898989899
6,6,6,0,0,0,0,0,0,0,0,0,0.7860303413400759
6,6,6,0,0,0,0,0,0,0,0,0,0.7859172718661194
5,6,5,1,0,0,0,0,0,0,0,0,0.8005771080474511
5,6,5,1,0,0,0,0,0,0,0,0,0.7889070146818923
4,6,4,2,0,0,0,0,0,0,0,0,0.7550133689839572
6,6,4,2,2,0,0,0,0,0,0,0,0.780638852672751
6,6,4,2,2,0,0,0,0,0,0,0,0.7659434582511505
6,6,6,0,0,0,0,0,0,0,0,0,0.7897077509529861
6,6,5,1,1,0,0,0,0,0,0,0,0.7906229929351317
6,7,5,0,0,1,0,0,0,1,0,0,0.7995517130963817
6,6,5,1,1,0,0,0,0,0,0,0,0.7835483870967742
5,7,5,2,0,0,0,0,0,0,0,0,0.7569906790945407
4,7,4,3,0,0,0,0,0,0,0,0,0.748172757475083
4,7,4,3,0,0,0,0,0,0,0,0,0.7165402124430956
5,7,5,2,0,0,0,0,0,0,0,0,0.7405587964384402
6,7,5,2,1,0,0,0,0,0,0,0,0.7262334536702768
7,7,7,0,0,0,0,0,0,0,0,0,0.7990153489719085
6,7,6,1,0,0,0,0,0,0,0,0,0.7719501593740945
6,7,5,2,1,0,0,0,0,0,0,0,0.7877127199307759
7,7,6,1,1,0,0,0,0,0,0,0,0.7758373890638419
7,7,6,1,1,0,0,0,0,0,0,0,0.773542600896861
7,7,6,1,1,0,0,0,0,0,0,0,0.7767857142857143
6,7,5,2,1,0,0,0,0,0,0,0,0.7707631874298541
6,7,4,3,2,0,0,0,0,0,0,0,0.7580423425900468
5,7,4,3,1,0,0,0,0,0,0,0,0.7162048698572628
5,6,5,1,0,0,0,0,0,0,0,0,0.7771530038472921
8,9,8,1,0,0,0,0,0,0,0,0,0.7757335448057098
8,9,8,1,0,0,0,0,0,0,0,0,0.8376256281407035
8,9,8,1,0,0,0,0,0,0,0,0,0.8544333807491702
8,9,8,1,0,0,0,0,0,0,0,0,0.8107506361323156
8,9,8,1,0,0,0,0,0,0,0,0,0.8339902254453728
8,9,8,1,0,0,0,0,0,0,0,0,0.7810499359795134
8,9,8,1,0,0,0,0,0,0,0,0,0.8387987012987013
8,9,8,1,0,0,0,0,0,0,0,0,0.8088091353996737
8,9,8,1,0,0,0,0,0,0,0,0,0.8235581622678397
8,9,8,1,0,0,0,0,0,0,0,0,0.8337171052631579
9,9,9,0,0,0,0,0,0,0,0,0,0.8047203362431297
9,9,9,0,0,0,0,0,0,0,0,0,0.8309542902967121
8,9,8,1,0,0,0,0,0,0,0,0,0.8106376161486702
8,9,8,1,0,0,0,0,0,0,0,0,0.7861862806796728
9,9,9,0,0,0,0,0,0,0,0,0,0.8409871915026554
8,9,8,1,0,0,0,0,0,0,0,0,0.7819739765153919
8,10,8,2,0,0,0,0,0,0,0,0,0.8281980964671721
9,10,9,1,0,0,0,0,0,0,0,0,0.8254812959774612
10,10,9,1,1,0,0,0,0,0,0,0,0.8043921568627451
10,10,10,0,0,0,0,0,0,0,0,0,0.8321412266017348
10,11,10,1,0,0,0,0,0,0,0,0,0.7681093394077448
10,11,10,1,0,0,0,0,0,0,0,0,0.7965547965547966
