n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.7373588610702013
8,9,8,1,0,0,0,0,0,0,0,0,0.7477056834648205
8,9,8,1,0,0,0,0,0,0,0,0,0.7660588138656153
8,9,8,1,0,0,0,0,0,0,0,0,0.7530765542592297
8,9,7,2,1,0,0,0,0,0,0,0,0.721419185282523
8,9,8,1,0,0,0,0,0,0,0,0,0.7508610792192881
9,10,8,2,1,0,0,0,0,0,0,0,0.7163166397415186
9,10,7,3,2,0,0,0,0,0,0,0,0.6915640106034617
11,10,7,3,4,0,0,0,0,0,0,0,0.709742895805142
10,10,5,5,5,0,0,0,0,0,0,0,0.5597402597402598
10,10,6,4,4,0,0,0,0,0,0,0,0.63322528363047
11,10,6,4,5,0,0,0,0,0,0,0,0.6417810512219618
12,12,7,5,5,0,0,0,0,0,0,0,0.6529448041936479
12,12,9,3,3,0,0,0,0,0,0,0,0.6880418535127055
10,12,8,4,2,0,0,0,0,0,0,0,0.6678410372040586
12,12,10,2,2,0,0,0,0,0,0,0,0.6956020002564431
12,12,10,2,2,0,0,0,0,0,0,0,0.7259184446408282
12,12,11,1,1,0,0,0,0,0,0,0,0.7055428640134664
12,12,11,1,1,0,0,0,0,0,0,0,0.7232935803095661
12,13,8,5,4,0,0,0,0,0,0,0,0.6785027560569158
12,13,11,2,1,0,0,0,0,0,0,0,0.7023049876285975
12,13,10,3,2,0,0,0,0,0,0,0,0.7380826968659469
11,13,10,3,1,0,0,0,0,0,0,0,0.707341518416437
13,12,12,0,1,0,0,0,0,0,0,0,0.712628236443576
12,12,9,3,3,0,0,0,0,0,0,0,0.6665859564164649
14,13,9,3,2,0,2,0,0,0,1,0,0.7000604229607251
12,13,12,1,0,0,0,0,0,0,0,0,0.7275274056029233
12,13,10,3,2,0,0,0,0,0,0,0,0.7068324573772593
13,13,8,5,5,0,0,0,0,0,0,0,0.6502711565140623
11,13,10,3,1,0,0,0,0,0,0,0,0.6302194860813705
6,6,6,0,0,0,0,0,0,0,0,0,0.7801111797405806
6,6,6,0,0,0,0,0,0,0,0,0,0.8008752735229759
6,6,6,0,0,0,0,0,0,0,0,0,0.8155430711610487
6,6,6,0,0,0,0,0,0,0,0,0,0.7559899117276166
6,6,5,1,1,0,0,0,0,0,0,0,0.7617675312199808
5,6,5,1,0,0,0,0,0,0,0,0,0.7657375508925776
5,6,5,1,0,0,0,0,0,0,0,0,0.7774584929757343
5,6,5,1,0,0,0,0,0,0,0,0,0.7392446633825944
5,6,5,1,0,0,0,0,0,0,0,0,0.729124916499666
5,6,4,2,1,0,0,0,0,0,0,0,0.709592641261498
7,6,3,2,2,0,1,0,0,0,1,0,0.7378483473752431
6,6,6,0,0,0,0,0,0,0,0,0,0.792
6,6,5,1,1,0,0,0,0,0,0,0,0.7449379490529066
6,7,5,2,1,0,0,0,0,0,0,0,0.7704654895666132
6,6,5,1,1,0,0,0,0,0,0,0,0.6778675282714055
6,7,6,1,0,0,0,0,0,0,0,0,0.7632882139319908
4,7,4,3,0,0,0,0,0,0,0,0,0.7168258149489628
6,7,6,1,0,0,0,0,0,0,0,0,0.730583985550873
5,7,5,2,0,0,0,0,0,0,0,0,0.7105103280680437
6,7,5,2,1,0,0,0,0,0,0,0,0.6874251497005988
6,7,6,1,0,0,0,0,0,0,0,0,0.7512379842703175
6,7,5,2,1,0,0,0,0,0,0,0,0.7583333333333333
6,7,6,1,0,0,0,0,0,0,0,0,0.7415666094911378
5,7,5,2,0,0,0,0,0,0,0,0,0.7328687572590011
7,7,6,1,1,0,0,0,0,0,0,0,0.7343008651967625
6,7,6,1,0,0,0,0,0,0,0,0,0.7611336032388664
5,7,5,2,0,0,0,0,0,0,0,0,0.7258338044092708
7,7,6,1,1,0,0,0,0,0,0,0,0.7771709448388858
6,7,5,2,1,0,0,0,0,0,0,0,0.7323943661971831
6,6,5,1,1,0,0,0,0,0,0,0,0.7298969072164948
8,9,8,1,0,0,0,0,0,0,0,0,0.7498414711477489
8,9,8,1,0,0,0,0,0,0,0,0,0.7501577287066246
8,9,8,1,0,0,0,0,0,0,0,0,0.7660818713450293
8,9,8,1,0,0,0,0,0,0,0,0,0.7485192892588443
8,9,8,1,0,0,0,0,0,0,0,0,0.7552535945647022
8,9,8,1,0,0,0,0,0,0,0,0,0.7550987634494941
8,9,8,1,0,0,0,0,0,0,0,0,0.7763221737020863
8,9,8,1,0,0,0,0,0,0,0,0,0.7561015294500488
8,9,8,1,0,0,0,0,0,0,0,0,0.7295710324580004
8,9,8,1,0,0,0,0,0,0,0,0,0.7490950970714051
8,9,8,1,0,0,0,0,0,0,0,0,0.7750567628932857
8,9,8,1,0,0,0,0,0,0,0,0,0.7681862269641125
7,9,7,2,0,0,0,0,0,0,0,0,0.7349436392914653
8,9,7,2,1,0,0,0,0,0,0,0,0.7375158027812895
9,9,7,2,2,0,0,0,0,0,0,0,0.7395261258434018
8,9,8,1,0,0,0,0,0,0,0,0,0.7478468899521531
8,10,8,2,0,0,0,0,0,0,0,0,0.7596107055961071
8,10,8,2,0,0,0,0,0,0,0,0,0.7591830272324256
10,10,9,1,1,0,0,0,0,0,0,0,0.7531215425952268
9,10,9,1,0,0,0,0,0,0,0,0,0.7267299448867116
10,11,9,2,1,0,0,0,0,0,0,0,0.7676997872986934
10,11,9,2,1,0,0,0,0,0,0,0,0.7434415295686972
9,11,9,2,0,0,0,0,0,0,0,0,0.7422951835217594
9,11,9,2,0,0,0,0,0,0,0,0,0.7459950708564387
9,11,6,5,3,0,0,0,0,0,0,0,0.7219669117647058
10,11,10,1,0,0,0,0,0,0,0,0,0.7812547241118669
9,11,9,2,0,0,0,0,0,0,0,0,0.7183229813664597
10,11,9,2,1,0,0,0,0,0,0,0,0.7457680250783699
10,11,9,2,1,0,0,0,0,0,0,0,0.763291724456773
11,11,9,2,2,0,0,0,0,0,0,0,0.7470064476512128
12,12,9,2,1,0,1,0,0,0,1,0,0.7064393939393939
12,12,9,2,1,0,1,0,0,0,1,0,0.7167651867689598
12,12,8,3,2,0,1,0,0,0,1,0,0.6966860612193271
11,13,9,4,2,0,0,0,0,0,0,0,0.7094005981016773
12,14,10,4,2,0,0,0,0,0,0,0,0.6911892630794084
12,13,10,3,2,0,0,0,0,0,0,0,0.7050647820965842
12,14,12,2,0,0,0,0,0,0,0,0,0.7062678741658722
12,14,11,3,1,0,0,0,0,0,0,0,0.6874632136550912
12,15,11,4,1,0,0,0,0,0,0,0,0.6845980287376796
15,16,11,4,2,0,1,0,0,0,1,0,0.7073681759981376
12,16,12,4,0,0,0,0,0,0,0,0,0.7120353581142339
13,16,11,5,2,0,0,0,0,0,0,0,0.6881997313031796
15,16,9,5,2,0,2,0,0,0,2,0,0.7029562561361405
12,16,10,6,2,0,0,0,0,0,0,0,0.7030316691085315
13,16,12,4,1,0,0,0,0,0,0,0,0.7148926397979102
15,16,9,5,2,0,2,0,0,0,2,0,0.6828623937514358
13,16,11,5,2,0,0,0,0,0,0,0,0.670487106017192
13,16,10,6,3,0,0,0,0,0,0,0,0.7034280559314389
13,16,11,5,2,0,0,0,0,0,0,0,0.6621284320399364
13,15,12,3,1,0,0,0,0,0,0,0,0.714911269877852
13,15,11,4,2,0,0,0,0,0,0,0,0.6743443557582668
12,15,12,3,0,0,0,0,0,0,0,0,0.6664389021751509
12,15,10,5,2,0,0,0,0,0,0,0,0.6420532843362425
13,15,10,5,3,0,0,0,0,0,0,0,0.6521339008397561
15,15,10,4,2,0,2,0,0,0,1,0,0.6869989543394911
12,15,10,5,2,0,0,0,0,0,0,0,0.6531526486728637
12,15,11,4,1,0,0,0,0,0,0,0,0.6807440336920917
13,13,11,2,2,0,0,0,0,0,0,0,0.7071030475512866
13,13,11,2,2,0,0,0,0,0,0,0,0.7011480648597467
14,14,8,5,4,0,1,0,0,0,1,0,0.6465004574565416
6,6,3,3,3,0,0,0,0,0,0,0,0.6581740976645435
6,6,4,2,2,0,0,0,0,0,0,0,0.6718242597898758
6,6,6,0,0,0,0,0,0,0,0,0,0.6800161812297735
6,6,6,0,0,0,0,0,0,0,0,0,0.6791505791505792
6,6,3,3,3,0,0,0,0,0,0,0,0.6486224291812185
6,6,6,0,0,0,0,0,0,0,0,0,0.6939655172413793
6,6,6,0,0,0,0,0,0,0,0,0,0.7183098591549296
6,7,6,1,0,0,0,0,0,0,0,0,0.6686980609418283
6,7,5,2,1,0,0,0,0,0,0,0,0.6795761078998073
6,7,4,3,2,0,0,0,0,0,0,0,0.6372209391839877
6,7,5,2,1,0,0,0,0,0,0,0,0.6707475421999629
6,7,4,3,2,0,0,0,0,0,0,0,0.6595355640884988
6,7,5,2,1,0,0,0,0,0,0,0,0.6745539906103286
6,7,5,2,1,0,0,0,0,0,0,0,0.6989834337349398
6,7,6,1,0,0,0,0,0,0,0,0,0.6941399662731872
6,7,6,1,0,0,0,0,0,0,0,0,0.727386150966937
6,7,6,1,0,0,0,0,0,0,0,0,0.8051140290255702
6,7,5,2,1,0,0,0,0,0,0,0,0.7503539405379896
6,7,6,1,0,0,0,0,0,0,0,0,0.80322045938906
7,8,7,1,0,0,0,0,0,0,0,0,0.7758780036968577
7,8,7,1,0,0,0,0,0,0,0,0,0.7763961112367171
7,8,7,1,0,0,0,0,0,0,0,0,0.7987707716822218
7,8,7,1,0,0,0,0,0,0,0,0,0.779107725788901
7,8,7,1,0,0,0,0,0,0,0,0,0.7994422994422995
6,8,5,3,1,0,0,0,0,0,0,0,0.7104551599819738
7,8,7,1,0,0,0,0,0,0,0,0,0.8051588147516521
6,8,6,2,0,0,0,0,0,0,0,0,0.7521872265966754
6,8,6,2,0,0,0,0,0,0,0,0,0.7486045513095749
6,8,6,2,0,0,0,0,0,0,0,0,0.7298177083333334
6,8,5,3,1,0,0,0,0,0,0,0,0.7262458471760798
5,6,5,1,0,0,0,0,0,0,0,0,0.7000340483486551
5,6,5,1,0,0,0,0,0,0,0,0,0.701508242721852
5,6,5,1,0,0,0,0,0,0,0,0,0.7191637630662021
5,6,5,1,0,0,0,0,0,0,0,0,0.7085461355124276
5,6,5,1,0,0,0,0,0,0,0,0,0.7015861305791221
5,6,5,1,0,0,0,0,0,0,0,0,0.7314848595403137
5,6,4,2,1,0,0,0,0,0,0,0,0.6909500563274502
5,6,5,1,0,0,0,0,0,0,0,0,0.6590509666080844
5,6,5,1,0,0,0,0,0,0,0,0,0.6513541309564621
6,6,5,1,1,0,0,0,0,0,0,0,0.6936717663421419
6,6,6,0,0,0,0,0,0,0,0,0,0.6962962962962963
6,6,5,1,1,0,0,0,0,0,0,0,0.7046460176991151
6,6,6,0,0,0,0,0,0,0,0,0,0.7240558012929568
6,6,5,1,1,0,0,0,0,0,0,0,0.7253731343283583
6,6,4,2,2,0,0,0,0,0,0,0,0.5927449513836949
5,6,4,2,1,0,0,0,0,0,0,0,0.6551456310679612
5,6,4,2,1,0,0,0,0,0,0,0,0.630901287553648
8,8,5,2,1,0,1,0,0,0,1,0,0.6236488699639698
6,8,5,3,1,0,0,0,0,0,0,0,0.6337109509097151
8,8,7,1,1,0,0,0,0,0,0,0,0.7133333333333334
7,8,7,1,0,0,0,0,0,0,0,0,0.7349282296650718
7,8,7,1,0,0,0,0,0,0,0,0,0.7522639068564037
8,8,8,0,0,0,0,0,0,0,0,0,0.7536674816625917
7,8,7,1,0,0,0,0,0,0,0,0,0.7320954907161804
7,8,7,1,0,0,0,0,0,0,0,0,0.6857762627827704
7,8,7,1,0,0,0,0,0,0,0,0,0.7404696553827387
7,8,7,1,0,0,0,0,0,0,0,0,0.7599237853286758
7,8,6,2,1,0,0,0,0,0,0,0,0.74286651361102
