n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.7930133855697029
8,9,8,1,0,0,0,0,0,0,0,0,0.7981051943809213
8,9,8,1,0,0,0,0,0,0,0,0,0.7987493829192036
8,9,7,2,1,0,0,0,0,0,0,0,0.785691523263225
8,9,8,1,0,0,0,0,0,0,0,0,0.7588263743349992
8,9,8,1,0,0,0,0,0,0,0,0,0.7806715806715807
8,10,8,2,0,0,0,0,0,0,0,0,0.8008678881388621
10,10,8,2,2,0,0,0,0,0,0,0,0.7317149081854964
10,10,7,3,3,0,0,0,0,0,0,0,0.7375475757074301
10,10,6,4,4,0,0,0,0,0,0,0,0.6591507570770243
10,10,8,2,2,0,0,0,0,0,0,0,0.6860050890585242
11,10,8,2,3,0,0,0,0,0,0,0,0.6772901718671783
13,12,8,4,5,0,0,0,0,0,0,0,0.7021143304620203
12,12,9,3,3,0,0,0,0,0,0,0,0.743754674644727
11,12,9,3,2,0,0,0,0,0,0,0,0.7237177670728252
12,12,11,1,1,0,0,0,0,0,0,0,0.7585534018472746
12,12,11,1,1,0,0,0,0,0,0,0,0.7777635782747604
12,12,11,1,1,0,0,0,0,0,0,0,0.7494153846153846
12,12,11,1,1,0,0,0,0,0,0,0,0.7615749647300244
12,13,10,3,2,0,0,0,0,0,0,0,0.7282902354303358
12,13,10,3,2,0,0,0,0,0,0,0,0.7469784550709406
11,13,10,3,1,0,0,0,0,0,0,0,0.7429968287526427
12,13,10,3,2,0,0,0,0,0,0,0,0.7455963764469049
12,12,11,1,1,0,0,0,0,0,0,0,0.7468838701715415
11,12,11,1,0,0,0,0,0,0,0,0,0.7693461682710339
11,13,11,2,0,0,0,0,0,0,0,0,0.7507433102081269
12,13,11,2,1,0,0,0,0,0,0,0,0.7503336164017954
12,13,10,3,2,0,0,0,0,0,0,0,0.7250980888495128
12,13,10,3,2,0,0,0,0,0,0,0,0.7319641916798315
11,13,10,3,1,0,0,0,0,0,0,0,0.6975250836120401
6,6,6,0,0,0,0,0,0,0,0,0,0.7877753645671735
6,6,6,0,0,0,0,0,0,0,0,0,0.8058952649733458
6,6,6,0,0,0,0,0,0,0,0,0,0.8215845290081097
6,6,6,0,0,0,0,0,0,0,0,0,0.810459587955626
6,6,6,0,0,0,0,0,0,0,0,0,0.8185315806348189
5,6,5,1,0,0,0,0,0,0,0,0,0.7494407158836689
5,6,4,2,1,0,0,0,0,0,0,0,0.7946226109491416
5,6,5,1,0,0,0,0,0,0,0,0,0.8030900723208415
5,6,5,1,0,0,0,0,0,0,0,0,0.7991281019450034
5,6,5,1,0,0,0,0,0,0,0,0,0.7790274561693682
6,6,4,2,2,0,0,0,0,0,0,0,0.7384868421052632
6,6,6,0,0,0,0,0,0,0,0,0,0.8078058379796654
6,6,6,0,0,0,0,0,0,0,0,0,0.816156914893617
5,7,5,2,0,0,0,0,0,0,0,0,0.7811688311688312
5,6,5,1,0,0,0,0,0,0,0,0,0.7713266299059358
5,7,5,2,0,0,0,0,0,0,0,0,0.7774807885065153
4,7,4,3,0,0,0,0,0,0,0,0,0.7584830339321357
6,7,5,2,1,0,0,0,0,0,0,0,0.7744014732965009
6,7,6,1,0,0,0,0,0,0,0,0,0.7785317705120296
6,7,5,2,1,0,0,0,0,0,0,0,0.7686703096539163
7,7,6,1,1,0,0,0,0,0,0,0,0.7816820276497696
6,7,5,2,1,0,0,0,0,0,0,0,0.7743884892086331
6,7,6,1,0,0,0,0,0,0,0,0,0.7819118488838008
7,7,6,1,1,0,0,0,0,0,0,0,0.7929061784897025
7,7,6,1,1,0,0,0,0,0,0,0,0.7845677274007322
7,7,6,1,1,0,0,0,0,0,0,0,0.766743648960739
5,7,5,2,0,0,0,0,0,0,0,0,0.7552467385138968
7,7,6,1,1,0,0,0,0,0,0,0,0.7863836824696803
5,7,4,3,1,0,0,0,0,0,0,0,0.7495041088126948
6,6,5,1,1,0,0,0,0,0,0,0,0.8051221666176037
8,9,8,1,0,0,0,0,0,0,0,0,0.777180783817952
8,9,8,1,0,0,0,0,0,0,0,0,0.7995587771824771
8,9,8,1,0,0,0,0,0,0,0,0,0.8297164581023285
8,9,8,1,0,0,0,0,0,0,0,0,0.8173015873015873
8,9,8,1,0,0,0,0,0,0,0,0,0.8130544993662865
8,9,8,1,0,0,0,0,0,0,0,0,0.795729764181007
8,9,8,1,0,0,0,0,0,0,0,0,0.8164352599289635
8,9,8,1,0,0,0,0,0,0,0,0,0.8015417418402493
9,9,9,0,0,0,0,0,0,0,0,0,0.8129273852165418
8,9,8,1,0,0,0,0,0,0,0,0,0.8151260504201681
8,9,8,1,0,0,0,0,0,0,0,0,0.7841038118410382
8,9,8,1,0,0,0,0,0,0,0,0,0.8023423712497995
8,9,8,1,0,0,0,0,0,0,0,0,0.8237836107554417
8,9,8,1,0,0,0,0,0,0,0,0,0.8130311614730878
9,9,8,1,1,0,0,0,0,0,0,0,0.8439360701974302
8,9,8,1,0,0,0,0,0,0,0,0,0.78514631043257
8,10,8,2,0,0,0,0,0,0,0,0,0.8009685230024213
8,10,8,2,0,0,0,0,0,0,0,0,0.8023477157360406
10,10,9,1,1,0,0,0,0,0,0,0,0.8292184305708444
10,10,10,0,0,0,0,0,0,0,0,0,0.8311727924355651
10,11,9,2,1,0,0,0,0,0,0,0,0.7768102658111824
9,11,9,2,0,0,0,0,0,0,0,0,0.7696085727042715
9,11,9,2,0,0,0,0,0,0,0,0,0.8177034973692355
8,11,8,3,0,0,0,0,0,0,0,0,0.8073211824169092
9,11,8,3,1,0,0,0,0,0,0,0,0.7990165949600492
9,11,9,2,0,0,0,0,0,0,0,0,0.7889331698344574
10,11,9,2,1,0,0,0,0,0,0,0,0.7998146431881371
9,11,9,2,0,0,0,0,0,0,0,0,0.7912537360390122
10,11,9,2,1,0,0,0,0,0,0,0,0.8221028396009209
10,11,9,2,1,0,0,0,0,0,0,0,0.7867669634633098
11,12,9,3,2,0,0,0,0,0,0,0,0.6852329846488249
12,12,9,2,1,0,1,0,0,0,1,0,0.7190982776089159
10,12,8,4,2,0,0,0,0,0,0,0,0.7097672064777328
10,13,9,4,1,0,0,0,0,0,0,0,0.6847162706142059
11,14,11,3,0,0,0,0,0,0,0,0,0.7226984718598584
12,13,10,3,2,0,0,0,0,0,0,0,0.7208999407933688
12,14,12,2,0,0,0,0,0,0,0,0,0.7444312796208531
12,14,12,2,0,0,0,0,0,0,0,0,0.7568296400515887
12,15,12,3,0,0,0,0,0,0,0,0,0.7374777975133215
15,16,9,4,1,0,1,2,3,0,1,1,0.7397149148221115
12,16,12,4,0,0,0,0,0,0,0,0,0.7034090909090909
15,16,11,4,1,0,2,0,0,0,1,0,0.7661028340988014
16,16,9,4,1,0,3,0,0,0,3,0,0.7424292117634197
12,16,12,4,0,0,0,0,0,0,0,0,0.7296413264155199
14,16,10,4,0,0,2,0,0,0,2,0,0.7339070567986231
13,16,12,4,1,0,0,0,0,0,0,0,0.7287727741491922
13,16,12,4,1,0,0,0,0,0,0,0,0.742765641084296
12,16,12,4,0,0,0,0,0,0,0,0,0.7079033904070756
13,16,13,3,0,0,0,0,0,0,0,0,0.7225184344866704
12,15,12,3,0,0,0,0,0,0,0,0,0.7528688999652254
14,15,12,3,2,0,0,0,0,0,0,0,0.7271482369051695
12,15,11,4,1,0,0,0,0,0,0,0,0.7014331210191083
12,15,12,3,0,0,0,0,0,0,0,0,0.7058891189325972
13,15,11,3,0,0,1,0,0,0,1,0,0.7160607455131155
13,15,12,3,1,0,0,0,0,0,0,0,0.7286940166921358
12,15,9,6,3,0,0,0,0,0,0,0,0.6779699079272401
12,15,10,5,2,0,0,0,0,0,0,0,0.7028765201122544
13,13,11,2,2,0,0,0,0,0,0,0,0.7374659239066019
12,13,12,1,0,0,0,0,0,0,0,0,0.7404390934844193
13,14,12,2,1,0,0,0,0,0,0,0,0.7157738095238095
6,6,6,0,0,0,0,0,0,0,0,0,0.7241313111921674
6,6,6,0,0,0,0,0,0,0,0,0,0.7166445245777188
6,6,6,0,0,0,0,0,0,0,0,0,0.755159286716089
6,6,6,0,0,0,0,0,0,0,0,0,0.7496138996138996
6,6,6,0,0,0,0,0,0,0,0,0,0.7200850570268703
6,6,6,0,0,0,0,0,0,0,0,0,0.7293452844894778
6,6,6,0,0,0,0,0,0,0,0,0,0.7392561187126614
6,7,6,1,0,0,0,0,0,0,0,0,0.712082262210797
5,7,5,2,0,0,0,0,0,0,0,0,0.7046502690238279
5,7,4,3,1,0,0,0,0,0,0,0,0.6893649579188983
6,7,6,1,0,0,0,0,0,0,0,0,0.6918227331726312
6,7,5,2,1,0,0,0,0,0,0,0,0.6873285792649478
6,7,5,2,1,0,0,0,0,0,0,0,0.7320655243833553
5,7,5,2,0,0,0,0,0,0,0,0,0.6781825009387908
6,7,6,1,0,0,0,0,0,0,0,0,0.7715245695086098
6,7,6,1,0,0,0,0,0,0,0,0,0.7760318457992876
6,7,6,1,0,0,0,0,0,0,0,0,0.8044783010156972
6,7,5,2,1,0,0,0,0,0,0,0,0.7624220013866421
6,7,6,1,0,0,0,0,0,0,0,0,0.7939093484419264
6,8,6,2,0,0,0,0,0,0,0,0,0.7244057425276536
7,8,7,1,0,0,0,0,0,0,0,0,0.7970297029702971
7,8,7,1,0,0,0,0,0,0,0,0,0.8243522127952304
7,8,7,1,0,0,0,0,0,0,0,0,0.7939819898967714
7,8,7,1,0,0,0,0,0,0,0,0,0.8094821935765786
7,8,7,1,0,0,0,0,0,0,0,0,0.8269358775238518
7,8,7,1,0,0,0,0,0,0,0,0,0.8141176470588235
6,8,6,2,0,0,0,0,0,0,0,0,0.7826851241485387
6,8,6,2,0,0,0,0,0,0,0,0,0.7949105024800518
5,8,5,3,0,0,0,0,0,0,0,0,0.7290533188248096
6,8,6,2,0,0,0,0,0,0,0,0,0.7927887825506343
5,6,5,1,0,0,0,0,0,0,0,0,0.7500851208716377
5,6,5,1,0,0,0,0,0,0,0,0,0.7936507936507936
5,6,5,1,0,0,0,0,0,0,0,0,0.7989565217391305
5,6,5,1,0,0,0,0,0,0,0,0,0.7280434045439131
5,6,5,1,0,0,0,0,0,0,0,0,0.782608695652174
5,6,5,1,0,0,0,0,0,0,0,0,0.7803339517625232
5,6,5,1,0,0,0,0,0,0,0,0,0.7935849056603773
5,6,5,1,0,0,0,0,0,0,0,0,0.7616654702081838
5,6,4,2,1,0,0,0,0,0,0,0,0.7338103756708408
5,6,5,1,0,0,0,0,0,0,0,0,0.6964410327983251
6,6,6,0,0,0,0,0,0,0,0,0,0.7274640477025605
6,6,5,1,1,0,0,0,0,0,0,0,0.7952380952380952
6,6,6,0,0,0,0,0,0,0,0,0,0.7854166666666667
6,6,5,1,1,0,0,0,0,0,0,0,0.804755525787006
5,6,4,2,1,0,0,0,0,0,0,0,0.6010459469555473
5,6,4,2,1,0,0,0,0,0,0,0,0.6787420382165605
6,6,4,2,2,0,0,0,0,0,0,0,0.670531787285086
7,8,4,4,3,0,0,0,0,0,0,0,0.6867592279038266
6,8,5,3,1,0,0,0,0,0,0,0,0.6339285714285714
8,8,7,1,1,0,0,0,0,0,0,0,0.745111037454425
7,8,7,1,0,0,0,0,0,0,0,0,0.742590206185567
7,8,7,1,0,0,0,0,0,0,0,0,0.7837216934689859
7,8,7,1,0,0,0,0,0,0,0,0,0.7520943220601923
