n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8659878469370997
8,9,8,1,0,0,0,0,0,0,0,0,0.8760289759631215
8,9,8,1,0,0,0,0,0,0,0,0,0.8712481548302444
9,9,9,0,0,0,0,0,0,0,0,0,0.8880488981824031
9,9,9,0,0,0,0,0,0,0,0,0,0.9012649909643503
9,9,9,0,0,0,0,0,0,0,0,0,0.8937276568085798
8,10,8,2,0,0,0,0,0,0,0,0,0.8644394474783167
9,10,8,2,1,0,0,0,0,0,0,0,0.7965116279069767
9,10,8,2,1,0,0,0,0,0,0,0,0.7918043621943159
10,10,7,3,3,0,0,0,0,0,0,0,0.6952796385729865
10,10,7,3,3,0,0,0,0,0,0,0,0.7070343098856338
10,10,7,3,3,0,0,0,0,0,0,0,0.7330440372870459
12,12,7,5,5,0,0,0,0,0,0,0,0.7233664246555045
12,12,8,4,4,0,0,0,0,0,0,0,0.7798283261802575
11,12,10,2,1,0,0,0,0,0,0,0,0.8267849598648078
12,12,11,1,1,0,0,0,0,0,0,0,0.8203801888012414
12,12,11,1,1,0,0,0,0,0,0,0,0.8263397371081901
12,12,11,1,1,0,0,0,0,0,0,0,0.8352868599629858
12,12,11,1,1,0,0,0,0,0,0,0,0.8363613263880066
12,13,11,2,1,0,0,0,0,0,0,0,0.853880093433688
11,13,11,2,0,0,0,0,0,0,0,0,0.8496438934318122
12,13,11,2,1,0,0,0,0,0,0,0,0.8478576137112722
13,13,11,2,2,0,0,0,0,0,0,0,0.8360614135262022
13,12,12,0,1,0,0,0,0,0,0,0,0.8363098903805888
11,12,11,1,0,0,0,0,0,0,0,0,0.8485114935309634
11,13,11,2,0,0,0,0,0,0,0,0,0.8606211180124224
11,13,11,2,0,0,0,0,0,0,0,0,0.8434062538623162
12,13,10,3,2,0,0,0,0,0,0,0,0.802128750961785
12,13,10,3,2,0,0,0,0,0,0,0,0.7903349526975199
11,13,10,3,1,0,0,0,0,0,0,0,0.7987285269849858
6,6,6,0,0,0,0,0,0,0,0,0,0.8781756963575146
6,6,6,0,0,0,0,0,0,0,0,0,0.877563704164077
6,6,6,0,0,0,0,0,0,0,0,0,0.8906009244992296
6,6,6,0,0,0,0,0,0,0,0,0,0.8854460093896713
6,6,6,0,0,0,0,0,0,0,0,0,0.86926461345066
6,6,6,0,0,0,0,0,0,0,0,0,0.8881948782011243
6,6,6,0,0,0,0,0,0,0,0,0,0.8921506062539886
5,6,5,1,0,0,0,0,0,0,0,0,0.8657243816254417
5,6,5,1,0,0,0,0,0,0,0,0,0.8685166831846713
5,6,5,1,0,0,0,0,0,0,0,0,0.8719632304661852
6,6,4,2,2,0,0,0,0,0,0,0,0.8742075408742075
6,6,5,1,1,0,0,0,0,0,0,0,0.8641497257179735
6,6,6,0,0,0,0,0,0,0,0,0,0.8777705345501956
6,7,6,1,0,0,0,0,0,0,0,0,0.8503144654088051
5,6,5,1,0,0,0,0,0,0,0,0,0.8293688550586743
6,7,6,1,0,0,0,0,0,0,0,0,0.8658732711482792
4,7,4,3,0,0,0,0,0,0,0,0,0.8174655285620486
5,7,5,2,0,0,0,0,0,0,0,0,0.8144454517981263
6,7,6,1,0,0,0,0,0,0,0,0,0.8456901748040988
7,7,6,1,1,0,0,0,0,0,0,0,0.8586466165413534
7,7,6,1,1,0,0,0,0,0,0,0,0.8715034965034965
7,7,7,0,0,0,0,0,0,0,0,0,0.8724018475750578
6,7,6,1,0,0,0,0,0,0,0,0,0.8582111015243026
6,7,6,1,0,0,0,0,0,0,0,0,0.8684820393974507
7,7,7,0,0,0,0,0,0,0,0,0,0.8778561354019746
6,7,6,1,0,0,0,0,0,0,0,0,0.8772952491984845
5,7,5,2,0,0,0,0,0,0,0,0,0.8257142857142857
7,7,7,0,0,0,0,0,0,0,0,0,0.8700027196083764
6,7,5,2,1,0,0,0,0,0,0,0,0.8454802259887005
6,6,5,1,1,0,0,0,0,0,0,0,0.8700117370892019
8,9,8,1,0,0,0,0,0,0,0,0,0.8853001417992753
8,9,8,1,0,0,0,0,0,0,0,0,0.8734433374844334
8,9,8,1,0,0,0,0,0,0,0,0,0.8821131838846215
8,9,8,1,0,0,0,0,0,0,0,0,0.8948368704466265
8,9,8,1,0,0,0,0,0,0,0,0,0.898470755163172
8,9,8,1,0,0,0,0,0,0,0,0,0.8733997155049786
9,9,9,0,0,0,0,0,0,0,0,0,0.8968809675366008
9,9,9,0,0,0,0,0,0,0,0,0,0.8788860103626943
