n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8647686832740213
8,9,8,1,0,0,0,0,0,0,0,0,0.8696501220504476
8,9,8,1,0,0,0,0,0,0,0,0,0.8795931758530183
9,9,9,0,0,0,0,0,0,0,0,0,0.8904922238255571
9,9,9,0,0,0,0,0,0,0,0,0,0.9022923101934645
9,9,9,0,0,0,0,0,0,0,0,0,0.8846832397754611
8,10,8,2,0,0,0,0,0,0,0,0,0.8741945876288659
10,10,8,2,2,0,0,0,0,0,0,0,0.8077810241427034
9,10,8,2,1,0,0,0,0,0,0,0,0.7871367939928176
10,10,7,3,3,0,0,0,0,0,0,0,0.709717672749961
10,10,7,3,3,0,0,0,0,0,0,0,0.7263207252266333
10,10,7,3,3,0,0,0,0,0,0,0,0.7267794446217682
11,12,7,5,4,0,0,0,0,0,0,0,0.7284817692767483
12,12,8,4,4,0,0,0,0,0,0,0,0.7904080171796707
11,12,10,2,1,0,0,0,0,0,0,0,0.8316776269763537
12,12,11,1,1,0,0,0,0,0,0,0,0.8450136523208945
12,12,11,1,1,0,0,0,0,0,0,0,0.8451148699823277
12,12,11,1,1,0,0,0,0,0,0,0,0.8345252774352651
12,12,11,1,1,0,0,0,0,0,0,0,0.8422676436559969
12,13,11,2,1,0,0,0,0,0,0,0,0.8606037051431532
11,13,11,2,0,0,0,0,0,0,0,0,0.8474732814355456
12,13,11,2,1,0,0,0,0,0,0,0,0.8417855256207079
13,13,12,1,1,0,0,0,0,0,0,0,0.8479909021986354
13,12,11,1,2,0,0,0,0,0,0,0,0.8328391401037806
12,12,11,1,1,0,0,0,0,0,0,0,0.8483687592684133
12,13,11,2,1,0,0,0,0,0,0,0,0.8636363636363636
13,13,12,1,1,0,0,0,0,0,0,0,0.8659491193737769
12,13,10,3,2,0,0,0,0,0,0,0,0.8097498396407954
12,13,10,3,2,0,0,0,0,0,0,0,0.7944126984126985
11,13,10,3,1,0,0,0,0,0,0,0,0.7801683816651076
6,6,6,0,0,0,0,0,0,0,0,0,0.8712692191739524
6,6,6,0,0,0,0,0,0,0,0,0,0.8582983822648292
6,6,6,0,0,0,0,0,0,0,0,0,0.8793468400362867
6,6,6,0,0,0,0,0,0,0,0,0,0.8857765328353564
6,6,6,0,0,0,0,0,0,0,0,0,0.8716279069767442
6,6,6,0,0,0,0,0,0,0,0,0,0.8649892605093586
5,6,5,1,0,0,0,0,0,0,0,0,0.845548914753067
5,6,5,1,0,0,0,0,0,0,0,0,0.8581583198707593
5,6,5,1,0,0,0,0,0,0,0,0,0.8543911198171728
4,6,4,2,0,0,0,0,0,0,0,0,0.8362380795790858
5,6,4,2,1,0,0,0,0,0,0,0,0.846384538487171
6,6,6,0,0,0,0,0,0,0,0,0,0.8624961288324559
6,6,5,1,1,0,0,0,0,0,0,0,0.8107936507936508
6,7,6,1,0,0,0,0,0,0,0,0,0.8616588419405321
5,6,5,1,0,0,0,0,0,0,0,0,0.8506473002841806
5,7,5,2,0,0,0,0,0,0,0,0,0.8321050945209869
4,7,4,3,0,0,0,0,0,0,0,0,0.8343098958333334
5,7,5,2,0,0,0,0,0,0,0,0,0.806509405792774
5,7,5,2,0,0,0,0,0,0,0,0,0.8133813381338134
6,7,6,1,0,0,0,0,0,0,0,0,0.8439547349612865
6,7,6,1,0,0,0,0,0,0,0,0,0.8445655291081159
6,7,5,2,1,0,0,0,0,0,0,0,0.8292198581560284
6,7,6,1,0,0,0,0,0,0,0,0,0.8577929465301479
6,7,6,1,0,0,0,0,0,0,0,0,0.863118952760387
7,7,6,1,1,0,0,0,0,0,0,0,0.8593491450634307
7,7,6,1,1,0,0,0,0,0,0,0,0.8709312199264082
7,7,6,1,1,0,0,0,0,0,0,0,0.8812989921612542
7,7,7,0,0,0,0,0,0,0,0,0,0.8668470906630582
6,7,5,2,1,0,0,0,0,0,0,0,0.8485355648535565
5,6,5,1,0,0,0,0,0,0,0,0,0.8292825768667643
8,9,8,1,0,0,0,0,0,0,0,0,0.8879609202647337
8,9,8,1,0,0,0,0,0,0,0,0,0.8798076923076923
8,9,8,1,0,0,0,0,0,0,0,0,0.8734452736318408
8,9,8,1,0,0,0,0,0,0,0,0,0.8929251269035533
9,9,9,0,0,0,0,0,0,0,0,0,0.9012962673746682
8,9,8,1,0,0,0,0,0,0,0,0,0.8703616721465477
9,9,9,0,0,0,0,0,0,0,0,0,0.8978348035284683
9,9,9,0,0,0,0,0,0,0,0,0,0.8911498708010336
9,9,9,0,0,0,0,0,0,0,0,0,0.8857234314980794
9,9,9,0,0,0,0,0,0,0,0,0,0.8985176738882554
9,9,9,0,0,0,0,0,0,0,0,0,0.9032882011605415
8,9,8,1,0,0,0,0,0,0,0,0,0.8612379902346826
8,9,8,1,0,0,0,0,0,0,0,0,0.8835583796664019
9,9,8,1,1,0,0,0,0,0,0,0,0.8614134600643876
9,9,9,0,0,0,0,0,0,0,0,0,0.8950844854070661
8,9,8,1,0,0,0,0,0,0,0,0,0.8874900398406375
8,10,8,2,0,0,0,0,0,0,0,0,0.8886221795487278
9,10,9,1,0,0,0,0,0,0,0,0,0.8625504188644121
10,10,10,0,0,0,0,0,0,0,0,0,0.9013754298218193
10,10,10,0,0,0,0,0,0,0,0,0,0.8876506024096386
11,11,11,0,0,0,0,0,0,0,0,0,0.8765931923826661
11,11,11,0,0,0,0,0,0,0,0,0,0.8830956625074272
10,11,10,1,0,0,0,0,0,0,0,0,0.8810901339829477
10,11,10,1,0,0,0,0,0,0,0,0,0.8692365835222978
10,11,8,3,2,0,0,0,0,0,0,0,0.8704624190390119
9,11,9,2,0,0,0,0,0,0,0,0,0.8689851596462299
9,11,9,2,0,0,0,0,0,0,0,0,0.8593941248470012
11,11,10,1,1,0,0,0,0,0,0,0,0.8916872682323856
11,11,11,0,0,0,0,0,0,0,0,0,0.8885383806519453
11,11,10,1,1,0,0,0,0,0,0,0,0.855527069823556
11,12,11,1,0,0,0,0,0,0,0,0,0.8214914061442685
11,12,11,1,0,0,0,0,0,0,0,0,0.8324981207717365
11,12,11,1,0,0,0,0,0,0,0,0,0.8324175824175825
13,13,10,2,0,0,2,0,0,0,1,0,0.846419879595235
12,14,12,2,0,0,0,0,0,0,0,0,0.8421052631578947
12,13,12,1,0,0,0,0,0,0,0,0,0.8120450810049308
12,14,12,2,0,0,0,0,0,0,0,0,0.8367612293144208
13,14,12,2,1,0,0,0,0,0,0,0,0.8367727643698263
12,15,12,3,0,0,0,0,0,0,0,0,0.8562587575899112
14,16,11,4,1,0,1,0,0,0,1,0,0.8453283564679809
12,16,12,4,0,0,0,0,0,0,0,0,0.8158991104605338
14,16,12,4,2,0,0,0,0,0,0,0,0.8366237799467613
13,16,13,3,0,0,0,0,0,0,0,0,0.8302404743603822
13,16,12,4,1,0,0,0,0,0,0,0,0.8455221396071468
13,16,12,4,1,0,0,0,0,0,0,0,0.8587647593097184
16,16,11,3,1,0,2,0,0,0,2,0,0.8377423033067275
14,16,13,3,1,0,0,0,0,0,0,0,0.8498532400090314
15,16,13,3,2,0,0,0,0,0,0,0,0.8558498156218572
14,16,14,2,0,0,0,0,0,0,0,0,0.8424742734366165
16,15,14,1,2,0,0,0,0,0,0,0,0.8771162040769319
14,15,14,1,0,0,0,0,0,0,0,0,0.8519524617996604
14,15,13,2,1,0,0,0,0,0,0,0,0.8371040723981901
14,15,13,2,1,0,0,0,0,0,0,0,0.8440565822496008
12,15,12,3,0,0,0,0,0,0,0,0,0.8254241173773499
