n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8576523994811932
8,9,8,1,0,0,0,0,0,0,0,0,0.8608147429679922
8,9,8,1,0,0,0,0,0,0,0,0,0.8528075300227199
8,9,8,1,0,0,0,0,0,0,0,0,0.8347378277153558
8,9,8,1,0,0,0,0,0,0,0,0,0.8146984924623115
8,9,8,1,0,0,0,0,0,0,0,0,0.8716216216216216
9,10,8,2,1,0,0,0,0,0,0,0,0.8352776481567895
10,10,8,2,2,0,0,0,0,0,0,0,0.7723351817621689
9,10,8,2,1,0,0,0,0,0,0,0,0.7580435489112772
10,10,6,4,4,0,0,0,0,0,0,0,0.656855383691245
10,10,7,3,3,0,0,0,0,0,0,0,0.7108641202254227
11,10,7,3,4,0,0,0,0,0,0,0,0.6873377119291278
12,12,7,5,5,0,0,0,0,0,0,0,0.7079568638880793
11,12,8,4,3,0,0,0,0,0,0,0,0.7517944300890037
12,12,10,2,2,0,0,0,0,0,0,0,0.7800984435280032
12,12,11,1,1,0,0,0,0,0,0,0,0.818123310593384
12,12,11,1,1,0,0,0,0,0,0,0,0.8197494107430839
12,12,11,1,1,0,0,0,0,0,0,0,0.8074451315629926
12,12,11,1,1,0,0,0,0,0,0,0,0.8172043010752689
12,13,11,2,1,0,0,0,0,0,0,0,0.8154042011457671
12,13,11,2,1,0,0,0,0,0,0,0,0.8489227196490775
12,13,11,2,1,0,0,0,0,0,0,0,0.8400416829490687
13,13,11,2,2,0,0,0,0,0,0,0,0.8068082991675984
13,12,12,0,1,0,0,0,0,0,0,0,0.821150097465887
11,12,11,1,0,0,0,0,0,0,0,0,0.8093723235042212
12,13,10,3,2,0,0,0,0,0,0,0,0.8415454212006358
12,13,11,2,1,0,0,0,0,0,0,0,0.8288417774583783
12,13,10,3,2,0,0,0,0,0,0,0,0.7749968714804155
13,13,10,3,3,0,0,0,0,0,0,0,0.7511949685534591
11,13,9,4,2,0,0,0,0,0,0,0,0.7469021882414975
6,6,6,0,0,0,0,0,0,0,0,0,0.8549595445010488
6,6,6,0,0,0,0,0,0,0,0,0,0.8374105011933174
6,6,6,0,0,0,0,0,0,0,0,0,0.8515414546542951
6,6,6,0,0,0,0,0,0,0,0,0,0.8371246587807097
6,6,6,0,0,0,0,0,0,0,0,0,0.8248919085855466
6,6,6,0,0,0,0,0,0,0,0,0,0.8719851576994434
5,6,5,1,0,0,0,0,0,0,0,0,0.8158379373848987
5,6,5,1,0,0,0,0,0,0,0,0,0.820528967254408
4,6,4,2,0,0,0,0,0,0,0,0,0.7736389684813754
6,6,5,1,1,0,0,0,0,0,0,0,0.8145839825490807
5,6,4,2,1,0,0,0,0,0,0,0,0.8548821548821549
6,6,5,1,1,0,0,0,0,0,0,0,0.8300186451211933
7,6,6,0,1,0,0,0,0,0,0,0,0.7970039743197799
4,7,4,3,0,0,0,0,0,0,0,0,0.7547760726589414
6,6,6,0,0,0,0,0,0,0,0,0,0.7965895249695494
6,7,6,1,0,0,0,0,0,0,0,0,0.8681818181818182
4,7,4,3,0,0,0,0,0,0,0,0,0.7951499680918953
6,7,6,1,0,0,0,0,0,0,0,0,0.7921925447607866
5,7,5,2,0,0,0,0,0,0,0,0,0.7788207685538281
6,7,6,1,0,0,0,0,0,0,0,0,0.7902805901070292
6,7,6,1,0,0,0,0,0,0,0,0,0.822871883061049
7,7,6,1,1,0,0,0,0,0,0,0,0.8354072398190046
6,7,6,1,0,0,0,0,0,0,0,0,0.8175656594182434
7,7,6,1,1,0,0,0,0,0,0,0,0.8256752993595099
7,7,7,0,0,0,0,0,0,0,0,0,0.8320864505403158
