n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.857965766951942
8,9,8,1,0,0,0,0,0,0,0,0,0.8446396616235562
8,9,8,1,0,0,0,0,0,0,0,0,0.8335768793635331
8,9,8,1,0,0,0,0,0,0,0,0,0.814493211240922
8,9,8,1,0,0,0,0,0,0,0,0,0.8061878807310036
8,9,8,1,0,0,0,0,0,0,0,0,0.8664606376057254
8,10,8,2,0,0,0,0,0,0,0,0,0.8430407871766387
8,10,7,3,1,0,0,0,0,0,0,0,0.7484316185696361
10,10,7,3,3,0,0,0,0,0,0,0,0.7508048937540245
8,10,6,4,2,0,0,0,0,0,0,0,0.6362773029439696
9,10,6,4,3,0,0,0,0,0,0,0,0.697953881130237
10,10,6,4,4,0,0,0,0,0,0,0,0.7169165580182529
11,12,6,6,5,0,0,0,0,0,0,0,0.7123655913978495
12,12,8,4,4,0,0,0,0,0,0,0,0.7641851690610941
11,12,10,2,1,0,0,0,0,0,0,0,0.7848861572845369
12,12,11,1,1,0,0,0,0,0,0,0,0.8235833006151028
12,12,11,1,1,0,0,0,0,0,0,0,0.8120737559989897
12,12,10,2,2,0,0,0,0,0,0,0,0.7943592887798896
12,12,11,1,1,0,0,0,0,0,0,0,0.8247422680412371
12,13,11,2,1,0,0,0,0,0,0,0,0.8038196700012992
11,13,10,3,1,0,0,0,0,0,0,0,0.813763043191124
12,13,11,2,1,0,0,0,0,0,0,0,0.8206485771012575
12,13,10,3,2,0,0,0,0,0,0,0,0.7983352251229663
12,12,11,1,1,0,0,0,0,0,0,0,0.793509228291837
12,12,11,1,1,0,0,0,0,0,0,0,0.7853575344134487
11,13,11,2,0,0,0,0,0,0,0,0,0.8312685827552032
12,13,11,2,1,0,0,0,0,0,0,0,0.8172995268712847
12,13,9,4,3,0,0,0,0,0,0,0,0.7695039959406318
12,13,9,4,3,0,0,0,0,0,0,0,0.7646076794657763
12,13,9,4,3,0,0,0,0,0,0,0,0.7621198034267499
6,6,6,0,0,0,0,0,0,0,0,0,0.8711730827523492
6,6,6,0,0,0,0,0,0,0,0,0,0.8377716559534741
6,6,6,0,0,0,0,0,0,0,0,0,0.8436939629408249
6,6,6,0,0,0,0,0,0,0,0,0,0.8314503816793893
6,6,6,0,0,0,0,0,0,0,0,0,0.8113900796080833
6,6,6,0,0,0,0,0,0,0,0,0,0.8717391304347826
6,6,6,0,0,0,0,0,0,0,0,0,0.860062893081761
5,6,5,1,0,0,0,0,0,0,0,0,0.8452190598017268
5,6,5,1,0,0,0,0,0,0,0,0,0.8071131047741109
5,6,5,1,0,0,0,0,0,0,0,0,0.7798165137614679
6,7,6,1,0,0,0,0,0,0,0,0,0.8780407626561473
5,7,5,2,0,0,0,0,0,0,0,0,0.8251612903225807
5,7,5,2,0,0,0,0,0,0,0,0,0.7532352941176471
6,7,6,1,0,0,0,0,0,0,0,0,0.7887158389656186
5,7,5,2,0,0,0,0,0,0,0,0,0.7413286302175192
6,7,6,1,0,0,0,0,0,0,0,0,0.8378143972246314
6,7,6,1,0,0,0,0,0,0,0,0,0.8270975056689343
6,7,5,2,1,0,0,0,0,0,0,0,0.798216276477146
5,7,5,2,0,0,0,0,0,0,0,0,0.7581828442437923
6,7,6,1,0,0,0,0,0,0,0,0,0.7752685210685761
6,7,6,1,0,0,0,0,0,0,0,0,0.8454519532363843
6,7,6,1,0,0,0,0,0,0,0,0,0.820215410107705
6,7,5,2,1,0,0,0,0,0,0,0,0.7920845757657902
5,7,4,3,1,0,0,0,0,0,0,0,0.7748251748251749
6,6,4,2,2,0,0,0,0,0,0,0,0.7927876359473383
8,9,8,1,0,0,0,0,0,0,0,0,0.8693404355318816
8,9,8,1,0,0,0,0,0,0,0,0,0.8423191123613064
8,9,8,1,0,0,0,0,0,0,0,0,0.8450616320798876
8,9,8,1,0,0,0,0,0,0,0,0,0.8399132992723332
8,9,8,1,0,0,0,0,0,0,0,0,0.8085823754789272
8,9,8,1,0,0,0,0,0,0,0,0,0.8724441648317081
9,9,9,0,0,0,0,0,0,0,0,0,0.8566868815831471
8,9,8,1,0,0,0,0,0,0,0,0,0.8349561053471668
9,9,8,1,1,0,0,0,0,0,0,0,0.838142041851617
8,9,8,1,0,0,0,0,0,0,0,0,0.8238473767885532
9,9,8,1,1,0,0,0,0,0,0,0,0.8937811345010445
9,9,9,0,0,0,0,0,0,0,0,0,0.8688055908513341
8,9,8,1,0,0,0,0,0,0,0,0,0.8457563419981209
8,9,8,1,0,0,0,0,0,0,0,0,0.8330514988470408
9,9,8,1,1,0,0,0,0,0,0,0,0.8303396226415094
8,9,8,1,0,0,0,0,0,0,0,0,0.8729333963155409
8,10,8,2,0,0,0,0,0,0,0,0,0.8631142310146778
9,10,8,2,1,0,0,0,0,0,0,0,0.83690587138863
10,10,9,1,1,0,0,0,0,0,0,0,0.8423796381478075
10,10,9,1,1,0,0,0,0,0,0,0,0.8202230701496918
11,11,10,1,1,0,0,0,0,0,0,0,0.870735006763866
11,11,11,0,0,0,0,0,0,0,0,0,0.840788699234844
10,11,10,1,0,0,0,0,0,0,0,0,0.8225830702150052
9,11,9,2,0,0,0,0,0,0,0,0,0.8307669082125604
9,11,8,3,1,0,0,0,0,0,0,0,0.7926536731634183
9,11,9,2,0,0,0,0,0,0,0,0,0.8406708595387841
9,11,9,2,0,0,0,0,0,0,0,0,0.8278863775198534
9,11,9,2,0,0,0,0,0,0,0,0,0.8175427872860636
11,11,10,1,1,0,0,0,0,0,0,0,0.842705053231369
10,11,9,2,1,0,0,0,0,0,0,0,0.8040458937198067
11,12,10,2,1,0,0,0,0,0,0,0,0.8055705786911844
11,12,11,1,0,0,0,0,0,0,0,0,0.7768864377036852
11,12,11,1,0,0,0,0,0,0,0,0,0.7726534183227096
13,13,9,3,1,0,2,0,0,0,1,0,0.7808149188913016
12,14,11,3,1,0,0,0,0,0,0,0,0.7665091481885375
12,13,11,2,1,0,0,0,0,0,0,0,0.8068730140049429
12,14,12,2,0,0,0,0,0,0,0,0,0.8135195399600986
12,14,12,2,0,0,0,0,0,0,0,0,0.7963091922005571
14,15,10,3,0,0,2,0,0,0,2,0,0.7957754697164197
12,16,12,4,0,0,0,0,0,0,0,0,0.7732951289398281
15,16,10,4,1,0,2,0,0,0,2,0,0.7985277463193658
12,16,12,4,0,0,0,0,0,0,0,0,0.7967662250168426
12,16,12,4,0,0,0,0,0,0,0,0,0.787066418645366
12,16,12,4,0,0,0,0,0,0,0,0,0.7790659158661809
12,16,12,4,0,0,0,0,0,0,0,0,0.7780797101449275
16,16,12,3,2,0,1,0,0,0,1,0,0.8137108792846498
14,16,13,3,1,0,0,0,0,0,0,0,0.8029080995115302
13,16,12,4,1,0,0,0,0,0,0,0,0.791629263913824
14,16,13,3,1,0,0,0,0,0,0,0,0.7815484885942241
14,15,13,2,1,0,0,0,0,0,0,0,0.7971262401642148
13,15,13,2,0,0,0,0,0,0,0,0,0.7956670467502851
13,15,13,2,0,0,0,0,0,0,0,0,0.8025319317282694
