n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
18,20,17,1,0,1,0,0,0,1,0,0,0.8633940247460014
19,20,16,2,0,0,0,2,3,0,0,1,0.86456381428274
17,20,13,5,2,0,0,2,2,0,0,1,0.848763177121386
18,20,17,3,1,0,0,0,0,0,0,0,0.8662867609646892
17,21,13,4,0,0,0,2,2,0,0,2,0.8735813366960908
17,21,17,4,0,0,0,0,0,0,0,0,0.8762597402597403
19,21,15,5,2,0,1,0,0,0,1,0,0.8699763593380615
19,21,16,5,3,0,0,0,0,0,0,0,0.8683302901196998
18,22,17,5,1,0,0,0,0,0,0,0,0.8658463385354142
18,23,17,6,1,0,0,0,0,0,0,0,0.8578208423966779
18,23,17,6,1,0,0,0,0,0,0,0,0.8646802613343892
20,22,16,5,2,0,1,0,0,0,1,0,0.8752169917287859
17,20,17,3,0,0,0,0,0,0,0,0,0.8686948766227331
18,18,16,1,0,0,1,0,0,0,1,0,0.882541845075905
19,18,17,1,2,0,0,0,0,0,0,0,0.8739734063355494
18,17,15,0,2,1,0,0,0,1,0,0,0.876555023923445
15,18,14,2,0,1,0,0,0,1,0,0,0.8959400867165944
16,19,14,3,0,0,0,2,2,0,0,1,0.8840821944744863
17,18,14,2,2,1,0,0,0,1,0,0,0.8649492583918813
18,20,15,3,2,1,0,0,0,1,0,0,0.8875848690591659
16,20,15,3,0,1,0,0,0,1,0,0,0.8965752756366475
16,22,15,7,1,0,0,0,0,0,0,0,0.8454960645223982
16,24,16,8,0,0,0,0,0,0,0,0,0.8532073986619442
18,24,16,7,0,0,1,0,0,0,1,0,0.883550810597074
19,23,15,6,1,0,0,2,3,0,0,1,0.8505623471882641
17,24,16,6,0,1,0,0,0,1,0,0,0.867113181906426
18,24,12,7,0,0,1,2,2,0,1,2,0.8662401279616115
17,25,14,8,0,1,1,0,0,1,1,0,0.7855258198266114
20,25,15,7,1,0,1,2,2,0,1,1,0.8226891530734495
19,24,13,8,2,0,1,2,2,0,1,1,0.8050647264480771
16,21,15,6,1,0,0,0,0,0,0,0,0.8451033464566929
18,21,15,5,1,0,1,0,0,0,1,0,0.8651079136690647
18,20,15,5,3,0,0,0,0,0,0,0,0.8641456582633054
17,21,16,5,1,0,0,0,0,0,0,0,0.8506447831184056
16,21,16,5,0,0,0,0,0,0,0,0,0.8750456704420899
21,21,16,4,3,0,1,0,0,0,1,0,0.8741958541815582
17,21,17,4,0,0,0,0,0,0,0,0,0.8553569342212876
17,20,15,5,2,0,0,0,0,0,0,0,0.8726084373143197
18,20,15,5,3,0,0,0,0,0,0,0,0.8671737858396723
18,20,16,3,0,0,1,0,0,0,1,0,0.8511281693417073
16,21,14,7,2,0,0,0,0,0,0,0,0.8700455580865604
19,22,14,6,1,0,2,0,0,0,2,0,0.8685911725367811
16,23,16,7,0,0,0,0,0,0,0,0,0.8348044023101231
18,24,17,5,0,1,0,0,0,1,0,0,0.8778718258766627
18,23,18,5,0,0,0,0,0,0,0,0,0.8706012134583563
19,23,18,5,1,0,0,0,0,0,0,0,0.8476433663155655
17,23,16,5,0,1,0,0,0,1,0,0,0.8756256800870511
21,23,14,6,4,1,1,0,0,1,1,0,0.8645314866911924
21,23,17,4,0,0,2,0,0,0,2,0,0.8485108206556674
18,22,16,4,1,1,0,0,0,1,0,0,0.8660618996798293
21,23,16,5,1,0,2,0,0,0,2,0,0.8817387598551033
19,23,15,4,0,0,1,3,2,0,1,1,0.8415915119363395
16,24,12,6,0,2,0,2,2,2,0,1,0.8518357119511929
19,24,13,7,3,1,0,2,2,1,0,1,0.8383087337698368
17,22,13,4,0,0,1,4,2,0,1,1,0.8223495702005731
17,21,14,2,0,1,0,3,2,1,0,1,0.8700571300548897
18,21,14,2,1,1,0,3,2,1,0,1,0.868629418980707
19,21,15,2,1,1,0,2,2,1,0,1,0.8598980270450011
22,21,14,3,3,1,2,0,0,1,2,0,0.8857898798368427
22,23,11,6,4,1,2,2,2,1,2,1,0.8771241830065359
15,16,15,1,0,0,0,0,0,0,0,0,0.8697868869175079
16,16,15,1,1,0,0,0,0,0,0,0,0.9033119130004943
22,17,12,2,2,0,5,0,0,0,3,0,0.877088895481064
17,17,14,1,2,1,0,0,0,1,0,0,0.8666865493587832
17,18,14,2,1,0,0,2,2,0,0,1,0.8815300332615926
19,18,17,1,2,0,0,0,0,0,0,0,0.8946774496896747
19,19,18,1,1,0,0,0,0,0,0,0,0.8816185181809897
18,18,18,0,0,0,0,0,0,0,0,0,0.8990633809220696
19,19,18,1,1,0,0,0,0,0,0,0,0.8905752976460966
19,19,17,1,0,0,1,0,0,0,1,0,0.8741733690795352
20,18,16,0,0,0,2,0,0,0,2,0,0.9021978021978022
18,18,16,1,0,0,1,0,0,0,1,0,0.8877967359050445
18,18,18,0,0,0,0,0,0,0,0,0,0.882539395037131
19,19,17,1,0,0,1,0,0,0,1,0,0.9058856191004997
19,19,14,2,0,0,1,2,3,0,1,1,0.8911652915546491
17,19,17,2,0,0,0,0,0,0,0,0,0.8794568631073342
21,18,16,1,3,0,1,0,0,0,1,0,0.9019919573552792
17,18,17,1,0,0,0,0,0,0,0,0,0.9095156369183829
20,19,14,2,1,0,1,2,3,0,1,1,0.8920332492761744
22,19,16,2,2,0,3,0,0,0,1,0,0.9106525911708253
18,18,17,1,1,0,0,0,0,0,0,0,0.8900887003470883
17,18,17,1,0,0,0,0,0,0,0,0,0.8861329247270637
17,18,17,1,0,0,0,0,0,0,0,0,0.9026496565260059
18,17,16,0,0,0,1,0,0,0,1,0,0.9031836898664256
16,18,16,2,0,0,0,0,0,0,0,0,0.8679786392405063
17,18,15,2,0,0,1,0,0,0,1,0,0.9099707631817724
18,17,13,2,1,0,2,0,0,0,2,0,0.902967922454282
16,18,16,2,0,0,0,0,0,0,0,0,0.8838295388207823
18,18,16,2,2,0,0,0,0,0,0,0,0.8938866318436834
19,18,16,1,1,0,1,0,0,0,1,0,0.8992551566080977
11,14,9,3,1,1,0,0,0,1,0,0,0.8586577007629639
11,14,10,4,1,0,0,0,0,0,0,0,0.8928950159066809
11,14,11,3,0,0,0,0,0,0,0,0,0.8930341768849465
11,16,11,5,0,0,0,0,0,0,0,0,0.8763944095396846
12,16,12,4,0,0,0,0,0,0,0,0,0.8953275907073871
12,17,12,5,0,0,0,0,0,0,0,0,0.8850308641975309
12,17,12,5,0,0,0,0,0,0,0,0,0.8823605539019024
12,16,12,4,0,0,0,0,0,0,0,0,0.8959175688013564
13,17,12,5,1,0,0,0,0,0,0,0,0.8746622056363402
12,17,12,5,0,0,0,0,0,0,0,0,0.8670266197890507
12,16,12,4,0,0,0,0,0,0,0,0,0.8719175561280824
