n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
15,20,15,5,0,0,0,0,0,0,0,0,0.7214611872146118
13,20,13,7,0,0,0,0,0,0,0,0,0.6797014611584148
13,20,13,7,0,0,0,0,0,0,0,0,0.6901779134645752
16,20,14,3,1,2,0,0,0,1,0,0,0.8685767673621925
16,21,14,4,1,2,0,0,0,1,0,0,0.8471043300741378
15,21,13,5,1,2,0,0,0,1,0,0,0.8197824961160021
16,21,13,7,1,0,1,0,0,0,1,0,0.717630998634884
15,21,14,7,1,0,0,0,0,0,0,0,0.7252465078060806
16,22,15,7,1,0,0,0,0,0,0,0,0.837502521686504
16,23,14,7,1,1,0,0,0,1,0,0,0.7989498131879228
15,23,14,9,1,0,0,0,0,0,0,0,0.7144286571943166
17,22,16,6,1,0,0,0,0,0,0,0,0.7883389006984513
17,20,17,3,0,0,0,0,0,0,0,0,0.8434235878714126
17,18,17,1,0,0,0,0,0,0,0,0,0.8545220150733835
18,18,12,2,0,0,2,2,2,0,2,1,0.8264767407112262
14,17,13,2,0,1,0,0,0,1,0,0,0.7823597904133515
15,18,14,2,0,1,0,0,0,1,0,0,0.8482142857142857
14,19,13,4,0,1,0,0,0,1,0,0,0.8150969529085873
14,18,13,3,0,1,0,0,0,1,0,0,0.8348816302067725
16,20,15,3,0,1,0,0,0,1,0,0,0.8607420529475446
14,20,13,5,0,1,0,0,0,1,0,0,0.7707198443579767
14,22,14,8,0,0,0,0,0,0,0,0,0.7684583579444773
15,24,15,9,0,0,0,0,0,0,0,0,0.7709264224009532
15,24,15,9,0,0,0,0,0,0,0,0,0.7722791994423976
14,23,14,9,0,0,0,0,0,0,0,0,0.7406628617202363
15,24,12,10,1,0,0,2,2,0,0,1,0.7130197682344922
14,24,11,10,0,0,0,3,3,0,0,1,0.730965994583208
13,25,13,12,0,0,0,0,0,0,0,0,0.6635017090770984
14,25,12,12,0,0,1,0,0,0,1,0,0.6256977954394929
14,24,12,11,0,0,1,0,0,0,1,0,0.6366234756097561
16,21,15,6,1,0,0,0,0,0,0,0,0.7953986220472441
17,21,15,6,2,0,0,0,0,0,0,0,0.8150842730689948
17,20,16,4,1,0,0,0,0,0,0,0,0.8373437131398915
17,21,15,6,2,0,0,0,0,0,0,0,0.8514672141045767
17,21,15,6,2,0,0,0,0,0,0,0,0.8651327866846164
17,21,17,4,0,0,0,0,0,0,0,0,0.8322465915826912
17,21,16,5,1,0,0,0,0,0,0,0,0.8375399928901529
