n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
18,20,14,3,1,1,1,0,0,1,1,0,0.8104713094161391
19,20,17,3,2,0,0,0,0,0,0,0,0.8538798498122653
18,20,13,3,0,0,1,3,3,0,1,1,0.8511303260756329
16,20,14,4,1,1,0,0,0,1,0,0,0.8269549027720314
15,21,14,4,0,2,0,0,0,1,0,0,0.8382915427114322
15,21,13,6,1,1,0,0,0,1,0,0,0.7828147537605605
15,21,14,5,0,1,0,0,0,1,0,0,0.8025590346405909
18,21,14,6,2,0,1,0,0,0,1,0,0.8107443100266557
16,22,15,7,1,0,0,0,0,0,0,0,0.8170916053612819
17,23,16,7,1,0,0,0,0,0,0,0,0.8377833753148615
19,23,17,6,2,0,0,0,0,0,0,0,0.8235996418266839
18,22,17,5,1,0,0,0,0,0,0,0,0.8495664448477516
17,20,16,4,1,0,0,0,0,0,0,0,0.8476200080677693
17,18,17,1,0,0,0,0,0,0,0,0,0.8504106374657802
19,18,15,1,0,0,2,0,0,0,2,0,0.8483950617283951
16,17,14,1,1,1,0,0,0,1,0,0,0.8389764545631446
15,18,14,2,0,1,0,0,0,1,0,0,0.8535208477765673
15,19,14,3,0,1,0,0,0,1,0,0,0.8761999010390895
15,18,14,2,0,1,0,0,0,1,0,0,0.8542426332906278
18,20,13,3,0,0,1,3,3,0,1,1,0.8870194659102025
17,20,13,4,1,1,1,0,0,1,1,0,0.826530612244898
17,22,15,7,2,0,0,0,0,0,0,0,0.8325368184921487
16,24,16,8,0,0,0,0,0,0,0,0,0.833922261484099
17,24,13,8,0,0,1,2,2,0,1,1,0.8344902816342721
15,23,14,7,0,1,0,0,0,1,0,0,0.8421625903554807
15,24,13,9,1,1,0,0,0,1,0,0,0.784330815417393
15,24,14,7,0,2,0,0,0,1,0,0,0.8220230473751601
15,25,14,9,0,1,0,0,0,1,0,0,0.768980995129405
17,25,12,8,0,1,1,2,2,1,1,1,0.7487972832751627
14,24,13,9,0,1,0,0,0,1,0,0,0.7476679992385303
16,21,15,6,1,0,0,0,0,0,0,0,0.7937378167641326
18,21,15,5,1,0,1,0,0,0,1,0,0.8184563353061964
19,20,13,6,4,0,1,0,0,0,1,0,0.8346567024754787
17,21,16,5,1,0,0,0,0,0,0,0,0.8480132059898597
18,21,15,6,3,0,0,0,0,0,0,0,0.8601596071209331
18,21,15,5,1,0,1,0,0,0,1,0,0.841917873249466
19,21,14,5,1,0,2,0,0,0,2,0,0.8415654839089944
17,20,16,4,1,0,0,0,0,0,0,0,0.8384186156951206
18,20,14,5,2,0,1,0,0,0,1,0,0.8390318411467512
18,20,14,6,4,0,0,0,0,0,0,0,0.8171904315196998
17,21,13,7,2,0,1,0,0,0,1,0,0.8309907439149812
18,22,16,6,2,0,0,0,0,0,0,0,0.8432426380024634
17,23,16,7,1,0,0,0,0,0,0,0,0.8351551286297891
19,24,17,6,0,0,1,0,0,0,1,0,0.8540081596647922
18,23,18,5,0,0,0,0,0,0,0,0,0.8519053438506833
21,23,15,6,2,0,2,0,0,0,2,0,0.822468048544732
18,23,15,6,2,1,0,0,0,1,0,0,0.8325208536453256
19,23,17,4,0,0,0,2,2,0,0,1,0.8488156314812794
23,23,13,4,0,1,5,0,0,1,4,0,0.8275899319433941
21,22,12,4,1,0,2,2,2,0,2,2,0.8474832577230503
19,23,13,5,3,1,0,3,2,1,0,1,0.800551958390829
20,23,17,4,1,0,0,2,2,0,0,1,0.8361612450016211
19,24,10,6,1,2,2,2,2,2,2,1,0.8321063619382485
18,24,13,7,2,1,0,2,2,1,0,1,0.8479134121847802
18,22,15,5,2,1,0,0,0,1,0,0,0.8265386787125918
16,21,13,4,1,2,0,0,0,2,0,0,0.8020412741139524
22,21,15,1,0,0,1,2,2,0,1,2,0.861030235162374
22,21,13,0,0,2,2,2,3,2,2,1,0.8410313901345291
23,21,14,3,3,0,2,2,2,0,2,1,0.8659372236958444
19,23,16,5,2,1,0,0,0,1,0,0,0.8633181464607178
