n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
21,20,15,2,1,0,1,2,3,0,1,1,0.8330648409182441
18,20,15,4,1,0,1,0,0,0,1,0,0.8045440398381575
18,20,15,3,0,0,0,2,3,0,0,1,0.8547885572139303
22,20,16,2,3,0,0,2,3,0,0,1,0.8324575586095392
19,21,14,4,3,0,0,3,2,0,0,1,0.8550663129973475
16,21,14,5,1,1,0,0,0,1,0,0,0.8357532694882093
17,21,13,4,1,1,0,2,2,1,0,1,0.8467900341155794
17,21,15,6,2,0,0,0,0,0,0,0,0.8384168111802509
16,22,15,7,1,0,0,0,0,0,0,0,0.830929083022294
19,23,17,6,2,0,0,0,0,0,0,0,0.8507898178891237
21,23,14,7,3,0,2,0,0,0,2,0,0.7960019990004997
18,22,16,6,2,0,0,0,0,0,0,0,0.8265948801300285
17,20,17,3,0,0,0,0,0,0,0,0,0.8540993537964459
19,18,17,1,2,0,0,0,0,0,0,0,0.8470141995720677
19,18,15,1,1,0,0,2,3,0,0,1,0.8545382871784764
14,17,12,1,0,2,0,0,0,2,0,0,0.8298307063631056
15,18,14,2,0,1,0,0,0,1,0,0,0.8579489210057414
15,19,14,3,0,1,0,0,0,1,0,0,0.8697276570642022
16,18,15,3,1,0,0,0,0,0,0,0,0.8508440913604767
18,20,15,3,1,0,0,2,2,0,0,1,0.8705628554618553
18,20,14,3,0,0,1,2,2,0,1,1,0.8489563200618477
17,22,15,6,0,0,1,0,0,0,1,0,0.8396612149532711
19,24,15,7,0,0,2,0,0,0,2,0,0.857481013906697
16,24,15,9,1,0,0,0,0,0,0,0,0.8381112984822934
16,23,14,7,1,1,0,0,0,1,0,0,0.8309677419354838
20,24,12,7,1,0,1,2,2,0,1,2,0.8119186046511628
18,24,11,9,2,0,1,3,3,0,1,1,0.8262040083757104
18,25,14,9,1,0,0,2,3,0,0,1,0.7913134584246119
18,25,13,11,3,0,1,0,0,0,1,0,0.7591254574458103
15,24,13,9,1,1,0,0,0,1,0,0,0.7387259090477547
16,21,15,6,1,0,0,0,0,0,0,0,0.8232316997901493
18,21,15,5,1,0,1,0,0,0,1,0,0.8373885810648036
17,20,16,4,1,0,0,0,0,0,0,0,0.8418218007259103
18,21,15,5,1,0,1,0,0,0,1,0,0.8343587316611453
16,21,13,6,1,0,0,2,2,0,0,1,0.8456080254465378
18,21,17,4,1,0,0,0,0,0,0,0,0.8388468809073724
18,21,17,4,1,0,0,0,0,0,0,0,0.8496507635847046
18,20,17,3,1,0,0,0,0,0,0,0,0.8660799238820172
22,20,10,5,2,0,5,0,0,0,5,0,0.8422232711824404
17,20,13,6,2,0,1,0,0,0,1,0,0.8288669487541138
18,23,16,5,1,1,0,0,0,1,0,0,0.8469639978506179
18,23,16,5,1,1,0,0,0,1,0,0,0.8428213780341788
20,23,19,4,1,0,0,0,0,0,0,0,0.8507787822677269
20,23,15,5,2,1,1,0,0,1,1,0,0.8425495076290445
19,22,13,5,0,0,2,2,2,0,2,1,0.8016564483166613
20,23,13,6,2,1,2,0,0,1,2,0,0.7926634768740032
19,23,15,4,0,0,1,3,2,0,1,1,0.8450840879689522
21,24,12,7,5,1,0,3,3,1,0,1,0.8136368587299858
17,24,13,8,2,0,0,3,2,0,0,1,0.7973303670745272
19,22,15,6,2,0,1,0,0,0,1,0,0.8451307484220018
16,16,15,1,1,0,0,0,0,0,0,0,0.8433002229880397
17,16,14,1,1,0,1,0,0,0,1,0,0.8625811528624828
17,17,14,2,1,0,1,0,0,0,1,0,0.8656317975084042
16,17,16,1,0,0,0,0,0,0,0,0,0.869995996797438
16,18,16,2,0,0,0,0,0,0,0,0,0.8645066273932254
20,18,16,1,2,0,1,0,0,0,1,0,0.8404925013886317
18,19,18,1,0,0,0,0,0,0,0,0,0.8583386407060322
19,18,17,0,0,0,1,0,0,0,1,0,0.8654403769481697
18,19,18,1,0,0,0,0,0,0,0,0,0.8720021802325582
19,19,18,1,1,0,0,0,0,0,0,0,0.8806941431670282
19,18,18,0,1,0,0,0,0,0,0,0,0.8546813747834807
17,18,17,1,0,0,0,0,0,0,0,0,0.8555677054856935
17,18,17,1,0,0,0,0,0,0,0,0,0.8742092234344916
18,19,18,1,0,0,0,0,0,0,0,0,0.8678739720964612
17,19,17,2,0,0,0,0,0,0,0,0,0.8686090748816925
17,19,17,2,0,0,0,0,0,0,0,0,0.8429667992231573
17,18,17,1,0,0,0,0,0,0,0,0,0.8656563778356267
17,18,17,1,0,0,0,0,0,0,0,0,0.8770795703013594
17,19,17,2,0,0,0,0,0,0,0,0,0.8770205123357595
17,19,17,2,0,0,0,0,0,0,0,0,0.8768164757963622
20,18,15,1,1,0,2,0,0,0,2,0,0.844273086326876
18,18,17,1,1,0,0,0,0,0,0,0,0.8736279747450219
18,18,17,1,1,0,0,0,0,0,0,0,0.8857952325127003
18,17,16,0,0,0,1,0,0,0,1,0,0.8666331658291457
16,18,16,2,0,0,0,0,0,0,0,0,0.8751000800640513
22,18,12,2,1,0,4,2,3,0,2,1,0.8503299340131973
17,17,16,1,1,0,0,0,0,0,0,0,0.8573680063041765
17,18,16,2,1,0,0,0,0,0,0,0,0.8691597958382411
17,18,16,2,1,0,0,0,0,0,0,0,0.8682409638554217
20,18,16,1,2,0,1,0,0,0,1,0,0.8833428953910881
11,14,9,3,1,1,0,0,0,1,0,0,0.8598650258038905
11,14,10,4,1,0,0,0,0,0,0,0,0.8695594829860195
11,14,11,3,0,0,0,0,0,0,0,0,0.8833527961593357
11,16,11,5,0,0,0,0,0,0,0,0,0.8827910623284986
12,16,12,4,0,0,0,0,0,0,0,0,0.8665965004604658
12,17,12,5,0,0,0,0,0,0,0,0,0.8629748873148745
13,17,12,5,1,0,0,0,0,0,0,0,0.8636657612210581
12,16,11,5,1,0,0,0,0,0,0,0,0.8704649639816634
15,17,9,5,0,0,3,0,0,0,3,0,0.8659189395870507
12,17,12,5,0,0,0,0,0,0,0,0,0.8424866514111365
12,16,12,4,0,0,0,0,0,0,0,0,0.8375384615384616
12,17,12,5,0,0,0,0,0,0,0,0,0.8525215252152522
13,16,13,3,0,0,0,0,0,0,0,0,0.8744020605911934
14,16,12,3,0,0,1,0,0,0,1,0,0.85463200292933
13,17,13,4,0,0,0,0,0,0,0,0,0.8669670381788
14,17,13,4,1,0,0,0,0,0,0,0,0.8393728222996516
13,18,11,5,1,1,0,0,0,1,0,0,0.8291711907347087
12,18,11,5,0,1,0,0,0,1,0,0,0.8293935052531041
14,19,12,6,0,0,1,0,0,0,1,0,0.8546111694065525
13,18,13,5,0,0,0,0,0,0,0,0,0.7859094013202823
17,18,12,3,1,0,1,2,2,0,1,1,0.8530416951469583
15,18,14,4,1,0,0,0,0,0,0,0,0.847313749581146
16,19,13,5,1,0,1,0,0,0,1,0,0.8485285952248751
15,19,13,5,0,0,1,0,0,0,1,0,0.7890383767093074
14,18,14,4,0,0,0,0,0,0,0,0,0.7949526813880127
15,18,13,4,0,0,1,0,0,0,1,0,0.8000869187309865
14,17,14,3,0,0,0,0,0,0,0,0,0.8135248097738721
