n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
20,20,16,2,2,0,0,2,2,0,0,1,0.8368589103971263
19,20,15,3,1,0,0,2,3,0,0,1,0.863768115942029
18,20,12,3,1,1,1,2,2,1,1,1,0.8763046398677276
19,20,14,3,0,0,1,2,3,0,1,1,0.8661560169320701
18,21,13,4,0,0,1,3,3,0,1,1,0.8883657668968403
18,21,14,4,1,1,1,0,0,1,1,0,0.8823407560849301
18,21,15,6,3,0,0,0,0,0,0,0,0.8688959119176267
21,21,13,5,1,0,4,0,0,0,3,0,0.8667131891137474
17,22,15,5,1,1,0,0,0,1,0,0,0.8732673267326733
18,23,12,7,1,1,2,0,0,1,2,0,0.8424390243902439
18,23,15,6,2,1,0,0,0,1,0,0,0.8699705593719332
17,22,16,6,1,0,0,0,0,0,0,0,0.870375939849624
18,20,17,3,1,0,0,0,0,0,0,0,0.8693003144654088
17,18,17,1,0,0,0,0,0,0,0,0,0.8755127349041305
18,18,16,1,0,0,1,0,0,0,1,0,0.8839070485006267
16,17,16,1,0,0,0,0,0,0,0,0,0.8612844388979553
16,18,15,3,1,0,0,0,0,0,0,0,0.8788674839462931
17,19,14,3,2,1,0,0,0,1,0,0,0.8827064753780535
17,18,13,2,1,1,1,0,0,1,1,0,0.8757961783439491
16,20,15,3,0,1,0,0,0,1,0,0,0.897528861749833
16,20,15,3,0,1,0,0,0,1,0,0,0.891593980638359
19,22,17,5,2,0,0,0,0,0,0,0,0.868043602983362
20,24,15,7,1,0,2,0,0,0,2,0,0.8790606653620352
17,24,16,8,1,0,0,0,0,0,0,0,0.8658643968300558
17,23,15,7,0,0,1,0,0,0,1,0,0.8464209917036465
16,24,16,8,0,0,0,0,0,0,0,0,0.8674851407970379
17,24,14,7,0,0,0,3,3,0,0,1,0.8519321766561514
18,25,15,8,2,1,0,0,0,1,0,0,0.8168307635147687
19,25,14,7,2,1,0,2,2,1,0,1,0.8148453230825554
18,24,15,7,1,0,0,2,2,0,0,1,0.8265713489926655
15,21,15,6,0,0,0,0,0,0,0,0,0.8514569125852449
17,21,16,5,1,0,0,0,0,0,0,0,0.8549481957842087
19,20,15,4,2,0,1,0,0,0,1,0,0.868598696461825
16,21,16,5,0,0,0,0,0,0,0,0,0.8556467928120909
18,21,15,6,3,0,0,0,0,0,0,0,0.8618910487161027
20,21,13,5,1,0,3,0,0,0,3,0,0.8651459638340622
17,21,17,4,0,0,0,0,0,0,0,0,0.8556641079320773
18,20,16,4,2,0,0,0,0,0,0,0,0.8637712115818204
16,20,15,5,1,0,0,0,0,0,0,0,0.8636044059057886
18,20,13,5,2,0,0,2,3,0,0,1,0.8379528464634848
16,21,16,5,0,0,0,0,0,0,0,0,0.871687429218573
18,22,16,6,2,0,0,0,0,0,0,0,0.8701026376779605
18,23,15,7,1,0,1,0,0,0,1,0,0.8474962063732928
17,24,16,6,0,1,0,0,0,1,0,0,0.8562049295016683
20,23,17,4,1,0,0,2,2,0,0,1,0.8600483729111698
20,23,16,4,0,0,1,2,2,0,1,1,0.8516989520482693
