n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
19,20,16,2,2,1,0,0,0,1,0,0,0.8757720661486352
19,20,15,2,1,1,1,0,0,1,1,0,0.8730060718328703
19,20,14,3,1,0,1,2,2,0,1,1,0.889577522983163
19,20,14,2,0,1,2,0,0,1,2,0,0.8723169508525577
16,21,15,4,0,1,0,0,0,1,0,0,0.8817472698907957
17,21,15,4,1,1,0,0,0,1,0,0,0.8719794344473007
16,21,16,5,0,0,0,0,0,0,0,0,0.8607659401100021
19,21,14,5,1,0,2,0,0,0,2,0,0.8631990378833434
17,22,16,6,1,0,0,0,0,0,0,0,0.860151559885838
19,23,17,6,2,0,0,0,0,0,0,0,0.8554839968774395
17,23,16,7,1,0,0,0,0,0,0,0,0.8581406787998033
18,22,17,5,1,0,0,0,0,0,0,0,0.8697843176778876
18,20,17,3,1,0,0,0,0,0,0,0,0.8813827160493827
17,18,17,1,0,0,0,0,0,0,0,0,0.87382819973216
18,18,16,1,0,0,1,0,0,0,1,0,0.883119408790354
18,17,15,0,1,0,0,2,2,0,0,1,0.8686743543314591
17,18,15,2,0,0,1,0,0,0,1,0,0.8897531931239796
17,19,15,3,0,0,1,0,0,0,1,0,0.9003479605644693
16,18,14,2,1,1,0,0,0,1,0,0,0.8650618586362329
18,20,16,3,0,0,1,0,0,0,1,0,0.8905562989868094
18,20,15,4,1,0,1,0,0,0,1,0,0.895991540901663
16,22,16,6,0,0,0,0,0,0,0,0,0.853912213740458
16,24,16,8,0,0,0,0,0,0,0,0,0.8553562772661173
16,24,16,8,0,0,0,0,0,0,0,0,0.8564886983632112
15,23,15,8,0,0,0,0,0,0,0,0,0.8470588235294118
17,24,15,7,1,1,0,0,0,1,0,0,0.8528247223563495
19,24,13,7,0,0,1,3,4,0,1,1,0.8634653465346535
16,25,15,8,0,1,0,0,0,1,0,0,0.8114355231143552
18,25,14,7,1,1,0,2,2,1,0,1,0.7961120324304404
20,24,14,7,2,0,1,2,2,0,1,1,0.8349930200093066
16,21,15,6,1,0,0,0,0,0,0,0,0.8328889966068832
18,21,15,5,1,0,1,0,0,0,1,0,0.8569725864123957
18,20,15,4,1,0,1,0,0,0,1,0,0.8592086996760759
16,21,16,5,0,0,0,0,0,0,0,0,0.8515569289279772
17,21,15,6,2,0,0,0,0,0,0,0,0.8728170540768397
19,21,14,5,1,0,2,0,0,0,2,0,0.8588796185935638
17,21,16,5,1,0,0,0,0,0,0,0,0.8505787443002455
18,20,15,4,1,0,1,0,0,0,1,0,0.8646103131622321
18,20,16,4,2,0,0,0,0,0,0,0,0.861518899549185
18,20,14,5,2,0,1,0,0,0,1,0,0.8462773890099805
16,21,14,7,2,0,0,0,0,0,0,0,0.8615762446974771
16,22,16,6,0,0,0,0,0,0,0,0,0.8700652438350105
16,23,16,7,0,0,0,0,0,0,0,0,0.8386509635974304
18,24,17,5,0,1,0,0,0,1,0,0,0.8703424510015076
18,23,18,5,0,0,0,0,0,0,0,0,0.8689527137708857
18,23,17,4,0,1,0,0,0,1,0,0,0.8565560821484992
17,23,16,5,0,1,0,0,0,1,0,0,0.8620873838265143
18,23,17,4,0,1,0,0,0,1,0,0,0.8733866666666666
18,23,17,4,0,1,0,0,0,1,0,0,0.8475023761748864
19,22,16,4,2,1,0,0,0,1,0,0,0.8518167456556082
19,23,19,4,0,0,0,0,0,0,0,0,0.8765057085995601
20,23,16,4,1,1,1,0,0,1,1,0,0.853579628470048
19,24,13,6,2,1,0,3,3,1,0,1,0.8522178068950703
16,24,12,8,0,1,0,2,3,1,0,1,0.8064198071866784
21,22,17,3,2,0,0,2,2,0,0,1,0.8481109412535488
17,21,14,3,0,1,0,2,2,1,0,1,0.833962683251888
18,21,16,3,1,1,0,0,0,1,0,0,0.8287444933920705
21,21,17,1,0,0,1,2,2,0,1,1,0.869108802624385
