n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
21,20,11,1,1,1,2,2,2,1,2,2,0.8590731658492643
19,20,15,2,1,1,1,0,0,1,1,0,0.8757317448906234
17,20,14,3,0,1,1,0,0,1,1,0,0.8656118360217816
19,20,15,3,2,0,0,2,2,0,0,1,0.8754530809504631
15,21,14,5,0,1,0,0,0,1,0,0,0.8250918635170603
16,21,15,4,0,1,0,0,0,1,0,0,0.8594210259014728
17,21,13,5,1,1,1,0,0,1,1,0,0.8209914320685434
20,21,15,4,1,0,2,0,0,0,2,0,0.8566495659037096
19,22,16,5,1,0,1,0,0,0,1,0,0.8778094022965943
19,23,17,6,2,0,0,0,0,0,0,0,0.8630177808681831
19,23,17,6,2,0,0,0,0,0,0,0,0.8394025187933223
18,22,17,5,1,0,0,0,0,0,0,0,0.8657572162910241
18,20,18,2,0,0,0,0,0,0,0,0,0.8757874015748032
18,18,17,1,1,0,0,0,0,0,0,0,0.8677192644651969
17,18,17,1,0,0,0,0,0,0,0,0,0.8725490196078431
19,17,15,0,1,0,0,2,3,0,0,1,0.8720175606031686
19,18,14,2,1,0,2,0,0,0,2,0,0.8799302257970734
17,19,15,3,0,0,1,0,0,0,1,0,0.8889741867383169
17,18,15,2,0,0,1,0,0,0,1,0,0.8933862690035829
18,20,16,3,0,0,1,0,0,0,1,0,0.8861485517636937
19,20,14,3,0,0,1,2,3,0,1,1,0.8705458680818802
18,22,14,6,0,0,2,0,0,0,2,0,0.8638452700114898
17,24,17,7,0,0,0,0,0,0,0,0,0.856261447989974
16,24,16,8,0,0,0,0,0,0,0,0,0.8156097560975609
16,23,14,7,0,0,0,2,2,0,0,1,0.8563907575314419
18,24,14,8,0,0,2,0,0,0,2,0,0.8115830115830116
16,24,15,7,0,1,0,0,0,1,0,0,0.8471350078492935
18,25,16,7,1,1,0,0,0,1,0,0,0.8294041210321144
17,25,15,10,2,0,0,0,0,0,0,0,0.7513062608855073
15,24,14,8,0,1,0,0,0,1,0,0,0.7974612656337502
16,21,15,6,1,0,0,0,0,0,0,0,0.847631868804308
