n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
18,20,17,1,0,1,0,0,0,1,0,0,0.8458054352107128
19,20,15,2,1,1,1,0,0,1,1,0,0.8511006930289442
17,20,13,6,2,0,1,0,0,0,1,0,0.7764753847721945
16,20,14,5,0,0,1,0,0,0,1,0,0.7427495675180624
15,21,14,5,0,1,0,0,0,1,0,0,0.8250553622271433
15,21,15,6,0,0,0,0,0,0,0,0,0.7698715375351265
15,21,15,6,0,0,0,0,0,0,0,0,0.7760485093481556
15,21,14,7,1,0,0,0,0,0,0,0,0.7331756823332348
16,22,15,7,1,0,0,0,0,0,0,0,0.794682422451994
17,23,16,7,1,0,0,0,0,0,0,0,0.8469972342947452
22,23,14,6,2,0,3,0,0,0,3,0,0.8278196943315922
20,22,17,5,3,0,0,0,0,0,0,0,0.8409269442262373
17,20,17,3,0,0,0,0,0,0,0,0,0.8541851523217983
17,18,17,1,0,0,0,0,0,0,0,0,0.8523754568186189
18,18,16,1,0,0,1,0,0,0,1,0,0.8630894624490588
16,17,16,1,0,0,0,0,0,0,0,0,0.8269929267826419
18,18,13,2,0,0,1,2,3,0,1,1,0.8649191619630728
16,19,16,3,0,0,0,0,0,0,0,0,0.8706699657403882
16,18,16,2,0,0,0,0,0,0,0,0,0.8780630674607048
18,20,17,3,1,0,0,0,0,0,0,0,0.8868069568559623
17,20,16,4,1,0,0,0,0,0,0,0,0.858957345971564
16,22,16,6,0,0,0,0,0,0,0,0,0.840050134978789
16,24,16,8,0,0,0,0,0,0,0,0,0.8488949469379807
18,24,14,9,2,0,1,0,0,0,1,0,0.8528431372549019
17,23,17,6,0,0,0,0,0,0,0,0,0.8502142578885858
16,24,16,8,0,0,0,0,0,0,0,0,0.8136817102137768
16,24,15,7,0,1,0,0,0,1,0,0,0.81967372305302
