n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
22,20,13,2,3,1,1,2,3,1,1,1,0.8681318681318682
23,20,13,3,2,0,4,0,0,0,4,0,0.8739478333160137
19,20,13,3,1,1,2,0,0,1,2,0,0.8758570538125909
19,20,14,2,0,1,2,0,0,1,2,0,0.8748479935143899
18,21,14,4,1,1,1,0,0,1,1,0,0.875678496868476
16,21,15,4,0,1,0,0,0,1,0,0,0.8795590356480527
17,21,15,4,1,1,0,0,0,1,0,0,0.8572162300975861
17,21,16,5,1,0,0,0,0,0,0,0,0.8646768175859635
19,22,14,5,1,0,1,2,2,0,1,1,0.8747141294620662
21,23,16,6,3,0,1,0,0,0,1,0,0.8644168146832445
19,23,15,7,2,0,1,0,0,0,1,0,0.8360297766749379
19,22,17,5,2,0,0,0,0,0,0,0,0.8807293240656795
17,20,17,3,0,0,0,0,0,0,0,0,0.8866215409118057
19,18,16,1,1,0,1,0,0,0,1,0,0.8841628086419753
19,18,16,1,1,0,1,0,0,0,1,0,0.8953747697081353
21,17,17,0,4,0,0,0,0,0,0,0,0.8840453356582388
16,18,16,2,0,0,0,0,0,0,0,0,0.8806918116083643
17,19,16,3,1,0,0,0,0,0,0,0,0.899148144521688
19,18,15,2,2,0,1,0,0,0,1,0,0.8787082968582822
20,20,16,3,2,0,1,0,0,0,1,0,0.8899003449597547
20,20,15,3,1,0,2,0,0,0,2,0,0.9035714285714286
20,23,14,6,0,0,3,0,0,0,3,0,0.8693065444260216
18,24,16,7,0,0,1,0,0,0,1,0,0.8701614471892628
16,24,15,7,0,1,0,0,0,1,0,0,0.8635284810126582
19,25,15,7,0,0,0,3,4,0,0,1,0.8351281099145934
18,25,15,8,2,1,0,0,0,1,0,0,0.8040140584535701
17,24,15,7,1,1,0,0,0,1,0,0,0.8400446387054775
16,21,15,6,1,0,0,0,0,0,0,0,0.8270815397860042
17,21,16,5,1,0,0,0,0,0,0,0,0.8606348048157607
18,20,15,4,1,0,1,0,0,0,1,0,0.868904593639576
17,21,16,5,1,0,0,0,0,0,0,0,0.861511005353956
16,21,16,5,0,0,0,0,0,0,0,0,0.868511263467189
22,21,12,4,0,0,5,0,0,0,5,0,0.8682299726223068
18,21,16,4,0,0,1,0,0,0,1,0,0.8555594859096805
19,20,16,3,1,0,1,0,0,0,1,0,0.8595492289442468
16,20,15,5,1,0,0,0,0,0,0,0,0.8622974092038329
17,20,15,4,0,0,1,0,0,0,1,0,0.8387543252595155
16,21,15,6,1,0,0,0,0,0,0,0,0.8659618008185539
17,22,16,6,1,0,0,0,0,0,0,0,0.8681541582150102
19,23,16,6,1,0,1,0,0,0,1,0,0.8516358924522189
20,24,16,5,1,1,1,0,0,1,1,0,0.8702482970775653
18,23,18,5,0,0,0,0,0,0,0,0,0.8635410921125207
20,23,17,4,1,0,0,2,2,0,0,1,0.8457288567785806
18,23,16,5,1,1,0,0,0,1,0,0,0.8638023630504833
20,23,16,5,3,1,0,0,0,1,0,0,0.8631636562671046
20,23,20,3,0,0,0,0,0,0,0,0,0.8459419368510278
23,22,17,2,0,0,3,0,0,0,3,0,0.8503272113151784
21,23,15,5,3,1,1,0,0,1,1,0,0.8692957144383884
21,23,16,4,1,0,1,2,2,0,1,1,0.8504004271222637
21,24,14,6,3,1,0,2,3,1,0,1,0.8472938144329897
18,24,14,7,1,1,1,0,0,1,1,0,0.8337613040080384
22,22,13,5,4,1,2,0,0,1,2,0,0.8408231368186875
21,21,15,2,0,0,1,3,4,0,1,1,0.8518811433736301
21,21,15,3,1,0,1,2,3,0,1,1,0.8599389071161896
23,21,15,2,3,0,1,3,3,0,1,1,0.8562603419746276
21,21,14,2,3,2,1,0,0,2,1,0,0.866615095590673
22,23,14,4,2,1,1,2,3,1,1,1,0.8696896324014968
16,16,15,1,1,0,0,0,0,0,0,0,0.8734847713150657
17,16,15,1,2,0,0,0,0,0,0,0,0.8868831551064456
18,17,14,2,2,0,1,0,0,0,1,0,0.8887568103021297
16,17,15,2,1,0,0,0,0,0,0,0,0.8741649217269917
16,18,16,2,0,0,0,0,0,0,0,0,0.8840523509452254
19,18,16,1,1,0,1,0,0,0,1,0,0.9022296856050005
19,19,18,1,1,0,0,0,0,0,0,0,0.8751127141568981
20,18,18,0,2,0,0,0,0,0,0,0,0.8757122507122507
18,19,18,1,0,0,0,0,0,0,0,0,0.8874190064794817
18,19,18,1,0,0,0,0,0,0,0,0,0.8778203870507447
18,18,18,0,0,0,0,0,0,0,0,0,0.8984141368373357
21,18,17,1,4,0,0,0,0,0,0,0,0.8987701908957415
18,18,17,1,1,0,0,0,0,0,0,0,0.8868982989504162
18,19,18,1,0,0,0,0,0,0,0,0,0.8992083946980854
17,19,17,2,0,0,0,0,0,0,0,0,0.8989608461681202
19,19,16,2,1,0,1,0,0,0,1,0,0.8882183641258936
17,18,17,1,0,0,0,0,0,0,0,0,0.8892396249187633
17,18,17,1,0,0,0,0,0,0,0,0,0.9041773717765724
19,19,17,2,2,0,0,0,0,0,0,0,0.8975982126233476
19,19,16,2,1,0,1,0,0,0,1,0,0.904671296736752
17,18,17,1,0,0,0,0,0,0,0,0,0.9013923326339882
17,18,17,1,0,0,0,0,0,0,0,0,0.896700143472023
17,18,17,1,0,0,0,0,0,0,0,0,0.9023426202641474
18,17,17,0,1,0,0,0,0,0,0,0,0.8934728450423518
16,18,16,2,0,0,0,0,0,0,0,0,0.8818343898573693
16,18,16,2,0,0,0,0,0,0,0,0,0.901323706377858
16,17,16,1,0,0,0,0,0,0,0,0,0.9067429022082019
17,18,16,2,1,0,0,0,0,0,0,0,0.8928467436668931
16,18,16,2,0,0,0,0,0,0,0,0,0.8909352517985611
18,18,17,1,1,0,0,0,0,0,0,0,0.9053822746291366
11,14,9,3,1,1,0,0,0,1,0,0,0.872093023255814
11,14,10,4,1,0,0,0,0,0,0,0,0.8932959401709402
11,14,11,3,0,0,0,0,0,0,0,0,0.8924479166666667
12,16,12,4,0,0,0,0,0,0,0,0,0.8851377570818781
12,16,12,4,0,0,0,0,0,0,0,0,0.8909823284823285
12,17,12,5,0,0,0,0,0,0,0,0,0.8915179725885699
13,17,12,5,1,0,0,0,0,0,0,0,0.8627855944236479
12,16,12,4,0,0,0,0,0,0,0,0,0.8932430673089441
13,17,12,5,1,0,0,0,0,0,0,0,0.8734030197444832
13,17,12,5,1,0,0,0,0,0,0,0,0.8739956638183906
