n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
19,20,15,2,1,1,1,0,0,1,1,0,0.8616265298065535
17,20,16,2,0,1,0,0,0,1,0,0,0.8554070473876063
16,20,15,3,0,1,0,0,0,1,0,0,0.8488454169607744
16,20,15,3,0,1,0,0,0,1,0,0,0.864140294295505
17,21,15,4,1,1,0,0,0,1,0,0,0.8731737643767485
16,21,15,4,0,1,0,0,0,1,0,0,0.8464170692431562
18,21,13,4,0,1,2,0,0,1,2,0,0.8558576771454564
17,21,16,5,1,0,0,0,0,0,0,0,0.8559507252135903
18,22,17,5,1,0,0,0,0,0,0,0,0.8706609139046871
20,23,15,6,2,0,0,2,3,0,0,1,0.8628012643224022
21,23,17,5,2,0,1,0,0,0,1,0,0.8545789677920063
18,22,16,6,2,0,0,0,0,0,0,0,0.8593054318788959
17,20,17,3,0,0,0,0,0,0,0,0,0.8793581616481775
17,18,17,1,0,0,0,0,0,0,0,0,0.8722243491577335
18,18,16,1,0,0,1,0,0,0,1,0,0.8679208688906129
17,17,16,1,1,0,0,0,0,0,0,0,0.8380662930952607
17,18,15,2,0,0,1,0,0,0,1,0,0.8640413912043691
17,19,16,3,1,0,0,0,0,0,0,0,0.8816030902945436
15,18,14,2,0,1,0,0,0,1,0,0,0.8851273148148148
18,20,17,3,1,0,0,0,0,0,0,0,0.8845708775313404
21,20,16,3,3,0,1,0,0,0,1,0,0.8614503099755777
18,22,13,5,0,1,2,0,0,1,2,0,0.8489984591679507
19,24,15,7,0,0,2,0,0,0,2,0,0.8724519510774607
21,24,17,6,2,0,1,0,0,0,1,0,0.8873280372020926
18,23,14,8,2,0,1,0,0,0,1,0,0.8682711198428291
18,24,15,8,1,0,1,0,0,0,1,0,0.8348371165352835
19,24,12,7,2,1,1,2,2,1,1,1,0.832422941865002
16,25,15,8,0,1,0,0,0,1,0,0,0.8077282934131736
17,25,16,7,0,1,0,0,0,1,0,0,0.7930371049015117
19,24,16,6,2,1,0,0,0,1,0,0,0.8359375
16,21,15,6,1,0,0,0,0,0,0,0,0.81356136336264
17,21,16,5,1,0,0,0,0,0,0,0,0.8276826284515904
17,20,16,4,1,0,0,0,0,0,0,0,0.8532267275842376
16,21,16,5,0,0,0,0,0,0,0,0,0.8628591783424365
17,21,15,6,2,0,0,0,0,0,0,0,0.8567830154731918
17,21,16,5,1,0,0,0,0,0,0,0,0.847765686501505
19,21,16,5,3,0,0,0,0,0,0,0,0.8466144633809305
17,20,17,3,0,0,0,0,0,0,0,0,0.8585811827334799
17,20,16,4,1,0,0,0,0,0,0,0,0.8513266239707228
17,20,13,6,2,0,1,0,0,0,1,0,0.8449774070212026
16,21,15,6,1,0,0,0,0,0,0,0,0.848298572996707
16,22,16,6,0,0,0,0,0,0,0,0,0.8490117723296252
18,23,17,6,1,0,0,0,0,0,0,0,0.8678240494195335
18,24,18,6,0,0,0,0,0,0,0,0,0.8655282817502669
18,23,18,5,0,0,0,0,0,0,0,0,0.864406779661017
18,23,17,6,1,0,0,0,0,0,0,0,0.8428333680049928
18,23,16,5,1,1,0,0,0,1,0,0,0.8451041666666667
20,23,16,5,3,1,0,0,0,1,0,0,0.8553173513570599
18,23,17,4,0,1,0,0,0,1,0,0,0.8583448716583235
20,22,16,3,1,1,1,0,0,1,1,0,0.8475687103594081
20,23,14,3,1,0,0,4,3,0,0,2,0.8167096441464673
22,23,15,4,1,0,1,3,4,0,1,1,0.8502198032237807
19,24,13,6,2,1,0,3,3,1,0,1,0.8439510939510939
19,24,13,8,3,1,1,0,0,1,1,0,0.8328051579062398
17,22,14,6,2,1,0,0,0,1,0,0,0.8460667798528579
22,21,14,3,3,0,1,3,3,0,1,1,0.8432082510423524
20,21,16,2,1,0,0,3,3,0,0,1,0.8428744094055598
21,21,14,2,0,0,0,5,7,0,0,1,0.8528862012094558
20,21,16,1,2,2,0,0,0,2,0,0,0.8507348938486663
22,23,14,5,3,0,0,2,2,0,0,2,0.8453474548794986
16,16,15,1,1,0,0,0,0,0,0,0,0.8605135322692574
16,16,15,1,1,0,0,0,0,0,0,0,0.8791335186427681
18,17,14,2,2,0,1,0,0,0,1,0,0.879957231726283
16,17,15,2,1,0,0,0,0,0,0,0,0.8714537272549403
16,18,16,2,0,0,0,0,0,0,0,0,0.8766328011611031
18,18,17,1,1,0,0,0,0,0,0,0,0.8666727173715738
22,19,16,1,2,0,2,0,0,0,2,0,0.8757791629563668
19,18,18,0,1,0,0,0,0,0,0,0,0.8890473219855628
18,19,18,1,0,0,0,0,0,0,0,0,0.8873088274751811
18,19,18,1,0,0,0,0,0,0,0,0,0.8907994238386748
18,18,18,0,0,0,0,0,0,0,0,0,0.8656570155902005
18,18,16,1,0,0,1,0,0,0,1,0,0.8629831295188789
18,18,17,1,1,0,0,0,0,0,0,0,0.8820882088208821
18,19,17,2,1,0,0,0,0,0,0,0,0.8886069065530681
17,19,17,2,0,0,0,0,0,0,0,0,0.8940981798124655
18,19,17,2,1,0,0,0,0,0,0,0,0.873018764802332
17,18,17,1,0,0,0,0,0,0,0,0,0.8830732946298984
17,18,17,1,0,0,0,0,0,0,0,0,0.8913955439545073
18,19,17,2,1,0,0,0,0,0,0,0,0.9030150284700831
19,19,16,2,1,0,1,0,0,0,1,0,0.8957896742236616
16,18,16,2,0,0,0,0,0,0,0,0,0.8554216867469879
17,18,17,1,0,0,0,0,0,0,0,0,0.8928435839028094
17,18,17,1,0,0,0,0,0,0,0,0,0.9033030157970321
17,17,17,0,0,0,0,0,0,0,0,0,0.8965347023398164
16,18,16,2,0,0,0,0,0,0,0,0,0.877951608201341
18,18,15,2,1,0,1,0,0,0,1,0,0.8739978224289815
16,17,16,1,0,0,0,0,0,0,0,0,0.8817298347910593
16,18,16,2,0,0,0,0,0,0,0,0,0.8957525213343678
16,18,16,2,0,0,0,0,0,0,0,0,0.8993782879005261
20,18,17,0,1,0,1,0,0,0,1,0,0.9058074327535406
11,14,9,3,1,1,0,0,0,1,0,0,0.8644243208279431
11,14,10,4,1,0,0,0,0,0,0,0,0.8741960380756367
11,14,11,3,0,0,0,0,0,0,0,0,0.8861652977412731
12,16,12,4,0,0,0,0,0,0,0,0,0.8771952313805922
12,16,12,4,0,0,0,0,0,0,0,0,0.8735335825705814
12,17,12,5,0,0,0,0,0,0,0,0,0.8730720606826802
12,17,12,5,0,0,0,0,0,0,0,0,0.873718840946476
12,16,12,4,0,0,0,0,0,0,0,0,0.8832799487508007
12,17,12,5,0,0,0,0,0,0,0,0,0.8785476860138072
13,17,11,5,0,0,1,0,0,0,1,0,0.8676006563170516
13,16,13,3,0,0,0,0,0,0,0,0,0.8563279857397504
13,17,13,4,0,0,0,0,0,0,0,0,0.8721291866028709
13,16,13,3,0,0,0,0,0,0,0,0,0.8804570054119062
13,16,13,3,0,0,0,0,0,0,0,0,0.8789549376797698
13,17,13,4,0,0,0,0,0,0,0,0,0.8755005889281507
13,17,13,4,0,0,0,0,0,0,0,0,0.8505059797608095
18,18,10,5,2,0,3,0,0,0,3,0,0.8577435178696566
14,18,12,4,0,0,0,2,2,0,0,1,0.8595829897514431
15,19,13,5,0,0,1,0,0,0,1,0,0.8764658075002902
15,18,13,4,0,0,1,0,0,0,1,0,0.8431612975142124
14,18,14,4,0,0,0,0,0,0,0,0,0.8826946709864819
14,18,13,3,0,1,0,0,0,1,0,0,0.8756596306068601
14,19,14,5,0,0,0,0,0,0,0,0,0.8839620560335318
15,19,15,4,0,0,0,0,0,0,0,0,0.8862491788920517
15,18,15,3,0,0,0,0,0,0,0,0,0.8951612903225806
15,18,15,3,0,0,0,0,0,0,0,0,0.8819518431706798
17,17,13,2,0,0,2,0,0,0,2,0,0.8685859980877509
16,17,12,2,0,0,1,2,2,0,1,1,0.8245372818614489
15,17,13,2,0,0,0,2,2,0,0,1,0.8066452304394427
15,17,15,2,0,0,0,0,0,0,0,0,0.8795731707317073
11,16,11,5,0,0,0,0,0,0,0,0,0.8188912809472552
12,16,9,6,1,0,1,0,0,0,1,0,0.8347451742813499
12,17,9,7,1,0,1,0,0,0,1,0,0.8393325058612605
10,16,10,6,0,0,0,0,0,0,0,0,0.8472513638271086
10,17,10,7,0,0,0,0,0,0,0,0,0.8419495703620228
12,19,11,8,1,0,0,0,0,0,0,0,0.8066204370011776
12,19,12,7,0,0,0,0,0,0,0,0,0.8183213920163767
12,19,12,7,0,0,0,0,0,0,0,0,0.844520638269814
12,18,12,6,0,0,0,0,0,0,0,0,0.8384807464844264
13,18,13,5,0,0,0,0,0,0,0,0,0.827743109724389
