n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
21,20,13,2,2,1,1,2,3,1,1,1,0.8491086378410322
18,20,16,3,0,0,1,0,0,0,1,0,0.8495475113122172
21,20,12,3,2,1,3,0,0,1,3,0,0.8624436244362443
18,20,15,3,2,1,0,0,0,1,0,0,0.8557614006514658
16,21,15,4,0,1,0,0,0,1,0,0,0.8745926626721329
16,21,15,4,0,1,0,0,0,1,0,0,0.8635483542239886
18,21,13,4,0,1,2,0,0,1,2,0,0.8449801647848642
18,21,17,4,1,0,0,0,0,0,0,0,0.8628715365239294
18,22,17,5,1,0,0,0,0,0,0,0,0.8725616397663135
20,23,15,6,1,0,2,0,0,0,2,0,0.8656731148835373
20,23,16,6,2,0,1,0,0,0,1,0,0.842686827566153
19,22,17,5,2,0,0,0,0,0,0,0,0.8561323104513301
17,20,17,3,0,0,0,0,0,0,0,0,0.8787367166550799
17,18,17,1,0,0,0,0,0,0,0,0,0.8726243040890767
19,18,16,2,3,0,0,0,0,0,0,0,0.8636582778902709
16,17,16,1,0,0,0,0,0,0,0,0,0.8495752600935382
17,18,15,2,0,0,1,0,0,0,1,0,0.8703360935216756
16,19,16,3,0,0,0,0,0,0,0,0,0.8658844065166796
17,18,14,2,0,0,0,2,3,0,0,1,0.8802680132064479
16,20,15,3,0,1,0,0,0,1,0,0,0.8773041474654378
18,20,16,4,2,0,0,0,0,0,0,0,0.8635757806549885
17,22,13,6,0,0,1,2,2,0,1,1,0.8520710059171598
18,24,17,7,1,0,0,0,0,0,0,0,0.8783172793394928
20,24,16,6,0,0,2,0,0,0,2,0,0.8752805699229043
18,23,16,7,2,0,0,0,0,0,0,0,0.8658536585365854
16,24,16,8,0,0,0,0,0,0,0,0,0.8301490256018341
16,24,15,7,0,1,0,0,0,1,0,0,0.8288928359976317
15,25,15,10,0,0,0,0,0,0,0,0,0.7588412340105343
16,25,15,10,1,0,0,0,0,0,0,0,0.7564800295175722
19,24,15,7,3,1,0,0,0,1,0,0,0.8297774083310243
16,21,15,6,1,0,0,0,0,0,0,0,0.825938566552901
18,21,16,5,2,0,0,0,0,0,0,0,0.8451782723139507
17,20,16,4,1,0,0,0,0,0,0,0,0.8540772532188842
17,21,16,5,1,0,0,0,0,0,0,0,0.8580561145968983
17,21,15,6,2,0,0,0,0,0,0,0,0.8556342253690148
18,21,14,6,2,0,1,0,0,0,1,0,0.8460276540895243
17,21,16,5,1,0,0,0,0,0,0,0,0.8598546988516522
17,20,17,3,0,0,0,0,0,0,0,0,0.8724063916050561
19,20,16,4,3,0,0,0,0,0,0,0,0.8497245340522799
17,20,14,5,1,0,1,0,0,0,1,0,0.8394389056341294
16,21,15,6,1,0,0,0,0,0,0,0,0.8487385577137754
15,22,15,7,0,0,0,0,0,0,0,0,0.8060659729909232
17,23,17,6,0,0,0,0,0,0,0,0,0.8653361114157254
18,24,17,5,0,1,0,0,0,1,0,0,0.8688471150711724
18,23,18,5,0,0,0,0,0,0,0,0,0.8446760013025073
20,23,16,4,1,1,1,0,0,1,1,0,0.8408322771440642
17,23,16,5,0,1,0,0,0,1,0,0,0.8448992644707387
20,23,17,5,1,0,1,0,0,0,1,0,0.851824114689205
18,23,17,4,0,1,0,0,0,1,0,0,0.8535348084187804
19,22,15,4,1,1,1,0,0,1,1,0,0.8409525834573677
21,23,16,5,1,0,2,0,0,0,2,0,0.8475106982569669
18,23,16,5,1,1,0,0,0,1,0,0,0.8578158458244112
19,24,13,6,2,2,1,0,0,2,1,0,0.842467965973942
18,24,12,8,2,0,1,3,2,0,1,1,0.8261348611723226
20,22,14,5,2,0,0,3,4,0,0,1,0.8413909141895681
22,21,14,3,2,0,1,3,4,0,1,1,0.8487423141419788
21,21,15,2,2,0,1,3,2,0,1,1,0.8389924545051043
23,21,15,1,0,0,0,2,4,0,0,2,0.861364141301933
21,21,14,2,2,1,1,2,2,1,1,1,0.8754290776215259
21,23,16,4,2,1,1,0,0,1,1,0,0.8581806353681015
