n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
23,20,12,2,3,1,2,2,3,1,2,1,0.87010693613264
19,20,14,2,0,1,2,0,0,1,2,0,0.8614875037639266
21,20,13,3,3,1,2,0,0,1,2,0,0.8725333864859478
20,20,15,3,4,1,0,0,0,1,0,0,0.8618795369825387
16,21,14,4,0,0,0,3,2,0,0,1,0.8695114409400123
18,21,15,4,2,1,0,0,0,1,0,0,0.8453924576858359
19,21,12,4,0,1,3,0,0,1,3,0,0.8316326530612245
19,21,15,6,4,0,0,0,0,0,0,0,0.8393207695327837
17,22,16,6,1,0,0,0,0,0,0,0,0.8229267349700368
18,23,17,6,1,0,0,0,0,0,0,0,0.8718951691766087
22,23,13,7,3,0,3,0,0,0,3,0,0.8487936172258003
21,22,16,5,3,0,1,0,0,0,1,0,0.8661564125208517
20,20,17,2,1,0,1,0,0,0,1,0,0.8825467584068224
17,18,17,1,0,0,0,0,0,0,0,0,0.8800417576160198
18,18,16,1,0,0,1,0,0,0,1,0,0.8696358596960718
19,17,16,0,0,0,2,0,0,0,1,0,0.8559736594543744
17,18,15,2,0,0,1,0,0,0,1,0,0.8721609966459032
17,19,15,3,0,0,1,0,0,0,1,0,0.8738409665636415
15,18,14,2,0,1,0,0,0,1,0,0,0.879438717067583
18,20,14,3,1,1,1,0,0,1,1,0,0.899146110056926
18,20,14,3,1,1,1,0,0,1,1,0,0.8660941775974332
16,22,16,6,0,0,0,0,0,0,0,0,0.8623195334161966
16,24,16,8,0,0,0,0,0,0,0,0,0.85
17,24,17,7,0,0,0,0,0,0,0,0,0.8528301886792453
17,23,16,7,1,0,0,0,0,0,0,0,0.8482553680981595
17,24,16,8,1,0,0,0,0,0,0,0,0.8480251860331998
16,24,15,7,0,1,0,0,0,1,0,0,0.8412421154779234
16,25,15,8,0,1,0,0,0,1,0,0,0.8029615918556224
16,25,15,8,0,1,0,0,0,1,0,0,0.7591604089387497
16,24,15,7,0,1,0,0,0,1,0,0,0.7980734278444203
