n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,10,7,3,0,0,0,0,0,0,0,0,0.6818446037589614
7,10,7,3,0,0,0,0,0,0,0,0,0.7006394109668669
7,9,7,2,0,0,0,0,0,0,0,0,0.6916008086748759
7,9,7,2,0,0,0,0,0,0,0,0,0.705710102489019
7,9,7,2,0,0,0,0,0,0,0,0,0.6867883607446231
7,9,7,2,0,0,0,0,0,0,0,0,0.7057954964931709
7,9,7,2,0,0,0,0,0,0,0,0,0.7158171901448185
7,9,7,2,0,0,0,0,0,0,0,0,0.6778109824430333
7,9,7,2,0,0,0,0,0,0,0,0,0.7071290944123314
7,9,7,2,0,0,0,0,0,0,0,0,0.7155305964368707
7,8,7,1,0,0,0,0,0,0,0,0,0.7139784946236559
7,9,7,2,0,0,0,0,0,0,0,0,0.7080007786645902
7,9,7,2,0,0,0,0,0,0,0,0,0.7192099147947327
7,9,7,2,0,0,0,0,0,0,0,0,0.6945088940448569
7,8,7,1,0,0,0,0,0,0,0,0,0.6988439306358382
7,9,7,2,0,0,0,0,0,0,0,0,0.6987858932356908
7,9,7,2,0,0,0,0,0,0,0,0,0.704153605015674
7,8,7,1,0,0,0,0,0,0,0,0,0.6955010619810774
7,8,7,1,0,0,0,0,0,0,0,0,0.7170340681362726
7,8,7,1,0,0,0,0,0,0,0,0,0.6863011044371246
7,8,7,1,0,0,0,0,0,0,0,0,0.698083691826359
7,9,7,2,0,0,0,0,0,0,0,0,0.6965116279069767
7,9,7,2,0,0,0,0,0,0,0,0,0.7006617360840794
7,9,7,2,0,0,0,0,0,0,0,0,0.6615210843373494
7,9,7,2,0,0,0,0,0,0,0,0,0.6960917752284659
7,9,7,2,0,0,0,0,0,0,0,0,0.7000195809672998
7,9,7,2,0,0,0,0,0,0,0,0,0.6929807505347074
7,9,7,2,0,0,0,0,0,0,0,0,0.6902637703646237
7,9,7,2,0,0,0,0,0,0,0,0,0.6736700077101002
7,9,7,2,0,0,0,0,0,0,0,0,0.665645346610494
7,8,7,1,0,0,0,0,0,0,0,0,0.675044178283919
7,8,7,1,0,0,0,0,0,0,0,0,0.7064777327935222
8,9,8,1,0,0,0,0,0,0,0,0,0.6858778625954198
8,9,8,1,0,0,0,0,0,0,0,0,0.6745697896749522
7,9,7,2,0,0,0,0,0,0,0,0,0.6674679487179487
5,9,3,5,0,0,1,0,0,0,1,0,0.3643530090367237
6,9,6,3,0,0,0,0,0,0,0,0,0.4877332774166492
5,9,4,5,1,0,0,0,0,0,0,0,0.37710168134507605
5,9,3,4,0,0,0,2,2,0,0,1,0.4069306930693069
13,11,11,0,2,0,0,0,0,0,0,0,0.7777534246575343
13,12,12,0,1,0,0,0,0,0,0,0,0.8437259430331023
12,12,12,0,0,0,0,0,0,0,0,0,0.8069603616864683
12,12,12,0,0,0,0,0,0,0,0,0,0.8000206483584555
12,12,12,0,0,0,0,0,0,0,0,0,0.8384401114206128
12,12,12,0,0,0,0,0,0,0,0,0,0.8288364249578415
12,12,12,0,0,0,0,0,0,0,0,0,0.826904686005738
12,12,12,0,0,0,0,0,0,0,0,0,0.8197367057116202
12,12,12,0,0,0,0,0,0,0,0,0,0.8307432075272227
12,12,12,0,0,0,0,0,0,0,0,0,0.8131469979296067
12,12,12,0,0,0,0,0,0,0,0,0,0.8152606238224828
12,12,12,0,0,0,0,0,0,0,0,0,0.822346600331675
12,12,12,0,0,0,0,0,0,0,0,0,0.8422628595872099
12,12,12,0,0,0,0,0,0,0,0,0,0.8096648957907642
12,12,12,0,0,0,0,0,0,0,0,0,0.8152007355194606
12,12,12,0,0,0,0,0,0,0,0,0,0.8216305130050375
12,12,12,0,0,0,0,0,0,0,0,0,0.8291788856304986
12,12,12,0,0,0,0,0,0,0,0,0,0.80517258729999
13,12,11,1,2,0,0,0,0,0,0,0,0.8068665281488078
11,12,9,3,2,0,0,0,0,0,0,0,0.7281256172229903
12,12,11,1,1,0,0,0,0,0,0,0,0.7939668174962292
13,12,11,1,2,0,0,0,0,0,0,0,0.8175020210185934
12,12,11,1,1,0,0,0,0,0,0,0,0.7915054083556614
13,13,11,2,2,0,0,0,0,0,0,0,0.8083108580561382
14,13,12,1,2,0,0,0,0,0,0,0,0.8032072856860027
13,13,13,0,0,0,0,0,0,0,0,0,0.810398749022674
13,13,13,0,0,0,0,0,0,0,0,0,0.8469306138772246
14,13,13,0,1,0,0,0,0,0,0,0,0.8295341922695738
12,13,11,2,1,0,0,0,0,0,0,0,0.7439984258166077
13,13,13,0,0,0,0,0,0,0,0,0,0.8138635462118207
16,13,11,0,1,0,2,0,0,0,2,0,0.8052668052668053
14,13,10,1,0,0,2,0,0,0,2,0,0.7674371037021885
15,13,11,0,0,0,2,0,0,0,2,0,0.8112873042450507
13,13,13,0,0,0,0,0,0,0,0,0,0.8273750740667588
13,13,13,0,0,0,0,0,0,0,0,0,0.8350703227764849
12,13,12,1,0,0,0,0,0,0,0,0,0.7584230111636328
13,13,13,0,0,0,0,0,0,0,0,0,0.8340434375974228
15,13,11,0,0,0,2,0,0,0,2,0,0.8462732919254659
15,13,10,1,1,0,2,0,0,0,2,0,0.8234090444035196
6,6,6,0,0,0,0,0,0,0,0,0,0.8561057816956184
7,6,5,0,0,0,1,0,0,0,1,0,0.8065015479876161
6,6,5,1,1,0,0,0,0,0,0,0,0.8107658157602664
6,7,5,2,1,0,0,0,0,0,0,0,0.6516703786191537
6,7,6,1,0,0,0,0,0,0,0,0,0.7776840329044505
7,7,6,1,1,0,0,0,0,0,0,0,0.7587971849008317
6,8,4,2,1,1,0,0,0,1,0,0,0.7613901250264886
7,8,7,1,0,0,0,0,0,0,0,0,0.7789277582281101
7,8,6,2,1,0,0,0,0,0,0,0,0.7438394276629571
7,8,7,1,0,0,0,0,0,0,0,0,0.685413716366579
7,8,6,2,1,0,0,0,0,0,0,0,0.7532416502946955
7,7,7,0,0,0,0,0,0,0,0,0,0.8049351201871943
8,8,8,0,0,0,0,0,0,0,0,0,0.8305015353121802
9,8,7,0,0,0,1,0,0,0,1,0,0.8186757898973637
8,8,8,0,0,0,0,0,0,0,0,0,0.8206122448979591
8,8,8,0,0,0,0,0,0,0,0,0,0.843801996672213
9,8,7,0,0,0,1,0,0,0,1,0,0.8266003729024238
7,8,6,0,0,1,0,0,0,1,0,0,0.8052631578947368
6,8,6,2,0,0,0,0,0,0,0,0,0.8055496264674493
6,8,6,2,0,0,0,0,0,0,0,0,0.8049668165275101
6,8,5,1,0,1,0,0,0,1,0,0,0.8055925432756325
7,7,5,1,0,0,1,0,0,0,1,0,0.817931667048842
6,8,6,2,0,0,0,0,0,0,0,0,0.7813333333333333
6,8,6,2,0,0,0,0,0,0,0,0,0.7695216907675194
6,8,6,2,0,0,0,0,0,0,0,0,0.8100623124855758
6,8,6,2,0,0,0,0,0,0,0,0,0.779889502762431
6,8,6,2,0,0,0,0,0,0,0,0,0.7772667542706965
6,8,6,2,0,0,0,0,0,0,0,0,0.7861220904699165
6,8,6,2,0,0,0,0,0,0,0,0,0.7696749358426005
6,8,6,2,0,0,0,0,0,0,0,0,0.7634313508733142
6,8,6,2,0,0,0,0,0,0,0,0,0.8077772867874503
6,8,6,2,0,0,0,0,0,0,0,0,0.7901012373453319
7,8,7,1,0,0,0,0,0,0,0,0,0.8120746432491768
7,8,5,2,0,0,1,0,0,0,1,0,0.7455913978494624
7,8,5,2,0,0,1,0,0,0,1,0,0.7513276379589009
6,8,5,1,0,1,0,0,0,1,0,0,0.8027621924902891
6,8,5,1,0,1,0,0,0,1,0,0,0.860178204249486
6,8,5,1,0,1,0,0,0,1,0,0,0.8061722912966253
7,8,7,1,0,0,0,0,0,0,0,0,0.7799159477991595
9,10,7,3,2,0,0,0,0,0,0,0,0.8127276212382596
