n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,10,7,3,0,0,0,0,0,0,0,0,0.6721597518417991
7,10,7,3,0,0,0,0,0,0,0,0,0.703551912568306
7,9,7,2,0,0,0,0,0,0,0,0,0.6728383632660618
7,9,7,2,0,0,0,0,0,0,0,0,0.6776075857038658
7,9,7,2,0,0,0,0,0,0,0,0,0.6676934227215076
7,9,7,2,0,0,0,0,0,0,0,0,0.6858832224685883
7,9,7,2,0,0,0,0,0,0,0,0,0.6909330323551542
7,9,7,2,0,0,0,0,0,0,0,0,0.6866479925303455
7,9,7,2,0,0,0,0,0,0,0,0,0.6951336795537604
7,9,7,2,0,0,0,0,0,0,0,0,0.6859247770453665
7,8,7,1,0,0,0,0,0,0,0,0,0.7081283211966148
7,9,7,2,0,0,0,0,0,0,0,0,0.7046783625730995
7,9,7,2,0,0,0,0,0,0,0,0,0.6902775082476228
7,9,7,2,0,0,0,0,0,0,0,0,0.6991287512100678
7,8,7,1,0,0,0,0,0,0,0,0,0.6763397175469142
7,9,7,2,0,0,0,0,0,0,0,0,0.6820116054158607
7,9,7,2,0,0,0,0,0,0,0,0,0.7052034428794992
7,8,7,1,0,0,0,0,0,0,0,0,0.6751308393099438
7,8,7,1,0,0,0,0,0,0,0,0,0.6973264166001596
7,8,7,1,0,0,0,0,0,0,0,0,0.6687366582573259
7,8,7,1,0,0,0,0,0,0,0,0,0.6589618021547502
7,9,7,2,0,0,0,0,0,0,0,0,0.6729170693988015
7,9,7,2,0,0,0,0,0,0,0,0,0.6900641648843088
7,9,7,2,0,0,0,0,0,0,0,0,0.656888720666162
7,9,7,2,0,0,0,0,0,0,0,0,0.6728479406597697
7,9,7,2,0,0,0,0,0,0,0,0,0.6965828750981933
7,9,7,2,0,0,0,0,0,0,0,0,0.6861785434612373
7,9,7,2,0,0,0,0,0,0,0,0,0.6678988326848249
7,9,7,2,0,0,0,0,0,0,0,0,0.6690508409046975
7,9,7,2,0,0,0,0,0,0,0,0,0.6442876215906923
7,8,7,1,0,0,0,0,0,0,0,0,0.6646989374262101
7,8,7,1,0,0,0,0,0,0,0,0,0.6839010543390105
7,9,7,2,0,0,0,0,0,0,0,0,0.6445424899290236
7,9,7,2,0,0,0,0,0,0,0,0,0.6456858618710541
7,9,7,2,0,0,0,0,0,0,0,0,0.6663290113452188
7,9,7,2,0,0,0,0,0,0,0,0,0.6143840856924254
7,9,7,2,0,0,0,0,0,0,0,0,0.6632589192572501
6,9,6,3,0,0,0,0,0,0,0,0,0.44083017361804033
8,9,8,1,0,0,0,0,0,0,0,0,0.6311379579111458
13,11,11,0,2,0,0,0,0,0,0,0,0.7717016783372235
12,12,12,0,0,0,0,0,0,0,0,0,0.8491470621027986
12,12,12,0,0,0,0,0,0,0,0,0,0.8096911608093716
12,12,12,0,0,0,0,0,0,0,0,0,0.7843788948899044
12,12,12,0,0,0,0,0,0,0,0,0,0.8317422434367542
12,12,12,0,0,0,0,0,0,0,0,0,0.81504500642949
12,12,12,0,0,0,0,0,0,0,0,0,0.8058180273914428
12,12,12,0,0,0,0,0,0,0,0,0,0.7989583333333333
12,12,12,0,0,0,0,0,0,0,0,0,0.8103484912877178
12,12,12,0,0,0,0,0,0,0,0,0,0.8139679900228642
12,12,12,0,0,0,0,0,0,0,0,0,0.8141592920353983
12,12,12,0,0,0,0,0,0,0,0,0,0.8178835978835979
12,12,12,0,0,0,0,0,0,0,0,0,0.8366384392753778
12,12,12,0,0,0,0,0,0,0,0,0,0.8119393751933189
12,12,12,0,0,0,0,0,0,0,0,0,0.799547697368421
12,12,12,0,0,0,0,0,0,0,0,0,0.8094551447110928
12,12,12,0,0,0,0,0,0,0,0,0,0.8309040980143642
12,12,11,1,1,0,0,0,0,0,0,0,0.7971934856089317
12,12,12,0,0,0,0,0,0,0,0,0,0.8156811565103905
12,12,12,0,0,0,0,0,0,0,0,0,0.7965226030799801
12,12,11,1,1,0,0,0,0,0,0,0,0.7856996726677578
12,12,12,0,0,0,0,0,0,0,0,0,0.8276824477982221
12,12,12,0,0,0,0,0,0,0,0,0,0.8015274846749071
13,13,12,1,1,0,0,0,0,0,0,0,0.8101496158511928
13,13,13,0,0,0,0,0,0,0,0,0,0.801762114537445
13,13,13,0,0,0,0,0,0,0,0,0,0.8198438580887439
13,13,13,0,0,0,0,0,0,0,0,0,0.8462161888359842
12,13,12,1,0,0,0,0,0,0,0,0,0.7759146341463414
12,13,11,2,1,0,0,0,0,0,0,0,0.7353232844109481
14,13,10,1,0,0,2,0,0,0,2,0,0.7430206868849166
15,13,11,0,0,0,2,0,0,0,2,0,0.8137205302033795
12,13,12,1,0,0,0,0,0,0,0,0,0.7674562306900103
14,13,10,1,0,0,2,0,0,0,2,0,0.7369264676417552
14,13,13,0,1,0,0,0,0,0,0,0,0.8146607231302625
14,13,10,2,2,0,1,0,0,0,1,0,0.7452235772357724
13,13,11,1,0,0,1,0,0,0,1,0,0.7577582686810943
13,13,13,0,0,0,0,0,0,0,0,0,0.837620242576328
12,13,12,1,0,0,0,0,0,0,0,0,0.7839831401475237
12,13,12,1,0,0,0,0,0,0,0,0,0.7620091896407686
7,6,5,0,0,0,1,0,0,0,1,0,0.8438406752835663
7,6,5,0,0,0,1,0,0,0,1,0,0.833636127692707
8,6,5,1,3,0,0,0,0,0,0,0,0.6789055191768008
7,7,5,2,2,0,0,0,0,0,0,0,0.7645168202271266
6,7,6,1,0,0,0,0,0,0,0,0,0.8034278459585273
8,7,6,1,2,0,0,0,0,0,0,0,0.7415245933764453
6,8,4,0,0,2,0,0,0,2,0,0,0.7907124681933843
7,8,7,1,0,0,0,0,0,0,0,0,0.8083832335329342
10,8,7,1,3,0,0,0,0,0,0,0,0.7105215665042411
7,8,7,1,0,0,0,0,0,0,0,0,0.7884654164145997
7,8,7,1,0,0,0,0,0,0,0,0,0.7903666146645866
9,7,7,0,2,0,0,0,0,0,0,0,0.7742771684945164
8,8,7,1,1,0,0,0,0,0,0,0,0.7808273667462211
8,8,8,0,0,0,0,0,0,0,0,0,0.8366808683302901
9,8,8,0,1,0,0,0,0,0,0,0,0.7935126582278481
8,8,7,1,1,0,0,0,0,0,0,0,0.8423707440100883
9,8,7,0,0,0,1,0,0,0,1,0,0.8308262930146302
11,8,7,0,2,0,1,0,0,0,1,0,0.7836032388663967
10,8,6,1,2,0,1,0,0,0,1,0,0.7792729463747741
6,8,6,2,0,0,0,0,0,0,0,0,0.8138876795820635
7,8,5,1,1,1,0,0,0,1,0,0,0.8150609080841639
6,7,5,0,0,1,0,0,0,1,0,0,0.8373814480684709
6,8,6,2,0,0,0,0,0,0,0,0,0.8021710234824989
8,8,6,2,2,0,0,0,0,0,0,0,0.7546102263202011
7,8,5,2,0,0,1,0,0,0,1,0,0.8147801683816651
6,8,6,2,0,0,0,0,0,0,0,0,0.8016803006853858
7,8,6,2,1,0,0,0,0,0,0,0,0.7426116118214211
6,8,6,2,0,0,0,0,0,0,0,0,0.7913429522752498
7,8,6,2,1,0,0,0,0,0,0,0,0.8007787151200519
7,8,6,2,1,0,0,0,0,0,0,0,0.7754339705559218
7,8,6,2,1,0,0,0,0,0,0,0,0.8191133882824683
6,8,6,2,0,0,0,0,0,0,0,0,0.7854748603351955
7,8,6,2,1,0,0,0,0,0,0,0,0.8104444444444444
9,8,4,2,1,0,2,0,0,0,2,0,0.802031553922628
7,8,7,1,0,0,0,0,0,0,0,0,0.8391066545123063
8,8,6,2,2,0,0,0,0,0,0,0,0.7618043844856661
6,8,5,1,0,1,0,0,0,1,0,0,0.8390804597701149
7,8,7,1,0,0,0,0,0,0,0,0,0.7995055068554732
8,8,7,1,1,0,0,0,0,0,0,0,0.7559839017157381
9,10,8,2,1,0,0,0,0,0,0,0,0.8059615384615385
8,10,8,2,0,0,0,0,0,0,0,0,0.8153230417381361
9,10,8,2,1,0,0,0,0,0,0,0,0.7564542336161763
8,10,8,2,0,0,0,0,0,0,0,0,0.7805312889998217
8,10,7,3,1,0,0,0,0,0,0,0,0.791538600614717
8,10,8,2,0,0,0,0,0,0,0,0,0.797069994574064
8,10,8,2,0,0,0,0,0,0,0,0,0.7741302408563783
8,10,8,2,0,0,0,0,0,0,0,0,0.7917555081734187
8,10,7,3,1,0,0,0,0,0,0,0,0.7765726681127982
8,9,7,2,1,0,0,0,0,0,0,0,0.7660869565217391
9,10,7,3,2,0,0,0,0,0,0,0,0.7649647887323944
8,10,7,3,1,0,0,0,0,0,0,0,0.7445834067289061
8,10,7,3,1,0,0,0,0,0,0,0,0.7607754890081357
8,10,7,3,1,0,0,0,0,0,0,0,0.7729720340455098
8,10,7,3,1,0,0,0,0,0,0,0,0.7626297577854672
8,10,7,3,1,0,0,0,0,0,0,0,0.7874508401859135
8,10,7,3,1,0,0,0,0,0,0,0,0.7561658212349134
8,9,7,2,1,0,0,0,0,0,0,0,0.7678927341909766
8,9,7,2,1,0,0,0,0,0,0,0,0.7869152046783626
8,9,7,2,1,0,0,0,0,0,0,0,0.78736544909123
8,9,7,2,1,0,0,0,0,0,0,0,0.7668948569422503
8,9,7,2,1,0,0,0,0,0,0,0,0.7612168592794017
10,9,6,2,2,0,1,0,0,0,1,0,0.7653096134108792
8,10,7,3,1,0,0,0,0,0,0,0,0.7406659939455096
8,10,7,3,1,0,0,0,0,0,0,0,0.7425642749117796
8,10,7,3,1,0,0,0,0,0,0,0,0.7795735900962861
8,10,7,3,1,0,0,0,0,0,0,0,0.76807895184618
8,10,7,3,1,0,0,0,0,0,0,0,0.7706002034587996
8,10,7,3,1,0,0,0,0,0,0,0,0.7552960800667222
8,9,7,2,1,0,0,0,0,0,0,0,0.7640783490731025
8,9,7,2,1,0,0,0,0,0,0,0,0.7692980920707159
8,9,7,2,1,0,0,0,0,0,0,0,0.7899159663865546
8,9,7,2,1,0,0,0,0,0,0,0,0.752814827645938
8,9,7,2,1,0,0,0,0,0,0,0,0.771722096465262
8,9,7,2,1,0,0,0,0,0,0,0,0.7949873782906599
10,9,7,2,3,0,0,0,0,0,0,0,0.7023889636608345
8,9,7,2,1,0,0,0,0,0,0,0,0.8182161753590325
8,9,7,2,1,0,0,0,0,0,0,0,0.784389899346636
8,9,7,2,1,0,0,0,0,0,0,0,0.7782748747315676
13,16,13,3,0,0,0,0,0,0,0,0,0.717856754700576
13,16,13,3,0,0,0,0,0,0,0,0,0.7197896544322816
13,16,13,3,0,0,0,0,0,0,0,0,0.7204437400950872
13,16,13,3,0,0,0,0,0,0,0,0,0.7237354085603113
13,16,13,3,0,0,0,0,0,0,0,0,0.7051533615614995
13,16,13,3,0,0,0,0,0,0,0,0,0.7133249264396805
13,16,13,3,0,0,0,0,0,0,0,0,0.7255316897682785
13,16,13,3,0,0,0,0,0,0,0,0,0.7199456408112064
13,16,13,3,0,0,0,0,0,0,0,0,0.7261193247352417
13,16,13,3,0,0,0,0,0,0,0,0,0.724823137744486
13,16,13,3,0,0,0,0,0,0,0,0,0.7093059771799435
13,16,13,3,0,0,0,0,0,0,0,0,0.7149059334298119
14,16,14,2,0,0,0,0,0,0,0,0,0.7322515212981744
14,16,14,2,0,0,0,0,0,0,0,0,0.7191614340692728
14,17,14,3,0,0,0,0,0,0,0,0,0.7043460925039873
14,17,14,3,0,0,0,0,0,0,0,0,0.6932263116679718
14,17,14,3,0,0,0,0,0,0,0,0,0.6953085925777733
14,18,14,4,0,0,0,0,0,0,0,0,0.6862555577034603
14,18,14,4,0,0,0,0,0,0,0,0,0.6960480433940334
14,18,14,4,0,0,0,0,0,0,0,0,0.6747408105560792
14,17,14,3,0,0,0,0,0,0,0,0,0.6877284093094826
14,17,14,3,0,0,0,0,0,0,0,0,0.677603010711184
14,17,14,3,0,0,0,0,0,0,0,0,0.6766836335160532
14,17,14,3,0,0,0,0,0,0,0,0,0.6808931041296187
14,17,14,3,0,0,0,0,0,0,0,0,0.680159579643865
14,17,14,3,0,0,0,0,0,0,0,0,0.6936840046929996
13,17,13,4,0,0,0,0,0,0,0,0,0.6861415752741775
13,18,13,5,0,0,0,0,0,0,0,0,0.6713349225268176
12,18,12,6,0,0,0,0,0,0,0,0,0.6543548545116097
12,18,12,6,0,0,0,0,0,0,0,0,0.6745186399016796
12,18,12,6,0,0,0,0,0,0,0,0,0.6548137876386688
13,18,12,6,1,0,0,0,0,0,0,0,0.648643373023619
13,18,12,6,1,0,0,0,0,0,0,0,0.6429123213595983
12,18,12,6,0,0,0,0,0,0,0,0,0.6215171046108081
12,18,12,6,0,0,0,0,0,0,0,0,0.6279141104294479
14,18,12,6,2,0,0,0,0,0,0,0,0.6508100299246724
14,19,14,5,0,0,0,0,0,0,0,0,0.6751730959446093
13,20,13,7,0,0,0,0,0,0,0,0,0.6564200765974602
13,20,13,7,0,0,0,0,0,0,0,0,0.6355816226783969
7,6,4,0,2,1,0,0,0,1,0,0,0.7516737674984784
18,6,3,3,15,0,0,0,0,0,0,0,0.4196397644613786
14,5,4,1,10,0,0,0,0,0,0,0,0.40352918363389567
7,5,3,2,4,0,0,0,0,0,0,0,0.6949327817993796
7,5,3,2,4,0,0,0,0,0,0,0,0.5760467980295566
15,5,3,2,12,0,0,0,0,0,0,0,0.4154387508247196
5,5,3,2,2,0,0,0,0,0,0,0,0.7813129279097866
8,5,3,2,5,0,0,0,0,0,0,0,0.5472972972972973
21,5,3,2,18,0,0,0,0,0,0,0,0.31668063704945515
6,5,4,1,2,0,0,0,0,0,0,0,0.710263720598717
8,5,3,2,5,0,0,0,0,0,0,0,0.5066666666666667
16,5,3,2,13,0,0,0,0,0,0,0,0.3676763650856915
