n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,10,7,3,0,0,0,0,0,0,0,0,0.6680933852140077
7,10,7,3,0,0,0,0,0,0,0,0,0.6890576323987538
7,9,7,2,0,0,0,0,0,0,0,0,0.6827598964113948
7,9,7,2,0,0,0,0,0,0,0,0,0.6764382557713449
7,9,7,2,0,0,0,0,0,0,0,0,0.6649119622436014
7,9,7,2,0,0,0,0,0,0,0,0,0.6931060044477391
7,9,7,2,0,0,0,0,0,0,0,0,0.6901355421686747
7,9,7,2,0,0,0,0,0,0,0,0,0.6679132385938669
7,9,7,2,0,0,0,0,0,0,0,0,0.6889832143546208
7,9,7,2,0,0,0,0,0,0,0,0,0.68467944993221
7,8,7,1,0,0,0,0,0,0,0,0,0.6862706530291109
8,9,7,2,1,0,0,0,0,0,0,0,0.7040656763096169
7,9,7,2,0,0,0,0,0,0,0,0,0.7002137167281912
7,9,7,2,0,0,0,0,0,0,0,0,0.6880804953560371
8,8,7,1,1,0,0,0,0,0,0,0,0.6767441860465117
7,9,7,2,0,0,0,0,0,0,0,0,0.6794202898550724
7,9,7,2,0,0,0,0,0,0,0,0,0.6897225478702618
7,8,7,1,0,0,0,0,0,0,0,0,0.6739593417231365
7,8,7,1,0,0,0,0,0,0,0,0,0.6878264363198071
7,8,7,1,0,0,0,0,0,0,0,0,0.6569215876089061
7,8,7,1,0,0,0,0,0,0,0,0,0.6690154629085927
7,9,7,2,0,0,0,0,0,0,0,0,0.6694487577639752
7,9,7,2,0,0,0,0,0,0,0,0,0.6743414634146342
7,9,7,2,0,0,0,0,0,0,0,0,0.6438407847575929
7,9,7,2,0,0,0,0,0,0,0,0,0.6869022057388249
7,9,7,2,0,0,0,0,0,0,0,0,0.6869838773102634
7,9,7,2,0,0,0,0,0,0,0,0,0.6810683424980362
7,9,7,2,0,0,0,0,0,0,0,0,0.6466341463414634
7,9,7,2,0,0,0,0,0,0,0,0,0.6580470860671556
7,9,6,3,1,0,0,0,0,0,0,0,0.6398086124401914
7,8,7,1,0,0,0,0,0,0,0,0,0.6488775108310358
7,8,7,1,0,0,0,0,0,0,0,0,0.690046624771944
7,9,7,2,0,0,0,0,0,0,0,0,0.6429257055096947
8,9,8,1,0,0,0,0,0,0,0,0,0.6662206079143567
7,9,7,2,0,0,0,0,0,0,0,0,0.6616754350465399
9,9,6,2,0,0,2,0,0,0,1,0,0.5945739396255254
7,9,7,2,0,0,0,0,0,0,0,0,0.6144094654553137
6,9,6,3,0,0,0,0,0,0,0,0,0.428600080224629
7,9,7,2,0,0,0,0,0,0,0,0,0.4827247742442089
13,11,11,0,2,0,0,0,0,0,0,0,0.769
12,12,12,0,0,0,0,0,0,0,0,0,0.8364475461503827
