n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,10,7,3,0,0,0,0,0,0,0,0,0.6738665109943569
7,10,7,3,0,0,0,0,0,0,0,0,0.6874389529204923
7,9,7,2,0,0,0,0,0,0,0,0,0.6876854599406528
7,9,7,2,0,0,0,0,0,0,0,0,0.7025293255131965
7,9,7,2,0,0,0,0,0,0,0,0,0.6762733369584919
7,9,7,2,0,0,0,0,0,0,0,0,0.6842984409799554
7,9,7,2,0,0,0,0,0,0,0,0,0.69819140919367
7,9,7,2,0,0,0,0,0,0,0,0,0.6795807598727307
7,9,7,2,0,0,0,0,0,0,0,0,0.6776125169016806
7,9,7,2,0,0,0,0,0,0,0,0,0.6944982564897326
7,8,7,1,0,0,0,0,0,0,0,0,0.7039810800157666
7,9,7,2,0,0,0,0,0,0,0,0,0.6783408334963803
7,9,7,2,0,0,0,0,0,0,0,0,0.7136478353717725
7,9,7,2,0,0,0,0,0,0,0,0,0.6946165762974439
8,8,8,0,0,0,0,0,0,0,0,0,0.7917387127761768
7,9,7,2,0,0,0,0,0,0,0,0,0.6877784233972497
7,9,7,2,0,0,0,0,0,0,0,0,0.6925338036449148
7,8,7,1,0,0,0,0,0,0,0,0,0.6715867158671587
7,8,7,1,0,0,0,0,0,0,0,0,0.717753259779338
7,8,7,1,0,0,0,0,0,0,0,0,0.6720898702304862
8,8,8,0,0,0,0,0,0,0,0,0,0.7798201016816582
7,9,7,2,0,0,0,0,0,0,0,0,0.6747619972799689
7,9,7,2,0,0,0,0,0,0,0,0,0.6875244427062964
8,9,7,2,1,0,0,0,0,0,0,0,0.7556390977443609
7,9,7,2,0,0,0,0,0,0,0,0,0.6956691377292236
7,9,7,2,0,0,0,0,0,0,0,0,0.6904152725841369
8,9,8,1,0,0,0,0,0,0,0,0,0.7624730972412443
7,9,7,2,0,0,0,0,0,0,0,0,0.6780915287244401
7,9,7,2,0,0,0,0,0,0,0,0,0.6702744491689215
8,9,7,2,1,0,0,0,0,0,0,0,0.7527335507385383
7,8,7,1,0,0,0,0,0,0,0,0,0.6686343959071231
7,8,7,1,0,0,0,0,0,0,0,0,0.6905875177881683
8,9,8,1,0,0,0,0,0,0,0,0,0.7634838955593672
8,9,8,1,0,0,0,0,0,0,0,0,0.6782641942267252
7,9,7,2,0,0,0,0,0,0,0,0,0.6694966646452395
9,9,6,2,0,0,2,0,0,0,1,0,0.5837466615795498
8,9,8,1,0,0,0,0,0,0,0,0,0.6519453207150369
8,9,8,1,0,0,0,0,0,0,0,0,0.6036487570168404
10,9,7,1,0,0,2,0,0,0,1,0,0.600705329153605
13,11,11,0,2,0,0,0,0,0,0,0,0.7631959106567396
12,12,12,0,0,0,0,0,0,0,0,0,0.8521680521231184
12,12,12,0,0,0,0,0,0,0,0,0,0.7887323943661971
12,12,12,0,0,0,0,0,0,0,0,0,0.7918660287081339
12,12,12,0,0,0,0,0,0,0,0,0,0.8331345549170552
13,12,12,0,1,0,0,0,0,0,0,0,0.8148465994421797
12,12,12,0,0,0,0,0,0,0,0,0,0.8199612819961282
12,12,12,0,0,0,0,0,0,0,0,0,0.8035677029000626
12,12,12,0,0,0,0,0,0,0,0,0,0.8103189895097409
12,12,11,1,1,0,0,0,0,0,0,0,0.8163604276964601
12,12,12,0,0,0,0,0,0,0,0,0,0.8044810822236313
12,12,12,0,0,0,0,0,0,0,0,0,0.815645399031375
12,12,12,0,0,0,0,0,0,0,0,0,0.8414555603263203
12,12,12,0,0,0,0,0,0,0,0,0,0.8153186146280214
12,12,12,0,0,0,0,0,0,0,0,0,0.7998557147274039
12,12,12,0,0,0,0,0,0,0,0,0,0.8096968438538206
12,12,12,0,0,0,0,0,0,0,0,0,0.8236099410278012
12,12,11,1,1,0,0,0,0,0,0,0,0.7929060615353164
12,12,12,0,0,0,0,0,0,0,0,0,0.8129474639507915
12,12,10,2,2,0,0,0,0,0,0,0,0.7766884531590414
12,12,11,1,1,0,0,0,0,0,0,0,0.7784952849528495
12,12,12,0,0,0,0,0,0,0,0,0,0.8202769739561803
12,12,10,2,2,0,0,0,0,0,0,0,0.7959927140255009
14,13,11,1,1,0,1,0,0,0,1,0,0.8081898747071407
13,13,12,1,1,0,0,0,0,0,0,0,0.7986334405144695
13,13,13,0,0,0,0,0,0,0,0,0,0.8051226049836195
13,13,13,0,0,0,0,0,0,0,0,0,0.8377255219947294
13,13,13,0,0,0,0,0,0,0,0,0,0.8219344394981789
13,13,11,2,2,0,0,0,0,0,0,0,0.7774700820888142
15,13,11,0,0,0,2,0,0,0,2,0,0.798576298375777
15,13,11,0,0,0,2,0,0,0,2,0,0.8085170948816508
15,13,11,0,0,0,2,0,0,0,2,0,0.8302704934957671
13,13,13,0,0,0,0,0,0,0,0,0,0.8012967581047381
13,13,13,0,0,0,0,0,0,0,0,0,0.817362005747696
15,13,11,0,0,0,2,0,0,0,2,0,0.829028664033222
13,13,13,0,0,0,0,0,0,0,0,0,0.7996357012750456
13,13,13,0,0,0,0,0,0,0,0,0,0.8366726109304521
13,13,13,0,0,0,0,0,0,0,0,0,0.8308337703198742
14,13,12,0,0,0,1,0,0,0,1,0,0.8061446157029067
6,6,6,0,0,0,0,0,0,0,0,0,0.8735146554000528
7,6,6,0,1,0,0,0,0,0,0,0,0.7988689451684288
6,6,5,1,1,0,0,0,0,0,0,0,0.8241939928354919
8,7,6,1,2,0,0,0,0,0,0,0,0.7485567671584349
7,7,7,0,0,0,0,0,0,0,0,0,0.8417948177796503
6,7,6,1,0,0,0,0,0,0,0,0,0.7859431745353557
8,8,6,2,2,0,0,0,0,0,0,0,0.7548115477145149
9,8,8,0,1,0,0,0,0,0,0,0,0.7748917748917749
7,8,7,1,0,0,0,0,0,0,0,0,0.7936285313564416
8,8,8,0,0,0,0,0,0,0,0,0,0.8224280249647674
8,8,7,1,1,0,0,0,0,0,0,0,0.7401530707485533
9,7,7,0,2,0,0,0,0,0,0,0,0.7590027700831025
9,8,7,1,2,0,0,0,0,0,0,0,0.7946181242580135
8,8,8,0,0,0,0,0,0,0,0,0,0.8238153098420413
