n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,10,8,2,0,0,0,0,0,0,0,0,0.7483120780195048
8,10,8,2,0,0,0,0,0,0,0,0,0.762630014858841
8,9,8,1,0,0,0,0,0,0,0,0,0.7556787694509033
8,9,8,1,0,0,0,0,0,0,0,0,0.7606252195293292
8,9,8,1,0,0,0,0,0,0,0,0,0.7650816181689141
8,9,8,1,0,0,0,0,0,0,0,0,0.7497788002123518
8,9,8,1,0,0,0,0,0,0,0,0,0.7865433442147262
8,9,8,1,0,0,0,0,0,0,0,0,0.7500895094880057
8,9,8,1,0,0,0,0,0,0,0,0,0.782150776053215
8,9,8,1,0,0,0,0,0,0,0,0,0.7680807325733507
8,8,8,0,0,0,0,0,0,0,0,0,0.769739327540612
8,9,8,1,0,0,0,0,0,0,0,0,0.764463583598577
8,9,8,1,0,0,0,0,0,0,0,0,0.7798647633358378
8,9,8,1,0,0,0,0,0,0,0,0,0.7572939460247994
8,8,8,0,0,0,0,0,0,0,0,0,0.7649906890130354
8,9,8,1,0,0,0,0,0,0,0,0,0.7681024879316747
8,9,8,1,0,0,0,0,0,0,0,0,0.7709780364182467
8,8,8,0,0,0,0,0,0,0,0,0,0.7718283582089552
8,8,8,0,0,0,0,0,0,0,0,0,0.7841171935235158
8,8,8,0,0,0,0,0,0,0,0,0,0.7550599700149925
8,8,8,0,0,0,0,0,0,0,0,0,0.753704745826299
8,9,8,1,0,0,0,0,0,0,0,0,0.7653767059263413
8,9,8,1,0,0,0,0,0,0,0,0,0.7649267743146827
8,9,8,1,0,0,0,0,0,0,0,0,0.7440147329650092
8,9,8,1,0,0,0,0,0,0,0,0,0.7763083317589269
8,9,8,1,0,0,0,0,0,0,0,0,0.7744503411675512
8,9,8,1,0,0,0,0,0,0,0,0,0.7528301886792453
8,9,8,1,0,0,0,0,0,0,0,0,0.7449651797477884
8,9,8,1,0,0,0,0,0,0,0,0,0.7396854764107308
8,9,7,2,1,0,0,0,0,0,0,0,0.7460466867469879
8,8,8,0,0,0,0,0,0,0,0,0,0.7677270985051744
8,8,8,0,0,0,0,0,0,0,0,0,0.7745676100628931
8,9,8,1,0,0,0,0,0,0,0,0,0.7248892171344166
8,9,8,1,0,0,0,0,0,0,0,0,0.739122418879056
8,9,8,1,0,0,0,0,0,0,0,0,0.739899961523663
7,9,7,2,0,0,0,0,0,0,0,0,0.5932171632002998
7,9,7,2,0,0,0,0,0,0,0,0,0.6402476780185758
8,9,8,1,0,0,0,0,0,0,0,0,0.6129597197898424
8,9,8,1,0,0,0,0,0,0,0,0,0.6079395085066163
13,11,11,0,2,0,0,0,0,0,0,0,0.7340565417488495
12,12,12,0,0,0,0,0,0,0,0,0,0.7948887420136594
12,12,12,0,0,0,0,0,0,0,0,0,0.7815970386039133
12,12,12,0,0,0,0,0,0,0,0,0,0.7601861427094105
12,12,12,0,0,0,0,0,0,0,0,0,0.7993083324327245
12,12,12,0,0,0,0,0,0,0,0,0,0.7725585833951861
12,12,12,0,0,0,0,0,0,0,0,0,0.7814213412062421
12,12,12,0,0,0,0,0,0,0,0,0,0.757790805307004
12,12,12,0,0,0,0,0,0,0,0,0,0.7675944544396233
12,12,12,0,0,0,0,0,0,0,0,0,0.7714402954452195
12,12,12,0,0,0,0,0,0,0,0,0,0.7612064482579303
12,12,12,0,0,0,0,0,0,0,0,0,0.7707967345251627
12,12,12,0,0,0,0,0,0,0,0,0,0.805146669490628
12,12,12,0,0,0,0,0,0,0,0,0,0.7911047050344898
12,12,12,0,0,0,0,0,0,0,0,0,0.7727086323559565
12,12,12,0,0,0,0,0,0,0,0,0,0.7651645569620253
12,12,12,0,0,0,0,0,0,0,0,0,0.8012123745819398
12,12,11,1,1,0,0,0,0,0,0,0,0.7528313133320087
12,12,12,0,0,0,0,0,0,0,0,0,0.7790570719602977
12,12,11,1,1,0,0,0,0,0,0,0,0.7569607843137255
12,12,11,1,1,0,0,0,0,0,0,0,0.7460412309530923
12,12,12,0,0,0,0,0,0,0,0,0,0.7862263960416036
12,12,11,1,1,0,0,0,0,0,0,0,0.7681289167412713
13,13,12,1,1,0,0,0,0,0,0,0,0.7811653796008424
13,13,11,2,2,0,0,0,0,0,0,0,0.7664262424661594
13,13,13,0,0,0,0,0,0,0,0,0,0.7914422794477627
13,13,13,0,0,0,0,0,0,0,0,0,0.8090291650019976
13,13,12,1,1,0,0,0,0,0,0,0,0.793496748374187
13,13,12,1,1,0,0,0,0,0,0,0,0.7768065268065268
13,13,13,0,0,0,0,0,0,0,0,0,0.7620744259699129
16,13,11,0,1,0,2,0,0,0,2,0,0.7590739650774966
15,13,11,1,2,0,1,0,0,0,1,0,0.7525580480125935
15,13,10,1,1,0,2,0,0,0,2,0,0.7712373265085146
13,13,12,1,1,0,0,0,0,0,0,0,0.7849071435590056
13,13,13,0,0,0,0,0,0,0,0,0,0.7875538631125363
13,13,13,0,0,0,0,0,0,0,0,0,0.7804121648659463
15,13,11,0,0,0,2,0,0,0,2,0,0.8040066088393226
15,13,11,0,0,0,2,0,0,0,2,0,0.8101818181818182
13,13,13,0,0,0,0,0,0,0,0,0,0.7778689365193313
6,6,6,0,0,0,0,0,0,0,0,0,0.8044678055190538
6,6,6,0,0,0,0,0,0,0,0,0,0.7625452664252458
6,6,5,1,1,0,0,0,0,0,0,0,0.7796703296703297
7,7,7,0,0,0,0,0,0,0,0,0,0.7755565651976375
7,7,7,0,0,0,0,0,0,0,0,0,0.7981032665964173
7,7,7,0,0,0,0,0,0,0,0,0,0.772127659574468
9,8,5,1,0,0,0,2,4,0,0,1,0.7429354702657107
7,8,7,1,0,0,0,0,0,0,0,0,0.7538779731127198
7,8,7,1,0,0,0,0,0,0,0,0,0.7514946193702671
7,8,7,1,0,0,0,0,0,0,0,0,0.7544886019770022
8,8,7,1,1,0,0,0,0,0,0,0,0.7592920353982301
8,7,7,0,1,0,0,0,0,0,0,0,0.7649402390438247
8,8,7,1,1,0,0,0,0,0,0,0,0.8063241106719368
8,8,8,0,0,0,0,0,0,0,0,0,0.7671315949060037
8,8,8,0,0,0,0,0,0,0,0,0,0.7718476268079039
8,8,8,0,0,0,0,0,0,0,0,0,0.8153426954516872
8,8,8,0,0,0,0,0,0,0,0,0,0.7884536082474227
8,8,8,0,0,0,0,0,0,0,0,0,0.7894400681285927
9,8,6,1,1,0,1,0,0,0,1,0,0.7942360669633397
6,8,6,2,0,0,0,0,0,0,0,0,0.7234503684438665
8,8,5,1,0,0,0,2,3,0,0,1,0.7985241502683363
7,7,6,1,1,0,0,0,0,0,0,0,0.7890642873484328
7,8,6,2,1,0,0,0,0,0,0,0,0.7534521158129176
6,8,6,2,0,0,0,0,0,0,0,0,0.7442016057091883
6,8,5,1,0,1,0,0,0,1,0,0,0.784444957304408
6,8,5,1,0,1,0,0,0,1,0,0,0.7557319223985891
7,8,5,1,1,1,0,0,0,1,0,0,0.7714657415437988
6,8,6,2,0,0,0,0,0,0,0,0,0.764615721480184
6,8,6,2,0,0,0,0,0,0,0,0,0.7363597612958227
7,8,6,2,1,0,0,0,0,0,0,0,0.7618942243859261
9,8,5,1,1,0,0,2,3,0,0,1,0.8039779005524862
7,8,6,2,1,0,0,0,0,0,0,0,0.7688089493309936
7,8,6,2,1,0,0,0,0,0,0,0,0.7644609991235758
7,8,7,1,0,0,0,0,0,0,0,0,0.7645292730002144
