n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
9,10,8,2,1,0,0,0,0,0,0,0,0.745264297311925
9,10,8,2,1,0,0,0,0,0,0,0,0.754813863928113
8,9,8,1,0,0,0,0,0,0,0,0,0.7600860677783755
8,9,8,1,0,0,0,0,0,0,0,0,0.748036991798988
8,9,8,1,0,0,0,0,0,0,0,0,0.7428372981420386
8,9,8,1,0,0,0,0,0,0,0,0,0.7849745480077234
8,9,8,1,0,0,0,0,0,0,0,0,0.7726037325602464
8,9,8,1,0,0,0,0,0,0,0,0,0.7684134701962902
8,9,8,1,0,0,0,0,0,0,0,0,0.7678636863319898
8,9,8,1,0,0,0,0,0,0,0,0,0.748122366733834
8,8,8,0,0,0,0,0,0,0,0,0,0.7935616694740782
8,9,8,1,0,0,0,0,0,0,0,0,0.7840297121634169
8,9,8,1,0,0,0,0,0,0,0,0,0.7662743655755793
8,9,8,1,0,0,0,0,0,0,0,0,0.7690885561101867
8,8,8,0,0,0,0,0,0,0,0,0,0.743801652892562
8,9,8,1,0,0,0,0,0,0,0,0,0.7832412523020258
8,9,8,1,0,0,0,0,0,0,0,0,0.7620838818882829
8,8,8,0,0,0,0,0,0,0,0,0,0.7583842875671669
8,8,8,0,0,0,0,0,0,0,0,0,0.7692016647748771
8,8,8,0,0,0,0,0,0,0,0,0,0.7275040901654245
8,8,8,0,0,0,0,0,0,0,0,0,0.7948717948717948
8,9,8,1,0,0,0,0,0,0,0,0,0.7717712177121772
8,9,8,1,0,0,0,0,0,0,0,0,0.7567719036054549
8,9,8,1,0,0,0,0,0,0,0,0,0.7584699453551913
8,9,8,1,0,0,0,0,0,0,0,0,0.7317612380250552
8,9,8,1,0,0,0,0,0,0,0,0,0.7879248148851339
8,9,8,1,0,0,0,0,0,0,0,0,0.7692307692307693
8,9,8,1,0,0,0,0,0,0,0,0,0.7427041004802364
8,9,8,1,0,0,0,0,0,0,0,0,0.7441431470208448
8,9,8,1,0,0,0,0,0,0,0,0,0.7465368775739424
8,8,8,0,0,0,0,0,0,0,0,0,0.783072817384674
8,8,8,0,0,0,0,0,0,0,0,0,0.757690846942651
8,9,8,1,0,0,0,0,0,0,0,0,0.7291055718475073
8,9,8,1,0,0,0,0,0,0,0,0,0.7369685767097967
8,9,8,1,0,0,0,0,0,0,0,0,0.7319004524886877
7,9,7,2,0,0,0,0,0,0,0,0,0.6211610486891386
7,9,7,2,0,0,0,0,0,0,0,0,0.6399355228692323
8,9,8,1,0,0,0,0,0,0,0,0,0.6095679012345679
8,9,8,1,0,0,0,0,0,0,0,0,0.6287015945330297
8,9,7,2,1,0,0,0,0,0,0,0,0.5936823104693141
13,11,11,0,2,0,0,0,0,0,0,0,0.7456274595540009
12,12,12,0,0,0,0,0,0,0,0,0,0.8020844883024726
12,12,12,0,0,0,0,0,0,0,0,0,0.7753943217665615
12,12,12,0,0,0,0,0,0,0,0,0,0.7505418515842708
12,12,12,0,0,0,0,0,0,0,0,0,0.7902172749652145
12,12,12,0,0,0,0,0,0,0,0,0,0.7872884062599809
12,12,12,0,0,0,0,0,0,0,0,0,0.7801410971885858
12,12,12,0,0,0,0,0,0,0,0,0,0.7546093511255985
12,12,12,0,0,0,0,0,0,0,0,0,0.7797162375197058
12,12,11,1,1,0,0,0,0,0,0,0,0.7660028449502134
12,12,12,0,0,0,0,0,0,0,0,0,0.788140048365051
12,12,12,0,0,0,0,0,0,0,0,0,0.7803022514649943
12,12,12,0,0,0,0,0,0,0,0,0,0.790780888234056
12,12,12,0,0,0,0,0,0,0,0,0,0.7853857945835463
12,12,12,0,0,0,0,0,0,0,0,0,0.76278928136419
12,12,12,0,0,0,0,0,0,0,0,0,0.7746838025295798
12,12,12,0,0,0,0,0,0,0,0,0,0.7921038961038961
12,12,12,0,0,0,0,0,0,0,0,0,0.7643764376437644
12,12,12,0,0,0,0,0,0,0,0,0,0.7540838417634323
12,12,11,1,1,0,0,0,0,0,0,0,0.7383032420889147
12,12,11,1,1,0,0,0,0,0,0,0,0.7720316094828449
12,12,12,0,0,0,0,0,0,0,0,0,0.7867580368840068
