n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,10,8,2,0,0,0,0,0,0,0,0,0.7611969111969112
8,10,8,2,0,0,0,0,0,0,0,0,0.7464572960551513
8,9,8,1,0,0,0,0,0,0,0,0,0.7593641512881418
8,9,8,1,0,0,0,0,0,0,0,0,0.7515842839036755
8,9,8,1,0,0,0,0,0,0,0,0,0.7268862911795961
8,9,8,1,0,0,0,0,0,0,0,0,0.7566623782392943
8,9,8,1,0,0,0,0,0,0,0,0,0.7742055380040884
8,9,8,1,0,0,0,0,0,0,0,0,0.7515051997810619
8,9,8,1,0,0,0,0,0,0,0,0,0.7584761904761905
8,9,8,1,0,0,0,0,0,0,0,0,0.7511303692539563
8,8,8,0,0,0,0,0,0,0,0,0,0.7601633923361214
8,9,8,1,0,0,0,0,0,0,0,0,0.7676787086856265
8,9,8,1,0,0,0,0,0,0,0,0,0.7508035545471734
8,9,8,1,0,0,0,0,0,0,0,0,0.7595990164554568
8,8,8,0,0,0,0,0,0,0,0,0,0.7492925863044708
8,9,8,1,0,0,0,0,0,0,0,0,0.7603117278084014
8,9,8,1,0,0,0,0,0,0,0,0,0.7795982055783109
8,8,8,0,0,0,0,0,0,0,0,0,0.761455525606469
8,8,8,0,0,0,0,0,0,0,0,0,0.7830991490203839
8,8,8,0,0,0,0,0,0,0,0,0,0.7258701787394167
8,8,8,0,0,0,0,0,0,0,0,0,0.7779930259589306
8,9,8,1,0,0,0,0,0,0,0,0,0.7679814385150812
8,9,8,1,0,0,0,0,0,0,0,0,0.7534351145038168
8,9,8,1,0,0,0,0,0,0,0,0,0.7397491106534357
8,9,8,1,0,0,0,0,0,0,0,0,0.7360271903323263
8,9,8,1,0,0,0,0,0,0,0,0,0.7784245246410555
8,9,8,1,0,0,0,0,0,0,0,0,0.7524618652249468
8,9,8,1,0,0,0,0,0,0,0,0,0.7537142857142857
8,9,8,1,0,0,0,0,0,0,0,0,0.7287012495266945
8,9,7,2,1,0,0,0,0,0,0,0,0.7426679280983917
8,8,7,1,1,0,0,0,0,0,0,0,0.7453476983349657
8,8,8,0,0,0,0,0,0,0,0,0,0.763095238095238
8,9,8,1,0,0,0,0,0,0,0,0,0.7166884694449636
8,9,8,1,0,0,0,0,0,0,0,0,0.7338345864661654
8,9,8,1,0,0,0,0,0,0,0,0,0.7470402525651144
7,9,6,3,1,0,0,0,0,0,0,0,0.6020505031327131
7,9,6,3,1,0,0,0,0,0,0,0,0.6262145958238577
7,9,6,3,1,0,0,0,0,0,0,0,0.5978599221789883
8,9,6,3,2,0,0,0,0,0,0,0,0.5961391437308868
8,9,6,3,2,0,0,0,0,0,0,0,0.5891684901531729
13,11,11,0,2,0,0,0,0,0,0,0,0.7232760544521312
12,12,12,0,0,0,0,0,0,0,0,0,0.7952702702702703
12,12,12,0,0,0,0,0,0,0,0,0,0.7720361509835194
12,12,12,0,0,0,0,0,0,0,0,0,0.7382934443288242
12,12,12,0,0,0,0,0,0,0,0,0,0.7735259243289857
12,12,12,0,0,0,0,0,0,0,0,0,0.7812904618040569
12,12,12,0,0,0,0,0,0,0,0,0,0.7800064356966642
12,12,12,0,0,0,0,0,0,0,0,0,0.7390720264544797
12,12,12,0,0,0,0,0,0,0,0,0,0.75772047118752
12,12,12,0,0,0,0,0,0,0,0,0,0.7443193449334699
12,12,12,0,0,0,0,0,0,0,0,0,0.7747585182040123
12,12,12,0,0,0,0,0,0,0,0,0,0.783576604011341
12,12,12,0,0,0,0,0,0,0,0,0,0.7762697487010921
12,12,12,0,0,0,0,0,0,0,0,0,0.7601851851851852
12,12,12,0,0,0,0,0,0,0,0,0,0.7513006222584923
12,12,12,0,0,0,0,0,0,0,0,0,0.761381312869439
12,12,12,0,0,0,0,0,0,0,0,0,0.7994703389830509
12,12,11,1,1,0,0,0,0,0,0,0,0.7510390268626457
12,12,12,0,0,0,0,0,0,0,0,0,0.7584219417668687
12,12,11,1,1,0,0,0,0,0,0,0,0.7205295434634479
12,12,11,1,1,0,0,0,0,0,0,0,0.7720777218052842
12,12,12,0,0,0,0,0,0,0,0,0,0.7730142566191446
12,12,12,0,0,0,0,0,0,0,0,0,0.7603904598973533
13,13,11,2,2,0,0,0,0,0,0,0,0.7441179440573563
13,13,12,1,1,0,0,0,0,0,0,0,0.7392504930966469
13,13,13,0,0,0,0,0,0,0,0,0,0.7858487761371519
13,13,13,0,0,0,0,0,0,0,0,0,0.802115110839943
13,13,13,0,0,0,0,0,0,0,0,0,0.7671671671671672
13,13,12,1,1,0,0,0,0,0,0,0,0.753468829392222
15,13,11,0,0,0,2,0,0,0,2,0,0.7511164036915748
13,13,13,0,0,0,0,0,0,0,0,0,0.7736879360906057
15,13,11,0,0,0,2,0,0,0,2,0,0.773394495412844
13,13,13,0,0,0,0,0,0,0,0,0,0.7534192269573835
15,13,10,1,1,0,2,0,0,0,2,0,0.7425149700598802
13,13,13,0,0,0,0,0,0,0,0,0,0.7566105769230769
13,13,13,0,0,0,0,0,0,0,0,0,0.7774059426021702
13,13,13,0,0,0,0,0,0,0,0,0,0.7769374222958972
13,13,13,0,0,0,0,0,0,0,0,0,0.8037040912420216
13,13,13,0,0,0,0,0,0,0,0,0,0.7770013359366972
13,13,13,0,0,0,0,0,0,0,0,0,0.7736600916517234
6,6,6,0,0,0,0,0,0,0,0,0,0.8153347732181425
6,6,6,0,0,0,0,0,0,0,0,0,0.7820069204152249
6,6,5,1,1,0,0,0,0,0,0,0,0.7784684939248375
6,7,6,1,0,0,0,0,0,0,0,0,0.7347965249199817
6,7,6,1,0,0,0,0,0,0,0,0,0.7334880776535134
6,7,6,1,0,0,0,0,0,0,0,0,0.7415171817592392
8,8,5,1,0,0,0,2,3,0,0,1,0.7394742466338962
7,8,7,1,0,0,0,0,0,0,0,0,0.712184003315375
6,8,6,2,0,0,0,0,0,0,0,0,0.633033033033033
7,8,5,2,0,0,1,0,0,0,1,0,0.6115702479338843
7,8,6,2,1,0,0,0,0,0,0,0,0.7243112809169515
7,7,6,1,1,0,0,0,0,0,0,0,0.7754878316158738
7,8,7,1,0,0,0,0,0,0,0,0,0.7587654839386941
8,8,8,0,0,0,0,0,0,0,0,0,0.7573618394513917
8,8,7,1,1,0,0,0,0,0,0,0,0.755673686362707
8,8,7,1,1,0,0,0,0,0,0,0,0.807863031071655
8,8,7,1,1,0,0,0,0,0,0,0,0.7627897264564627
7,8,6,2,1,0,0,0,0,0,0,0,0.7130865260439088
9,8,7,1,2,0,0,0,0,0,0,0,0.7714587737843552
8,8,4,2,0,0,2,0,0,0,2,0,0.7340904221127063
6,8,6,2,0,0,0,0,0,0,0,0,0.7277250113071009
6,7,6,1,0,0,0,0,0,0,0,0,0.7600561272217026
6,8,6,2,0,0,0,0,0,0,0,0,0.7517985611510791
6,8,6,2,0,0,0,0,0,0,0,0,0.7180509413067553
