n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,10,8,2,0,0,0,0,0,0,0,0,0.7808298117556666
8,10,8,2,0,0,0,0,0,0,0,0,0.7911257508234838
8,9,8,1,0,0,0,0,0,0,0,0,0.7741102710676747
9,9,7,1,0,0,1,0,0,0,1,0,0.7812043795620438
8,9,8,1,0,0,0,0,0,0,0,0,0.7775968150560985
8,9,8,1,0,0,0,0,0,0,0,0,0.7786092352619091
9,9,8,1,1,0,0,0,0,0,0,0,0.7867263236390754
9,9,8,1,1,0,0,0,0,0,0,0,0.7700220426157237
8,9,8,1,0,0,0,0,0,0,0,0,0.7936810049486106
8,9,8,1,0,0,0,0,0,0,0,0,0.7779934019018048
8,8,8,0,0,0,0,0,0,0,0,0,0.7917802882742501
8,9,8,1,0,0,0,0,0,0,0,0,0.8089974791545472
8,9,8,1,0,0,0,0,0,0,0,0,0.8109826589595376
8,9,8,1,0,0,0,0,0,0,0,0,0.8039778160260088
8,8,8,0,0,0,0,0,0,0,0,0,0.7771614384085692
8,9,8,1,0,0,0,0,0,0,0,0,0.7838877139011728
8,9,8,1,0,0,0,0,0,0,0,0,0.8080827801639985
8,8,8,0,0,0,0,0,0,0,0,0,0.8019649393180505
8,8,8,0,0,0,0,0,0,0,0,0,0.819884439131301
8,8,8,0,0,0,0,0,0,0,0,0,0.7776277724204436
8,8,8,0,0,0,0,0,0,0,0,0,0.7819169577027552
8,9,8,1,0,0,0,0,0,0,0,0,0.7828438948995363
8,9,8,1,0,0,0,0,0,0,0,0,0.8115548662272198
8,9,8,1,0,0,0,0,0,0,0,0,0.7565118912797282
9,9,8,1,1,0,0,0,0,0,0,0,0.7695304889927918
8,9,8,1,0,0,0,0,0,0,0,0,0.7904836498923047
8,9,8,1,0,0,0,0,0,0,0,0,0.7859505740416424
8,9,8,1,0,0,0,0,0,0,0,0,0.7663624004661099
8,9,8,1,0,0,0,0,0,0,0,0,0.7661042944785276
8,9,7,2,1,0,0,0,0,0,0,0,0.7460439984561945
8,8,8,0,0,0,0,0,0,0,0,0,0.7706692913385826
8,8,8,0,0,0,0,0,0,0,0,0,0.7931103544962949
8,9,8,1,0,0,0,0,0,0,0,0,0.7393708293612965
8,9,8,1,0,0,0,0,0,0,0,0,0.7528154227906089
8,9,7,2,1,0,0,0,0,0,0,0,0.7520644511581067
8,9,7,2,1,0,0,0,0,0,0,0,0.727568394872776
8,9,8,1,0,0,0,0,0,0,0,0,0.6430529200927683
7,9,7,2,0,0,0,0,0,0,0,0,0.6019651092841387
8,9,8,1,0,0,0,0,0,0,0,0,0.6147524946194483
13,11,11,0,2,0,0,0,0,0,0,0,0.7653049804141019
13,12,12,0,1,0,0,0,0,0,0,0,0.8194133452754142
12,12,12,0,0,0,0,0,0,0,0,0,0.8032962328767124
12,12,12,0,0,0,0,0,0,0,0,0,0.7741055503095163
12,12,12,0,0,0,0,0,0,0,0,0,0.8134720700985761
12,12,12,0,0,0,0,0,0,0,0,0,0.7946727057047341
12,12,12,0,0,0,0,0,0,0,0,0,0.8052366133705333
12,12,12,0,0,0,0,0,0,0,0,0,0.7820929988453867
12,12,12,0,0,0,0,0,0,0,0,0,0.7989830141728876
12,12,11,1,1,0,0,0,0,0,0,0,0.7873990984379914
12,12,12,0,0,0,0,0,0,0,0,0,0.7914802981895633
12,12,12,0,0,0,0,0,0,0,0,0,0.7971908916790806
12,12,12,0,0,0,0,0,0,0,0,0,0.8221403812824957
12,12,12,0,0,0,0,0,0,0,0,0,0.7915971643035863
12,12,12,0,0,0,0,0,0,0,0,0,0.7827707599917167
12,12,12,0,0,0,0,0,0,0,0,0,0.7977891333820002
12,12,12,0,0,0,0,0,0,0,0,0,0.8120582565859927
12,12,12,0,0,0,0,0,0,0,0,0,0.782323387675587
12,12,12,0,0,0,0,0,0,0,0,0,0.7995319019029206
12,12,11,1,1,0,0,0,0,0,0,0,0.7777555511102221
12,12,11,1,1,0,0,0,0,0,0,0,0.7759950632520827
12,12,12,0,0,0,0,0,0,0,0,0,0.8140262993112085
12,12,10,2,2,0,0,0,0,0,0,0,0.7831166192604633
14,13,11,2,3,0,0,0,0,0,0,0,0.8032518662439923
13,13,13,0,0,0,0,0,0,0,0,0,0.8032553407934894
13,13,13,0,0,0,0,0,0,0,0,0,0.8074354629721918
13,13,13,0,0,0,0,0,0,0,0,0,0.833010302968479
13,13,12,1,1,0,0,0,0,0,0,0,0.8204127733853578
13,13,12,1,1,0,0,0,0,0,0,0,0.7881092983685317
13,13,13,0,0,0,0,0,0,0,0,0,0.7899524916607702
14,13,11,1,1,0,1,0,0,0,1,0,0.8001026694045175
15,13,11,0,0,0,2,0,0,0,2,0,0.8166908864438447
13,13,13,0,0,0,0,0,0,0,0,0,0.7945039401899373
13,13,12,1,1,0,0,0,0,0,0,0,0.8034385682686507
15,13,11,0,0,0,2,0,0,0,2,0,0.8097965027098886
13,13,13,0,0,0,0,0,0,0,0,0,0.8053622595169873
13,13,13,0,0,0,0,0,0,0,0,0,0.8290188558644934
13,13,12,1,1,0,0,0,0,0,0,0,0.8231154707324875
13,13,12,1,1,0,0,0,0,0,0,0,0.7974723208690203
6,6,6,0,0,0,0,0,0,0,0,0,0.8723060344827587
6,6,6,0,0,0,0,0,0,0,0,0,0.8409516172146485
6,6,6,0,0,0,0,0,0,0,0,0,0.8159355913381455
7,7,7,0,0,0,0,0,0,0,0,0,0.8198343304187758
6,7,6,1,0,0,0,0,0,0,0,0,0.8091880341880342
7,7,7,0,0,0,0,0,0,0,0,0,0.8163793103448276
8,8,6,0,0,0,0,2,2,0,0,1,0.7959665307873847
8,8,8,0,0,0,0,0,0,0,0,0,0.8048218029350105
8,8,7,1,1,0,0,0,0,0,0,0,0.7832404458598726
7,8,7,1,0,0,0,0,0,0,0,0,0.7771451809678731
8,8,7,1,1,0,0,0,0,0,0,0,0.7957844501889043
8,7,7,0,1,0,0,0,0,0,0,0,0.8218096457533077
8,8,7,1,1,0,0,0,0,0,0,0,0.8334028356964137
8,8,8,0,0,0,0,0,0,0,0,0,0.8176410256410256
8,8,8,0,0,0,0,0,0,0,0,0,0.819730010384216
8,8,8,0,0,0,0,0,0,0,0,0,0.8427487352445194
8,8,8,0,0,0,0,0,0,0,0,0,0.8288973384030418
8,8,8,0,0,0,0,0,0,0,0,0,0.819282317336792
9,8,5,2,2,0,1,0,0,0,1,0,0.8052962882570002
9,8,5,0,0,1,2,0,0,1,1,0,0.8080851988698109
8,8,7,1,1,0,0,0,0,0,0,0,0.8034475039176181
9,7,6,0,1,0,1,0,0,0,1,0,0.820608029705268
8,8,6,2,2,0,0,0,0,0,0,0,0.8150700666207213
8,8,6,2,2,0,0,0,0,0,0,0,0.8059599636032757
