n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,10,8,2,0,0,0,0,0,0,0,0,0.8293627735812512
8,10,8,2,0,0,0,0,0,0,0,0,0.8522243713733075
8,9,8,1,0,0,0,0,0,0,0,0,0.8233339486800813
8,9,8,1,0,0,0,0,0,0,0,0,0.8387923147301006
8,9,8,1,0,0,0,0,0,0,0,0,0.8095582910934106
8,9,8,1,0,0,0,0,0,0,0,0,0.8199963038255406
8,9,8,1,0,0,0,0,0,0,0,0,0.8452470059880239
8,9,8,1,0,0,0,0,0,0,0,0,0.8256694367497691
8,9,8,1,0,0,0,0,0,0,0,0,0.8392823057835465
8,9,8,1,0,0,0,0,0,0,0,0,0.8411538461538461
10,8,7,0,0,0,2,0,0,0,1,0,0.8408250632418759
8,9,8,1,0,0,0,0,0,0,0,0,0.8484381025838796
8,9,8,1,0,0,0,0,0,0,0,0,0.8522529491394314
9,9,8,1,1,0,0,0,0,0,0,0,0.8522091452826548
8,8,8,0,0,0,0,0,0,0,0,0,0.830996735164202
8,9,8,1,0,0,0,0,0,0,0,0,0.8412851096575606
8,9,8,1,0,0,0,0,0,0,0,0,0.8380487804878048
8,8,8,0,0,0,0,0,0,0,0,0,0.8205618192241544
8,8,8,0,0,0,0,0,0,0,0,0,0.8626592356687898
9,8,7,0,0,0,1,0,0,0,1,0,0.8268381647149164
8,8,8,0,0,0,0,0,0,0,0,0,0.8152657004830918
8,9,8,1,0,0,0,0,0,0,0,0,0.8262459111025592
8,9,8,1,0,0,0,0,0,0,0,0,0.8238113496932515
8,9,8,1,0,0,0,0,0,0,0,0,0.8071415287334945
8,9,8,1,0,0,0,0,0,0,0,0,0.8366279069767442
9,9,8,1,1,0,0,0,0,0,0,0,0.8453729012104647
8,9,8,1,0,0,0,0,0,0,0,0,0.8402321083172147
8,9,8,1,0,0,0,0,0,0,0,0,0.8325563325563325
9,9,8,1,1,0,0,0,0,0,0,0,0.8038277511961722
8,9,8,1,0,0,0,0,0,0,0,0,0.7920848324181027
8,8,8,0,0,0,0,0,0,0,0,0,0.8180042960359305
10,8,7,0,0,0,2,0,0,0,1,0,0.8286844708209693
10,9,9,0,1,0,0,0,0,0,0,0,0.809433962264151
9,9,9,0,0,0,0,0,0,0,0,0,0.8216318785578748
8,9,8,1,0,0,0,0,0,0,0,0,0.8144886932159295
7,9,7,2,0,0,0,0,0,0,0,0,0.6360196746121831
8,9,8,1,0,0,0,0,0,0,0,0,0.6886065403041033
8,9,8,1,0,0,0,0,0,0,0,0,0.648334318943426
8,9,8,1,0,0,0,0,0,0,0,0,0.6442848825926645
13,11,11,0,2,0,0,0,0,0,0,0,0.7853599382647999
13,12,12,0,1,0,0,0,0,0,0,0,0.8459012805078253
12,12,12,0,0,0,0,0,0,0,0,0,0.8203618005889777
12,12,12,0,0,0,0,0,0,0,0,0,0.8008854113044374
12,12,12,0,0,0,0,0,0,0,0,0,0.8435395960243668
12,12,12,0,0,0,0,0,0,0,0,0,0.8282208588957055
12,12,12,0,0,0,0,0,0,0,0,0,0.8293353059283526
12,12,12,0,0,0,0,0,0,0,0,0,0.8232495604509257
12,12,12,0,0,0,0,0,0,0,0,0,0.8259177448196066
12,12,12,0,0,0,0,0,0,0,0,0,0.8244789538210053
12,12,12,0,0,0,0,0,0,0,0,0,0.8168735008864324
12,12,12,0,0,0,0,0,0,0,0,0,0.8278055903212349
12,12,12,0,0,0,0,0,0,0,0,0,0.8474827768945415
12,12,12,0,0,0,0,0,0,0,0,0,0.825850200349327
12,12,12,0,0,0,0,0,0,0,0,0,0.813114421810074
12,12,12,0,0,0,0,0,0,0,0,0,0.8178298522669384
12,12,12,0,0,0,0,0,0,0,0,0,0.8444327176781002
12,12,12,0,0,0,0,0,0,0,0,0,0.8117943548387097
12,12,12,0,0,0,0,0,0,0,0,0,0.8336
12,12,12,0,0,0,0,0,0,0,0,0,0.8095848535647372
12,12,11,1,1,0,0,0,0,0,0,0,0.7939965866880835
12,12,12,0,0,0,0,0,0,0,0,0,0.8380728314238952
12,12,12,0,0,0,0,0,0,0,0,0,0.8102945611742234
13,13,13,0,0,0,0,0,0,0,0,0,0.8169758627568322
14,13,13,0,1,0,0,0,0,0,0,0,0.8076543696981653
13,13,13,0,0,0,0,0,0,0,0,0,0.8177037686240141
13,13,13,0,0,0,0,0,0,0,0,0,0.8605442176870748
13,13,13,0,0,0,0,0,0,0,0,0,0.8396369137670197
13,13,12,1,1,0,0,0,0,0,0,0,0.8016431924882629
13,13,13,0,0,0,0,0,0,0,0,0,0.8121963311849281
13,13,13,0,0,0,0,0,0,0,0,0,0.8151277408972037
13,13,13,0,0,0,0,0,0,0,0,0,0.8223165554881746
13,13,13,0,0,0,0,0,0,0,0,0,0.8186671939885307
13,13,13,0,0,0,0,0,0,0,0,0,0.8191237418590882
14,13,12,0,0,0,1,0,0,0,1,0,0.8205826025602257
14,13,12,0,0,0,1,0,0,0,1,0,0.829725395870916
13,13,13,0,0,0,0,0,0,0,0,0,0.8493036790688007
13,13,13,0,0,0,0,0,0,0,0,0,0.8594719680235616
13,13,13,0,0,0,0,0,0,0,0,0,0.8272829532672052
6,6,6,0,0,0,0,0,0,0,0,0,0.8449472872203652
6,6,6,0,0,0,0,0,0,0,0,0,0.8272468272468273
6,6,6,0,0,0,0,0,0,0,0,0,0.8222100656455142
6,7,6,1,0,0,0,0,0,0,0,0,0.7952861952861953
6,7,6,1,0,0,0,0,0,0,0,0,0.8081211866189775
7,7,7,0,0,0,0,0,0,0,0,0,0.8172246788797641
9,8,6,2,3,0,0,0,0,0,0,0,0.8095737980264539
8,8,8,0,0,0,0,0,0,0,0,0,0.8335390946502058
8,8,7,1,1,0,0,0,0,0,0,0,0.8030956112852664
7,8,7,1,0,0,0,0,0,0,0,0,0.7985568250150331
8,8,7,1,1,0,0,0,0,0,0,0,0.8146284829721362
8,7,7,0,1,0,0,0,0,0,0,0,0.7859470468431772
8,8,8,0,0,0,0,0,0,0,0,0,0.8641517212945784
8,8,8,0,0,0,0,0,0,0,0,0,0.828365673134627
8,8,8,0,0,0,0,0,0,0,0,0,0.8139815186822017
8,8,8,0,0,0,0,0,0,0,0,0,0.8583850931677018
8,8,8,0,0,0,0,0,0,0,0,0,0.817043618739903
8,8,8,0,0,0,0,0,0,0,0,0,0.8224163027656477
8,8,7,1,1,0,0,0,0,0,0,0,0.8362747182649373
8,8,7,1,1,0,0,0,0,0,0,0,0.8209178228388474
9,8,6,2,3,0,0,0,0,0,0,0,0.8004730165555795
6,7,6,1,0,0,0,0,0,0,0,0,0.7901402080506558
6,8,6,2,0,0,0,0,0,0,0,0,0.749945211483673
8,8,6,2,2,0,0,0,0,0,0,0,0.8139380530973451
8,8,6,2,2,0,0,0,0,0,0,0,0.8204298590247284
8,8,5,2,1,0,1,0,0,0,1,0,0.7993384785005513
8,8,6,1,0,0,1,0,0,0,1,0,0.8093376764386536
6,8,6,2,0,0,0,0,0,0,0,0,0.762800875273523
9,8,4,2,1,0,2,0,0,0,2,0,0.7899659863945578
7,8,6,2,1,0,0,0,0,0,0,0,0.7728357561293122
6,8,6,2,0,0,0,0,0,0,0,0,0.7569060773480663
6,8,6,2,0,0,0,0,0,0,0,0,0.7461334511710119
6,8,6,2,0,0,0,0,0,0,0,0,0.7746696035242291
8,8,6,2,2,0,0,0,0,0,0,0,0.8065203494566375
8,8,5,2,1,0,1,0,0,0,1,0,0.8353741496598639
8,8,5,2,1,0,1,0,0,0,1,0,0.7829143587558586
8,8,7,1,1,0,0,0,0,0,0,0,0.8656716417910447
8,8,5,2,1,0,1,0,0,0,1,0,0.7989938757655293
7,8,6,2,1,0,0,0,0,0,0,0,0.8153271848924023
8,10,7,3,1,0,0,0,0,0,0,0,0.7889647326507395
8,10,8,2,0,0,0,0,0,0,0,0,0.8257403189066059
8,10,8,2,0,0,0,0,0,0,0,0,0.8049916185509406
8,10,8,2,0,0,0,0,0,0,0,0,0.797915562621445
8,10,7,3,1,0,0,0,0,0,0,0,0.806290207290922
8,10,8,2,0,0,0,0,0,0,0,0,0.7963552724699221
8,10,8,2,0,0,0,0,0,0,0,0,0.7885704175513093
8,10,8,2,0,0,0,0,0,0,0,0,0.8000352982703848
8,10,7,3,1,0,0,0,0,0,0,0,0.7899324083955888
8,9,7,2,1,0,0,0,0,0,0,0,0.7971967468420141
9,10,6,3,1,0,1,0,0,0,1,0,0.7829551359778278
9,10,8,2,1,0,0,0,0,0,0,0,0.7903560318008988
8,10,7,3,1,0,0,0,0,0,0,0,0.7681732256401443
9,10,6,3,1,0,1,0,0,0,1,0,0.7852209944751382
8,10,8,2,0,0,0,0,0,0,0,0,0.7716481639624253
8,10,7,3,1,0,0,0,0,0,0,0,0.7970525568181818
8,10,7,3,1,0,0,0,0,0,0,0,0.7820446289569278
8,9,7,2,1,0,0,0,0,0,0,0,0.796819156540386
8,9,7,2,1,0,0,0,0,0,0,0,0.7977854420039935
8,9,7,2,1,0,0,0,0,0,0,0,0.787735020207345
8,9,7,2,1,0,0,0,0,0,0,0,0.7767626271332528
8,9,7,2,1,0,0,0,0,0,0,0,0.7660868096605303
8,9,7,2,1,0,0,0,0,0,0,0,0.7769516728624535
8,10,7,3,1,0,0,0,0,0,0,0,0.7462859029382635
8,10,7,3,1,0,0,0,0,0,0,0,0.7615474403868601
8,10,7,3,1,0,0,0,0,0,0,0,0.7752675386444708
8,10,7,3,1,0,0,0,0,0,0,0,0.7767316745124412
8,10,7,3,1,0,0,0,0,0,0,0,0.7810231301705217
8,10,7,3,1,0,0,0,0,0,0,0,0.7745616936817731
8,9,7,2,1,0,0,0,0,0,0,0,0.7782563749138525
8,9,7,2,1,0,0,0,0,0,0,0,0.7841601392515231
8,9,7,2,1,0,0,0,0,0,0,0,0.8068745570517364
8,9,7,2,1,0,0,0,0,0,0,0,0.7491479209270621
8,9,7,2,1,0,0,0,0,0,0,0,0.7744658855961406
8,9,7,2,1,0,0,0,0,0,0,0,0.7957872188504106
8,9,7,2,1,0,0,0,0,0,0,0,0.7704154727793696
8,9,7,2,1,0,0,0,0,0,0,0,0.8295179601712265
8,9,7,2,1,0,0,0,0,0,0,0,0.7922214435879468
8,9,7,2,1,0,0,0,0,0,0,0,0.7824629498941426
14,16,14,2,0,0,0,0,0,0,0,0,0.7919956733369389
15,16,14,2,1,0,0,0,0,0,0,0,0.7688531439314811
14,16,14,2,0,0,0,0,0,0,0,0,0.7844055798459296
14,16,14,2,0,0,0,0,0,0,0,0,0.7978290366350068
15,16,15,1,0,0,0,0,0,0,0,0,0.8258117214621197
14,16,14,2,0,0,0,0,0,0,0,0,0.786808863118658
14,16,14,2,0,0,0,0,0,0,0,0,0.8098739495798319
16,16,14,1,0,0,1,0,0,0,1,0,0.8270164205308272
15,16,15,1,0,0,0,0,0,0,0,0,0.832401077273669
14,16,14,2,0,0,0,0,0,0,0,0,0.7969769127238845
14,16,14,2,0,0,0,0,0,0,0,0,0.7873991309745499
15,16,15,1,0,0,0,0,0,0,0,0,0.833843954248366
15,16,15,1,0,0,0,0,0,0,0,0,0.7948431631306466
14,16,14,2,0,0,0,0,0,0,0,0,0.7396969696969697
17,17,13,2,0,0,2,0,0,0,2,0,0.7910360884749709
15,17,15,2,0,0,0,0,0,0,0,0,0.7884708855837465
14,17,14,3,0,0,0,0,0,0,0,0,0.7210673595842495
14,18,14,4,0,0,0,0,0,0,0,0,0.7468923312296806
15,18,15,3,0,0,0,0,0,0,0,0,0.7601547388781431
15,18,15,3,0,0,0,0,0,0,0,0,0.7608937511589097
17,17,15,1,0,0,1,0,0,0,1,0,0.8005151688609045
15,17,15,2,0,0,0,0,0,0,0,0,0.7713353172698474
17,17,15,1,0,0,1,0,0,0,1,0,0.817560975609756
17,17,14,2,0,0,2,0,0,0,1,0,0.7626619552414605
16,17,16,1,0,0,0,0,0,0,0,0,0.8151252314589221
16,17,16,1,0,0,0,0,0,0,0,0,0.8181287687220385
17,17,15,1,0,0,1,0,0,0,1,0,0.8192711428005546
14,18,14,4,0,0,0,0,0,0,0,0,0.7691463901076985
14,18,12,5,0,0,1,0,0,0,1,0,0.7452784029748508
14,18,14,4,0,0,0,0,0,0,0,0,0.7931243680485339
