n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,10,8,2,0,0,0,0,0,0,0,0,0.8141149247975318
9,10,7,2,0,0,1,0,0,0,1,0,0.8222521137586472
8,9,8,1,0,0,0,0,0,0,0,0,0.7847082494969819
8,9,8,1,0,0,0,0,0,0,0,0,0.8076853362334602
8,9,8,1,0,0,0,0,0,0,0,0,0.784405318002156
8,9,8,1,0,0,0,0,0,0,0,0,0.8175824175824176
8,9,8,1,0,0,0,0,0,0,0,0,0.8233983286908078
8,9,8,1,0,0,0,0,0,0,0,0,0.8024736939265276
8,9,8,1,0,0,0,0,0,0,0,0,0.835707502374169
8,9,8,1,0,0,0,0,0,0,0,0,0.7968572510412723
8,8,8,0,0,0,0,0,0,0,0,0,0.8142439024390243
8,9,8,1,0,0,0,0,0,0,0,0,0.8299438311059462
8,9,8,1,0,0,0,0,0,0,0,0,0.8297052591022924
8,9,8,1,0,0,0,0,0,0,0,0,0.8289549376797699
8,8,8,0,0,0,0,0,0,0,0,0,0.8097514340344169
8,9,8,1,0,0,0,0,0,0,0,0,0.8272342064714946
8,9,8,1,0,0,0,0,0,0,0,0,0.8297830760211061
8,8,8,0,0,0,0,0,0,0,0,0,0.8156885308784043
8,8,8,0,0,0,0,0,0,0,0,0,0.8381046396841066
8,8,8,0,0,0,0,0,0,0,0,0,0.7893933613124762
8,8,8,0,0,0,0,0,0,0,0,0,0.8169425511197663
8,9,8,1,0,0,0,0,0,0,0,0,0.8280046224961479
8,9,8,1,0,0,0,0,0,0,0,0,0.8255947812739831
8,9,8,1,0,0,0,0,0,0,0,0,0.7902071563088512
8,9,8,1,0,0,0,0,0,0,0,0,0.7890173410404624
8,9,8,1,0,0,0,0,0,0,0,0,0.8388349514563107
8,9,8,1,0,0,0,0,0,0,0,0,0.810826542491269
9,9,7,1,0,0,1,0,0,0,1,0,0.8011538461538461
8,9,8,1,0,0,0,0,0,0,0,0,0.8022209458165805
8,9,8,1,0,0,0,0,0,0,0,0,0.7742427128976948
8,8,8,0,0,0,0,0,0,0,0,0,0.7980750343743862
8,8,8,0,0,0,0,0,0,0,0,0,0.8104822638501396
9,9,7,1,0,0,1,0,0,0,1,0,0.7730200833649109
8,9,8,1,0,0,0,0,0,0,0,0,0.7889960294951787
8,9,8,1,0,0,0,0,0,0,0,0,0.7919463087248322
