n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,10,8,2,0,0,0,0,0,0,0,0,0.8177615103062994
8,10,8,2,0,0,0,0,0,0,0,0,0.8231200463947419
8,9,8,1,0,0,0,0,0,0,0,0,0.8030859662013226
8,9,8,1,0,0,0,0,0,0,0,0,0.7882907377197752
8,9,8,1,0,0,0,0,0,0,0,0,0.7752301859541434
8,9,8,1,0,0,0,0,0,0,0,0,0.8142357917969468
8,9,8,1,0,0,0,0,0,0,0,0,0.8151481064866891
8,9,8,1,0,0,0,0,0,0,0,0,0.7982944011865035
8,9,8,1,0,0,0,0,0,0,0,0,0.815032184778493
8,9,8,1,0,0,0,0,0,0,0,0,0.8045098413911714
8,8,8,0,0,0,0,0,0,0,0,0,0.8332685581033813
8,9,8,1,0,0,0,0,0,0,0,0,0.839930151338766
8,9,8,1,0,0,0,0,0,0,0,0,0.813989239046887
8,9,8,1,0,0,0,0,0,0,0,0,0.8119838678701747
8,8,8,0,0,0,0,0,0,0,0,0,0.8111068408916219
8,9,8,1,0,0,0,0,0,0,0,0,0.8269896193771626
8,9,8,1,0,0,0,0,0,0,0,0,0.8263414634146341
8,8,8,0,0,0,0,0,0,0,0,0,0.8120300751879699
8,8,8,0,0,0,0,0,0,0,0,0,0.8332009531374106
8,8,8,0,0,0,0,0,0,0,0,0,0.7890047393364928
8,8,8,0,0,0,0,0,0,0,0,0,0.8119257086999022
8,9,8,1,0,0,0,0,0,0,0,0,0.7978743961352657
8,9,8,1,0,0,0,0,0,0,0,0,0.8077221575475358
8,9,8,1,0,0,0,0,0,0,0,0,0.7757132132132132
8,9,8,1,0,0,0,0,0,0,0,0,0.7836602551894877
8,9,8,1,0,0,0,0,0,0,0,0,0.8350575834471989
8,9,8,1,0,0,0,0,0,0,0,0,0.8032979976442874
8,9,8,1,0,0,0,0,0,0,0,0,0.7972350230414746
8,9,8,1,0,0,0,0,0,0,0,0,0.7790384615384616
8,9,8,1,0,0,0,0,0,0,0,0,0.7731958762886598
8,8,8,0,0,0,0,0,0,0,0,0,0.7894633379201887
8,8,8,0,0,0,0,0,0,0,0,0,0.8154125479120435
8,9,8,1,0,0,0,0,0,0,0,0,0.7679589509692132
8,9,8,1,0,0,0,0,0,0,0,0,0.7629573170731707
8,9,8,1,0,0,0,0,0,0,0,0,0.7858846918489065
6,9,6,3,0,0,0,0,0,0,0,0,0.5897681548189309
6,9,6,3,0,0,0,0,0,0,0,0,0.6190975865687304
6,9,6,3,0,0,0,0,0,0,0,0,0.5594098883572568
8,9,6,2,0,0,1,0,0,0,1,0,0.5837742504409171
9,9,8,1,1,0,0,0,0,0,0,0,0.6235492324971921
13,11,11,0,2,0,0,0,0,0,0,0,0.7686179041717384
12,12,12,0,0,0,0,0,0,0,0,0,0.8456081081081082
12,12,12,0,0,0,0,0,0,0,0,0,0.7961268354969142
12,12,12,0,0,0,0,0,0,0,0,0,0.7681054160614236
13,12,12,0,1,0,0,0,0,0,0,0,0.8012448570524316
13,12,12,0,1,0,0,0,0,0,0,0,0.8156766030452498
12,12,12,0,0,0,0,0,0,0,0,0,0.8138909794645737
12,12,12,0,0,0,0,0,0,0,0,0,0.7829796088223054
12,12,12,0,0,0,0,0,0,0,0,0,0.8165266106442577
12,12,12,0,0,0,0,0,0,0,0,0,0.7793875873407317
12,12,12,0,0,0,0,0,0,0,0,0,0.8197816177250079
12,12,12,0,0,0,0,0,0,0,0,0,0.8198744547292265
12,12,12,0,0,0,0,0,0,0,0,0,0.8293049736813836
12,12,12,0,0,0,0,0,0,0,0,0,0.8130695940347971
12,12,12,0,0,0,0,0,0,0,0,0,0.7959372114496768
12,12,12,0,0,0,0,0,0,0,0,0,0.8195473036403463
12,12,12,0,0,0,0,0,0,0,0,0,0.8231967562953478
12,12,12,0,0,0,0,0,0,0,0,0,0.7964096287229702
12,12,12,0,0,0,0,0,0,0,0,0,0.7872765404973534
12,12,11,1,1,0,0,0,0,0,0,0,0.7751763322884012
13,12,11,1,2,0,0,0,0,0,0,0,0.7946674839105118
12,12,12,0,0,0,0,0,0,0,0,0,0.8197530864197531
12,12,11,1,1,0,0,0,0,0,0,0,0.799249340637046
12,13,12,1,0,0,0,0,0,0,0,0,0.7637135064147894
14,13,12,1,2,0,0,0,0,0,0,0,0.7709212204454037
14,13,13,0,1,0,0,0,0,0,0,0,0.8094113014372908
13,13,13,0,0,0,0,0,0,0,0,0,0.8509031533829983
13,13,13,0,0,0,0,0,0,0,0,0,0.8222470087203407
13,13,12,1,1,0,0,0,0,0,0,0,0.7860888493123578
14,13,13,0,1,0,0,0,0,0,0,0,0.7804324217593049
16,13,11,0,1,0,2,0,0,0,2,0,0.8122736418511066
14,13,12,1,2,0,0,0,0,0,0,0,0.8142176249873238
13,13,13,0,0,0,0,0,0,0,0,0,0.8127506014434643
13,13,11,2,2,0,0,0,0,0,0,0,0.8028057696107489
13,13,13,0,0,0,0,0,0,0,0,0,0.8072155598105412
15,13,12,0,1,0,1,0,0,0,1,0,0.8398092725981536
13,13,13,0,0,0,0,0,0,0,0,0,0.8366238378773634
13,13,13,0,0,0,0,0,0,0,0,0,0.8421777354093846
13,13,13,0,0,0,0,0,0,0,0,0,0.8238100176293685
13,13,13,0,0,0,0,0,0,0,0,0,0.8186357734944572
6,6,6,0,0,0,0,0,0,0,0,0,0.8562283275540145
6,6,6,0,0,0,0,0,0,0,0,0,0.8113606340819023
7,6,6,0,1,0,0,0,0,0,0,0,0.757128045619492
8,7,6,1,2,0,0,0,0,0,0,0,0.7407725321888412
8,7,7,0,1,0,0,0,0,0,0,0,0.767362505018065
7,7,7,0,0,0,0,0,0,0,0,0,0.8079513360851619
8,8,6,2,2,0,0,0,0,0,0,0,0.6964894684052156
7,8,7,1,0,0,0,0,0,0,0,0,0.7768543527945149
8,8,7,1,1,0,0,0,0,0,0,0,0.7339063992359122
9,8,8,0,1,0,0,0,0,0,0,0,0.7561255742725881
8,8,7,1,1,0,0,0,0,0,0,0,0.8188991911619649
8,7,7,0,1,0,0,0,0,0,0,0,0.807450816241105
8,8,7,1,1,0,0,0,0,0,0,0,0.8393933097859962
8,8,8,0,0,0,0,0,0,0,0,0,0.8012911034900141
9,8,8,0,1,0,0,0,0,0,0,0,0.7641325536062378
8,8,8,0,0,0,0,0,0,0,0,0,0.8488102758475469
8,8,8,0,0,0,0,0,0,0,0,0,0.8280636495143625
8,8,8,0,0,0,0,0,0,0,0,0,0.7985058697972252
8,8,7,1,1,0,0,0,0,0,0,0,0.8005126014523708
9,8,5,1,1,0,0,2,3,0,0,1,0.7883552911177221
7,8,6,2,1,0,0,0,0,0,0,0,0.781390134529148
6,7,5,0,0,1,0,0,0,1,0,0,0.8236793327154773
6,8,6,2,0,0,0,0,0,0,0,0,0.760225988700565
7,8,6,2,1,0,0,0,0,0,0,0,0.7233311869499892
6,8,6,2,0,0,0,0,0,0,0,0,0.7359705611775529
8,8,7,1,1,0,0,0,0,0,0,0,0.8041144901610018
8,8,6,1,0,0,1,0,0,0,1,0,0.8072155821159805
6,8,6,2,0,0,0,0,0,0,0,0,0.7469879518072289
9,8,5,2,2,0,1,0,0,0,1,0,0.7743720732226479
7,8,6,2,1,0,0,0,0,0,0,0,0.7706037902159542
7,8,6,2,1,0,0,0,0,0,0,0,0.7433430297605729
9,8,7,1,2,0,0,0,0,0,0,0,0.8047457627118644
9,8,5,2,2,0,1,0,0,0,1,0,0.7984478935698448
7,8,6,2,1,0,0,0,0,0,0,0,0.7722793487574978
7,8,6,2,1,0,0,0,0,0,0,0,0.8121090259159964
7,8,7,1,0,0,0,0,0,0,0,0,0.8292358803986711
6,8,6,2,0,0,0,0,0,0,0,0,0.744612563044475
8,8,6,1,0,0,1,0,0,0,1,0,0.8039083557951483
9,8,6,2,3,0,0,0,0,0,0,0,0.8084481590241699
8,8,7,1,1,0,0,0,0,0,0,0,0.7579725448785639
8,10,8,2,0,0,0,0,0,0,0,0,0.8054307481930064
8,10,8,2,0,0,0,0,0,0,0,0,0.8220882753256854
8,10,8,2,0,0,0,0,0,0,0,0,0.7949252035599318
8,10,8,2,0,0,0,0,0,0,0,0,0.7749733380732314
8,10,7,3,1,0,0,0,0,0,0,0,0.7790551463984192
8,10,8,2,0,0,0,0,0,0,0,0,0.7844811920770489
8,10,8,2,0,0,0,0,0,0,0,0,0.7632002863790943
8,10,8,2,0,0,0,0,0,0,0,0,0.7627724187209718
8,10,7,3,1,0,0,0,0,0,0,0,0.7752666787199421
8,9,7,2,1,0,0,0,0,0,0,0,0.7556371263765076
8,10,7,3,1,0,0,0,0,0,0,0,0.7656028368794326
8,10,7,3,1,0,0,0,0,0,0,0,0.7543704750132438
8,10,7,3,1,0,0,0,0,0,0,0,0.7525541125541125
8,10,7,3,1,0,0,0,0,0,0,0,0.7453125
8,10,8,2,0,0,0,0,0,0,0,0,0.7431637244721356
8,10,7,3,1,0,0,0,0,0,0,0,0.76993699369937
8,10,7,3,1,0,0,0,0,0,0,0,0.7538272039415802
8,9,7,2,1,0,0,0,0,0,0,0,0.7574374885928089
8,9,7,2,1,0,0,0,0,0,0,0,0.7868038963425841
8,9,7,2,1,0,0,0,0,0,0,0,0.7663369833980925
8,9,7,2,1,0,0,0,0,0,0,0,0.7511936339522547
8,9,7,2,1,0,0,0,0,0,0,0,0.749315537303217
8,9,7,2,1,0,0,0,0,0,0,0,0.752400548696845
8,10,7,3,1,0,0,0,0,0,0,0,0.7315639173525953
8,10,7,3,1,0,0,0,0,0,0,0,0.7348167977246111
8,10,7,3,1,0,0,0,0,0,0,0,0.7652428522218395
8,10,7,3,1,0,0,0,0,0,0,0,0.7508497620666214
8,10,7,3,1,0,0,0,0,0,0,0,0.7633406742334407
