n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,8,7,1,0,0,0,0,0,0,0,0,0.8218597063621533
7,9,7,2,0,0,0,0,0,0,0,0,0.8133290197347137
7,9,7,2,0,0,0,0,0,0,0,0,0.7626865671641792
8,9,8,1,0,0,0,0,0,0,0,0,0.7837222538417757
6,9,6,3,0,0,0,0,0,0,0,0,0.7328111401218451
5,8,5,3,0,0,0,0,0,0,0,0,0.7762820512820513
7,8,6,2,1,0,0,0,0,0,0,0,0.8130665833072835
7,9,6,3,1,0,0,0,0,0,0,0,0.7713706172124022
7,10,7,3,0,0,0,0,0,0,0,0,0.7551347025873566
8,10,8,2,0,0,0,0,0,0,0,0,0.809498111171074
9,9,7,1,0,0,1,0,0,0,1,0,0.7892710472279261
7,10,7,3,0,0,0,0,0,0,0,0,0.7399850709131625
8,9,8,1,0,0,0,0,0,0,0,0,0.8031380240254965
8,9,8,1,0,0,0,0,0,0,0,0,0.8053624627606752
8,9,7,2,1,0,0,0,0,0,0,0,0.7772083943387018
8,9,8,1,0,0,0,0,0,0,0,0,0.8018913676042677
8,9,7,2,1,0,0,0,0,0,0,0,0.8080857282026302
8,9,8,1,0,0,0,0,0,0,0,0,0.7735436893203883
8,9,8,1,0,0,0,0,0,0,0,0,0.8103932584269663
8,9,8,1,0,0,0,0,0,0,0,0,0.776685393258427
8,9,8,1,0,0,0,0,0,0,0,0,0.753315649867374
8,10,8,2,0,0,0,0,0,0,0,0,0.7712973593570609
10,11,8,2,0,0,1,0,0,0,1,0,0.7515206127506195
9,11,9,2,0,0,0,0,0,0,0,0,0.7745166550197997
9,10,9,1,0,0,0,0,0,0,0,0,0.8111824014665444
9,10,9,1,0,0,0,0,0,0,0,0,0.7794051374493015
9,10,9,1,0,0,0,0,0,0,0,0,0.8151604825859322
9,11,9,2,0,0,0,0,0,0,0,0,0.8341922473672417
10,11,10,1,0,0,0,0,0,0,0,0,0.8233910626469959
10,11,10,1,0,0,0,0,0,0,0,0,0.8124866367329485
24,28,24,4,0,0,0,0,0,0,0,0,0.8217545013565732
24,28,24,4,0,0,0,0,0,0,0,0,0.8209751758712703
24,26,24,2,0,0,0,0,0,0,0,0,0.8019692725575078
26,26,23,2,1,0,1,0,0,0,1,0,0.8321289143616579
24,26,24,2,0,0,0,0,0,0,0,0,0.8238754038604921
24,26,24,2,0,0,0,0,0,0,0,0,0.8330842052815147
23,26,23,3,0,0,0,0,0,0,0,0,0.8469247901319171
22,27,22,5,0,0,0,0,0,0,0,0,0.8225349695357419
24,27,24,3,0,0,0,0,0,0,0,0,0.8198321630416168
23,26,23,3,0,0,0,0,0,0,0,0,0.8348460429213673
25,27,24,3,1,0,0,0,0,0,0,0,0.8336479277800575
23,25,23,2,0,0,0,0,0,0,0,0,0.8363560732113144
24,25,23,2,1,0,0,0,0,0,0,0,0.8502882195339774
24,27,24,3,0,0,0,0,0,0,0,0,0.8273509826214065
24,25,24,1,0,0,0,0,0,0,0,0,0.8310100269014429
24,27,24,3,0,0,0,0,0,0,0,0,0.8419651500484027
24,26,24,2,0,0,0,0,0,0,0,0,0.8349864743011722
24,27,24,3,0,0,0,0,0,0,0,0,0.8271150384552446
24,27,24,3,0,0,0,0,0,0,0,0,0.8356142197748806
27,29,25,4,2,0,0,0,0,0,0,0,0.8240149509422209
27,28,23,2,0,0,1,2,2,0,1,1,0.812732894632522
26,29,26,3,0,0,0,0,0,0,0,0,0.8257801474047358
26,31,26,5,0,0,0,0,0,0,0,0,0.809418746195983
30,31,28,2,0,0,1,0,0,0,1,0,0.812864622288706
29,32,25,4,0,0,1,2,2,0,1,1,0.8042895442359249
33,32,26,3,1,0,3,0,0,0,3,0,0.8208536405257717
30,33,30,3,0,0,0,0,0,0,0,0,0.8068481123792801
30,32,24,6,2,0,2,0,0,0,2,0,0.7866364023265712
27,31,23,5,1,1,1,0,0,1,1,0,0.7731783385313298
28,33,25,5,0,1,1,0,0,1,1,0,0.7847667950363714
14,16,14,2,0,0,0,0,0,0,0,0,0.7907494758909853
14,17,14,3,0,0,0,0,0,0,0,0,0.8196008188331627
15,17,15,2,0,0,0,0,0,0,0,0,0.7925665494726268
15,17,14,3,1,0,0,0,0,0,0,0,0.806602037059762
16,17,16,1,0,0,0,0,0,0,0,0,0.8321203299369239
15,17,15,2,0,0,0,0,0,0,0,0,0.7903599755948749
16,17,14,1,1,1,0,0,0,1,0,0,0.8308531746031746
16,17,16,1,0,0,0,0,0,0,0,0,0.8136240453313625
14,17,14,3,0,0,0,0,0,0,0,0,0.7944437523358665
16,17,15,2,1,0,0,0,0,0,0,0,0.8407557354925776
15,16,15,1,0,0,0,0,0,0,0,0,0.8514765847028296
15,16,15,1,0,0,0,0,0,0,0,0,0.8217290574320205
16,16,14,2,2,0,0,0,0,0,0,0,0.8397342995169083
15,16,15,1,0,0,0,0,0,0,0,0,0.8553897978825794
16,16,16,0,0,0,0,0,0,0,0,0,0.8386201905680859
15,16,15,1,0,0,0,0,0,0,0,0,0.8457135898684851
17,16,14,1,1,0,1,0,0,0,1,0,0.8214982918496828
15,16,15,1,0,0,0,0,0,0,0,0,0.8310344827586207
13,16,13,3,0,0,0,0,0,0,0,0,0.8380029212587969
15,15,13,2,2,0,0,0,0,0,0,0,0.809244874570228
15,15,14,1,1,0,0,0,0,0,0,0,0.8306926803718738
15,15,13,1,0,0,1,0,0,0,1,0,0.8317108947859715
13,15,13,2,0,0,0,0,0,0,0,0,0.8269256003149194
14,16,13,3,1,0,0,0,0,0,0,0,0.8193072566837877
14,15,14,1,0,0,0,0,0,0,0,0,0.8311320754716981
14,15,14,1,0,0,0,0,0,0,0,0,0.8307609716816534
13,14,13,1,0,0,0,0,0,0,0,0,0.8270330590040452
13,14,13,1,0,0,0,0,0,0,0,0,0.8635346756152126
13,14,13,1,0,0,0,0,0,0,0,0,0.8419314898885679
15,14,12,1,1,0,1,0,0,0,1,0,0.8406056434962147
6,6,6,0,0,0,0,0,0,0,0,0,0.8086824835941444
6,6,6,0,0,0,0,0,0,0,0,0,0.8043998087039694
6,6,6,0,0,0,0,0,0,0,0,0,0.8361836183618362
6,6,6,0,0,0,0,0,0,0,0,0,0.8355263157894737
6,6,6,0,0,0,0,0,0,0,0,0,0.8428317008014248
6,6,6,0,0,0,0,0,0,0,0,0,0.8512537186570336
6,6,6,0,0,0,0,0,0,0,0,0,0.8356043956043956
6,6,6,0,0,0,0,0,0,0,0,0,0.8263651877133106
6,6,6,0,0,0,0,0,0,0,0,0,0.856378233719893
6,6,5,1,1,0,0,0,0,0,0,0,0.7998204667863554
6,6,6,0,0,0,0,0,0,0,0,0,0.8171861836562764
5,6,5,1,0,0,0,0,0,0,0,0,0.813443072702332
5,6,5,1,0,0,0,0,0,0,0,0,0.8008421052631579
4,6,4,2,0,0,0,0,0,0,0,0,0.7588183421516755
5,6,5,1,0,0,0,0,0,0,0,0,0.8113207547169812
6,6,5,1,1,0,0,0,0,0,0,0,0.8275429049811637
5,6,5,1,0,0,0,0,0,0,0,0,0.7974631751227496
6,6,6,0,0,0,0,0,0,0,0,0,0.8232539992196645
6,6,5,1,1,0,0,0,0,0,0,0,0.8461538461538461
5,6,5,1,0,0,0,0,0,0,0,0,0.8197320341047503
5,6,5,1,0,0,0,0,0,0,0,0,0.7929252782193958
6,7,6,1,0,0,0,0,0,0,0,0,0.8290598290598291
5,7,5,2,0,0,0,0,0,0,0,0,0.7959259259259259
5,7,5,2,0,0,0,0,0,0,0,0,0.7802768166089965
5,7,5,2,0,0,0,0,0,0,0,0,0.8163804491413474
5,7,5,2,0,0,0,0,0,0,0,0,0.7977904251757616
5,7,5,2,0,0,0,0,0,0,0,0,0.757071024512885
6,8,6,2,0,0,0,0,0,0,0,0,0.8131052291801162
6,8,6,2,0,0,0,0,0,0,0,0,0.8161974058842139
6,8,6,2,0,0,0,0,0,0,0,0,0.8188131313131313
14,17,14,3,0,0,0,0,0,0,0,0,0.8222876151484135
15,16,15,1,0,0,0,0,0,0,0,0,0.8154153155400349
14,18,14,4,0,0,0,0,0,0,0,0,0.7969543147208121
14,16,14,2,0,0,0,0,0,0,0,0,0.8397949796293862
13,17,13,4,0,0,0,0,0,0,0,0,0.8136789426408315
13,17,13,4,0,0,0,0,0,0,0,0,0.7948289169024955
15,17,15,2,0,0,0,0,0,0,0,0,0.8207698972645129
16,17,15,2,1,0,0,0,0,0,0,0,0.8244737780948983
14,16,14,2,0,0,0,0,0,0,0,0,0.7962572809517908
16,17,16,1,0,0,0,0,0,0,0,0,0.8271743187756626
15,16,15,1,0,0,0,0,0,0,0,0,0.827862783810464
15,16,15,1,0,0,0,0,0,0,0,0,0.8003729024238657
17,17,17,0,0,0,0,0,0,0,0,0,0.8400675431190447
16,18,16,2,0,0,0,0,0,0,0,0,0.8157049375371802
17,17,17,0,0,0,0,0,0,0,0,0,0.8223259152907394
17,17,17,0,0,0,0,0,0,0,0,0,0.8553191489361702
17,17,17,0,0,0,0,0,0,0,0,0,0.8336970253818766
17,18,17,1,0,0,0,0,0,0,0,0,0.8101638957670086
17,19,17,2,0,0,0,0,0,0,0,0,0.8329799764428739
18,18,18,0,0,0,0,0,0,0,0,0,0.8204776596960347
17,19,16,3,1,0,0,0,0,0,0,0,0.7770006879156157
16,19,16,3,0,0,0,0,0,0,0,0,0.818372581021217
17,20,17,3,0,0,0,0,0,0,0,0,0.8088218489315507
18,20,18,2,0,0,0,0,0,0,0,0,0.8100779704410567
17,19,17,2,0,0,0,0,0,0,0,0,0.8221833041447753
16,19,16,3,0,0,0,0,0,0,0,0,0.8084106660401739
17,20,17,3,0,0,0,0,0,0,0,0,0.7976022566995769
16,21,16,5,0,0,0,0,0,0,0,0,0.8013100436681223
17,22,17,5,0,0,0,0,0,0,0,0,0.7926872559460418
17,22,17,5,0,0,0,0,0,0,0,0,0.7839578454332553
8,6,4,0,0,0,2,0,0,0,2,0,0.8729367798193709
6,6,6,0,0,0,0,0,0,0,0,0,0.8551358101779581
7,6,6,0,1,0,0,0,0,0,0,0,0.843711467324291
6,6,6,0,0,0,0,0,0,0,0,0,0.8729348152598377
6,6,6,0,0,0,0,0,0,0,0,0,0.8408004778972521
6,6,6,0,0,0,0,0,0,0,0,0,0.853448275862069
6,6,6,0,0,0,0,0,0,0,0,0,0.8324375592791653
8,6,3,0,0,0,1,2,3,0,1,1,0.8558322411533421
6,6,6,0,0,0,0,0,0,0,0,0,0.8377192982456141
7,6,6,0,1,0,0,0,0,0,0,0,0.8385975994946304
6,6,6,0,0,0,0,0,0,0,0,0,0.8640552995391705
8,6,4,0,0,0,2,0,0,0,2,0,0.8613500992720053
6,6,6,0,0,0,0,0,0,0,0,0,0.855800388852884
8,6,5,0,1,0,1,0,0,0,1,0,0.847452229299363
6,6,5,1,1,0,0,0,0,0,0,0,0.8524214659685864
6,6,6,0,0,0,0,0,0,0,0,0,0.868025078369906
6,7,5,2,1,0,0,0,0,0,0,0,0.7893667456823569
7,7,4,2,1,0,1,0,0,0,1,0,0.8679495686794957
5,7,5,2,0,0,0,0,0,0,0,0,0.8456198347107438
5,7,5,2,0,0,0,0,0,0,0,0,0.830470737913486
8,7,5,1,1,0,1,0,0,0,1,0,0.8403919089759798
5,7,5,2,0,0,0,0,0,0,0,0,0.8282405918301705
5,7,5,2,0,0,0,0,0,0,0,0,0.8318062827225131
5,7,5,2,0,0,0,0,0,0,0,0,0.8021766965428937
4,7,4,3,0,0,0,0,0,0,0,0,0.709404600811908
4,7,4,3,0,0,0,0,0,0,0,0,0.691785471826205
5,6,5,1,0,0,0,0,0,0,0,0,0.8396349413298566
5,6,3,2,0,0,1,0,0,0,1,0,0.6395045632333768
4,6,4,2,0,0,0,0,0,0,0,0,0.6619309008718114
7,6,4,1,1,0,1,0,0,0,1,0,0.8397664612390529
6,6,6,0,0,0,0,0,0,0,0,0,0.8498727735368957
8,6,6,0,2,0,0,0,0,0,0,0,0.8761163929703255
6,6,6,0,0,0,0,0,0,0,0,0,0.8530342249065286
6,6,6,0,0,0,0,0,0,0,0,0,0.8709494030699261
6,6,6,0,0,0,0,0,0,0,0,0,0.8730802665893944
6,7,6,1,0,0,0,0,0,0,0,0,0.8364394993045897
6,7,6,1,0,0,0,0,0,0,0,0,0.862933799941674
6,7,6,1,0,0,0,0,0,0,0,0,0.8693435309114086
6,7,5,2,1,0,0,0,0,0,0,0,0.8346749226006192
5,7,5,2,0,0,0,0,0,0,0,0,0.8179453836150845
5,7,5,2,0,0,0,0,0,0,0,0,0.8048780487804879
5,7,5,2,0,0,0,0,0,0,0,0,0.7541692402717727
6,7,4,3,2,0,0,0,0,0,0,0,0.7753373078129903
6,7,4,3,2,0,0,0,0,0,0,0,0.8139384116693679
5,6,5,1,0,0,0,0,0,0,0,0,0.7145476772616137
5,6,5,1,0,0,0,0,0,0,0,0,0.7474037874160049
5,7,5,2,0,0,0,0,0,0,0,0,0.7502185951617604
5,6,5,1,0,0,0,0,0,0,0,0,0.7391051714119697
5,6,5,1,0,0,0,0,0,0,0,0,0.7843581751204307
5,6,5,1,0,0,0,0,0,0,0,0,0.7559936068193926
5,6,5,1,0,0,0,0,0,0,0,0,0.7369259357578976
5,8,5,3,0,0,0,0,0,0,0,0,0.7631439192777483
5,8,5,3,0,0,0,0,0,0,0,0,0.7213284898806435
5,8,5,3,0,0,0,0,0,0,0,0,0.7256659836065574
5,8,5,3,0,0,0,0,0,0,0,0,0.7436424351399948
5,8,5,3,0,0,0,0,0,0,0,0,0.7294573643410853
5,7,5,2,0,0,0,0,0,0,0,0,0.7245784363822176
5,7,5,2,0,0,0,0,0,0,0,0,0.7234311740890689
5,7,5,2,0,0,0,0,0,0,0,0,0.7126895450917797
5,8,5,3,0,0,0,0,0,0,0,0,0.688635747219962
3,5,2,3,1,0,0,0,0,0,0,0,0.6136363636363636
4,5,2,3,2,0,0,0,0,0,0,0,0.697954902988988
3,5,2,3,1,0,0,0,0,0,0,0,0.6773127753303965
3,5,2,3,1,0,0,0,0,0,0,0,0.6464595007641365
4,6,3,3,1,0,0,0,0,0,0,0,0.7280617164898746
4,6,2,3,0,0,1,0,0,0,1,0,0.5950561797752809
4,6,3,3,1,0,0,0,0,0,0,0,0.6360387953037264
4,6,2,2,0,0,0,2,2,0,0,1,0.6234598324297683
3,6,2,4,1,0,0,0,0,0,0,0,0.568215892053973
5,6,3,3,2,0,0,0,0,0,0,0,0.6038746908491344
7,6,3,2,2,0,1,0,0,0,1,0,0.7389202256244963
5,6,4,2,1,0,0,0,0,0,0,0,0.7483617300131061
4,6,4,2,0,0,0,0,0,0,0,0,0.6846289752650176
5,6,2,2,0,0,0,2,3,0,0,1,0.6887966804979253
4,6,4,2,0,0,0,0,0,0,0,0,0.6856312292358804
7,6,3,2,2,0,1,0,0,0,1,0,0.7585644371941273
4,5,3,2,1,0,0,0,0,0,0,0,0.7277641277641278
4,5,3,2,1,0,0,0,0,0,0,0,0.6148577449947313
4,5,4,1,0,0,0,0,0,0,0,0,0.8097534833869239
2,5,2,3,0,0,0,0,0,0,0,0,0.49406910778751933
4,5,4,1,0,0,0,0,0,0,0,0,0.7813121272365805
4,6,3,3,1,0,0,0,0,0,0,0,0.7794117647058824
3,6,3,3,0,0,0,0,0,0,0,0,0.7287973167225683
5,6,3,1,0,0,0,2,2,0,0,1,0.7632687447346251
7,6,4,1,1,0,1,0,0,0,1,0,0.8092555331991952
6,6,4,2,2,0,0,0,0,0,0,0,0.7761924174480228
5,6,5,1,0,0,0,0,0,0,0,0,0.8532467532467533
6,6,4,1,0,0,1,0,0,0,1,0,0.8018173950670705
4,5,4,1,0,0,0,0,0,0,0,0,0.8058252427184466
5,5,4,1,1,0,0,0,0,0,0,0,0.6736481340441737
9,12,9,3,0,0,0,0,0,0,0,0,0.7873926796204248
9,10,7,2,0,0,1,0,0,0,1,0,0.7725096877136995
8,10,7,3,1,0,0,0,0,0,0,0,0.7745395197015621
9,11,8,3,1,0,0,0,0,0,0,0,0.756421811626859
9,10,8,2,1,0,0,0,0,0,0,0,0.7986984815618221
9,11,8,3,1,0,0,0,0,0,0,0,0.7506307821698907
10,11,9,2,1,0,0,0,0,0,0,0,0.7884423115376925
9,11,8,3,1,0,0,0,0,0,0,0,0.8007065669160432
9,12,8,4,1,0,0,0,0,0,0,0,0.7973962571196095
9,10,8,2,1,0,0,0,0,0,0,0,0.8190279214064116
10,11,10,1,0,0,0,0,0,0,0,0,0.8127879122903998
11,12,10,2,1,0,0,0,0,0,0,0,0.8117267348036579
11,11,10,1,1,0,0,0,0,0,0,0,0.8349496456546065
11,11,9,2,2,0,0,0,0,0,0,0,0.8017498138495904
13,11,11,0,2,0,0,0,0,0,0,0,0.832625318606627
11,12,11,1,0,0,0,0,0,0,0,0,0.8331663326653307
11,12,10,2,1,0,0,0,0,0,0,0,0.8343003412969283
11,12,10,2,1,0,0,0,0,0,0,0,0.8174002751031637
12,12,8,2,2,0,0,2,2,0,0,1,0.8267647574005955
11,12,11,1,0,0,0,0,0,0,0,0,0.839035237769415
12,11,11,0,1,0,0,0,0,0,0,0,0.8070532383858935
11,12,11,1,0,0,0,0,0,0,0,0,0.8317694369973191
10,12,10,2,0,0,0,0,0,0,0,0,0.7907751666082077
11,12,10,2,1,0,0,0,0,0,0,0,0.7895582329317269
12,12,11,1,1,0,0,0,0,0,0,0,0.8271767810026385
10,12,10,2,0,0,0,0,0,0,0,0,0.8020740210978008
11,11,10,1,1,0,0,0,0,0,0,0,0.8207811623995515
10,11,10,1,0,0,0,0,0,0,0,0,0.818952802359882
11,12,10,2,1,0,0,0,0,0,0,0,0.7866460693443186
10,12,9,3,1,0,0,0,0,0,0,0,0.791777896422851
10,8,6,1,2,0,1,0,0,0,1,0,0.7982946975752732
