n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,8,5,1,1,1,0,0,0,1,0,0,0.7594056275687638
7,9,5,4,2,0,0,0,0,0,0,0,0.7683360258481422
8,9,5,4,3,0,0,0,0,0,0,0,0.7441997063142438
7,9,6,1,0,1,0,0,0,1,0,0,0.7475532527345999
8,9,6,1,1,1,0,0,0,1,0,0,0.7267360134945179
6,8,5,3,1,0,0,0,0,0,0,0,0.7227875423990132
6,8,6,2,0,0,0,0,0,0,0,0,0.7646508728179551
7,9,5,4,2,0,0,0,0,0,0,0,0.7487481590574374
8,10,7,1,0,1,0,0,0,1,0,0,0.7775125961283479
8,10,7,1,0,1,0,0,0,1,0,0,0.7563025210084033
7,9,7,2,0,0,0,0,0,0,0,0,0.7551234892275355
8,10,7,3,1,0,0,0,0,0,0,0,0.7563516260162602
7,9,7,2,0,0,0,0,0,0,0,0,0.7329405989199803
8,9,6,1,1,1,0,0,0,1,0,0,0.807673389080177
9,9,8,1,1,0,0,0,0,0,0,0,0.7774600905408625
9,9,9,0,0,0,0,0,0,0,0,0,0.8217537134643028
9,9,9,0,0,0,0,0,0,0,0,0,0.8240196078431372
8,9,8,1,0,0,0,0,0,0,0,0,0.7713037144938092
9,9,9,0,0,0,0,0,0,0,0,0,0.787843502561714
9,9,8,1,1,0,0,0,0,0,0,0,0.789289871944121
9,9,9,0,0,0,0,0,0,0,0,0,0.7995133819951338
8,10,8,2,0,0,0,0,0,0,0,0,0.7617411225658648
9,11,9,2,0,0,0,0,0,0,0,0,0.7373167981961668
9,11,9,2,0,0,0,0,0,0,0,0,0.7633232487782173
10,10,10,0,0,0,0,0,0,0,0,0,0.7834366696191319
11,10,9,0,0,0,1,0,0,0,1,0,0.8233424159854678
10,10,9,1,1,0,0,0,0,0,0,0,0.7776060070671378
9,11,9,2,0,0,0,0,0,0,0,0,0.8070175438596491
10,11,10,1,0,0,0,0,0,0,0,0,0.7988382099827883
10,11,10,1,0,0,0,0,0,0,0,0,0.7812367640830157
25,28,25,3,0,0,0,0,0,0,0,0,0.8039360393603936
24,28,24,4,0,0,0,0,0,0,0,0,0.8102605863192183
24,26,24,2,0,0,0,0,0,0,0,0,0.8128575087509605
27,26,21,2,0,0,3,0,0,0,3,0,0.7954281928109989
24,26,24,2,0,0,0,0,0,0,0,0,0.8107344632768362
24,26,24,2,0,0,0,0,0,0,0,0,0.8235683548493876
23,26,23,3,0,0,0,0,0,0,0,0,0.8187867929357563
22,27,22,5,0,0,0,0,0,0,0,0,0.804360889346725
25,27,22,4,1,0,1,0,0,0,1,0,0.8140495867768595
23,26,23,3,0,0,0,0,0,0,0,0,0.8125688151096807
25,27,23,3,0,0,1,0,0,0,1,0,0.8260869565217391
23,25,23,2,0,0,0,0,0,0,0,0,0.8278929260719979
23,25,23,2,0,0,0,0,0,0,0,0,0.8242222402729267
24,27,24,3,0,0,0,0,0,0,0,0,0.8054738562091504
24,25,24,1,0,0,0,0,0,0,0,0,0.832099568860327
24,27,24,3,0,0,0,0,0,0,0,0,0.8241410121029973
24,26,24,2,0,0,0,0,0,0,0,0,0.8171731390245922
24,27,23,4,1,0,0,0,0,0,0,0,0.8176105761384038
24,27,24,3,0,0,0,0,0,0,0,0,0.8020433183489988
25,29,25,4,0,0,0,0,0,0,0,0,0.7985162046075752
28,28,24,2,0,0,2,0,0,0,2,0,0.8057883915862724
26,29,26,3,0,0,0,0,0,0,0,0,0.8034979423868313
26,31,25,6,1,0,0,0,0,0,0,0,0.7864040757356855
29,31,29,2,0,0,0,0,0,0,0,0,0.8042438732815301
28,32,28,4,0,0,0,0,0,0,0,0,0.7862692365157627
32,32,27,3,1,0,2,0,0,0,2,0,0.7991189427312775
30,33,29,4,1,0,0,0,0,0,0,0,0.7890363026680274
27,32,27,5,0,0,0,0,0,0,0,0,0.768547057558598
27,31,24,5,2,1,0,0,0,1,0,0,0.7649575697069101
31,33,22,6,2,1,3,0,0,1,3,0,0.7876936194401023
15,16,14,2,1,0,0,0,0,0,0,0,0.7608921161825726
14,17,14,3,0,0,0,0,0,0,0,0,0.7931122448979592
16,17,13,3,1,0,1,0,0,0,1,0,0.7859493670886076
15,17,14,3,1,0,0,0,0,0,0,0,0.7865042873120418
16,17,15,2,1,0,0,0,0,0,0,0,0.7922629153528984
16,17,15,2,1,0,0,0,0,0,0,0,0.7958384332925337
15,17,15,2,0,0,0,0,0,0,0,0,0.7941468253968254
15,17,14,3,1,0,0,0,0,0,0,0,0.7976697569531446
16,17,15,2,1,0,0,0,0,0,0,0,0.7958353868900936
17,17,14,2,1,0,1,0,0,0,1,0,0.8067891470981872
15,16,14,0,0,1,0,0,0,1,0,0,0.827158964192789
15,16,15,1,0,0,0,0,0,0,0,0,0.8101435173923619
14,16,14,2,0,0,0,0,0,0,0,0,0.8293626798887411
15,16,14,0,0,1,0,0,0,1,0,0,0.8245360327789829
16,16,15,1,1,0,0,0,0,0,0,0,0.8177879407870984
16,16,15,1,1,0,0,0,0,0,0,0,0.8336585365853658
17,16,16,0,1,0,0,0,0,0,0,0,0.8147288715192965
17,16,13,1,0,0,2,0,0,0,2,0,0.8125712837409708
13,16,13,3,0,0,0,0,0,0,0,0,0.8099523557437798
14,15,13,2,1,0,0,0,0,0,0,0,0.7712294043092522
14,15,14,1,0,0,0,0,0,0,0,0,0.8314562077646747
13,15,13,2,0,0,0,0,0,0,0,0,0.8074074074074075
13,15,13,2,0,0,0,0,0,0,0,0,0.7988227599738391
14,16,14,2,0,0,0,0,0,0,0,0,0.8054245283018868
14,15,14,1,0,0,0,0,0,0,0,0,0.789354624085163
14,15,14,1,0,0,0,0,0,0,0,0,0.8177048298129961
13,14,13,1,0,0,0,0,0,0,0,0,0.8215182807703042
13,14,13,1,0,0,0,0,0,0,0,0,0.8314512756168967
14,14,13,1,1,0,0,0,0,0,0,0,0.8042156465342521
13,14,13,1,0,0,0,0,0,0,0,0,0.823537396497896
6,6,5,1,1,0,0,0,0,0,0,0,0.7531742001015744
6,6,6,0,0,0,0,0,0,0,0,0,0.8231619413743393
6,6,6,0,0,0,0,0,0,0,0,0,0.8165840468679585
6,6,6,0,0,0,0,0,0,0,0,0,0.8252123379526151
6,6,6,0,0,0,0,0,0,0,0,0,0.8171052631578948
6,6,6,0,0,0,0,0,0,0,0,0,0.8460891505466779
6,6,6,0,0,0,0,0,0,0,0,0,0.810989010989011
6,6,5,1,1,0,0,0,0,0,0,0,0.787676935886761
6,6,6,0,0,0,0,0,0,0,0,0,0.8008928571428572
6,6,5,1,1,0,0,0,0,0,0,0,0.7812362998684788
6,6,6,0,0,0,0,0,0,0,0,0,0.8217779668226287
5,6,5,1,0,0,0,0,0,0,0,0,0.7901744719926538
5,6,5,1,0,0,0,0,0,0,0,0,0.8091106290672451
5,6,5,1,0,0,0,0,0,0,0,0,0.7988454706927176
5,6,5,1,0,0,0,0,0,0,0,0,0.7838070628768303
4,6,4,2,0,0,0,0,0,0,0,0,0.7672188317349607
5,6,5,1,0,0,0,0,0,0,0,0,0.7988969028425965
6,6,5,1,1,0,0,0,0,0,0,0,0.7982149786573535
5,6,5,1,0,0,0,0,0,0,0,0,0.7892376681614349
5,6,5,1,0,0,0,0,0,0,0,0,0.7981391585760518
5,6,5,1,0,0,0,0,0,0,0,0,0.832452216348109
6,7,5,2,1,0,0,0,0,0,0,0,0.8144368858654573
5,7,5,2,0,0,0,0,0,0,0,0,0.7783882783882784
5,7,5,2,0,0,0,0,0,0,0,0,0.7780479333101772
5,7,5,2,0,0,0,0,0,0,0,0,0.7647251308900523
5,7,5,2,0,0,0,0,0,0,0,0,0.7995916978564137
5,7,5,2,0,0,0,0,0,0,0,0,0.7879185817465528
5,8,5,3,0,0,0,0,0,0,0,0,0.7586095912455745
6,8,6,2,0,0,0,0,0,0,0,0,0.8026992287917738
6,8,6,2,0,0,0,0,0,0,0,0,0.773758430410791
15,17,15,2,0,0,0,0,0,0,0,0,0.8254643962848297
14,16,14,2,0,0,0,0,0,0,0,0,0.8002006772858397
14,18,13,5,1,0,0,0,0,0,0,0,0.787201625190452
13,16,13,3,0,0,0,0,0,0,0,0,0.7948280388553426
