n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,8,7,1,0,0,0,0,0,0,0,0,0.7878294825903026
7,9,7,2,0,0,0,0,0,0,0,0,0.7752880921895007
7,9,7,2,0,0,0,0,0,0,0,0,0.7525433871932974
7,9,6,3,1,0,0,0,0,0,0,0,0.7191172255660647
7,9,7,2,0,0,0,0,0,0,0,0,0.718961625282167
7,8,5,3,2,0,0,0,0,0,0,0,0.7448671497584541
5,8,5,3,0,0,0,0,0,0,0,0,0.7616481774960381
7,9,6,3,1,0,0,0,0,0,0,0,0.7253991291727141
8,10,8,2,0,0,0,0,0,0,0,0,0.7632423756019262
7,10,7,3,0,0,0,0,0,0,0,0,0.7062955254942768
8,9,8,1,0,0,0,0,0,0,0,0,0.7898121944944687
8,10,8,2,0,0,0,0,0,0,0,0,0.7707859489512257
8,9,8,1,0,0,0,0,0,0,0,0,0.7671502335874109
8,9,8,1,0,0,0,0,0,0,0,0,0.7661290322580645
8,9,8,1,0,0,0,0,0,0,0,0,0.7409565428502064
9,9,9,0,0,0,0,0,0,0,0,0,0.832410305803034
8,9,8,1,0,0,0,0,0,0,0,0,0.7874419741021256
8,9,8,1,0,0,0,0,0,0,0,0,0.7788762961176754
8,9,8,1,0,0,0,0,0,0,0,0,0.7689761172854103
8,9,8,1,0,0,0,0,0,0,0,0,0.7392915026626534
8,9,8,1,0,0,0,0,0,0,0,0,0.7772649987855235
8,10,8,2,0,0,0,0,0,0,0,0,0.7688950149322307
9,11,9,2,0,0,0,0,0,0,0,0,0.7462482946793997
9,11,9,2,0,0,0,0,0,0,0,0,0.7515179822512844
9,10,9,1,0,0,0,0,0,0,0,0,0.7499444814568066
10,10,10,0,0,0,0,0,0,0,0,0,0.838673028857078
10,10,9,1,1,0,0,0,0,0,0,0,0.7987994664295243
9,11,9,2,0,0,0,0,0,0,0,0,0.7986577181208053
10,11,10,1,0,0,0,0,0,0,0,0,0.780338266384778
10,11,10,1,0,0,0,0,0,0,0,0,0.7603271126022227
26,28,24,4,2,0,0,0,0,0,0,0,0.8173258003766478
24,28,24,4,0,0,0,0,0,0,0,0,0.8054881010199125
24,26,24,2,0,0,0,0,0,0,0,0,0.803592611421793
27,26,22,2,1,0,2,0,0,0,2,0,0.796618516086671
24,26,24,2,0,0,0,0,0,0,0,0,0.8059750763390278
24,26,24,2,0,0,0,0,0,0,0,0,0.8403060800133079
23,26,22,4,1,0,0,0,0,0,0,0,0.8139752080149432
23,27,22,5,1,0,0,0,0,0,0,0,0.8163387000596303
26,27,22,3,0,0,2,0,0,0,2,0,0.8248907174080741
26,26,21,3,1,0,2,0,0,0,2,0,0.7959234817475566
24,27,24,3,0,0,0,0,0,0,0,0,0.8366050808314087
23,25,23,2,0,0,0,0,0,0,0,0,0.831788190094379
23,25,23,2,0,0,0,0,0,0,0,0,0.8397991414918604
24,27,24,3,0,0,0,0,0,0,0,0,0.7989289191820838
24,25,24,1,0,0,0,0,0,0,0,0,0.8051541425818882
28,27,21,3,1,0,3,0,0,0,3,0,0.8504353486858166
26,26,23,2,1,0,1,0,0,0,1,0,0.8306312237675911
24,27,24,3,0,0,0,0,0,0,0,0,0.8147424945081767
24,27,24,3,0,0,0,0,0,0,0,0,0.807317864676294
25,29,25,4,0,0,0,0,0,0,0,0,0.7854373449131513
28,28,21,4,1,0,3,0,0,0,3,0,0.8027956476848542
30,29,24,2,0,0,3,0,0,0,3,0,0.8153762012657239
26,31,26,5,0,0,0,0,0,0,0,0,0.7978369384359401
32,31,27,2,1,0,2,0,0,0,2,0,0.8072388059701493
28,32,28,4,0,0,0,0,0,0,0,0,0.7786617100371748
33,32,25,4,1,0,4,0,0,0,3,0,0.8058710724295619
30,33,27,4,1,0,0,2,2,0,0,1,0.8063105734897618
27,32,27,5,0,0,0,0,0,0,0,0,0.7885080358412744
27,31,25,6,2,0,0,0,0,0,0,0,0.7594729344729345
29,33,22,6,3,2,1,0,0,2,1,0,0.7743459558564276
15,16,15,1,0,0,0,0,0,0,0,0,0.79249967333072
14,17,14,3,0,0,0,0,0,0,0,0,0.8092677931387608
15,17,14,3,1,0,0,0,0,0,0,0,0.7836508136747824
15,17,14,3,1,0,0,0,0,0,0,0,0.7767670559311617
16,17,15,2,1,0,0,0,0,0,0,0,0.768719806763285
16,17,14,3,2,0,0,0,0,0,0,0,0.8062507630325968
15,17,15,2,0,0,0,0,0,0,0,0,0.7985611510791367
16,17,15,2,1,0,0,0,0,0,0,0,0.8050104899419968
15,17,14,3,1,0,0,0,0,0,0,0,0.7648499693815064
15,17,13,3,0,0,1,0,0,0,1,0,0.7598027423622805
16,16,14,0,0,0,0,2,2,0,0,1,0.8436305339745961
16,16,15,1,1,0,0,0,0,0,0,0,0.8360635696821516
15,16,15,1,0,0,0,0,0,0,0,0,0.8151098237991793
15,16,15,1,0,0,0,0,0,0,0,0,0.8188023952095809
15,16,15,1,0,0,0,0,0,0,0,0,0.7859686609686609
16,16,16,0,0,0,0,0,0,0,0,0,0.8440710745799589
16,16,16,0,0,0,0,0,0,0,0,0,0.8361588912263334
17,16,14,1,1,0,1,0,0,0,1,0,0.8173417721518987
15,16,12,3,1,0,1,0,0,0,1,0,0.7948616600790513
13,15,13,2,0,0,0,0,0,0,0,0,0.7583035258048033
14,15,14,1,0,0,0,0,0,0,0,0,0.8381578947368421
13,15,13,2,0,0,0,0,0,0,0,0,0.7977335617340888
14,15,13,2,1,0,0,0,0,0,0,0,0.7793217746047935
14,16,14,2,0,0,0,0,0,0,0,0,0.7989851678376269
14,15,14,1,0,0,0,0,0,0,0,0,0.7706494532999605
14,15,14,1,0,0,0,0,0,0,0,0,0.8317294840951617
13,14,13,1,0,0,0,0,0,0,0,0,0.823203654991001
13,14,13,1,0,0,0,0,0,0,0,0,0.8315585672797676
13,14,13,1,0,0,0,0,0,0,0,0,0.8131161007667032
13,14,13,1,0,0,0,0,0,0,0,0,0.8052881355932203
6,6,6,0,0,0,0,0,0,0,0,0,0.8126858275520317
6,6,6,0,0,0,0,0,0,0,0,0,0.8331762488218661
6,6,6,0,0,0,0,0,0,0,0,0,0.8224215246636771
6,6,6,0,0,0,0,0,0,0,0,0,0.8010448410970832
6,6,5,1,1,0,0,0,0,0,0,0,0.7830391734825657
6,6,6,0,0,0,0,0,0,0,0,0,0.8602693602693603
6,6,6,0,0,0,0,0,0,0,0,0,0.8240174672489083
6,6,6,0,0,0,0,0,0,0,0,0,0.8056832427914752
6,6,6,0,0,0,0,0,0,0,0,0,0.8116853932584269
6,6,5,1,1,0,0,0,0,0,0,0,0.7659758203799655
6,6,6,0,0,0,0,0,0,0,0,0,0.8274574865201161
5,6,5,1,0,0,0,0,0,0,0,0,0.8075160403299725
5,6,5,1,0,0,0,0,0,0,0,0,0.8095442820292348
5,6,5,1,0,0,0,0,0,0,0,0,0.761946514686541
5,6,4,2,1,0,0,0,0,0,0,0,0.7429062768701634
6,6,5,1,1,0,0,0,0,0,0,0,0.8321413546487169
5,6,5,1,0,0,0,0,0,0,0,0,0.7987421383647799
6,6,6,0,0,0,0,0,0,0,0,0,0.8053097345132744
6,6,5,1,1,0,0,0,0,0,0,0,0.7847498014297061
5,6,5,1,0,0,0,0,0,0,0,0,0.7905106554081223
6,6,5,1,1,0,0,0,0,0,0,0,0.8275322643723113
6,7,6,1,0,0,0,0,0,0,0,0,0.801489757914339
5,7,5,2,0,0,0,0,0,0,0,0,0.7600888559792669
5,7,5,2,0,0,0,0,0,0,0,0,0.7855404935696907
5,7,5,2,0,0,0,0,0,0,0,0,0.7689048239895697
6,7,6,1,0,0,0,0,0,0,0,0,0.8169154228855722
5,7,5,2,0,0,0,0,0,0,0,0,0.7735303565692259
5,8,5,3,0,0,0,0,0,0,0,0,0.7792880258899676
6,8,6,2,0,0,0,0,0,0,0,0,0.7905776056792514
6,8,6,2,0,0,0,0,0,0,0,0,0.7695396972505406
15,17,14,3,1,0,0,0,0,0,0,0,0.8389928986442866
15,16,14,2,1,0,0,0,0,0,0,0,0.8284319859842323
15,18,15,3,0,0,0,0,0,0,0,0,0.8057445200302343
13,16,13,3,0,0,0,0,0,0,0,0,0.7836494440810987
13,17,13,4,0,0,0,0,0,0,0,0,0.7643020594965675
14,17,13,4,1,0,0,0,0,0,0,0,0.8233260786070926
15,17,15,2,0,0,0,0,0,0,0,0,0.7999508478741706
16,17,16,1,0,0,0,0,0,0,0,0,0.8117114972625565
15,16,15,1,0,0,0,0,0,0,0,0,0.7984390485629336
16,17,15,2,1,0,0,0,0,0,0,0,0.7746804625684723
16,16,16,0,0,0,0,0,0,0,0,0,0.8450651769087524
16,16,15,1,1,0,0,0,0,0,0,0,0.8194531939019781
17,17,17,0,0,0,0,0,0,0,0,0,0.8134920634920635
16,18,16,2,0,0,0,0,0,0,0,0,0.7930011862396203
17,17,17,0,0,0,0,0,0,0,0,0,0.7943068127679848
17,17,17,0,0,0,0,0,0,0,0,0,0.8460351377018044
17,17,17,0,0,0,0,0,0,0,0,0,0.8307354808913521
18,18,18,0,0,0,0,0,0,0,0,0,0.8134563719191683
16,19,16,3,0,0,0,0,0,0,0,0,0.7823169295973629
18,18,18,0,0,0,0,0,0,0,0,0,0.7845822956757981
17,19,17,2,0,0,0,0,0,0,0,0,0.7958853444290338
16,19,16,3,0,0,0,0,0,0,0,0,0.8133147113594041
18,20,16,3,0,0,1,0,0,0,1,0,0.8115494568324757
17,20,17,3,0,0,0,0,0,0,0,0,0.7848071769777467
17,19,17,2,0,0,0,0,0,0,0,0,0.7806712962962963
16,19,16,3,0,0,0,0,0,0,0,0,0.8302087018040325
16,20,16,4,0,0,0,0,0,0,0,0,0.7986921999065857
16,21,16,5,0,0,0,0,0,0,0,0,0.7881074899942825
16,22,16,6,0,0,0,0,0,0,0,0,0.759377211606511
17,22,17,5,0,0,0,0,0,0,0,0,0.7692307692307693
6,6,6,0,0,0,0,0,0,0,0,0,0.8231631382316313
6,6,6,0,0,0,0,0,0,0,0,0,0.8289681287472389
7,6,4,1,1,0,1,0,0,0,1,0,0.8154706430568499
6,6,6,0,0,0,0,0,0,0,0,0,0.8496849684968497
6,6,6,0,0,0,0,0,0,0,0,0,0.7920616113744076
