n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,8,7,1,0,0,0,0,0,0,0,0,0.8050518134715026
7,9,7,2,0,0,0,0,0,0,0,0,0.8005050505050505
7,9,7,2,0,0,0,0,0,0,0,0,0.7603672985781991
8,9,6,3,2,0,0,0,0,0,0,0,0.7518651561204752
7,9,7,2,0,0,0,0,0,0,0,0,0.7255826859045506
7,8,6,2,1,0,0,0,0,0,0,0,0.817046518888542
5,8,5,3,0,0,0,0,0,0,0,0,0.774102079395085
7,9,7,2,0,0,0,0,0,0,0,0,0.749638623879734
7,10,7,3,0,0,0,0,0,0,0,0,0.7552631578947369
7,10,7,3,0,0,0,0,0,0,0,0,0.7242099764951685
8,9,8,1,0,0,0,0,0,0,0,0,0.797938144329897
8,10,8,2,0,0,0,0,0,0,0,0,0.7908881494753007
8,9,8,1,0,0,0,0,0,0,0,0,0.7823543748476725
8,9,8,1,0,0,0,0,0,0,0,0,0.7928779069767442
8,9,8,1,0,0,0,0,0,0,0,0,0.7603543212832177
8,9,8,1,0,0,0,0,0,0,0,0,0.8032864967849488
8,9,8,1,0,0,0,0,0,0,0,0,0.787115524340034
8,9,8,1,0,0,0,0,0,0,0,0,0.7941247291114857
8,9,8,1,0,0,0,0,0,0,0,0,0.780373831775701
8,9,8,1,0,0,0,0,0,0,0,0,0.7567567567567568
8,9,8,1,0,0,0,0,0,0,0,0,0.7756332931242461
8,10,8,2,0,0,0,0,0,0,0,0,0.7660540049920581
9,11,9,2,0,0,0,0,0,0,0,0,0.7460388306181656
9,11,9,2,0,0,0,0,0,0,0,0,0.7723744292237443
9,10,9,1,0,0,0,0,0,0,0,0,0.7503805175038052
9,10,9,1,0,0,0,0,0,0,0,0,0.8187556357078449
9,10,9,1,0,0,0,0,0,0,0,0,0.813692480359147
9,11,9,2,0,0,0,0,0,0,0,0,0.8048563154377367
10,11,10,1,0,0,0,0,0,0,0,0,0.8188559322033898
10,11,10,1,0,0,0,0,0,0,0,0,0.7753865440869202
25,28,24,4,1,0,0,0,0,0,0,0,0.8159534018283311
24,28,24,4,0,0,0,0,0,0,0,0,0.8189052326983361
24,26,24,2,0,0,0,0,0,0,0,0,0.8121166288547181
27,26,24,1,1,0,1,0,0,0,1,0,0.8127998698869643
24,26,24,2,0,0,0,0,0,0,0,0,0.7959233000322269
25,26,23,2,0,0,1,0,0,0,1,0,0.8467123174655556
23,26,23,3,0,0,0,0,0,0,0,0,0.8391175222740772
22,27,22,5,0,0,0,0,0,0,0,0,0.8119071815718157
23,27,22,5,1,0,0,0,0,0,0,0,0.8123672810668479
23,26,23,3,0,0,0,0,0,0,0,0,0.7860341681870957
25,27,24,3,1,0,0,0,0,0,0,0,0.8455051580153922
23,25,23,2,0,0,0,0,0,0,0,0,0.8425111958865483
23,25,23,2,0,0,0,0,0,0,0,0,0.8326481257557437
24,27,24,3,0,0,0,0,0,0,0,0,0.8211120064464141
27,25,22,1,1,0,2,0,0,0,2,0,0.8146445835644662
26,27,22,3,0,0,2,0,0,0,2,0,0.8367758592867517
26,26,23,2,1,0,1,0,0,0,1,0,0.8259106027419486
24,27,24,3,0,0,0,0,0,0,0,0,0.8235817035720058
25,27,24,3,1,0,0,0,0,0,0,0,0.8140300184605506
28,29,22,3,0,0,2,2,2,0,2,1,0.782899684163032
30,28,22,2,0,0,4,0,0,0,4,0,0.8301753836517382
27,29,24,4,1,0,1,0,0,0,1,0,0.8100706028396307
27,31,26,5,1,0,0,0,0,0,0,0,0.7956860395446375
30,31,26,3,0,0,2,0,0,0,2,0,0.8008252892196596
30,32,26,4,0,0,2,0,0,0,2,0,0.782108579383105
33,32,25,4,2,0,3,0,0,0,3,0,0.8099816513761467
29,33,28,5,1,0,0,0,0,0,0,0,0.8057283379140749
27,32,27,5,0,0,0,0,0,0,0,0,0.7875881523272215
28,31,26,4,0,0,1,0,0,0,1,0,0.7919463087248322
31,33,24,6,3,0,1,2,2,0,1,1,0.7598920863309353
14,16,14,2,0,0,0,0,0,0,0,0,0.7962626524785881
14,17,14,3,0,0,0,0,0,0,0,0,0.8168765743073048
14,17,14,3,0,0,0,0,0,0,0,0,0.8003467921724052
15,17,14,3,1,0,0,0,0,0,0,0,0.7845343548000958
16,17,16,1,0,0,0,0,0,0,0,0,0.7787223993387649
