n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,8,7,1,0,0,0,0,0,0,0,0,0.7962724935732648
7,9,7,2,0,0,0,0,0,0,0,0,0.8100576553491352
7,9,7,2,0,0,0,0,0,0,0,0,0.7624890446976337
7,9,6,3,1,0,0,0,0,0,0,0,0.7279932069063119
7,9,7,2,0,0,0,0,0,0,0,0,0.7718952407772458
7,8,6,2,1,0,0,0,0,0,0,0,0.8114580175810852
6,8,6,2,0,0,0,0,0,0,0,0,0.7694020356234097
7,9,6,3,1,0,0,0,0,0,0,0,0.7687793427230047
9,10,7,2,0,0,1,0,0,0,1,0,0.7666409663325623
7,10,7,3,0,0,0,0,0,0,0,0,0.7539338035811177
8,9,8,1,0,0,0,0,0,0,0,0,0.7925792321566607
8,10,8,2,0,0,0,0,0,0,0,0,0.7798254122211445
9,9,9,0,0,0,0,0,0,0,0,0,0.8190266568843237
9,9,9,0,0,0,0,0,0,0,0,0,0.8292085273217349
9,9,9,0,0,0,0,0,0,0,0,0,0.8120660761311946
9,9,9,0,0,0,0,0,0,0,0,0,0.8275527528498666
9,9,9,0,0,0,0,0,0,0,0,0,0.8376481974352771
9,9,9,0,0,0,0,0,0,0,0,0,0.8125438801778609
9,9,9,0,0,0,0,0,0,0,0,0,0.8239420154313771
9,9,9,0,0,0,0,0,0,0,0,0,0.8314606741573034
9,9,9,0,0,0,0,0,0,0,0,0,0.8184842005226894
8,10,8,2,0,0,0,0,0,0,0,0,0.7777525022747953
9,11,9,2,0,0,0,0,0,0,0,0,0.7724537552930688
10,11,10,1,0,0,0,0,0,0,0,0,0.7842093590596585
10,10,10,0,0,0,0,0,0,0,0,0,0.8103919781221514
10,10,10,0,0,0,0,0,0,0,0,0,0.8213961922030825
10,10,9,1,1,0,0,0,0,0,0,0,0.8019693654266958
10,11,9,2,1,0,0,0,0,0,0,0,0.7755819060166886
10,11,10,1,0,0,0,0,0,0,0,0,0.8351414592639864
10,11,10,1,0,0,0,0,0,0,0,0,0.8137988362427265
25,28,24,4,1,0,0,0,0,0,0,0,0.8081768674307079
24,28,24,4,0,0,0,0,0,0,0,0,0.8034181176281794
24,26,24,2,0,0,0,0,0,0,0,0,0.7848703642927469
25,26,24,2,1,0,0,0,0,0,0,0,0.8050414538145884
24,26,24,2,0,0,0,0,0,0,0,0,0.8259625602877463
24,26,24,2,0,0,0,0,0,0,0,0,0.7962607861936721
24,26,22,4,2,0,0,0,0,0,0,0,0.783025325119781
23,27,22,5,1,0,0,0,0,0,0,0,0.8150293942233962
23,27,23,4,0,0,0,0,0,0,0,0,0.811276560147231
23,26,23,3,0,0,0,0,0,0,0,0,0.8125212657366451
24,27,24,3,0,0,0,0,0,0,0,0,0.8183880113406238
24,25,23,2,1,0,0,0,0,0,0,0,0.7819656488549618
25,25,23,2,2,0,0,0,0,0,0,0,0.7869223921663834
24,27,24,3,0,0,0,0,0,0,0,0,0.8197224015493867
