n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,8,6,2,1,0,0,0,0,0,0,0,0.7844716494845361
7,9,7,2,0,0,0,0,0,0,0,0,0.8207850707850708
7,9,7,2,0,0,0,0,0,0,0,0,0.7566765578635015
8,9,7,2,1,0,0,0,0,0,0,0,0.7641402714932126
7,9,7,2,0,0,0,0,0,0,0,0,0.7842300028465699
7,8,6,2,1,0,0,0,0,0,0,0,0.8230989500477252
5,8,5,3,0,0,0,0,0,0,0,0,0.7449405717956955
7,9,6,3,1,0,0,0,0,0,0,0,0.7576650943396226
8,10,8,2,0,0,0,0,0,0,0,0,0.787245302990209
7,10,7,3,0,0,0,0,0,0,0,0,0.7618008185538881
8,9,8,1,0,0,0,0,0,0,0,0,0.7958450884842267
8,10,8,2,0,0,0,0,0,0,0,0,0.7739282153539382
8,9,8,1,0,0,0,0,0,0,0,0,0.7800943162074957
8,9,8,1,0,0,0,0,0,0,0,0,0.8031674208144797
8,9,8,1,0,0,0,0,0,0,0,0,0.7747464992757123
8,9,8,1,0,0,0,0,0,0,0,0,0.7690263348634936
8,9,8,1,0,0,0,0,0,0,0,0,0.7953361448772017
8,9,8,1,0,0,0,0,0,0,0,0,0.7853025936599424
8,9,8,1,0,0,0,0,0,0,0,0,0.7856805293005671
8,9,8,1,0,0,0,0,0,0,0,0,0.8051010587102984
8,9,8,1,0,0,0,0,0,0,0,0,0.7732502396931927
8,10,8,2,0,0,0,0,0,0,0,0,0.7657077100115075
9,11,9,2,0,0,0,0,0,0,0,0,0.7291059825229667
9,11,9,2,0,0,0,0,0,0,0,0,0.758557736193519
9,10,9,1,0,0,0,0,0,0,0,0,0.8058633425669437
9,10,9,1,0,0,0,0,0,0,0,0,0.7914767547857794
9,10,9,1,0,0,0,0,0,0,0,0,0.8120591581342435
9,11,9,2,0,0,0,0,0,0,0,0,0.7844846858931366
10,11,10,1,0,0,0,0,0,0,0,0,0.8079896907216495
10,11,10,1,0,0,0,0,0,0,0,0,0.8019949066213922
25,28,24,4,1,0,0,0,0,0,0,0,0.7988758553274682
26,28,22,4,0,0,2,0,0,0,2,0,0.821172874265948
24,26,23,3,1,0,0,0,0,0,0,0,0.8
24,26,24,2,0,0,0,0,0,0,0,0,0.7968644639244774
24,26,24,2,0,0,0,0,0,0,0,0,0.8152719493129269
24,26,24,2,0,0,0,0,0,0,0,0,0.8072404699112923
23,26,23,3,0,0,0,0,0,0,0,0,0.7845650864664888
23,27,22,5,1,0,0,0,0,0,0,0,0.796337497860688
