n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,8,5,3,2,0,0,0,0,0,0,0,0.8111601513240857
7,9,5,4,2,0,0,0,0,0,0,0,0.81553698545342
7,9,7,2,0,0,0,0,0,0,0,0,0.7731116943715369
9,9,6,3,3,0,0,0,0,0,0,0,0.7787489756897022
8,9,7,2,1,0,0,0,0,0,0,0,0.7831125827814569
8,8,6,2,2,0,0,0,0,0,0,0,0.7321954090641554
6,8,5,3,1,0,0,0,0,0,0,0,0.8227342549923196
8,9,6,3,2,0,0,0,0,0,0,0,0.7665336374002281
9,10,8,2,1,0,0,0,0,0,0,0,0.793965961835998
9,10,8,2,1,0,0,0,0,0,0,0,0.7889908256880734
8,9,8,1,0,0,0,0,0,0,0,0,0.784174486431651
8,10,8,2,0,0,0,0,0,0,0,0,0.7723983029698028
8,9,8,1,0,0,0,0,0,0,0,0,0.8018455560951918
9,9,8,1,1,0,0,0,0,0,0,0,0.8300242130750606
9,9,8,1,1,0,0,0,0,0,0,0,0.8285714285714286
8,9,8,1,0,0,0,0,0,0,0,0,0.764650059311981
9,9,9,0,0,0,0,0,0,0,0,0,0.8333333333333334
9,9,9,0,0,0,0,0,0,0,0,0,0.8158775705404113
9,9,9,0,0,0,0,0,0,0,0,0,0.8248311204286047
9,9,8,1,1,0,0,0,0,0,0,0,0.8048723354415555
8,9,7,2,1,0,0,0,0,0,0,0,0.7738322211630124
8,10,8,2,0,0,0,0,0,0,0,0,0.7774768675242609
9,11,8,3,1,0,0,0,0,0,0,0,0.75793915167666
10,11,10,1,0,0,0,0,0,0,0,0,0.8223327305605787
10,10,10,0,0,0,0,0,0,0,0,0,0.7948264426265753
10,10,10,0,0,0,0,0,0,0,0,0,0.8271469360860971
10,10,9,1,1,0,0,0,0,0,0,0,0.8030723277149563
10,11,9,2,1,0,0,0,0,0,0,0,0.8078175895765473
10,11,10,1,0,0,0,0,0,0,0,0,0.8300336983993261
10,11,10,1,0,0,0,0,0,0,0,0,0.8055260361317748
26,28,26,2,0,0,0,0,0,0,0,0,0.7729164966125214
26,28,23,4,0,0,2,0,0,0,1,0,0.7790520490817227
25,26,23,3,2,0,0,0,0,0,0,0,0.7871146112600537
24,26,23,3,1,0,0,0,0,0,0,0,0.7944170771756979
26,26,23,2,1,0,1,0,0,0,1,0,0.7975907563713841
26,26,23,2,0,0,2,0,0,0,1,0,0.7810411682204439
24,26,23,3,1,0,0,0,0,0,0,0,0.7864375053177912
23,27,21,5,0,0,1,0,0,0,1,0,0.7902008985335255
23,27,22,5,1,0,0,0,0,0,0,0,0.8076857821513403
23,26,22,4,1,0,0,0,0,0,0,0,0.8023692333361141
25,27,23,3,0,0,1,0,0,0,1,0,0.7895510204081633
24,25,22,2,0,0,1,0,0,0,1,0,0.7926768515443374
23,25,22,3,1,0,0,0,0,0,0,0,0.7948841698841699
26,27,22,3,0,0,2,0,0,0,2,0,0.7967192023158571
26,25,22,1,0,0,2,0,0,0,2,0,0.813560678834454
24,27,24,3,0,0,0,0,0,0,0,0,0.7918847113758957
24,26,24,2,0,0,0,0,0,0,0,0,0.7895466405740378
24,27,23,4,1,0,0,0,0,0,0,0,0.8054474708171206
24,27,23,4,1,0,0,0,0,0,0,0,0.7840809497251215
25,29,25,4,0,0,0,0,0,0,0,0,0.789964815664678
29,28,23,2,0,0,3,0,0,0,3,0,0.7689456667455248
28,29,27,2,1,0,0,0,0,0,0,0,0.7893221262355047
30,31,24,5,2,0,2,0,0,0,2,0,0.7925249045015355
