n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,8,5,3,2,0,0,0,0,0,0,0,0.7241935483870968
7,9,6,3,1,0,0,0,0,0,0,0,0.7786573780873971
7,9,7,2,0,0,0,0,0,0,0,0,0.7706911895579946
8,9,7,2,1,0,0,0,0,0,0,0,0.7612485939257593
7,9,7,2,0,0,0,0,0,0,0,0,0.7629588119921547
7,8,6,2,1,0,0,0,0,0,0,0,0.7485911083281153
7,8,6,2,1,0,0,0,0,0,0,0,0.801863354037267
7,9,6,3,1,0,0,0,0,0,0,0,0.7427398063948372
7,10,7,3,0,0,0,0,0,0,0,0,0.7660538236077804
8,10,7,3,1,0,0,0,0,0,0,0,0.7864871997888625
8,9,8,1,0,0,0,0,0,0,0,0,0.7620645161290323
8,10,8,2,0,0,0,0,0,0,0,0,0.7719209325899645
8,9,7,2,1,0,0,0,0,0,0,0,0.7782661782661783
8,9,7,2,1,0,0,0,0,0,0,0,0.7755839152419938
8,9,7,2,1,0,0,0,0,0,0,0,0.776059019514517
8,9,8,1,0,0,0,0,0,0,0,0,0.7630424183325207
8,9,7,2,1,0,0,0,0,0,0,0,0.7825450999512433
8,9,8,1,0,0,0,0,0,0,0,0,0.7870212246889485
8,9,8,1,0,0,0,0,0,0,0,0,0.8047827086686594
8,9,8,1,0,0,0,0,0,0,0,0,0.8083804143126178
8,9,7,2,1,0,0,0,0,0,0,0,0.7321515298688683
8,10,8,2,0,0,0,0,0,0,0,0,0.7820307128122851
9,11,9,2,0,0,0,0,0,0,0,0,0.7629530798309985
9,11,9,2,0,0,0,0,0,0,0,0,0.7675896504766228
9,10,9,1,0,0,0,0,0,0,0,0,0.801203476710497
9,10,9,1,0,0,0,0,0,0,0,0,0.7639524245196706
9,10,9,1,0,0,0,0,0,0,0,0,0.8098575627402216
9,11,9,2,0,0,0,0,0,0,0,0,0.7961099932930918
10,11,10,1,0,0,0,0,0,0,0,0,0.8003355704697986
10,11,10,1,0,0,0,0,0,0,0,0,0.8258213984835721
26,28,25,3,1,0,0,0,0,0,0,0,0.7734585545120457
27,28,23,4,1,0,2,0,0,0,1,0,0.782836422240129
24,26,23,3,1,0,0,0,0,0,0,0,0.7813553607552259
25,26,24,2,1,0,0,0,0,0,0,0,0.813007463298614
24,26,24,2,0,0,0,0,0,0,0,0,0.8072733229584732
26,26,22,3,1,0,2,0,0,0,1,0,0.770885028949545
23,26,23,3,0,0,0,0,0,0,0,0,0.7940874035989717
23,27,23,4,0,0,0,0,0,0,0,0,0.8053731343283582
24,27,23,4,1,0,0,0,0,0,0,0,0.8017591339648173
23,26,23,3,0,0,0,0,0,0,0,0,0.8066611157368859
24,27,24,3,0,0,0,0,0,0,0,0,0.777283950617284
23,25,23,2,0,0,0,0,0,0,0,0,0.7841362126245848
23,25,23,2,0,0,0,0,0,0,0,0,0.791683488090432
24,27,24,3,0,0,0,0,0,0,0,0,0.7969689680057734
26,25,23,1,1,0,1,0,0,0,1,0,0.8088750796685787
25,27,22,3,1,0,0,2,2,0,0,1,0.7580117724002616
25,26,22,2,1,0,0,2,2,0,0,1,0.8088848891434182
24,27,24,3,0,0,0,0,0,0,0,0,0.8023473795745375
24,27,23,4,1,0,0,0,0,0,0,0,0.7927150730889049
25,29,25,4,0,0,0,0,0,0,0,0,0.8008801729462631
27,28,25,2,0,0,1,0,0,0,1,0,0.721939586645469
26,29,26,3,0,0,0,0,0,0,0,0,0.7557113596974949
25,31,24,5,0,1,0,0,0,1,0,0,0.7703585536311152
