n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,8,7,1,0,0,0,0,0,0,0,0,0.7943239795918368
7,9,6,3,1,0,0,0,0,0,0,0,0.8132568514977693
8,9,6,3,2,0,0,0,0,0,0,0,0.737681572201652
8,9,7,2,1,0,0,0,0,0,0,0,0.7942004504504504
7,9,6,3,1,0,0,0,0,0,0,0,0.765867418899859
7,8,6,2,1,0,0,0,0,0,0,0,0.786805131337813
5,8,5,3,0,0,0,0,0,0,0,0,0.8141732283464567
7,9,6,3,1,0,0,0,0,0,0,0,0.7872401847575058
7,10,7,3,0,0,0,0,0,0,0,0,0.7701666225866173
7,10,7,3,0,0,0,0,0,0,0,0,0.7822878228782287
7,9,7,2,0,0,0,0,0,0,0,0,0.7890825217837006
7,10,6,4,1,0,0,0,0,0,0,0,0.7757971378358022
8,9,8,1,0,0,0,0,0,0,0,0,0.8025401389887371
8,9,8,1,0,0,0,0,0,0,0,0,0.8172227674190383
8,9,8,1,0,0,0,0,0,0,0,0,0.8091085271317829
8,9,8,1,0,0,0,0,0,0,0,0,0.8097261567516525
9,9,9,0,0,0,0,0,0,0,0,0,0.871219512195122
8,9,8,1,0,0,0,0,0,0,0,0,0.7981673498914879
8,9,8,1,0,0,0,0,0,0,0,0,0.8206204805225099
9,9,9,0,0,0,0,0,0,0,0,0,0.8582456140350877
8,9,8,1,0,0,0,0,0,0,0,0,0.7935437244037581
8,10,8,2,0,0,0,0,0,0,0,0,0.8086113615870153
11,11,11,0,0,0,0,0,0,0,0,0,0.8223552894211577
10,11,10,1,0,0,0,0,0,0,0,0,0.8324175824175825
10,10,10,0,0,0,0,0,0,0,0,0,0.8482403048643802
10,10,10,0,0,0,0,0,0,0,0,0,0.8443343095291732
9,10,9,1,0,0,0,0,0,0,0,0,0.8295812696983341
9,11,9,2,0,0,0,0,0,0,0,0,0.8500337761765369
10,11,10,1,0,0,0,0,0,0,0,0,0.8514056224899599
10,11,10,1,0,0,0,0,0,0,0,0,0.8365059221658206
25,28,24,4,1,0,0,0,0,0,0,0,0.8276649539189299
24,28,24,4,0,0,0,0,0,0,0,0,0.8314151402172151
24,26,23,3,1,0,0,0,0,0,0,0,0.8340287831048284
25,26,24,2,1,0,0,0,0,0,0,0,0.8390280311826174
24,26,24,2,0,0,0,0,0,0,0,0,0.8453180724890106
24,26,24,2,0,0,0,0,0,0,0,0,0.856620397306957
24,26,23,3,1,0,0,0,0,0,0,0,0.841669511778764
23,27,23,4,0,0,0,0,0,0,0,0,0.8461736887360275
23,27,23,4,0,0,0,0,0,0,0,0,0.8414130995358432
24,26,23,3,1,0,0,0,0,0,0,0,0.8340108401084011
24,27,24,3,0,0,0,0,0,0,0,0,0.8621481906950029
23,25,23,2,0,0,0,0,0,0,0,0,0.8579673776662484
23,25,23,2,0,0,0,0,0,0,0,0,0.8539980576238265
24,27,24,3,0,0,0,0,0,0,0,0,0.8561660561660561
24,25,24,1,0,0,0,0,0,0,0,0,0.8581773799837266
24,27,24,3,0,0,0,0,0,0,0,0,0.8565916398713826
24,26,24,2,0,0,0,0,0,0,0,0,0.858497567411561
24,27,24,3,0,0,0,0,0,0,0,0,0.8560124000652635
24,27,24,3,0,0,0,0,0,0,0,0,0.8299529449943209
25,29,25,4,0,0,0,0,0,0,0,0,0.8364965774735532
27,28,24,3,1,0,1,0,0,0,1,0,0.8418634130882586
29,29,25,2,0,0,2,0,0,0,2,0,0.8320050007813721
27,31,26,5,1,0,0,0,0,0,0,0,0.8365773605068315
29,31,29,2,0,0,0,0,0,0,0,0,0.8495734171531207
28,32,28,4,0,0,0,0,0,0,0,0,0.8213619750876407
31,32,29,3,2,0,0,0,0,0,0,0,0.8370060232114
30,33,30,3,0,0,0,0,0,0,0,0,0.8322142752882791
27,32,27,5,0,0,0,0,0,0,0,0,0.8062120671188862
27,31,26,5,1,0,0,0,0,0,0,0,0.8233050237512596
29,33,24,5,0,1,2,0,0,1,2,0,0.806779176201373
17,16,16,0,1,0,0,0,0,0,0,0,0.805052309262567
14,17,14,3,0,0,0,0,0,0,0,0,0.8305900227905799
14,17,14,3,0,0,0,0,0,0,0,0,0.8093209721874217
15,17,14,3,1,0,0,0,0,0,0,0,0.8464325877795826
16,17,16,1,0,0,0,0,0,0,0,0,0.8497201265514723
16,17,16,1,0,0,0,0,0,0,0,0,0.8061138524491516
15,17,14,1,0,1,0,0,0,1,0,0,0.8358905118448509
17,17,17,0,0,0,0,0,0,0,0,0,0.8495934959349594
15,17,14,3,1,0,0,0,0,0,0,0,0.8124772864930345
15,17,15,2,0,0,0,0,0,0,0,0,0.8462860650705955
17,16,14,1,1,0,1,0,0,0,1,0,0.8710672424429364
16,16,14,2,2,0,0,0,0,0,0,0,0.8598108173659956
15,16,15,1,0,0,0,0,0,0,0,0,0.8538341533661347
16,16,16,0,0,0,0,0,0,0,0,0,0.864033512866547
16,16,16,0,0,0,0,0,0,0,0,0,0.8596091595731926
16,16,16,0,0,0,0,0,0,0,0,0,0.8642303969022265
