n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,8,6,2,1,0,0,0,0,0,0,0,0.784338490685191
6,9,6,3,0,0,0,0,0,0,0,0,0.7921705919796308
7,9,7,2,0,0,0,0,0,0,0,0,0.7649851632047477
9,9,8,1,1,0,0,0,0,0,0,0,0.7730652712751308
7,9,7,2,0,0,0,0,0,0,0,0,0.7808141189866211
6,8,5,3,1,0,0,0,0,0,0,0,0.7950794145126129
5,8,5,3,0,0,0,0,0,0,0,0,0.8050927381326627
7,9,6,3,1,0,0,0,0,0,0,0,0.769790454016298
8,10,8,2,0,0,0,0,0,0,0,0,0.7966013071895425
7,10,7,3,0,0,0,0,0,0,0,0,0.793276866066702
8,9,8,1,0,0,0,0,0,0,0,0,0.7811083123425693
8,10,8,2,0,0,0,0,0,0,0,0,0.7853926963481741
8,9,8,1,0,0,0,0,0,0,0,0,0.8029721955896453
7,9,7,2,0,0,0,0,0,0,0,0,0.7818889970788705
8,9,7,2,1,0,0,0,0,0,0,0,0.807060554057367
8,9,8,1,0,0,0,0,0,0,0,0,0.8065882352941176
8,9,7,2,1,0,0,0,0,0,0,0,0.8132949364050875
8,9,8,1,0,0,0,0,0,0,0,0,0.7927670711396622
8,9,8,1,0,0,0,0,0,0,0,0,0.8009122006841505
8,9,8,1,0,0,0,0,0,0,0,0,0.8063839701770736
8,9,8,1,0,0,0,0,0,0,0,0,0.7845783132530121
8,10,8,2,0,0,0,0,0,0,0,0,0.7881584871679423
10,11,10,1,0,0,0,0,0,0,0,0,0.8
9,11,9,2,0,0,0,0,0,0,0,0,0.8013305804083506
9,10,9,1,0,0,0,0,0,0,0,0,0.8118878005342832
9,10,9,1,0,0,0,0,0,0,0,0,0.8147732375392905
9,10,9,1,0,0,0,0,0,0,0,0,0.8218994413407821
9,11,9,2,0,0,0,0,0,0,0,0,0.8337386690249834
10,11,10,1,0,0,0,0,0,0,0,0,0.845566397963513
10,11,10,1,0,0,0,0,0,0,0,0,0.8321558552772426
25,28,25,3,0,0,0,0,0,0,0,0,0.8380389936089313
24,28,24,4,0,0,0,0,0,0,0,0,0.8356826419653645
24,26,23,3,1,0,0,0,0,0,0,0,0.824614863721009
25,26,24,2,1,0,0,0,0,0,0,0,0.8316398182569187
25,26,23,2,0,0,1,0,0,0,1,0,0.8383896359462119
24,26,24,2,0,0,0,0,0,0,0,0,0.8490396403759706
23,26,23,3,0,0,0,0,0,0,0,0,0.8470647944510236
22,27,22,5,0,0,0,0,0,0,0,0,0.8321583283784931
23,27,23,4,0,0,0,0,0,0,0,0,0.846068376068376
23,26,23,3,0,0,0,0,0,0,0,0,0.8463868091192058
24,27,24,3,0,0,0,0,0,0,0,0,0.8427350427350427
23,25,23,2,0,0,0,0,0,0,0,0,0.857782569035575
23,25,23,2,0,0,0,0,0,0,0,0,0.8634831460674157
24,27,24,3,0,0,0,0,0,0,0,0,0.8421010231209216
26,25,24,1,2,0,0,0,0,0,0,0,0.8543665833400532
24,27,24,3,0,0,0,0,0,0,0,0,0.8596701889209094
24,26,24,2,0,0,0,0,0,0,0,0,0.8534217764115839
25,27,23,3,0,0,1,0,0,0,1,0,0.8427066450567261
24,27,24,3,0,0,0,0,0,0,0,0,0.8357909921461772
26,29,25,4,1,0,0,0,0,0,0,0,0.8350325795323879
27,28,24,3,1,0,1,0,0,0,1,0,0.8338468831476653
26,29,25,4,1,0,0,0,0,0,0,0,0.823319913285847
26,31,26,5,0,0,0,0,0,0,0,0,0.8279918558178117
28,31,28,3,0,0,0,0,0,0,0,0,0.8349428019610756
29,32,27,4,0,0,1,0,0,0,1,0,0.8166372462488968
30,32,29,3,1,0,0,0,0,0,0,0,0.8270660253607346
30,33,30,3,0,0,0,0,0,0,0,0,0.8322566596501415
29,32,27,5,2,0,0,0,0,0,0,0,0.8126621327911379
30,31,25,4,1,0,2,0,0,0,2,0,0.8057709774331028
33,33,23,4,1,1,4,0,0,1,4,0,0.8401500141522785
17,16,15,0,0,0,1,0,0,0,1,0,0.8177582190007766
14,17,14,3,0,0,0,0,0,0,0,0,0.8206984126984127
14,17,14,3,0,0,0,0,0,0,0,0,0.813149655604258
16,17,14,3,2,0,0,0,0,0,0,0,0.829698603283509
16,17,16,1,0,0,0,0,0,0,0,0,0.8316040548598688
16,17,16,1,0,0,0,0,0,0,0,0,0.8175244064119561
15,17,14,1,0,1,0,0,0,1,0,0,0.8309339239571798
16,17,15,2,1,0,0,0,0,0,0,0,0.8322912835601324
16,17,15,2,1,0,0,0,0,0,0,0,0.8286407766990291
17,17,13,3,2,0,1,0,0,0,1,0,0.8556325191396281
16,16,16,0,0,0,0,0,0,0,0,0,0.8632593315442791
16,16,16,0,0,0,0,0,0,0,0,0,0.861141403126136
15,16,15,1,0,0,0,0,0,0,0,0,0.8551262112692906
15,16,15,1,0,0,0,0,0,0,0,0,0.8601464682258445
16,16,15,1,1,0,0,0,0,0,0,0,0.8509003601440577
16,16,16,0,0,0,0,0,0,0,0,0,0.8535184298707515
15,16,15,1,0,0,0,0,0,0,0,0,0.8426760906653668
16,16,14,1,0,0,1,0,0,0,1,0,0.8223427058378515
13,16,13,3,0,0,0,0,0,0,0,0,0.8430516990612191
13,15,13,2,0,0,0,0,0,0,0,0,0.838473400154202
15,15,13,0,0,0,0,2,2,0,0,1,0.8484136310223267
13,15,13,2,0,0,0,0,0,0,0,0,0.8299257715848418
14,15,13,2,1,0,0,0,0,0,0,0,0.8247422680412371
14,16,14,2,0,0,0,0,0,0,0,0,0.8420777181734921
14,15,14,1,0,0,0,0,0,0,0,0,0.8395094289858895
14,15,14,1,0,0,0,0,0,0,0,0,0.8423375234019791
13,14,13,1,0,0,0,0,0,0,0,0,0.8488420468728332
13,14,13,1,0,0,0,0,0,0,0,0,0.8710077092511013
14,14,13,1,1,0,0,0,0,0,0,0,0.8505869797225186
14,14,12,1,0,0,1,0,0,0,1,0,0.8663203936577365
6,6,5,1,1,0,0,0,0,0,0,0,0.7443237907206318
5,6,5,1,0,0,0,0,0,0,0,0,0.7456996745699674
6,6,6,0,0,0,0,0,0,0,0,0,0.8329641116526363
6,6,6,0,0,0,0,0,0,0,0,0,0.8366724738675958
6,6,6,0,0,0,0,0,0,0,0,0,0.8146718146718147
6,6,6,0,0,0,0,0,0,0,0,0,0.8239465999165624
6,6,6,0,0,0,0,0,0,0,0,0,0.8177193726155151
6,6,6,0,0,0,0,0,0,0,0,0,0.8094278807413376
6,6,6,0,0,0,0,0,0,0,0,0,0.8339176161262051
6,6,5,1,1,0,0,0,0,0,0,0,0.8352372583479789
6,6,6,0,0,0,0,0,0,0,0,0,0.823576907549455
5,6,5,1,0,0,0,0,0,0,0,0,0.8080397470641373
5,6,5,1,0,0,0,0,0,0,0,0,0.8101212881639481
5,6,5,1,0,0,0,0,0,0,0,0,0.8089199825098382
5,6,5,1,0,0,0,0,0,0,0,0,0.8064935064935065
6,6,5,1,1,0,0,0,0,0,0,0,0.8352553542009885
5,6,5,1,0,0,0,0,0,0,0,0,0.8035420098846787
6,6,6,0,0,0,0,0,0,0,0,0,0.8465463108320251
5,6,5,1,0,0,0,0,0,0,0,0,0.8100806451612903
5,6,5,1,0,0,0,0,0,0,0,0,0.840311986863711
6,6,5,1,1,0,0,0,0,0,0,0,0.8379228953579858
5,7,5,2,0,0,0,0,0,0,0,0,0.7857672349888807
6,7,5,2,1,0,0,0,0,0,0,0,0.8176534689429713
5,7,5,2,0,0,0,0,0,0,0,0,0.7922350472193075
6,7,6,1,0,0,0,0,0,0,0,0,0.8199221284879948
6,7,6,1,0,0,0,0,0,0,0,0,0.8284023668639053
6,7,6,1,0,0,0,0,0,0,0,0,0.8469910371318822
6,8,6,2,0,0,0,0,0,0,0,0,0.827132777421424
6,8,6,2,0,0,0,0,0,0,0,0,0.8193465727098014
6,8,6,2,0,0,0,0,0,0,0,0,0.8258830884651454
15,17,15,2,0,0,0,0,0,0,0,0,0.8498354013674347
15,16,15,1,0,0,0,0,0,0,0,0,0.8489564036062739
15,18,15,3,0,0,0,0,0,0,0,0,0.8348808030112923
13,16,13,3,0,0,0,0,0,0,0,0,0.8373877975803304
13,17,13,4,0,0,0,0,0,0,0,0,0.818089944416372
14,17,14,3,0,0,0,0,0,0,0,0,0.8305127557464006
15,17,15,2,0,0,0,0,0,0,0,0,0.8273164861612515
16,17,16,1,0,0,0,0,0,0,0,0,0.8540464130050653
15,16,15,1,0,0,0,0,0,0,0,0,0.8434492968171725
16,17,16,1,0,0,0,0,0,0,0,0,0.8342025469981807
16,16,16,0,0,0,0,0,0,0,0,0,0.8473478367147397
15,16,15,1,0,0,0,0,0,0,0,0,0.8344716254811871
17,17,17,0,0,0,0,0,0,0,0,0,0.8473490689123473
17,18,17,1,0,0,0,0,0,0,0,0,0.8543939927255662
17,17,17,0,0,0,0,0,0,0,0,0,0.8493540357947138
17,17,17,0,0,0,0,0,0,0,0,0,0.8473282442748091
16,17,15,2,1,0,0,0,0,0,0,0,0.8283394327538883
18,18,18,0,0,0,0,0,0,0,0,0,0.8522248243559719
18,19,18,1,0,0,0,0,0,0,0,0,0.8484110415216887
18,18,18,0,0,0,0,0,0,0,0,0,0.8447555605735576
17,19,16,3,1,0,0,0,0,0,0,0,0.8036462461782358
17,19,17,2,0,0,0,0,0,0,0,0,0.8460740228294708
17,20,17,3,0,0,0,0,0,0,0,0,0.8384840965486127
19,20,17,2,0,0,1,0,0,0,1,0,0.8443183134483957
17,19,17,2,0,0,0,0,0,0,0,0,0.8372147182114579
16,19,16,3,0,0,0,0,0,0,0,0,0.8368200836820083
