n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,8,6,2,1,0,0,0,0,0,0,0,0.7885271317829458
7,9,7,2,0,0,0,0,0,0,0,0,0.8158956845700093
7,9,7,2,0,0,0,0,0,0,0,0,0.7751824817518248
8,9,6,3,2,0,0,0,0,0,0,0,0.7883714521906862
7,9,7,2,0,0,0,0,0,0,0,0,0.7949660633484162
7,8,5,3,2,0,0,0,0,0,0,0,0.8162953921269454
5,8,5,3,0,0,0,0,0,0,0,0,0.815230961298377
8,9,6,2,0,0,1,0,0,0,1,0,0.799478412054477
6,10,6,4,0,0,0,0,0,0,0,0,0.7454545454545455
7,10,7,3,0,0,0,0,0,0,0,0,0.784526010034328
8,9,8,1,0,0,0,0,0,0,0,0,0.7897114178168131
7,10,7,3,0,0,0,0,0,0,0,0,0.7661270236612703
8,9,8,1,0,0,0,0,0,0,0,0,0.8109464627151052
8,9,8,1,0,0,0,0,0,0,0,0,0.8184025248846808
8,9,7,2,1,0,0,0,0,0,0,0,0.8025628856193641
8,9,8,1,0,0,0,0,0,0,0,0,0.7980903586399627
8,9,8,1,0,0,0,0,0,0,0,0,0.8167613636363636
9,9,7,1,0,0,1,0,0,0,1,0,0.7885111371629543
8,9,8,1,0,0,0,0,0,0,0,0,0.815232397606995
8,9,8,1,0,0,0,0,0,0,0,0,0.8269320843091335
7,9,7,2,0,0,0,0,0,0,0,0,0.7681228996639462
8,10,8,2,0,0,0,0,0,0,0,0,0.8028200537153088
10,11,10,1,0,0,0,0,0,0,0,0,0.7993442622950819
9,11,9,2,0,0,0,0,0,0,0,0,0.8040018190086403
9,10,9,1,0,0,0,0,0,0,0,0,0.8134181100635826
9,10,9,1,0,0,0,0,0,0,0,0,0.8106508875739645
9,10,9,1,0,0,0,0,0,0,0,0,0.8274492497793469
9,11,9,2,0,0,0,0,0,0,0,0,0.8324503311258278
10,11,10,1,0,0,0,0,0,0,0,0,0.8274582560296846
10,11,10,1,0,0,0,0,0,0,0,0,0.8354798504362276
25,28,24,4,1,0,0,0,0,0,0,0,0.8318937939859246
25,28,24,4,1,0,0,0,0,0,0,0,0.8421636176447296
24,26,23,3,1,0,0,0,0,0,0,0,0.8332502078137989
26,26,24,2,2,0,0,0,0,0,0,0,0.8443152983547516
24,26,24,2,0,0,0,0,0,0,0,0,0.8520383303556927
24,26,24,2,0,0,0,0,0,0,0,0,0.8470483727691189
23,26,23,3,0,0,0,0,0,0,0,0,0.8449827571704938
23,27,23,4,0,0,0,0,0,0,0,0,0.8480429134188249
24,27,23,4,1,0,0,0,0,0,0,0,0.8420170882894957
23,26,23,3,0,0,0,0,0,0,0,0,0.840394417982786
25,27,24,3,1,0,0,0,0,0,0,0,0.86157440979776
23,25,23,2,0,0,0,0,0,0,0,0,0.859802400587899
23,25,23,2,0,0,0,0,0,0,0,0,0.8551312649164677
24,27,24,3,0,0,0,0,0,0,0,0,0.8508415091329664
24,25,24,1,0,0,0,0,0,0,0,0,0.8572000961615515
24,27,24,3,0,0,0,0,0,0,0,0,0.8554370323196944
24,26,24,2,0,0,0,0,0,0,0,0,0.8502617801047121
24,27,24,3,0,0,0,0,0,0,0,0,0.8500359338816578
24,27,24,3,0,0,0,0,0,0,0,0,0.8421558420757588
25,29,25,4,0,0,0,0,0,0,0,0,0.839213594452488
26,28,25,3,1,0,0,0,0,0,0,0,0.8325085060315497
27,29,27,2,0,0,0,0,0,0,0,0,0.8350507476563105
27,31,26,5,1,0,0,0,0,0,0,0,0.8280358598207009
32,31,26,2,1,0,1,2,3,0,1,1,0.8462495426271497
29,32,27,4,0,0,1,0,0,0,1,0,0.8259305484178842
29,32,29,3,0,0,0,0,0,0,0,0,0.8441567885971929
31,33,30,3,1,0,0,0,0,0,0,0,0.8320005711837783
28,32,27,5,1,0,0,0,0,0,0,0,0.8130544993662865
27,31,25,5,0,0,1,0,0,0,1,0,0.8199209374558802
29,33,27,4,1,1,0,0,0,1,0,0,0.8237762237762237
16,16,14,1,0,0,1,0,0,0,1,0,0.8290443553601449
16,17,14,2,0,0,1,0,0,0,1,0,0.8436368177844387
14,17,14,3,0,0,0,0,0,0,0,0,0.8217283950617283
16,17,14,3,2,0,0,0,0,0,0,0,0.8196958725561188
16,17,16,1,0,0,0,0,0,0,0,0,0.8346204110728288
17,17,16,1,1,0,0,0,0,0,0,0,0.8190871369294606
16,17,15,2,1,0,0,0,0,0,0,0,0.8335354025218235
16,17,15,2,1,0,0,0,0,0,0,0,0.840426821874621
16,17,15,2,1,0,0,0,0,0,0,0,0.8367249791741045
16,17,15,2,1,0,0,0,0,0,0,0,0.852608800192354
17,16,15,0,0,0,1,0,0,0,1,0,0.8651875075364766
15,16,14,2,1,0,0,0,0,0,0,0,0.8466849184620878
15,16,14,2,1,0,0,0,0,0,0,0,0.8540899916894218
15,16,15,1,0,0,0,0,0,0,0,0,0.8634433962264151
16,16,16,0,0,0,0,0,0,0,0,0,0.8565723011864208
15,16,15,1,0,0,0,0,0,0,0,0,0.8519890096762633
16,16,16,0,0,0,0,0,0,0,0,0,0.8531535869041887
18,16,14,0,0,0,2,0,0,0,2,0,0.8555871798044796
14,16,14,2,0,0,0,0,0,0,0,0,0.8538641078838174
13,15,13,2,0,0,0,0,0,0,0,0,0.8313023610053313
14,15,14,1,0,0,0,0,0,0,0,0,0.8433859694537924
13,15,13,2,0,0,0,0,0,0,0,0,0.8341820080950516
13,15,13,2,0,0,0,0,0,0,0,0,0.841717315401526
14,16,14,2,0,0,0,0,0,0,0,0,0.8516434326640235
14,15,14,1,0,0,0,0,0,0,0,0,0.8447753327184082
