n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
7,8,6,2,1,0,0,0,0,0,0,0,0.7491365777080062
8,9,6,3,2,0,0,0,0,0,0,0,0.7287485242030697
7,9,7,2,0,0,0,0,0,0,0,0,0.7502183406113537
9,9,8,1,1,0,0,0,0,0,0,0,0.7723666210670315
6,9,6,3,0,0,0,0,0,0,0,0,0.7163677130044843
8,9,8,1,0,0,0,0,0,0,0,0,0.8193954659949623
9,10,8,2,1,0,0,0,0,0,0,0,0.8126077320856931
8,9,8,1,0,0,0,0,0,0,0,0,0.8094548962855764
9,9,8,1,1,0,0,0,0,0,0,0,0.7997155724105238
9,9,8,1,1,0,0,0,0,0,0,0,0.7831858407079646
8,9,8,1,0,0,0,0,0,0,0,0,0.8359281437125748
8,9,8,1,0,0,0,0,0,0,0,0,0.8283796740172579
9,9,8,1,1,0,0,0,0,0,0,0,0.8141820734846712
8,9,8,1,0,0,0,0,0,0,0,0,0.7849389416553596
9,9,8,1,1,0,0,0,0,0,0,0,0.7868112014453478
10,9,8,0,0,0,1,0,0,0,1,0,0.8327376697641172
9,10,9,1,0,0,0,0,0,0,0,0,0.8113083497698882
10,11,10,1,0,0,0,0,0,0,0,0,0.7889303755765429
10,11,10,1,0,0,0,0,0,0,0,0,0.8010680907877169
10,10,10,0,0,0,0,0,0,0,0,0,0.8034782608695652
10,10,10,0,0,0,0,0,0,0,0,0,0.8616997546285969
10,10,9,1,1,0,0,0,0,0,0,0,0.8121081081081081
9,11,9,2,0,0,0,0,0,0,0,0,0.8136551424222657
10,11,10,1,0,0,0,0,0,0,0,0,0.8158815058629911
10,11,10,1,0,0,0,0,0,0,0,0,0.797366796955359
24,28,24,4,0,0,0,0,0,0,0,0,0.8391676076786578
24,28,24,4,0,0,0,0,0,0,0,0,0.824764489861089
24,26,24,2,0,0,0,0,0,0,0,0,0.8194906790945407
26,26,24,1,0,0,1,0,0,0,1,0,0.8229995130660607
25,26,24,2,1,0,0,0,0,0,0,0,0.8200128907508862
24,26,24,2,0,0,0,0,0,0,0,0,0.8684662576687117
23,26,23,3,0,0,0,0,0,0,0,0,0.8304293455606503
24,27,21,5,1,0,1,0,0,0,1,0,0.826605504587156
25,27,21,4,0,0,2,0,0,0,2,0,0.8506935687263556
26,26,21,3,1,0,2,0,0,0,2,0,0.8182419035029742
25,27,23,3,0,0,1,0,0,0,1,0,0.861996270169464
23,25,23,2,0,0,0,0,0,0,0,0,0.8577133077988754
23,25,23,2,0,0,0,0,0,0,0,0,0.85006735874475
25,27,24,3,1,0,0,0,0,0,0,0,0.8359943092001265
24,25,24,1,0,0,0,0,0,0,0,0,0.8291038858049168
24,27,24,3,0,0,0,0,0,0,0,0,0.85730141113049
24,26,24,2,0,0,0,0,0,0,0,0,0.8533419334032089
24,27,23,4,1,0,0,0,0,0,0,0,0.8226433045270752
24,27,24,3,0,0,0,0,0,0,0,0,0.82892862794746
26,29,25,4,1,0,0,0,0,0,0,0,0.8051829961354854
27,28,23,3,0,0,2,0,0,0,2,0,0.837882096069869
26,29,26,3,0,0,0,0,0,0,0,0,0.8317894086768566
28,31,25,5,1,0,1,0,0,0,1,0,0.8238013570949221
29,31,26,4,1,0,1,0,0,0,1,0,0.8218483690861005
29,32,26,5,1,0,1,0,0,0,1,0,0.8019627947854109
30,32,28,4,2,0,0,0,0,0,0,0,0.8248922020024848
30,33,30,3,0,0,0,0,0,0,0,0,0.8198418404025881
27,32,27,5,0,0,0,0,0,0,0,0,0.8007398101619208
26,31,25,4,0,1,0,0,0,1,0,0,0.8083836539811824
30,33,24,4,1,1,1,2,2,1,1,1,0.8036087501741674
19,16,13,0,1,0,1,2,3,0,1,1,0.8427841634738187
16,17,14,2,0,0,1,0,0,0,1,0,0.8350515463917526
16,17,13,3,1,0,1,0,0,0,1,0,0.8133138615066325
15,17,14,3,1,0,0,0,0,0,0,0,0.8258426966292135
16,17,16,1,0,0,0,0,0,0,0,0,0.8054768649669499
16,17,16,1,0,0,0,0,0,0,0,0,0.8512544802867383
16,17,16,1,0,0,0,0,0,0,0,0,0.8284508740204942
16,17,15,2,1,0,0,0,0,0,0,0,0.8270021775949673
14,17,14,3,0,0,0,0,0,0,0,0,0.8219277987115595
15,17,15,2,0,0,0,0,0,0,0,0,0.8079069215243975
15,16,15,1,0,0,0,0,0,0,0,0,0.8675826848249028
15,16,15,1,0,0,0,0,0,0,0,0,0.8482185273159145
16,16,15,1,1,0,0,0,0,0,0,0,0.8427968090098545
15,16,15,1,0,0,0,0,0,0,0,0,0.847183426443203
15,16,15,1,0,0,0,0,0,0,0,0,0.8363210310486233
16,16,15,1,1,0,0,0,0,0,0,0,0.863755980861244
17,16,16,0,1,0,0,0,0,0,0,0,0.8135936198071658
16,16,14,1,0,0,1,0,0,0,1,0,0.8288789903489235
15,16,13,3,2,0,0,0,0,0,0,0,0.8304453857014504
13,15,13,2,0,0,0,0,0,0,0,0,0.7999496411935038
15,15,13,1,0,0,1,0,0,0,1,0,0.8606366459627329
13,15,13,2,0,0,0,0,0,0,0,0,0.8429305912596401
13,15,13,2,0,0,0,0,0,0,0,0,0.8347571082493944
14,16,14,2,0,0,0,0,0,0,0,0,0.8281704387406752
14,15,14,1,0,0,0,0,0,0,0,0,0.80679762212458
14,15,14,1,0,0,0,0,0,0,0,0,0.8684523024145666
13,14,13,1,0,0,0,0,0,0,0,0,0.8546708124915506
13,14,13,1,0,0,0,0,0,0,0,0,0.8489092378130891
13,14,13,1,0,0,0,0,0,0,0,0,0.854972007464676
15,14,13,1,2,0,0,0,0,0,0,0,0.8446563369090186
6,6,6,0,0,0,0,0,0,0,0,0,0.8436274509803922
6,6,6,0,0,0,0,0,0,0,0,0,0.8274134790528234
6,6,6,0,0,0,0,0,0,0,0,0,0.823050556983719
6,6,6,0,0,0,0,0,0,0,0,0,0.8350340136054422
6,6,5,1,1,0,0,0,0,0,0,0,0.7909887359198998
6,6,6,0,0,0,0,0,0,0,0,0,0.8480753480753481
6,6,6,0,0,0,0,0,0,0,0,0,0.8120552532440352
6,6,5,1,1,0,0,0,0,0,0,0,0.7971544715447154
6,6,6,0,0,0,0,0,0,0,0,0,0.8053287494628276
6,6,5,1,1,0,0,0,0,0,0,0,0.7995762711864407
5,6,5,1,0,0,0,0,0,0,0,0,0.7976336189310486
5,6,5,1,0,0,0,0,0,0,0,0,0.7964835164835165
5,6,5,1,0,0,0,0,0,0,0,0,0.8031301482701813
5,6,5,1,0,0,0,0,0,0,0,0,0.8061049011177988
4,6,4,2,0,0,0,0,0,0,0,0,0.7477631018321261
5,6,5,1,0,0,0,0,0,0,0,0,0.8306722689075631
5,6,5,1,0,0,0,0,0,0,0,0,0.8228215767634854
6,6,5,1,1,0,0,0,0,0,0,0,0.7862537764350453
5,6,5,1,0,0,0,0,0,0,0,0,0.7958860759493671
5,6,5,1,0,0,0,0,0,0,0,0,0.8049841772151899
5,6,5,1,0,0,0,0,0,0,0,0,0.8446485623003195
5,7,5,2,0,0,0,0,0,0,0,0,0.7891081871345029
5,7,5,2,0,0,0,0,0,0,0,0,0.782701169797944
5,7,5,2,0,0,0,0,0,0,0,0,0.8018323719036308
6,7,6,1,0,0,0,0,0,0,0,0,0.7868852459016393
6,7,6,1,0,0,0,0,0,0,0,0,0.8435643564356435
6,7,6,1,0,0,0,0,0,0,0,0,0.8261140542224992
6,8,6,2,0,0,0,0,0,0,0,0,0.8008780181875196
6,8,6,2,0,0,0,0,0,0,0,0,0.8102754565150109
6,8,6,2,0,0,0,0,0,0,0,0,0.7768045907580792
15,17,15,2,0,0,0,0,0,0,0,0,0.8687634204875584
15,16,15,1,0,0,0,0,0,0,0,0,0.8388434793217031
15,18,14,4,1,0,0,0,0,0,0,0,0.8165680473372781
14,16,14,2,0,0,0,0,0,0,0,0,0.8320824322605267
13,17,13,4,0,0,0,0,0,0,0,0,0.7988555790521209
14,17,13,4,1,0,0,0,0,0,0,0,0.8561305833227888
15,17,15,2,0,0,0,0,0,0,0,0,0.8281811646297628
16,17,16,1,0,0,0,0,0,0,0,0,0.8325760223698008
15,16,15,1,0,0,0,0,0,0,0,0,0.8323935212957408
16,17,15,2,1,0,0,0,0,0,0,0,0.8019329435628206
16,16,16,0,0,0,0,0,0,0,0,0,0.8634538152610441
16,16,16,0,0,0,0,0,0,0,0,0,0.8453281288119053
16,17,16,1,0,0,0,0,0,0,0,0,0.8149063935005298
16,18,16,2,0,0,0,0,0,0,0,0,0.8221655460236494
17,17,17,0,0,0,0,0,0,0,0,0,0.8174913693901036
16,17,16,1,0,0,0,0,0,0,0,0,0.8510588782871771
16,17,16,1,0,0,0,0,0,0,0,0,0.8302695387391451
18,18,18,0,0,0,0,0,0,0,0,0,0.8459180197570114
16,19,16,3,0,0,0,0,0,0,0,0,0.8216123499142367
17,18,17,1,0,0,0,0,0,0,0,0,0.7968092178152005
