n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8568181818181818
8,9,8,1,0,0,0,0,0,0,0,0,0.8631116891562347
9,9,9,0,0,0,0,0,0,0,0,0,0.8568674698795181
6,6,6,0,0,0,0,0,0,0,0,0,0.8796352583586626
6,6,6,0,0,0,0,0,0,0,0,0,0.8394912174439734
6,6,6,0,0,0,0,0,0,0,0,0,0.8519300361881785
8,9,8,1,0,0,0,0,0,0,0,0,0.8725199187626933
9,9,9,0,0,0,0,0,0,0,0,0,0.867590454195535
8,9,8,1,0,0,0,0,0,0,0,0,0.848498635122839
11,12,11,1,0,0,0,0,0,0,0,0,0.8048349857395084
11,12,11,1,0,0,0,0,0,0,0,0,0.7905218048903454
11,12,11,1,0,0,0,0,0,0,0,0,0.7980338476854156
6,6,6,0,0,0,0,0,0,0,0,0,0.7665767154973014
6,6,6,0,0,0,0,0,0,0,0,0,0.7737504769172072
6,6,6,0,0,0,0,0,0,0,0,0,0.8201336844237391
6,6,4,1,0,0,1,0,0,0,1,0,0.8394571333995365
5,6,4,2,1,0,0,0,0,0,0,0,0.818830727396329
5,6,5,1,0,0,0,0,0,0,0,0,0.8131720430107527
8,7,5,1,0,0,2,0,0,0,1,0,0.6629963898916967
9,8,5,2,2,0,1,0,0,0,1,0,0.6347957133288681
7,9,6,3,1,0,0,0,0,0,0,0,0.6952380952380952
9,9,9,0,0,0,0,0,0,0,0,0,0.8721001221001221
9,9,9,0,0,0,0,0,0,0,0,0,0.8803930600337786
9,9,9,0,0,0,0,0,0,0,0,0,0.8492753623188406
9,10,9,1,0,0,0,0,0,0,0,0,0.8309412861136999
8,10,8,2,0,0,0,0,0,0,0,0,0.806977626090254
8,10,8,2,0,0,0,0,0,0,0,0,0.7804693414080243
8,11,8,3,0,0,0,0,0,0,0,0,0.85229505268798
8,10,8,2,0,0,0,0,0,0,0,0,0.8411132640479126
8,11,8,3,0,0,0,0,0,0,0,0,0.8338172502134927
10,10,10,0,0,0,0,0,0,0,0,0,0.8538693204137751
10,10,10,0,0,0,0,0,0,0,0,0,0.8400362084572611
10,10,10,0,0,0,0,0,0,0,0,0,0.8183094994892748
9,9,7,2,2,0,0,0,0,0,0,0,0.8172291296625223
9,9,9,0,0,0,0,0,0,0,0,0,0.8438549955791335
9,9,8,1,1,0,0,0,0,0,0,0,0.8344495964279581
10,12,9,3,1,0,0,0,0,0,0,0,0.8119930860257945
10,12,9,3,1,0,0,0,0,0,0,0,0.8201993355481727
10,12,10,2,0,0,0,0,0,0,0,0,0.8252221190823498
12,13,11,2,1,0,0,0,0,0,0,0,0.7798281448091281
11,13,10,3,1,0,0,0,0,0,0,0,0.777615429573349
12,13,11,2,1,0,0,0,0,0,0,0,0.763742523497579
6,6,4,2,2,0,0,0,0,0,0,0,0.7219267139479906
5,6,5,1,0,0,0,0,0,0,0,0,0.7414272474513438
5,6,5,1,0,0,0,0,0,0,0,0,0.7211828605914303
6,7,6,1,0,0,0,0,0,0,0,0,0.8882135880182331
6,7,6,1,0,0,0,0,0,0,0,0,0.8748658510409959
6,7,5,2,1,0,0,0,0,0,0,0,0.8534314786750379
11,11,11,0,0,0,0,0,0,0,0,0,0.8774703557312253
11,12,11,1,0,0,0,0,0,0,0,0,0.8529411764705882
10,12,10,2,0,0,0,0,0,0,0,0,0.8286599763872491
7,7,7,0,0,0,0,0,0,0,0,0,0.8593957818734562
7,7,7,0,0,0,0,0,0,0,0,0,0.8585245590745306
7,7,7,0,0,0,0,0,0,0,0,0,0.8285289194718244
15,15,13,2,2,0,0,0,0,0,0,0,0.8560860793544048
14,15,13,2,1,0,0,0,0,0,0,0,0.8481213218650974
14,15,14,1,0,0,0,0,0,0,0,0,0.8589507842076798
8,7,7,0,1,0,0,0,0,0,0,0,0.8804581245526127
8,7,4,2,2,0,1,0,0,0,1,0,0.8123527872284743
8,7,4,2,2,0,1,0,0,0,1,0,0.7186274509803922
11,13,9,3,0,0,1,0,0,0,1,0,0.8314383172256964
11,13,9,3,0,0,1,0,0,0,1,0,0.8176642133037079
11,13,8,3,0,0,0,2,3,0,0,1,0.8311998874665917
8,7,7,0,1,0,0,0,0,0,0,0,0.784468438538206
7,7,7,0,0,0,0,0,0,0,0,0,0.8081023454157783
6,8,6,2,0,0,0,0,0,0,0,0,0.7968101376447455
8,8,5,3,3,0,0,0,0,0,0,0,0.738945125199787
8,8,4,3,2,0,1,0,0,0,1,0,0.7339655602695283
8,8,5,3,3,0,0,0,0,0,0,0,0.7027527180198936
13,11,8,2,3,0,1,0,0,0,1,0,0.7711104684788895
13,12,11,1,2,0,0,0,0,0,0,0,0.7520435967302452
13,12,10,2,3,0,0,0,0,0,0,0,0.792156862745098
