n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8478905735003296
8,9,8,1,0,0,0,0,0,0,0,0,0.8527335412904286
9,9,9,0,0,0,0,0,0,0,0,0,0.8723124897423272
6,6,6,0,0,0,0,0,0,0,0,0,0.8650137741046832
6,6,6,0,0,0,0,0,0,0,0,0,0.8524892440073756
6,6,6,0,0,0,0,0,0,0,0,0,0.8687975646879756
8,9,8,1,0,0,0,0,0,0,0,0,0.8609458189790166
8,9,8,1,0,0,0,0,0,0,0,0,0.8488554405769834
8,9,8,1,0,0,0,0,0,0,0,0,0.8520654715510522
12,12,10,1,0,0,1,0,0,0,1,0,0.7861900231072448
12,12,10,1,0,0,1,0,0,0,1,0,0.7855883093978332
11,12,11,1,0,0,0,0,0,0,0,0,0.7987484355444305
6,6,6,0,0,0,0,0,0,0,0,0,0.7383867832847425
6,6,6,0,0,0,0,0,0,0,0,0,0.7461288472567387
6,6,6,0,0,0,0,0,0,0,0,0,0.797404177651592
5,6,5,1,0,0,0,0,0,0,0,0,0.8553523035230353
5,6,5,1,0,0,0,0,0,0,0,0,0.851864406779661
5,6,5,1,0,0,0,0,0,0,0,0,0.8457797846474471
7,7,5,1,0,0,1,0,0,0,1,0,0.641588107324148
8,8,5,2,1,0,1,0,0,0,1,0,0.6156035493052068
7,9,5,4,2,0,0,0,0,0,0,0,0.6646497983131646
9,9,9,0,0,0,0,0,0,0,0,0,0.887542715128922
9,9,9,0,0,0,0,0,0,0,0,0,0.8736939151813153
9,9,9,0,0,0,0,0,0,0,0,0,0.854266687316091
9,10,8,2,1,0,0,0,0,0,0,0,0.803544776119403
8,10,8,2,0,0,0,0,0,0,0,0,0.8065442020665902
8,10,8,2,0,0,0,0,0,0,0,0,0.7937511980065172
8,11,8,3,0,0,0,0,0,0,0,0,0.8342590933524457
8,10,8,2,0,0,0,0,0,0,0,0,0.8374277456647399
8,11,8,3,0,0,0,0,0,0,0,0,0.8248440748440748
10,10,10,0,0,0,0,0,0,0,0,0,0.8425414364640884
10,10,10,0,0,0,0,0,0,0,0,0,0.8353016688061617
10,10,10,0,0,0,0,0,0,0,0,0,0.8126038604116068
9,9,8,1,1,0,0,0,0,0,0,0,0.8381407312144038
9,9,9,0,0,0,0,0,0,0,0,0,0.8612073682290716
9,9,9,0,0,0,0,0,0,0,0,0,0.8565566458519179
10,12,10,2,0,0,0,0,0,0,0,0,0.8261340555179417
10,12,9,3,1,0,0,0,0,0,0,0,0.8377317634321289
12,12,10,1,0,0,1,0,0,0,1,0,0.8489361702127659
12,13,11,2,1,0,0,0,0,0,0,0,0.761764292737744
12,13,11,2,1,0,0,0,0,0,0,0,0.7569668524493987
12,13,11,2,1,0,0,0,0,0,0,0,0.7500356480821332
5,6,4,2,1,0,0,0,0,0,0,0,0.7069810165339865
5,6,5,1,0,0,0,0,0,0,0,0,0.7271039603960396
5,6,5,1,0,0,0,0,0,0,0,0,0.7075015124016939
6,7,6,1,0,0,0,0,0,0,0,0,0.8770527225583405
6,7,6,1,0,0,0,0,0,0,0,0,0.8603691639522258
6,7,5,2,1,0,0,0,0,0,0,0,0.8596452813663237
11,11,11,0,0,0,0,0,0,0,0,0,0.8821601373497737
10,12,10,2,0,0,0,0,0,0,0,0,0.8615832184964017
10,12,10,2,0,0,0,0,0,0,0,0,0.8389130761146975
7,7,7,0,0,0,0,0,0,0,0,0,0.8428571428571429
7,7,7,0,0,0,0,0,0,0,0,0,0.8646902318510072
7,7,7,0,0,0,0,0,0,0,0,0,0.842427723530538
15,15,15,0,0,0,0,0,0,0,0,0,0.8687715269804822
15,15,14,1,1,0,0,0,0,0,0,0,0.8717023675310034
14,15,14,1,0,0,0,0,0,0,0,0,0.8624234470691163
8,7,7,0,1,0,0,0,0,0,0,0,0.8251633986928104
7,7,5,2,2,0,0,0,0,0,0,0,0.7801033591731266
7,7,5,2,2,0,0,0,0,0,0,0,0.7445219123505976
11,13,9,3,0,0,1,0,0,0,1,0,0.8580477972934063
11,13,9,3,0,0,1,0,0,0,1,0,0.8412720848056537
10,13,10,3,0,0,0,0,0,0,0,0,0.8319909566200367
8,7,7,0,1,0,0,0,0,0,0,0,0.7689259645464025
6,7,6,1,0,0,0,0,0,0,0,0,0.7792456850628596
6,8,6,2,0,0,0,0,0,0,0,0,0.7937140327578575
7,8,5,3,2,0,0,0,0,0,0,0,0.768169014084507
8,8,5,3,3,0,0,0,0,0,0,0,0.7164031620553359
8,8,5,3,3,0,0,0,0,0,0,0,0.6975564776394652
14,11,8,2,4,0,1,0,0,0,1,0,0.7554237778420596
13,12,8,3,3,0,1,0,0,0,1,0,0.7322621925209726
14,12,10,2,4,0,0,0,0,0,0,0,0.7610521966671258
