n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8518335800032889
8,9,8,1,0,0,0,0,0,0,0,0,0.8569326357096141
8,9,8,1,0,0,0,0,0,0,0,0,0.8520290333223358
6,6,6,0,0,0,0,0,0,0,0,0,0.8820653834402689
6,6,6,0,0,0,0,0,0,0,0,0,0.8697674418604651
6,6,6,0,0,0,0,0,0,0,0,0,0.8604229607250755
8,9,8,1,0,0,0,0,0,0,0,0,0.8687106918238994
8,9,8,1,0,0,0,0,0,0,0,0,0.8568545256947679
8,9,8,1,0,0,0,0,0,0,0,0,0.857609710550887
12,12,10,1,0,0,1,0,0,0,1,0,0.8030036530915979
12,12,10,1,0,0,1,0,0,0,1,0,0.8009095502779181
12,12,10,1,0,0,1,0,0,0,1,0,0.7922650541698161
6,6,6,0,0,0,0,0,0,0,0,0,0.7599302460763417
6,6,6,0,0,0,0,0,0,0,0,0,0.7531971750334033
6,6,6,0,0,0,0,0,0,0,0,0,0.7894630192502533
5,6,5,1,0,0,0,0,0,0,0,0,0.883054892601432
5,6,5,1,0,0,0,0,0,0,0,0,0.8846020159888773
5,6,5,1,0,0,0,0,0,0,0,0,0.8707627118644068
7,7,5,1,0,0,1,0,0,0,1,0,0.6302778780223746
8,8,5,2,1,0,1,0,0,0,1,0,0.6206896551724138
9,9,6,2,1,0,1,0,0,0,1,0,0.6925471525361655
9,9,9,0,0,0,0,0,0,0,0,0,0.8742415048543689
9,9,9,0,0,0,0,0,0,0,0,0,0.8851823118696664
10,9,7,1,1,0,1,0,0,0,1,0,0.8745677459918265
9,10,9,1,0,0,0,0,0,0,0,0,0.8192059095106187
8,10,8,2,0,0,0,0,0,0,0,0,0.8244099021301093
8,10,8,2,0,0,0,0,0,0,0,0,0.804642166344294
8,11,8,3,0,0,0,0,0,0,0,0,0.8310110753840657
8,10,8,2,0,0,0,0,0,0,0,0,0.8384184870915328
8,11,8,3,0,0,0,0,0,0,0,0,0.8342637822749477
10,10,10,0,0,0,0,0,0,0,0,0,0.8399790136411333
10,10,10,0,0,0,0,0,0,0,0,0,0.831046090108752
10,10,10,0,0,0,0,0,0,0,0,0,0.8243695316520844
9,9,7,2,2,0,0,0,0,0,0,0,0.838184147904082
9,9,8,1,1,0,0,0,0,0,0,0,0.8586293505561535
9,9,8,1,1,0,0,0,0,0,0,0,0.8603123890663826
10,12,9,3,1,0,0,0,0,0,0,0,0.8262100579749225
10,12,9,3,1,0,0,0,0,0,0,0,0.8386746333514394
11,12,10,2,1,0,0,0,0,0,0,0,0.8606020066889633
13,13,11,2,2,0,0,0,0,0,0,0,0.7820962536831767
13,13,11,2,2,0,0,0,0,0,0,0,0.7574120052577771
12,13,10,3,2,0,0,0,0,0,0,0,0.7265992306596382
5,6,4,0,0,1,0,0,0,1,0,0,0.7408882082695253
5,6,5,1,0,0,0,0,0,0,0,0,0.7275254865616312
5,6,5,1,0,0,0,0,0,0,0,0,0.705384150030248
6,7,6,1,0,0,0,0,0,0,0,0,0.8818812310359775
6,7,6,1,0,0,0,0,0,0,0,0,0.8858625162127107
6,7,6,1,0,0,0,0,0,0,0,0,0.8690449811655219
11,11,11,0,0,0,0,0,0,0,0,0,0.8732090586966569
10,12,10,2,0,0,0,0,0,0,0,0,0.8611280487804878
10,12,10,2,0,0,0,0,0,0,0,0,0.8461189287335452
7,7,7,0,0,0,0,0,0,0,0,0,0.8590693257359924
9,7,7,0,2,0,0,0,0,0,0,0,0.8910853449914465
9,7,6,0,1,0,1,0,0,0,1,0,0.8638257575757575
15,15,15,0,0,0,0,0,0,0,0,0,0.8815149802148107
14,15,13,2,1,0,0,0,0,0,0,0,0.8599794590893529
14,15,14,1,0,0,0,0,0,0,0,0,0.8659532215357458
8,7,7,0,1,0,0,0,0,0,0,0,0.8712374581939799
7,7,5,2,2,0,0,0,0,0,0,0,0.8117984860349778
7,7,5,2,2,0,0,0,0,0,0,0,0.7636363636363637
11,13,9,3,0,0,1,0,0,0,1,0,0.8420294032862496
10,13,10,3,0,0,0,0,0,0,0,0,0.8324316628701595
12,13,8,3,0,0,2,0,0,0,2,0,0.8390216154721274
6,7,6,1,0,0,0,0,0,0,0,0,0.7617534942820838
7,7,7,0,0,0,0,0,0,0,0,0,0.7959923257301215
6,8,6,2,0,0,0,0,0,0,0,0,0.7890884896872921
8,8,5,3,3,0,0,0,0,0,0,0,0.7737506864360242
7,8,5,3,2,0,0,0,0,0,0,0,0.7463291139240507
7,8,5,3,2,0,0,0,0,0,0,0,0.7447527141133896
14,11,10,1,4,0,0,0,0,0,0,0,0.7684998560322488
12,12,10,2,2,0,0,0,0,0,0,0,0.7609510086455331
14,12,11,1,3,0,0,0,0,0,0,0,0.7623244285320848
