n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
18,20,14,3,1,1,1,0,0,1,1,0,0.8104713094161391
19,20,17,3,2,0,0,0,0,0,0,0,0.8538798498122653
18,20,13,3,0,0,1,3,3,0,1,1,0.8511303260756329
16,20,14,4,1,1,0,0,0,1,0,0,0.8269549027720314
15,21,14,4,0,2,0,0,0,1,0,0,0.8382915427114322
16,21,15,6,1,0,0,0,0,0,0,0,0.7937378167641326
18,21,15,5,1,0,1,0,0,0,1,0,0.8184563353061964
19,20,13,6,4,0,1,0,0,0,1,0,0.8346567024754787
17,21,16,5,1,0,0,0,0,0,0,0,0.8480132059898597
18,21,15,6,3,0,0,0,0,0,0,0,0.8601596071209331
15,16,14,2,1,0,0,0,0,0,0,0,0.8295885913614446
18,16,15,1,3,0,0,0,0,0,0,0,0.8358812506164316
18,17,15,2,3,0,0,0,0,0,0,0,0.8581532025102102
17,17,15,1,0,0,1,0,0,0,1,0,0.8785037203139333
20,18,14,2,0,0,4,0,0,0,2,0,0.8575946239747011
12,14,9,3,2,1,0,0,0,1,0,0,0.8537007454739084
11,14,10,4,1,0,0,0,0,0,0,0,0.8800213532630455
11,14,11,3,0,0,0,0,0,0,0,0,0.8749675071484273
11,16,11,5,0,0,0,0,0,0,0,0,0.8822763380648522
12,16,12,4,0,0,0,0,0,0,0,0,0.8730471314165682
10,16,10,6,0,0,0,0,0,0,0,0,0.7977961432506887
10,16,10,6,0,0,0,0,0,0,0,0,0.8199031890660592
10,17,10,7,0,0,0,0,0,0,0,0,0.825488267528453
11,16,10,6,1,0,0,0,0,0,0,0,0.8330965909090909
10,17,10,7,0,0,0,0,0,0,0,0,0.8390951771233461
14,15,10,3,0,0,2,0,0,0,2,0,0.8602049069830143
12,15,12,3,0,0,0,0,0,0,0,0,0.8591474007750902
14,15,12,2,0,0,1,0,0,0,1,0,0.8750836792073905
14,17,12,4,0,0,1,0,0,0,1,0,0.8748319440709869
15,17,12,4,1,0,1,0,0,0,1,0,0.8689808169124363
12,14,9,4,1,0,1,0,0,0,1,0,0.836947094535993
12,14,9,4,1,0,1,0,0,0,1,0,0.8369781312127237
9,14,9,5,0,0,0,0,0,0,0,0,0.8513976555455365
10,14,10,4,0,0,0,0,0,0,0,0,0.8594730238393977
10,14,10,4,0,0,0,0,0,0,0,0,0.8900142146410803
12,14,11,3,1,0,0,0,0,0,0,0,0.7980045510239804
14,13,10,2,2,0,1,0,0,0,1,0,0.8522644265887509
12,14,11,3,1,0,0,0,0,0,0,0,0.8461814270347795
12,13,12,1,0,0,0,0,0,0,0,0,0.8787443946188341
12,13,12,1,0,0,0,0,0,0,0,0,0.8611922350111665
19,21,14,4,0,0,1,2,3,0,1,1,0.8341848067525545
19,21,14,5,1,0,2,0,0,0,2,0,0.8461799276672695
18,22,16,6,2,0,0,0,0,0,0,0,0.8435227272727273
18,22,15,6,1,0,1,0,0,0,1,0,0.8487433185488457
18,22,15,6,1,0,1,0,0,0,1,0,0.8348477964561563
13,17,12,5,1,0,0,0,0,0,0,0,0.8161588064230624
14,17,14,3,0,0,0,0,0,0,0,0,0.8430012610340479
14,18,14,4,0,0,0,0,0,0,0,0,0.8370573631255717
14,18,14,4,0,0,0,0,0,0,0,0,0.8626723223753977
13,19,13,6,0,0,0,0,0,0,0,0,0.8267895299145299
15,17,15,2,0,0,0,0,0,0,0,0,0.83046875
15,16,15,1,0,0,0,0,0,0,0,0,0.8454390786546263
16,16,15,1,1,0,0,0,0,0,0,0,0.8449101021860044
19,16,11,1,0,0,4,0,0,0,4,0,0.8654605682252516
16,16,14,1,0,0,1,0,0,0,1,0,0.8746625530273814
13,16,12,4,1,0,0,0,0,0,0,0,0.8496813837050523
15,17,12,4,1,0,1,0,0,0,1,0,0.8641329614132961
13,16,13,3,0,0,0,0,0,0,0,0,0.8587099081912484
13,15,13,2,0,0,0,0,0,0,0,0,0.8926158301158301
13,14,13,1,0,0,0,0,0,0,0,0,0.8777333646837526
