n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
18,20,16,4,2,0,0,0,0,0,0,0,0.8355231143552312
19,20,17,2,0,0,1,0,0,0,1,0,0.8557586654679852
18,20,16,3,0,0,1,0,0,0,1,0,0.8674166331860185
19,20,16,2,0,0,0,2,3,0,0,1,0.8759327430106457
18,21,15,4,1,0,0,2,2,0,0,1,0.8758599445528288
16,21,15,6,1,0,0,0,0,0,0,0,0.8333733781835656
18,21,15,5,1,0,1,0,0,0,1,0,0.815865662999421
17,20,16,4,1,0,0,0,0,0,0,0,0.8529211184360082
16,21,16,5,0,0,0,0,0,0,0,0,0.8556024378809189
16,21,16,5,0,0,0,0,0,0,0,0,0.8550638196349756
16,16,15,1,1,0,0,0,0,0,0,0,0.8607033789774406
16,16,15,1,1,0,0,0,0,0,0,0,0.8695280600132941
18,17,14,2,2,0,1,0,0,0,1,0,0.8676428366350847
16,17,15,2,1,0,0,0,0,0,0,0,0.8730298580518845
16,18,16,2,0,0,0,0,0,0,0,0,0.8855322845285204
11,14,9,3,1,1,0,0,0,1,0,0,0.8462026118929885
11,14,10,4,1,0,0,0,0,0,0,0,0.8583512182805202
11,14,11,3,0,0,0,0,0,0,0,0,0.8773363039980195
12,16,12,4,0,0,0,0,0,0,0,0,0.8765245819187728
12,16,12,4,0,0,0,0,0,0,0,0,0.8914329817339851
9,16,9,7,0,0,0,0,0,0,0,0,0.7436483398306224
10,16,10,6,0,0,0,0,0,0,0,0,0.8047313552526063
10,17,10,7,0,0,0,0,0,0,0,0,0.8218596630852898
10,16,10,6,0,0,0,0,0,0,0,0,0.8374931431705979
10,17,10,7,0,0,0,0,0,0,0,0,0.8459093421779988
12,15,12,3,0,0,0,0,0,0,0,0,0.8655190266632151
12,15,12,3,0,0,0,0,0,0,0,0,0.8611430763329497
15,15,12,2,1,0,1,0,0,0,1,0,0.8603101371267461
13,17,13,4,0,0,0,0,0,0,0,0,0.8551187133009956
15,17,12,4,1,0,1,0,0,0,1,0,0.8604388714733542
12,14,9,4,1,0,1,0,0,0,1,0,0.8442595108695652
10,14,10,4,0,0,0,0,0,0,0,0,0.8384855852726641
9,14,9,5,0,0,0,0,0,0,0,0,0.8360233516483516
10,14,10,4,0,0,0,0,0,0,0,0,0.8562781044621238
10,14,10,4,0,0,0,0,0,0,0,0,0.8685470085470085
11,14,11,3,0,0,0,0,0,0,0,0,0.8419638057695753
11,13,11,2,0,0,0,0,0,0,0,0,0.8468628146047501
10,14,10,4,0,0,0,0,0,0,0,0,0.7751479289940828
12,13,11,2,1,0,0,0,0,0,0,0,0.8618908214224212
12,13,12,1,0,0,0,0,0,0,0,0,0.8578498293515359
20,21,16,5,4,0,0,0,0,0,0,0,0.8593581735946586
17,21,16,5,1,0,0,0,0,0,0,0,0.8557839492674393
18,22,16,6,2,0,0,0,0,0,0,0,0.865768896611642
17,22,16,6,1,0,0,0,0,0,0,0,0.8427617901302111
17,22,16,6,1,0,0,0,0,0,0,0,0.8342850867559851
15,17,11,5,2,0,1,0,0,0,1,0,0.8285053554040895
13,17,11,6,2,0,0,0,0,0,0,0,0.8007873076464272
12,18,11,5,0,1,0,0,0,1,0,0,0.8170777047961334
11,18,11,7,0,0,0,0,0,0,0,0,0.7918158567774936
14,19,10,6,1,1,1,0,0,1,1,0,0.8340882619386567
16,17,14,2,0,0,1,0,0,0,1,0,0.851837912432568
15,16,15,1,0,0,0,0,0,0,0,0,0.8637515842839036
15,16,15,1,0,0,0,0,0,0,0,0,0.865730475486573
17,16,13,1,0,0,2,0,0,0,2,0,0.8682855040470935
15,16,15,1,0,0,0,0,0,0,0,0,0.8889028213166145
14,16,14,2,0,0,0,0,0,0,0,0,0.8614012184508268
13,17,13,4,0,0,0,0,0,0,0,0,0.8646591290719803
14,16,14,2,0,0,0,0,0,0,0,0,0.878136604028356
13,15,13,2,0,0,0,0,0,0,0,0,0.8778915870641041
13,14,13,1,0,0,0,0,0,0,0,0,0.8807412460209186
13,14,13,1,0,0,0,0,0,0,0,0,0.8300405268490375
14,14,12,1,0,0,1,0,0,0,1,0,0.8390834191555098
14,14,11,2,1,0,1,0,0,0,1,0,0.8414839797639123
14,14,12,1,0,0,1,0,0,0,1,0,0.846073023377988
15,14,12,1,1,0,1,0,0,0,1,0,0.8704225352112676
15,18,15,3,0,0,0,0,0,0,0,0,0.8541391166358107
19,17,14,1,1,0,2,0,0,0,2,0,0.8708301008533748
16,17,16,1,0,0,0,0,0,0,0,0,0.8669637173774666
16,17,16,1,0,0,0,0,0,0,0,0,0.8803529717103555
16,18,16,2,0,0,0,0,0,0,0,0,0.8638836179633144
14,19,14,5,0,0,0,0,0,0,0,0,0.8364848484848485
15,18,15,3,0,0,0,0,0,0,0,0,0.8544628987931653
16,21,16,5,0,0,0,0,0,0,0,0,0.8490919742237845
18,21,14,5,0,0,2,0,0,0,2,0,0.8630626339604668
17,22,13,7,0,0,2,0,0,0,2,0,0.8449235872526952
20,22,18,4,2,0,0,0,0,0,0,0,0.8063691942695501
17,23,14,7,0,0,0,2,3,0,0,1,0.799202374327583
19,22,13,7,2,0,2,0,0,0,2,0,0.8102730217491901
17,22,14,7,1,0,1,0,0,0,1,0,0.8320976067573909
20,22,14,5,1,0,1,2,3,0,1,1,0.8221093974518632
17,18,15,1,1,1,0,0,0,1,0,0,0.8514378856677145
15,18,14,2,0,1,0,0,0,1,0,0,0.8436926605504587
17,18,14,1,0,1,1,0,0,1,1,0,0.8367766236730967
19,18,17,1,2,0,0,0,0,0,0,0,0.8742407199100113
16,18,15,1,0,1,0,0,0,1,0,0,0.8605559897287038
19,18,15,1,0,0,2,0,0,0,2,0,0.8620140216698534
19,17,14,1,1,0,2,0,0,0,2,0,0.8471629692832765
15,17,12,1,1,2,0,0,0,2,0,0,0.858263367211666
16,17,12,1,1,1,0,2,2,1,0,1,0.8624446714334355
16,18,12,1,0,2,1,0,0,2,1,0,0.8897355963514606
16,20,14,6,2,0,0,0,0,0,0,0,0.8351151315789473
13,20,13,7,0,0,0,0,0,0,0,0,0.8086319218241043
14,21,14,7,0,0,0,0,0,0,0,0,0.8248253627082214
16,21,15,6,1,0,0,0,0,0,0,0,0.8429235880398671
18,21,13,6,2,0,0,2,3,0,0,1,0.8362760834670947
15,15,14,1,1,0,0,0,0,0,0,0,0.8431771894093686
14,16,14,2,0,0,0,0,0,0,0,0,0.8292960309336973
15,16,15,1,0,0,0,0,0,0,0,0,0.8583306683722418
15,16,15,1,0,0,0,0,0,0,0,0,0.8654811259000654
15,17,15,2,0,0,0,0,0,0,0,0,0.8788850790841721
16,15,13,1,1,0,1,0,0,0,1,0,0.8644693473961766
15,16,14,2,1,0,0,0,0,0,0,0,0.8686205154118242
16,17,12,3,0,0,0,2,4,0,0,1,0.8603555076757339
16,17,13,3,0,0,2,0,0,0,1,0,0.8425399404278364
16,18,13,4,1,0,1,0,0,0,1,0,0.8656320466905425
13,15,12,1,0,1,0,0,0,1,0,0,0.8741140735740803
15,18,10,3,0,1,1,2,2,1,1,1,0.8735006663705019
13,18,12,4,0,1,0,0,0,1,0,0,0.8604394391078724
13,18,12,4,0,1,0,0,0,1,0,0,0.8601483778097664
16,19,13,4,0,0,0,2,3,0,0,1,0.8805114638447972
14,15,14,1,0,0,0,0,0,0,0,0,0.8743679502139245
14,15,14,1,0,0,0,0,0,0,0,0,0.8758725726615053
14,15,13,2,1,0,0,0,0,0,0,0,0.8652250440030174
15,15,13,2,2,0,0,0,0,0,0,0,0.8707060463937127
15,15,14,1,1,0,0,0,0,0,0,0,0.8796028654015332
10,12,8,2,1,1,0,0,0,1,0,0,0.8477086869310292
9,12,8,2,0,1,0,0,0,1,0,0,0.842253963271072
8,12,6,2,0,2,0,0,0,2,0,0,0.8556891766882516
8,14,6,4,0,2,0,0,0,2,0,0,0.8530732311503328
10,14,7,4,0,1,1,0,0,1,1,0,0.8600823045267489
16,18,13,5,3,0,0,0,0,0,0,0,0.8453416869706463
15,18,14,4,1,0,0,0,0,0,0,0,0.8513419713095789
15,17,15,2,0,0,0,0,0,0,0,0,0.8718065175428636
15,17,15,2,0,0,0,0,0,0,0,0,0.8903412377096588
15,17,15,2,0,0,0,0,0,0,0,0,0.8987140093319677
18,25,18,7,0,0,0,0,0,0,0,0,0.8383731040479181
20,25,17,7,1,0,1,0,0,0,1,0,0.8330456463367856
17,25,17,8,0,0,0,0,0,0,0,0,0.8389026011011961
18,25,17,8,1,0,0,0,0,0,0,0,0.8478469819300269
19,24,15,5,0,0,1,3,2,0,1,1,0.8305414881184262
