n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,4,5,4,0,0,0,0,0,0,0,0.6226771653543307
8,9,5,4,3,0,0,0,0,0,0,0,0.6358637543913243
8,9,5,4,3,0,0,0,0,0,0,0,0.6444106463878327
8,9,5,4,3,0,0,0,0,0,0,0,0.6213781714457288
8,9,5,4,3,0,0,0,0,0,0,0,0.6247834986616281
5,6,1,5,4,0,0,0,0,0,0,0,0.5136707388016288
5,6,2,4,3,0,0,0,0,0,0,0,0.5241234641893917
5,6,2,4,3,0,0,0,0,0,0,0,0.5507801000883132
6,6,2,4,4,0,0,0,0,0,0,0,0.5669549657023562
6,6,3,3,3,0,0,0,0,0,0,0,0.6448968052021488
8,9,6,3,2,0,0,0,0,0,0,0,0.6050472209320328
8,9,5,4,3,0,0,0,0,0,0,0,0.6451363073110284
8,9,6,3,2,0,0,0,0,0,0,0,0.6749766282330945
9,9,6,3,3,0,0,0,0,0,0,0,0.6514150943396226
9,9,6,3,3,0,0,0,0,0,0,0,0.6936825885978428
12,12,0,11,10,0,1,0,0,0,1,0,0.4644429619746498
11,12,5,7,6,0,0,0,0,0,0,0,0.614100185528757
11,12,8,4,3,0,0,0,0,0,0,0,0.6299019607843137
12,13,5,6,4,0,0,2,3,0,0,1,0.6138398257924026
13,14,8,4,2,0,0,2,3,0,0,1,0.6893596762675553
6,6,2,4,4,0,0,0,0,0,0,0,0.5789473684210527
6,6,6,0,0,0,0,0,0,0,0,0,0.6588862341481345
6,6,6,0,0,0,0,0,0,0,0,0,0.6532732261858095
6,6,5,1,1,0,0,0,0,0,0,0,0.6499075785582256
6,6,5,1,1,0,0,0,0,0,0,0,0.6510054501033641
5,6,3,3,2,0,0,0,0,0,0,0,0.6134671414697314
5,6,2,4,3,0,0,0,0,0,0,0,0.5966358839050132
5,6,3,3,2,0,0,0,0,0,0,0,0.6452248112897933
5,6,3,3,2,0,0,0,0,0,0,0,0.6273677335075114
6,6,3,3,3,0,0,0,0,0,0,0,0.61198738170347
6,7,4,3,2,0,0,0,0,0,0,0,0.535739313244569
7,8,4,4,3,0,0,0,0,0,0,0,0.6190861957226182
8,9,2,6,4,0,1,0,0,0,1,0,0.534625550660793
9,9,5,4,4,0,0,0,0,0,0,0,0.6126081985954598
9,9,5,4,4,0,0,0,0,0,0,0,0.616199478487614
10,9,6,3,4,0,0,0,0,0,0,0,0.6340893149403788
9,9,5,4,4,0,0,0,0,0,0,0,0.6411447407851364
9,9,5,4,4,0,0,0,0,0,0,0,0.63710407239819
9,9,4,5,5,0,0,0,0,0,0,0,0.6302521008403361
9,9,7,2,2,0,0,0,0,0,0,0,0.7084425036390102
9,10,8,2,1,0,0,0,0,0,0,0,0.678126113288208
9,10,8,2,1,0,0,0,0,0,0,0,0.7233009708737864
9,10,8,2,1,0,0,0,0,0,0,0,0.70832620960848
7,10,0,10,7,0,0,0,0,0,0,0,0.4314988290398126
6,10,0,10,6,0,0,0,0,0,0,0,0.39044547470268093
8,11,5,6,3,0,0,0,0,0,0,0,0.6441736481340442
8,10,6,4,2,0,0,0,0,0,0,0,0.6592103033384172
8,11,4,7,4,0,0,0,0,0,0,0,0.6426214049976426
8,11,5,6,3,0,0,0,0,0,0,0,0.652139208173691
10,11,7,4,3,0,0,0,0,0,0,0,0.6626639279507031
11,10,6,4,5,0,0,0,0,0,0,0,0.6308776425368353
12,10,7,1,2,0,0,2,3,0,0,1,0.6518940331765288
10,10,4,6,6,0,0,0,0,0,0,0,0.5708061002178649
10,10,6,2,2,0,0,2,2,0,0,1,0.6746605760690267
10,10,6,2,2,0,0,2,2,0,0,1,0.6987243621810906
9,9,6,3,3,0,0,0,0,0,0,0,0.6302418120599939
9,9,7,2,2,0,0,0,0,0,0,0,0.7066388599235315
9,9,6,3,3,0,0,0,0,0,0,0,0.6596176619861276
9,9,6,3,3,0,0,0,0,0,0,0,0.6879712131596984
9,9,7,2,2,0,0,0,0,0,0,0,0.6446830265848671
11,12,8,4,3,0,0,0,0,0,0,0,0.6701775872627067
10,12,6,6,4,0,0,0,0,0,0,0,0.6078692011165758
10,12,5,7,5,0,0,0,0,0,0,0,0.5726083089823403
11,12,7,5,4,0,0,0,0,0,0,0,0.6565423555042932
10,12,6,6,4,0,0,0,0,0,0,0,0.646159536432006
12,13,3,9,7,0,1,0,0,0,1,0,0.5115882269301862
13,13,0,11,9,0,2,0,0,0,2,0,0.4621720561317877
11,13,2,11,9,0,0,0,0,0,0,0,0.5154316597923482
9,11,0,7,7,2,0,0,0,2,0,0,0.5029519257801518
13,11,3,7,8,0,1,0,0,0,1,0,0.5897862892034416
5,6,4,2,1,0,0,0,0,0,0,0,0.6443850267379679
5,6,5,1,0,0,0,0,0,0,0,0,0.6553571428571429
5,6,4,2,1,0,0,0,0,0,0,0,0.6430678466076696
5,6,2,4,3,0,0,0,0,0,0,0,0.6325780771586038
5,5,5,0,0,0,0,0,0,0,0,0,0.6753960556094407
6,7,3,4,3,0,0,0,0,0,0,0,0.6237428946217752
6,7,3,4,3,0,0,0,0,0,0,0,0.6226968174204355
6,7,3,4,3,0,0,0,0,0,0,0,0.6138487680543755
6,7,3,4,3,0,0,0,0,0,0,0,0.6414225941422594
6,7,5,2,1,0,0,0,0,0,0,0,0.7108918864505738
11,11,9,2,2,0,0,0,0,0,0,0,0.6636068351927694
11,12,8,4,3,0,0,0,0,0,0,0,0.7097657855088344
10,12,10,2,0,0,0,0,0,0,0,0,0.7067498581962564
11,12,9,3,2,0,0,0,0,0,0,0,0.6743504839531329
11,12,7,5,4,0,0,0,0,0,0,0,0.6566979051819184
8,7,4,1,1,0,0,2,3,0,0,1,0.734766355140187
