n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,5,4,3,0,0,0,0,0,0,0,0.6605798494313632
8,9,5,4,3,0,0,0,0,0,0,0,0.6185062371703773
9,9,5,4,4,0,0,0,0,0,0,0,0.648216285394337
9,9,5,4,4,0,0,0,0,0,0,0,0.6523637458596808
8,9,3,6,5,0,0,0,0,0,0,0,0.5359848484848485
6,6,2,4,4,0,0,0,0,0,0,0,0.634998634998635
6,6,2,4,4,0,0,0,0,0,0,0,0.6326754385964912
6,6,2,4,4,0,0,0,0,0,0,0,0.6485527034407428
6,6,2,4,4,0,0,0,0,0,0,0,0.6446235065295916
6,6,2,4,4,0,0,0,0,0,0,0,0.5646437994722955
8,9,5,4,3,0,0,0,0,0,0,0,0.6440677966101694
9,9,7,2,2,0,0,0,0,0,0,0,0.6712053226056011
8,9,6,3,2,0,0,0,0,0,0,0,0.7035057380914951
8,9,6,3,2,0,0,0,0,0,0,0,0.6795736008778805
8,9,6,3,2,0,0,0,0,0,0,0,0.6517032792104426
10,12,2,10,8,0,0,0,0,0,0,0,0.5275033377837116
11,12,3,9,8,0,0,0,0,0,0,0,0.540039791096742
11,12,8,4,3,0,0,0,0,0,0,0,0.628187754096341
11,13,4,9,7,0,0,0,0,0,0,0,0.5806165165546112
12,14,4,8,6,0,0,2,2,0,0,1,0.5903673072245196
6,6,5,1,1,0,0,0,0,0,0,0,0.6387640449438202
6,6,4,2,2,0,0,0,0,0,0,0,0.6062465142219744
6,6,6,0,0,0,0,0,0,0,0,0,0.6845703125
6,6,4,2,2,0,0,0,0,0,0,0,0.6443004193671369
6,6,5,1,1,0,0,0,0,0,0,0,0.6976613657623948
5,6,2,4,3,0,0,0,0,0,0,0,0.6153846153846154
5,6,3,3,2,0,0,0,0,0,0,0,0.5681074001309757
5,6,2,4,3,0,0,0,0,0,0,0,0.638683680322364
5,6,3,3,2,0,0,0,0,0,0,0,0.6631474760805015
5,6,4,2,1,0,0,0,0,0,0,0,0.6291344123856439
7,7,5,2,2,0,0,0,0,0,0,0,0.6264424662050775
7,8,4,4,3,0,0,0,0,0,0,0,0.5445478723404256
8,9,2,5,3,0,0,2,3,0,0,1,0.5390961262553802
7,9,5,4,2,0,0,0,0,0,0,0,0.5829773250082155
7,9,5,4,2,0,0,0,0,0,0,0,0.590534647068325
9,9,4,5,5,0,0,0,0,0,0,0,0.6183206106870229
9,9,5,4,4,0,0,0,0,0,0,0,0.6102548451091103
8,9,3,4,4,1,0,0,0,1,0,0,0.6369056068133429
8,9,3,4,4,1,0,0,0,1,0,0,0.6468103084072666
9,9,4,5,5,0,0,0,0,0,0,0,0.5967965501309103
8,10,5,5,3,0,0,0,0,0,0,0,0.6265490048817124
9,10,3,7,6,0,0,0,0,0,0,0,0.5716185410334347
7,10,0,10,7,0,0,0,0,0,0,0,0.4705530045917349
10,10,4,6,6,0,0,0,0,0,0,0,0.5736259613580942
7,10,1,9,6,0,0,0,0,0,0,0,0.4759422614274258
8,11,5,6,3,0,0,0,0,0,0,0,0.6247066711364399
8,10,6,4,2,0,0,0,0,0,0,0,0.6554991539763113
8,11,4,7,4,0,0,0,0,0,0,0,0.6238133547868061
8,11,4,7,4,0,0,0,0,0,0,0,0.6280349627711234
9,11,6,5,3,0,0,0,0,0,0,0,0.6686212361331221
11,10,4,5,5,0,1,0,0,0,1,0,0.5820353063343717
11,10,5,3,3,0,0,2,3,0,0,1,0.6132408575031526
10,10,6,2,2,0,0,2,2,0,0,1,0.6599365079365079
11,10,8,1,1,0,1,0,0,0,1,0,0.6974146586345381
11,10,4,4,5,0,0,2,2,0,0,1,0.6030811623246493
9,9,5,4,4,0,0,0,0,0,0,0,0.6537836373487448
9,9,5,4,4,0,0,0,0,0,0,0,0.6825788268451647
9,9,6,3,3,0,0,0,0,0,0,0,0.7086707152496626
9,9,4,5,5,0,0,0,0,0,0,0,0.6627366323480571
9,9,5,4,4,0,0,0,0,0,0,0,0.6835599505562423
10,12,5,7,5,0,0,0,0,0,0,0,0.622444011684518
10,12,6,6,4,0,0,0,0,0,0,0,0.6327404907179022
10,12,6,6,4,0,0,0,0,0,0,0,0.6527777777777778
10,12,6,6,4,0,0,0,0,0,0,0,0.6496398166339227
10,12,6,6,4,0,0,0,0,0,0,0,0.6009903570497784
11,13,4,6,4,1,1,0,0,1,1,0,0.6309202104963733
11,13,5,8,6,0,0,0,0,0,0,0,0.5951596734927681
9,13,4,5,3,2,0,0,0,2,0,0,0.6459515570934256
9,11,4,3,3,2,0,0,0,2,0,0,0.6280159933820488
9,11,3,6,5,1,0,0,0,1,0,0,0.5930947721554375
5,6,2,4,3,0,0,0,0,0,0,0,0.5486914181375533
5,6,3,3,2,0,0,0,0,0,0,0,0.584882657726303
5,6,2,4,3,0,0,0,0,0,0,0,0.5912757693456827
5,6,2,4,3,0,0,0,0,0,0,0,0.5946113347785692
5,5,5,0,0,0,0,0,0,0,0,0,0.6605534105534105
6,7,4,3,2,0,0,0,0,0,0,0,0.6659869494290375
6,7,5,2,1,0,0,0,0,0,0,0,0.6949569495694957
5,7,4,3,1,0,0,0,0,0,0,0,0.664445399828031
5,7,4,3,1,0,0,0,0,0,0,0,0.596031746031746
5,7,4,3,1,0,0,0,0,0,0,0,0.6479537175916006
10,11,4,7,6,0,0,0,0,0,0,0,0.6146986469864698
11,12,4,8,7,0,0,0,0,0,0,0,0.63672532517215
10,12,9,3,1,0,0,0,0,0,0,0,0.6739383362420012
11,12,4,8,7,0,0,0,0,0,0,0,0.5753202966958867
11,12,9,3,2,0,0,0,0,0,0,0,0.6692686935086277
6,7,6,1,0,0,0,0,0,0,0,0,0.7100117324990223
6,7,5,2,1,0,0,0,0,0,0,0,0.6441432720232333
6,7,5,2,1,0,0,0,0,0,0,0,0.6111221449851043
6,7,4,1,1,1,0,0,0,1,0,0,0.6690154629085927
7,7,4,2,1,0,1,0,0,0,1,0,0.6753684958266738
16,15,6,9,10,0,0,0,0,0,0,0,0.6500926834587286
12,15,8,7,4,0,0,0,0,0,0,0,0.6561524743646902
14,15,8,6,4,0,1,0,0,0,1,0,0.6605910267471958
13,14,8,6,5,0,0,0,0,0,0,0,0.5953457593470828
14,14,9,5,5,0,0,0,0,0,0,0,0.6853125934789112
8,7,5,1,1,0,1,0,0,0,1,0,0.6754751970329161
8,7,3,3,3,0,1,0,0,0,1,0,0.6290322580645161
6,7,3,4,3,0,0,0,0,0,0,0,0.6162274980433081
7,7,4,3,3,0,0,0,0,0,0,0,0.6316046966731899
7,7,4,3,3,0,0,0,0,0,0,0,0.6335841956726247
11,13,5,6,3,0,0,2,3,0,0,1,0.6167565325591041
10,13,6,5,1,0,0,2,3,0,0,1,0.642671766152165
10,13,7,6,3,0,0,0,0,0,0,0,0.6207644348061805
9,14,7,7,2,0,0,0,0,0,0,0,0.5973272138228942
9,14,8,6,1,0,0,0,0,0,0,0,0.6597567030784508
6,7,5,2,1,0,0,0,0,0,0,0,0.6240136489656644
7,7,5,2,2,0,0,0,0,0,0,0,0.6823899371069182
6,8,5,3,1,0,0,0,0,0,0,0,0.6492849284928492
6,7,5,2,1,0,0,0,0,0,0,0,0.706907411295402
6,7,5,2,1,0,0,0,0,0,0,0,0.6552535844211428
6,8,3,5,3,0,0,0,0,0,0,0,0.539879067088972
7,8,1,7,6,0,0,0,0,0,0,0,0.5177613084589828
7,8,3,5,4,0,0,0,0,0,0,0,0.5468558845118668
7,8,3,5,4,0,0,0,0,0,0,0,0.5759691789068143
7,8,4,4,3,0,0,0,0,0,0,0,0.5791005291005291
10,11,6,3,3,1,0,0,0,1,0,0,0.62236318041009
12,12,6,5,4,0,1,0,0,0,1,0,0.5927174645987863
13,12,5,6,6,0,1,0,0,0,1,0,0.5898369052432942
11,12,7,5,4,0,0,0,0,0,0,0,0.5817240414217745
11,10,4,6,7,0,0,0,0,0,0,0,0.576783723522854
