n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8502050861361772
8,9,8,1,0,0,0,0,0,0,0,0,0.8508368887430259
8,9,8,1,0,0,0,0,0,0,0,0,0.8604921849018956
6,6,6,0,0,0,0,0,0,0,0,0,0.8663426488456865
6,6,6,0,0,0,0,0,0,0,0,0,0.8715796019900498
6,6,6,0,0,0,0,0,0,0,0,0,0.8887870455239841
8,9,8,1,0,0,0,0,0,0,0,0,0.8706609605325725
8,9,8,1,0,0,0,0,0,0,0,0,0.8749214330609679
8,9,8,1,0,0,0,0,0,0,0,0,0.8622103105785905
12,12,10,1,0,0,1,0,0,0,1,0,0.8081205866376969
12,12,10,1,0,0,1,0,0,0,1,0,0.7927631578947368
11,12,10,2,1,0,0,0,0,0,0,0,0.7897784491440081
6,6,6,0,0,0,0,0,0,0,0,0,0.7610465116279069
6,6,6,0,0,0,0,0,0,0,0,0,0.7870229007633588
6,6,6,0,0,0,0,0,0,0,0,0,0.8184374372363928
5,6,5,1,0,0,0,0,0,0,0,0,0.8871635610766045
5,6,5,1,0,0,0,0,0,0,0,0,0.8746059544658494
5,6,5,1,0,0,0,0,0,0,0,0,0.8601845280340668
6,7,5,2,1,0,0,0,0,0,0,0,0.6407293735331288
7,8,6,2,1,0,0,0,0,0,0,0,0.591304347826087
8,9,6,3,2,0,0,0,0,0,0,0,0.6798462383305875
9,9,9,0,0,0,0,0,0,0,0,0,0.8778826806995821
9,9,9,0,0,0,0,0,0,0,0,0,0.8911941716819766
9,9,9,0,0,0,0,0,0,0,0,0,0.9037938210340963
9,10,9,1,0,0,0,0,0,0,0,0,0.8222597597597597
8,10,8,2,0,0,0,0,0,0,0,0,0.8156014674647616
9,10,9,1,0,0,0,0,0,0,0,0,0.8218756017716157
8,11,8,3,0,0,0,0,0,0,0,0,0.8210192205960148
8,10,8,2,0,0,0,0,0,0,0,0,0.8041038232199228
8,11,8,3,0,0,0,0,0,0,0,0,0.8239878028121295
10,10,10,0,0,0,0,0,0,0,0,0,0.842785544711158
10,10,10,0,0,0,0,0,0,0,0,0,0.8374951481433562
10,10,10,0,0,0,0,0,0,0,0,0,0.8235825907271084
9,9,7,2,2,0,0,0,0,0,0,0,0.8095067905646891
9,9,8,1,1,0,0,0,0,0,0,0,0.8473064573671066
9,9,7,2,2,0,0,0,0,0,0,0,0.8411231252179979
11,12,10,2,1,0,0,0,0,0,0,0,0.8552368245496998
10,12,9,3,1,0,0,0,0,0,0,0,0.8554865424430642
11,12,11,1,0,0,0,0,0,0,0,0,0.8704301075268818
10,13,10,3,0,0,0,0,0,0,0,0,0.7741361411834495
11,13,10,3,1,0,0,0,0,0,0,0,0.7899633923123855
9,13,8,5,1,0,0,0,0,0,0,0,0.7143717080511663
5,6,5,1,0,0,0,0,0,0,0,0,0.7290263319044703
5,6,5,1,0,0,0,0,0,0,0,0,0.7218788627935723
5,6,5,1,0,0,0,0,0,0,0,0,0.7194679564691656
6,7,6,1,0,0,0,0,0,0,0,0,0.8933159155236229
6,7,6,1,0,0,0,0,0,0,0,0,0.8743707594659663
6,7,6,1,0,0,0,0,0,0,0,0,0.87855871886121
11,11,11,0,0,0,0,0,0,0,0,0,0.8964497041420119
11,12,11,1,0,0,0,0,0,0,0,0,0.8963746693636222
12,12,12,0,0,0,0,0,0,0,0,0,0.8897482559902942
7,7,7,0,0,0,0,0,0,0,0,0,0.8471472629144179
9,7,6,1,3,0,0,0,0,0,0,0,0.8489603024574669
8,7,7,0,1,0,0,0,0,0,0,0,0.8358523053376697
15,15,15,0,0,0,0,0,0,0,0,0,0.8869733987898162
14,15,13,2,1,0,0,0,0,0,0,0,0.8591725392134576
14,15,14,1,0,0,0,0,0,0,0,0,0.8884568381290968
8,7,7,0,1,0,0,0,0,0,0,0,0.8527149848520158
6,7,5,2,1,0,0,0,0,0,0,0,0.8328374357587233
7,7,5,2,2,0,0,0,0,0,0,0,0.7548898242139144
10,13,9,4,1,0,0,0,0,0,0,0,0.8554822043628014
10,13,9,4,1,0,0,0,0,0,0,0,0.825822344587741
10,13,10,3,0,0,0,0,0,0,0,0,0.8401503107385461
6,7,6,1,0,0,0,0,0,0,0,0,0.7573186253712346
6,7,6,1,0,0,0,0,0,0,0,0,0.75245621529261
6,8,6,2,0,0,0,0,0,0,0,0,0.7983621071270474
8,8,5,3,3,0,0,0,0,0,0,0,0.7624562348505252
8,8,5,3,3,0,0,0,0,0,0,0,0.7451270663705897
8,8,5,3,3,0,0,0,0,0,0,0,0.715670436187399
12,11,9,2,3,0,0,0,0,0,0,0,0.7623389781444493
14,12,10,2,4,0,0,0,0,0,0,0,0.7400564174894217
13,12,10,2,3,0,0,0,0,0,0,0,0.762589928057554
