n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.8647686832740213
8,9,8,1,0,0,0,0,0,0,0,0,0.8696501220504476
8,9,8,1,0,0,0,0,0,0,0,0,0.8795931758530183
6,6,6,0,0,0,0,0,0,0,0,0,0.8712692191739524
6,6,6,0,0,0,0,0,0,0,0,0,0.8582983822648292
6,6,6,0,0,0,0,0,0,0,0,0,0.8793468400362867
8,9,8,1,0,0,0,0,0,0,0,0,0.8879609202647337
8,9,8,1,0,0,0,0,0,0,0,0,0.8798076923076923
8,9,8,1,0,0,0,0,0,0,0,0,0.8734452736318408
11,12,11,1,0,0,0,0,0,0,0,0,0.8214914061442685
11,12,11,1,0,0,0,0,0,0,0,0,0.8324981207717365
11,12,11,1,0,0,0,0,0,0,0,0,0.8324175824175825
6,6,6,0,0,0,0,0,0,0,0,0,0.789044289044289
6,6,6,0,0,0,0,0,0,0,0,0,0.7894736842105263
6,6,6,0,0,0,0,0,0,0,0,0,0.8488933601609658
5,6,5,1,0,0,0,0,0,0,0,0,0.8954621848739496
5,6,5,1,0,0,0,0,0,0,0,0,0.8692098092643051
5,6,5,1,0,0,0,0,0,0,0,0,0.8468965517241379
7,7,5,2,2,0,0,0,0,0,0,0,0.7084458851071493
7,8,5,3,2,0,0,0,0,0,0,0,0.6566939662376734
8,9,7,2,1,0,0,0,0,0,0,0,0.7282370153621068
9,9,8,1,1,0,0,0,0,0,0,0,0.8759466828233868
9,9,9,0,0,0,0,0,0,0,0,0,0.8862220871942883
9,9,9,0,0,0,0,0,0,0,0,0,0.8855234544889717
9,10,9,1,0,0,0,0,0,0,0,0,0.8476920201831434
8,10,8,2,0,0,0,0,0,0,0,0,0.8300925051916179
8,10,8,2,0,0,0,0,0,0,0,0,0.8220436280137773
8,11,8,3,0,0,0,0,0,0,0,0,0.8304204879736978
8,10,8,2,0,0,0,0,0,0,0,0,0.8240997229916898
8,11,8,3,0,0,0,0,0,0,0,0,0.8149010477299186
10,10,10,0,0,0,0,0,0,0,0,0,0.8618224359807617
10,10,10,0,0,0,0,0,0,0,0,0,0.8527251642829532
10,10,10,0,0,0,0,0,0,0,0,0,0.8363984674329502
9,9,7,2,2,0,0,0,0,0,0,0,0.8182950702972059
9,9,7,2,2,0,0,0,0,0,0,0,0.8328695652173913
9,9,8,1,1,0,0,0,0,0,0,0,0.844750430292599
10,12,9,3,1,0,0,0,0,0,0,0,0.8285638579756227
10,12,9,3,1,0,0,0,0,0,0,0,0.8377762893503015
10,12,10,2,0,0,0,0,0,0,0,0,0.8424548352816154
10,13,9,4,1,0,0,0,0,0,0,0,0.7589736399326977
11,13,10,3,1,0,0,0,0,0,0,0,0.7750650101126842
10,13,8,5,2,0,0,0,0,0,0,0,0.7371703997731783
5,6,5,1,0,0,0,0,0,0,0,0,0.728051391862955
5,6,5,1,0,0,0,0,0,0,0,0,0.7651048088779285
5,6,5,1,0,0,0,0,0,0,0,0,0.7438840229537904
6,7,6,1,0,0,0,0,0,0,0,0,0.8765066610277014
6,7,6,1,0,0,0,0,0,0,0,0,0.8747888513513513
6,7,5,2,1,0,0,0,0,0,0,0,0.8586700876630319
11,11,11,0,0,0,0,0,0,0,0,0,0.8779157830960315
11,12,11,1,0,0,0,0,0,0,0,0,0.8828747556758382
10,12,10,2,0,0,0,0,0,0,0,0,0.8567619611909347
7,7,5,0,1,1,0,0,0,1,0,0,0.8551419800460476
8,7,5,1,1,0,1,0,0,0,1,0,0.8495758718190386
7,7,7,0,0,0,0,0,0,0,0,0,0.8507748230342452
15,15,15,0,0,0,0,0,0,0,0,0,0.8824966681474901
16,15,12,1,0,0,2,0,0,0,2,0,0.8795286862680322
14,15,14,1,0,0,0,0,0,0,0,0,0.8740055901956568
8,7,7,0,1,0,0,0,0,0,0,0,0.8508568781843446
8,7,5,2,3,0,0,0,0,0,0,0,0.7781899109792285
7,7,5,2,2,0,0,0,0,0,0,0,0.7469645458960661
10,13,10,3,0,0,0,0,0,0,0,0,0.8567598080722552
11,13,10,3,1,0,0,0,0,0,0,0,0.8609647906847796
9,13,9,4,0,0,0,0,0,0,0,0,0.8292786421499293
8,7,7,0,1,0,0,0,0,0,0,0,0.7880903490759753
7,7,7,0,0,0,0,0,0,0,0,0,0.816847479259732
6,8,6,2,0,0,0,0,0,0,0,0,0.8062065972222222
8,8,5,3,3,0,0,0,0,0,0,0,0.7760597174086911
7,8,5,3,2,0,0,0,0,0,0,0,0.7473786881248476
9,8,5,3,4,0,0,0,0,0,0,0,0.7188908926961226
11,11,8,3,3,0,0,0,0,0,0,0,0.7664679159568427
13,12,10,2,3,0,0,0,0,0,0,0,0.7484364141765114
12,12,10,2,2,0,0,0,0,0,0,0,0.7556825915339594
