n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.855188141391106
8,9,8,1,0,0,0,0,0,0,0,0,0.8579545454545454
8,9,8,1,0,0,0,0,0,0,0,0,0.8482566704861679
9,9,8,1,1,0,0,0,0,0,0,0,0.8397842639593909
8,9,8,1,0,0,0,0,0,0,0,0,0.8357898109580263
6,6,6,0,0,0,0,0,0,0,0,0,0.8494301139772046
6,6,6,0,0,0,0,0,0,0,0,0,0.8444580526638089
6,6,6,0,0,0,0,0,0,0,0,0,0.8343891402714932
6,6,6,0,0,0,0,0,0,0,0,0,0.82158185162477
6,6,6,0,0,0,0,0,0,0,0,0,0.8201350521792511
8,9,8,1,0,0,0,0,0,0,0,0,0.8498747651847214
8,9,8,1,0,0,0,0,0,0,0,0,0.8510772133983331
8,9,8,1,0,0,0,0,0,0,0,0,0.8427141963727329
8,9,8,1,0,0,0,0,0,0,0,0,0.8387960920264733
8,9,8,1,0,0,0,0,0,0,0,0,0.8221228016044431
12,12,10,1,0,0,1,0,0,0,1,0,0.8092853275582025
11,12,11,1,0,0,0,0,0,0,0,0,0.7724362997364127
11,12,11,1,0,0,0,0,0,0,0,0,0.7843137254901961
11,13,10,3,1,0,0,0,0,0,0,0,0.7644946126218574
12,14,11,3,1,0,0,0,0,0,0,0,0.7642276422764228
6,6,6,0,0,0,0,0,0,0,0,0,0.7829442407871889
6,6,6,0,0,0,0,0,0,0,0,0,0.7692892436335994
6,6,6,0,0,0,0,0,0,0,0,0,0.8179260450160771
6,6,6,0,0,0,0,0,0,0,0,0,0.7700503680743898
6,6,6,0,0,0,0,0,0,0,0,0,0.7793890177880897
5,6,5,1,0,0,0,0,0,0,0,0,0.852754590984975
5,6,5,1,0,0,0,0,0,0,0,0,0.8409638554216867
5,6,5,1,0,0,0,0,0,0,0,0,0.826643598615917
5,6,5,1,0,0,0,0,0,0,0,0,0.8316186556927297
5,6,5,1,0,0,0,0,0,0,0,0,0.8092586146884789
6,7,5,2,1,0,0,0,0,0,0,0,0.6800935083618054
7,8,5,3,2,0,0,0,0,0,0,0,0.574036850921273
7,9,6,3,1,0,0,0,0,0,0,0,0.6846252519699468
8,9,7,2,1,0,0,0,0,0,0,0,0.6698580954009232
8,9,7,2,1,0,0,0,0,0,0,0,0.7058922276313581
9,9,9,0,0,0,0,0,0,0,0,0,0.8772830188679245
9,9,9,0,0,0,0,0,0,0,0,0,0.8660331085223789
9,9,8,1,1,0,0,0,0,0,0,0,0.840559655596556
9,9,9,0,0,0,0,0,0,0,0,0,0.831422373721723
9,9,9,0,0,0,0,0,0,0,0,0,0.820988570580377
9,10,9,1,0,0,0,0,0,0,0,0,0.810465976331361
8,10,8,2,0,0,0,0,0,0,0,0,0.806732223903177
8,10,8,2,0,0,0,0,0,0,0,0,0.7860145204432556
8,10,8,2,0,0,0,0,0,0,0,0,0.7730200833649109
8,10,8,2,0,0,0,0,0,0,0,0,0.7652671755725191
8,11,8,3,0,0,0,0,0,0,0,0,0.8377285513361463
8,10,8,2,0,0,0,0,0,0,0,0,0.8378854625550661
8,11,8,3,0,0,0,0,0,0,0,0,0.8277815934065934
8,11,8,3,0,0,0,0,0,0,0,0,0.7968059802922188
9,11,9,2,0,0,0,0,0,0,0,0,0.8314358538657604
10,10,10,0,0,0,0,0,0,0,0,0,0.8497737556561086
10,10,10,0,0,0,0,0,0,0,0,0,0.8240237910524955
10,10,10,0,0,0,0,0,0,0,0,0,0.8160051216389245
10,10,10,0,0,0,0,0,0,0,0,0,0.8078849364325157
10,10,10,0,0,0,0,0,0,0,0,0,0.7889529058116233
9,9,6,3,3,0,0,0,0,0,0,0,0.8185760751716661
9,9,8,1,1,0,0,0,0,0,0,0,0.8522522522522522
9,9,8,1,1,0,0,0,0,0,0,0,0.8507462686567164
