n_pred,n_true,correct_detections,missed_detections,gained_detections,missed_det_from_merge,gained_det_from_split,true_det_in_catastrophe,pred_det_in_catastrophe,merge,split,catastrophe,jaccard
8,9,8,1,0,0,0,0,0,0,0,0,0.857965766951942
8,9,8,1,0,0,0,0,0,0,0,0,0.8446396616235562
8,9,8,1,0,0,0,0,0,0,0,0,0.8335768793635331
8,9,8,1,0,0,0,0,0,0,0,0,0.814493211240922
8,9,8,1,0,0,0,0,0,0,0,0,0.8061878807310036
6,6,6,0,0,0,0,0,0,0,0,0,0.8711730827523492
6,6,6,0,0,0,0,0,0,0,0,0,0.8377716559534741
6,6,6,0,0,0,0,0,0,0,0,0,0.8436939629408249
6,6,6,0,0,0,0,0,0,0,0,0,0.8314503816793893
6,6,6,0,0,0,0,0,0,0,0,0,0.8113900796080833
8,9,8,1,0,0,0,0,0,0,0,0,0.8693404355318816
8,9,8,1,0,0,0,0,0,0,0,0,0.8423191123613064
8,9,8,1,0,0,0,0,0,0,0,0,0.8450616320798876
8,9,8,1,0,0,0,0,0,0,0,0,0.8399132992723332
8,9,8,1,0,0,0,0,0,0,0,0,0.8085823754789272
11,12,10,2,1,0,0,0,0,0,0,0,0.8055705786911844
11,12,11,1,0,0,0,0,0,0,0,0,0.7768864377036852
11,12,11,1,0,0,0,0,0,0,0,0,0.7726534183227096
13,13,9,3,1,0,2,0,0,0,1,0,0.7808149188913016
12,14,11,3,1,0,0,0,0,0,0,0,0.7665091481885375
6,6,6,0,0,0,0,0,0,0,0,0,0.7840030911901081
6,6,6,0,0,0,0,0,0,0,0,0,0.7830134904047121
6,6,6,0,0,0,0,0,0,0,0,0,0.8275653923541247
6,6,6,0,0,0,0,0,0,0,0,0,0.7908192911098199
6,6,6,0,0,0,0,0,0,0,0,0,0.7663515338606984
5,6,5,1,0,0,0,0,0,0,0,0,0.8614819759679573
5,6,5,1,0,0,0,0,0,0,0,0,0.8178151260504202
5,6,5,1,0,0,0,0,0,0,0,0,0.8250859106529209
5,6,4,2,1,0,0,0,0,0,0,0,0.7862672500841468
5,6,4,2,1,0,0,0,0,0,0,0,0.78481455563331
6,7,5,2,1,0,0,0,0,0,0,0,0.647239263803681
7,8,5,3,2,0,0,0,0,0,0,0,0.6094664659642081
7,9,7,2,0,0,0,0,0,0,0,0,0.7038053421148921
8,9,7,2,1,0,0,0,0,0,0,0,0.6828933836133013
7,9,7,2,0,0,0,0,0,0,0,0,0.6711341933322165
9,9,9,0,0,0,0,0,0,0,0,0,0.8678467877308104
9,9,8,1,1,0,0,0,0,0,0,0,0.829452676141518
9,9,8,1,1,0,0,0,0,0,0,0,0.8454195535026944
9,9,9,0,0,0,0,0,0,0,0,0,0.8363551836355184
9,9,8,1,1,0,0,0,0,0,0,0,0.7938023204582171
9,10,9,1,0,0,0,0,0,0,0,0,0.8244561140285072
8,10,8,2,0,0,0,0,0,0,0,0,0.7944603629417383
8,10,8,2,0,0,0,0,0,0,0,0,0.7850076103500762
8,10,8,2,0,0,0,0,0,0,0,0,0.7730319862095384
8,10,8,2,0,0,0,0,0,0,0,0,0.7702495201535509
8,11,8,3,0,0,0,0,0,0,0,0,0.8439978847170809
8,10,8,2,0,0,0,0,0,0,0,0,0.8369816693361808
8,11,8,3,0,0,0,0,0,0,0,0,0.8285028297033099
8,11,8,3,0,0,0,0,0,0,0,0,0.7963089542036911
9,11,9,2,0,0,0,0,0,0,0,0,0.8217317487266553
10,10,10,0,0,0,0,0,0,0,0,0,0.8463146889702039
10,10,10,0,0,0,0,0,0,0,0,0,0.8137469429785044
10,10,10,0,0,0,0,0,0,0,0,0,0.8101491776106082
10,10,10,0,0,0,0,0,0,0,0,0,0.8165726013340174
10,10,10,0,0,0,0,0,0,0,0,0,0.7951066499372648
9,9,7,2,2,0,0,0,0,0,0,0,0.8195121951219512
9,9,8,1,1,0,0,0,0,0,0,0,0.8569096844396082
9,9,8,1,1,0,0,0,0,0,0,0,0.848152731129574
8,9,8,1,0,0,0,0,0,0,0,0,0.8165480427046263
8,9,8,1,0,0,0,0,0,0,0,0,0.7996803409696324
11,12,11,1,0,0,0,0,0,0,0,0,0.8508198906812425
11,12,10,2,1,0,0,0,0,0,0,0,0.8352159468438538
11,12,11,1,0,0,0,0,0,0,0,0,0.8166579360921948
11,12,10,2,1,0,0,0,0,0,0,0,0.7954068241469816
11,12,9,3,2,0,0,0,0,0,0,0,0.8029150006449116
11,13,10,3,1,0,0,0,0,0,0,0,0.7700028272547357
11,13,10,3,1,0,0,0,0,0,0,0,0.7448577680525165
11,13,10,3,1,0,0,0,0,0,0,0,0.7506077506077506
11,11,9,2,2,0,0,0,0,0,0,0,0.7402542372881356
11,11,10,1,1,0,0,0,0,0,0,0,0.7508488964346349
6,6,5,1,1,0,0,0,0,0,0,0,0.754531490015361
5,6,4,2,1,0,0,0,0,0,0,0,0.7115087935822277
5,6,5,1,0,0,0,0,0,0,0,0,0.7175618587809294
5,6,5,1,0,0,0,0,0,0,0,0,0.7220639442861665
5,5,5,0,0,0,0,0,0,0,0,0,0.735678391959799
6,7,6,1,0,0,0,0,0,0,0,0,0.8807961504811899
6,7,6,1,0,0,0,0,0,0,0,0,0.8530866853086685
6,7,6,1,0,0,0,0,0,0,0,0,0.8303764604067503
6,7,6,1,0,0,0,0,0,0,0,0,0.8568706330721999
6,7,5,2,1,0,0,0,0,0,0,0,0.8084477296726504
11,11,11,0,0,0,0,0,0,0,0,0,0.8698765808319366
11,12,11,1,0,0,0,0,0,0,0,0,0.8441888258141619
10,12,10,2,0,0,0,0,0,0,0,0,0.8070917846198745
11,12,11,1,0,0,0,0,0,0,0,0,0.8218565035368847
11,12,11,1,0,0,0,0,0,0,0,0,0.8146051905024848
6,7,6,1,0,0,0,0,0,0,0,0,0.8292636759416998
8,7,4,1,0,0,2,0,0,0,2,0,0.8169302325581396
8,7,5,1,1,0,1,0,0,0,1,0,0.8009809469911338
7,7,7,0,0,0,0,0,0,0,0,0,0.837966488956588
7,7,7,0,0,0,0,0,0,0,0,0,0.8131646497983132
14,15,14,1,0,0,0,0,0,0,0,0,0.8632215377595255
15,15,11,2,0,0,2,0,0,0,2,0,0.8379018612521151
13,15,13,2,0,0,0,0,0,0,0,0,0.8269230769230769
13,14,13,1,0,0,0,0,0,0,0,0,0.8245465153283122
14,14,13,1,1,0,0,0,0,0,0,0,0.8093142272262026
8,7,7,0,1,0,0,0,0,0,0,0,0.846135831381733
7,7,5,2,2,0,0,0,0,0,0,0,0.7663645518630413
8,7,5,2,3,0,0,0,0,0,0,0,0.7140790742526519
7,7,5,2,2,0,0,0,0,0,0,0,0.7470484802813363
7,7,5,2,2,0,0,0,0,0,0,0,0.7446398458202843
10,13,10,3,0,0,0,0,0,0,0,0,0.8566924620235025
12,13,11,2,1,0,0,0,0,0,0,0,0.8334737433305252
10,13,10,3,0,0,0,0,0,0,0,0,0.7984539704848911
10,14,9,5,1,0,0,0,0,0,0,0,0.7909719398129321
10,14,10,4,0,0,0,0,0,0,0,0,0.7590515043345232
6,7,6,1,0,0,0,0,0,0,0,0,0.7697826545684744
6,7,6,1,0,0,0,0,0,0,0,0,0.7832418742085268
